entry_date,signal_date,n_positions,n_filled,symbols,exit_time,exit_reason,deployed_1x_rs,deployed_5x_capital_rs,net_pnl_1x_rs,net_pnl_5x_rs,ret_1x_pct_on_deployed,ret_5x_pct_on_capital
2025-01-01,2024-12-31,1,1,ITI,09:36,HARD_STOP,24976.0,24976.0,-298.31170768,-1450.8249384,-1.1943934484304932,-5.808876274823831
2025-01-03,2025-01-02,1,1,ITI,09:35,HARD_STOP,24724.35,24959.82,-246.57781657319998,-1203.8671228552,-0.9973075796661994,-4.823220371201395
2025-01-06,2025-01-03,1,1,ITI,09:36,TRAIL,24879.75,24981.3,122.97053757730056,658.8616988942028,0.49425953869030265,2.6374195854267106
2025-01-16,2025-01-15,1,1,CREDITACC,10:04,TRAIL,24289.2,24828.96,115.90171724609999,633.3375462134,0.4771738766451756,2.5508017501071327
2025-01-17,2025-01-16,3,2,"RVNL,BDL",10:58,TRAIL,49242.6,49816.38,465.8486931864034,2457.054949541217,0.9460278157254155,4.932222994808569
2025-01-20,2025-01-17,5,4,"CREDITACC,JUBLPHARMA,BDL,RVNL",15:29,EOD,97361.3,99532.02,2003.3034823069993,10325.188245241096,2.0575973023234067,10.37373525147093
2025-01-21,2025-01-20,1,1,ITI,09:34,HARD_STOP,24640.0,24948.0,-128.46397813760146,-609.4164829216073,-0.5213635476363695,-2.4427468451242875
2025-01-23,2025-01-22,5,3,"POLICYBZR,NUVAMA,NAVA",15:29,EOD,73922.1,74502.87,1983.0385350293013,10154.521120643407,2.682605790459553,13.629704628349765
2025-01-24,2025-01-23,2,1,AEGISLOG,09:42,HARD_STOP,24913.350000000002,24913.350000000002,-338.0697573561015,-1649.9075022805075,-1.3569823301808126,-6.6225838848669785
2025-01-28,2025-01-27,5,1,NUVAMA,09:33,HARD_STOP,23966.0,24799.6,-266.760178053,-1340.045703709,-1.1130776018234165,-5.403497248782239
2025-01-29,2025-01-28,8,7,"GRAVITA,PGEL,CAPLIPOINT,DATAPATTNS,CGPOWER,NEWGEN,AEGISLOG",15:29,EOD,171462.6,174237.27,8494.663668761501,43668.963349853206,4.954237057388317,25.062929044889888
2025-01-30,2025-01-29,5,1,JUBLPHARMA,10:20,TRAIL,24532.3,24909.719999999998,88.31143154600237,489.53635677201197,0.35998023644746874,1.9652423101183474
2025-01-31,2025-01-30,5,3,"PGEL,BDL,NUVAMA",15:29,EOD,73038.6,74713.06,2824.087238384398,14499.20668715019,3.86656814120807,19.406522349841097
2025-02-03,2025-02-01,2,2,"WOCKPHARMA,AEGISLOG",09:36,HARD_STOP,48582.899999999994,49633.41,-359.27267587409824,-1743.4198880945912,-0.7395043850286793,-3.51259340854193
2025-02-04,2025-02-03,2,2,"CGPOWER,NUVAMA",09:37,HARD_STOP,49442.2,49898.380000000005,-432.4876019266028,-2099.884909048214,-0.8747337333828243,-4.208322813382346
2025-02-07,2025-02-06,4,3,"KFINTECH,GODFRYPHLP,ERIS",10:04,TRAIL,72197.1,74512.18,336.37389952759963,1897.468769027198,0.4659105414588669,2.546521614355127
