month,days,win_pct,avg_names,deployed_1x_rs,pnl_1x_rs,deployed_5x_capital_rs,pnl_5x_rs,avg_day_5x_pct,ret_1x_pct,ret_5x_pct,cum_pnl_5x_rs
2025-01,13,61.53846153846154,2.076923076923077,661948.15,14819.941866238103,672118.35,76632.60820414242,4.26597333001644,2.238837266368688,11.40165392064395,76632.60820414242
2025-02,12,33.33333333333333,2.75,808941.21,7222.120359131455,821612.14,37803.721787240276,0.9457702827289186,0.8927868020386124,4.601163973458362,114436.32999138269
2025-03,17,52.94117647058824,3.588235294117647,1491453.6400000001,12735.233114074219,1518648.2380000001,66771.55915759748,2.4260300307515092,0.8538805882075032,4.396775862034581,181207.88914898018
2025-04,13,53.84615384615385,2.5384615384615383,792291.21,2492.5581248902035,819121.2999999999,14065.918873350358,0.7838458007625833,0.3146012594144776,1.7171960823568329,195273.80802233054
2025-05,9,66.66666666666666,2.111111111111111,460747.55,4494.9566921018995,472667.91,24291.2862154824,2.560696048849897,0.975579076242923,5.139186668179441,219565.09423781294
2025-06,6,50.0,1.3333333333333333,192708.25,-377.69680192929314,198396.95,-1604.4258601032648,-0.687556259089086,-0.1959941008904876,-0.808694821217395,217960.66837770966
2025-07,2,0.0,1.5,72971.2,-568.2679759712012,74586.68000000001,-2782.322695436806,-3.6652725170964517,-0.77875651760037,-3.7303211450580798,215178.34568227286
2025-08,1,100.0,1.0,24464.0,213.903448032,24922.7,1131.029811413,4.5381512091908185,0.8743600720732505,4.5381512091908185,216309.37549368586
2025-09,1,0.0,1.0,24252.0,-198.40745085120108,24858.3,-976.3533060124056,-3.927675287579624,-0.8181075822662093,-3.927675287579624,215333.02218767346
2025-10,3,33.33333333333333,1.0,74583.2,-283.0112654910955,74902.98999999999,-1300.1546319892775,-1.7361307504584556,-0.3794571237102934,-1.7357846889547102,214032.86755568418
2025-12,6,33.33333333333333,1.0,139134.0,-421.46944262139857,147271.2,-1963.5233605207925,-1.3444028463271904,-0.30292339947201874,-1.3332704293309163,212069.34419516337
