symbol,signal_date,entry_date,range_pct__pct,ret_5d__pct,ret_20d__pct,vol_vs_20d__pct,dist_prior_high_20__pct,atr_20_pct__pct,wtd_range_pct__pct,wtd_close_loc__pct,rs_sector_20d__pct,raw_eod_state_score,raw_eod_state_z,pattern_stock_prior_score,fired_patterns,fired_pair_count,prior_log,pair_log,vol_state,pullback_active_state,continuation_state,raw_repaired_score,prior_pct,pairs_pct,raw_pct,prior_z_capped,pairs_z_capped,raw_z_capped,watchlist_memory,watchlist_memory_z,stale_loser_penalty,final_score,pattern_stock_prior_z,final_rank,risk_mode,recent3_pnl_5x_rs,month_pnl_before_5x_rs,day_quality
ITI,2024-12-31,2025-01-01,0.9915611814345991,0.9936708860759492,0.9957446808510638,0.9787234042553192,0.8354430379746836,1.0,1.0,0.6983122362869199,0.9957446808510638,3.1436583176227675,1.4318105588279284,192.4877708716351,FALCPAT_6427|FALCPAT_6722|FALCPAT_6810|FALCPAT_6967|FALCPAT_7164|FALCPAT_7180|FALCPAT_7201|FALCPAT_7221|FALCPAT_7313|FALCPAT_7324|FALCPAT_7472|FALCPAT_7509|FALCPAT_7519|FALCPAT_7559|FALCPAT_7603|FALCPAT_7621|FALCPAT_7633,44,5.265214310842863,3.8066624897703196,0.9983122362869199,0.4382480474010235,0.9206607415387377,1.2970974684670065,1.0,1.0,0.9535864978902954,3.0,3.0,1.654174529531482,0.0,0.0,0.0,2.3635436323828705,3.0,1,normal,0.0,0.0,0.9852320675105485
ITI,2025-01-02,2025-01-03,0.9324894514767932,0.9936708860759492,0.9936170212765958,0.2245762711864407,0.4135021097046413,0.9957716701902748,0.9978902953586498,0.3248945147679324,0.9936170212765958,3.141638893459868,1.6768086796225763,141.49959161795468,FALCPAT_6810|FALCPAT_6967|FALCPAT_7164|FALCPAT_7180|FALCPAT_7221|FALCPAT_7324|FALCPAT_7472|FALCPAT_7509|FALCPAT_7603|FALCPAT_7621|FALCPAT_7633|FALCPAT_7713|FALCPAT_7754|FALCPAT_7759|FALCPAT_7799|FALCPAT_7834|FALCPAT_7880,35,4.959339133865684,3.58351893845611,0.9838567452565098,0.3924783209398648,0.8264552473292036,1.2773202378052562,1.0,1.0,0.9578059071729957,3.0,3.0,1.7452921237393768,-0.7,-2.5,1.0,1.5863230309348444,3.0,1,normal,-1450.8249384,-1450.8249384,0.9852320675105485
ITI,2025-01-03,2025-01-06,1.0,1.0,1.0,0.9577167019027484,1.0,0.9936708860759492,1.0,1.0,1.0,3.193670886075949,1.7460532139066018,295.77804772342256,FALCPAT_6151|FALCPAT_6236|FALCPAT_6245|FALCPAT_6427|FALCPAT_6440|FALCPAT_6663|FALCPAT_6677|FALCPAT_6697|FALCPAT_6722|FALCPAT_6810|FALCPAT_6824|FALCPAT_6887|FALCPAT_6932|FALCPAT_6953|FALCPAT_6962|FALCPAT_6967|FALCPAT_7164,72,5.6929845453617975,4.290459441148391,0.9971518987341772,0.3915433403805497,1.0,1.3980315591908647,1.0,1.0,0.9789029535864979,3.0,3.0,1.9212502678028982,-1.0,-2.5,2.0,0.8303125669507248,3.0,1,normal,-2654.6920612552003,-2654.6920612552003,0.9852320675105485
CREDITACC,2025-01-15,2025-01-16,0.9662447257383966,0.040084388185654,0.9085106382978724,0.2763713080168776,0.2383966244725738,0.9092827004219408,0.9367088607594936,0.0379746835443038,0.9340425531914892,3.5886237543765147,1.8834021046136649,54.11868984773025,FALCPAT_6174|FALCPAT_6331|FALCPAT_6344|FALCPAT_6905|FALCPAT_7297|FALCPAT_7755|FALCPAT_7927|FALCPAT_8097|FALCPAT_8404|FALCPAT_8486|FALCPAT_8580|FALCPAT_8617|FALCPAT_8641|FALCPAT_8724|FALCPAT_9005|FALCPAT_9318,16,4.009488857332388,2.833213344056216,0.9302742616033755,0.768454080258551,0.3907572493042464,1.6288266121405248,1.0,1.0,0.989451476793249,3.0,3.0,2.0172413095674626,0.0,-0.045931521217462516,0.0,2.454310327391866,3.0,1,normal,-1995.8303623609972,-1995.8303623609972,0.9852320675105485
CREDITACC,2025-01-16,2025-01-17,0.8059071729957806,0.0527426160337552,0.9364406779661016,0.1856540084388185,0.1793248945147679,0.9177215189873418,0.9113924050632912,0.090717299578059,0.9470338983050848,3.5234449867696487,1.9561445629206573,51.52578422642808,FALCPAT_6174|FALCPAT_6331|FALCPAT_6344|FALCPAT_6905|FALCPAT_7005|FALCPAT_7297|FALCPAT_7755|FALCPAT_7927|FALCPAT_8097|FALCPAT_8486|FALCPAT_8580|FALCPAT_8641|FALCPAT_8724|FALCPAT_9005|FALCPAT_9318,15,3.9613041771560744,2.772588722239781,0.893143459915612,0.7632464421082743,0.4173044947436172,1.619500709469154,0.9957805907172996,0.9915611814345991,0.9915611814345991,3.0,3.0,2.1038127331830054,1.0,2.5,0.0,2.4759531832957515,3.0,1,normal,88.33212225240277,-1362.4928161475973,0.9852320675105485
RVNL,2025-01-16,2025-01-17,0.9556962025316456,0.7531645569620253,0.2902542372881356,0.9831223628691984,0.430379746835443,0.7573839662447257,0.9345991561181436,0.938818565400844,0.3241525423728814,3.0607107737967527,1.2837931149755408,35.9726053834889,FALCPAT_6427|FALCPAT_6722|FALCPAT_6865|FALCPAT_7164|FALCPAT_7695|FALCPAT_7965|FALCPAT_8070|FALCPAT_8211|FALCPAT_8258|FALCPAT_8364|FALCPAT_8547|FALCPAT_8622|FALCPAT_9111|FALCPAT_9123|FALCPAT_9584,15,3.610177243375609,2.772588722239781,0.859071729957806,0.49025244940284635,0.6194986769648859,1.0069060181115892,0.989451476793249,0.9936708860759493,0.9113924050632911,3.0,3.0,1.308005728663286,0.0,-0.05863372716400341,0.0,2.2770014321658216,3.0,2,normal,88.33212225240277,-1362.4928161475973,0.9852320675105485
BDL,2025-01-16,2025-01-17,0.959915611814346,0.7109704641350211,0.586864406779661,0.9135021097046412,0.7637130801687764,0.8354430379746836,0.8459915611814346,0.6729957805907173,0.6313559322033898,2.923717192304942,1.0847418447367412,54.365785890568105,FALCPAT_6245|FALCPAT_6440|FALCPAT_6677|FALCPAT_6697|FALCPAT_6953|FALCPAT_7394|FALCPAT_7471|FALCPAT_7695|FALCPAT_7740|FALCPAT_7862|FALCPAT_8037|FALCPAT_8854|FALCPAT_8879|FALCPAT_8907|FALCPAT_9301|FALCPAT_9369|FALCPAT_9395,22,4.013961819767436,3.1354942159291497,0.8640295358649789,0.4692036758921548,0.6585080991203605,0.9173132200489098,0.9978902953586498,1.0,0.8734177215189873,3.0,3.0,1.1916178832270206,0.0,-0.05863372716400341,0.0,2.2479044708067555,3.0,3,normal,88.33212225240277,-1362.4928161475973,0.9852320675105485
CREDITACC,2025-01-17,2025-01-20,0.3122362869198312,0.080168776371308,0.959830866807611,0.0147679324894514,0.170886075949367,0.9092827004219408,0.879746835443038,0.1181434599156118,0.9746300211416492,3.178778735247678,1.5849753623129337,61.32529477820248,FALCPAT_6174|FALCPAT_6331|FALCPAT_6344|FALCPAT_6905|FALCPAT_7005|FALCPAT_7297|FALCPAT_7755|FALCPAT_7927|FALCPAT_8097|FALCPAT_8486|FALCPAT_8580|FALCPAT_8641|FALCPAT_8724|FALCPAT_8952|FALCPAT_9005|FALCPAT_9318|FALCPAT_9367,17,4.132367359092821,2.8903717578961645,0.7795358649789029,0.7270990000089205,0.44374715658201086,1.2892084712680765,0.9957805907172996,0.9915611814345991,0.959915611814346,3.0,3.0,1.7095726015750228,0.5320556826336531,2.5,0.0,2.3773931503937558,3.0,1,normal,3749.25419464882,1094.5621333936197,0.9852320675105485
JUBLPHARMA,2025-01-17,2025-01-20,0.978902953586498,0.2046413502109704,0.1183932346723044,0.959915611814346,0.1392405063291139,0.8860759493670886,0.5210970464135021,0.379746835443038,0.1268498942917547,3.075832062158232,1.422070722646733,64.5932855858384,FALCPAT_6145|FALCPAT_6166|FALCPAT_6174|FALCPAT_6251|FALCPAT_6288|FALCPAT_6320|FALCPAT_6458|FALCPAT_6477|FALCPAT_6791|FALCPAT_7055|FALCPAT_7545|FALCPAT_7801|FALCPAT_8068|FALCPAT_8079|FALCPAT_8883|FALCPAT_8952|FALCPAT_9338,18,4.183473336837113,2.9444389791664403,0.7768987341772151,0.710918502065102,0.21518697424643846,1.0937234076509783,0.9978902953586498,0.9957805907172996,0.930379746835443,3.0,3.0,1.4503405055778245,0.0,-0.08430120050184933,0.0,2.312585126394456,3.0,2,normal,3749.25419464882,1094.5621333936197,0.9852320675105485
BDL,2025-01-17,2025-01-20,0.9767932489451476,0.9367088607594936,0.8921775898520085,0.9852320675105484,0.9852320675105484,0.8312236286919831,0.938818565400844,0.921940928270042,0.9175475687103594,2.954791438078162,1.23053389431617,56.11339887572856,FALCPAT_6245|FALCPAT_6440|FALCPAT_6663|FALCPAT_6677|FALCPAT_6697|FALCPAT_6953|FALCPAT_7253|FALCPAT_7394|FALCPAT_7471|FALCPAT_7695|FALCPAT_7862|FALCPAT_7904|FALCPAT_7983|FALCPAT_8037|FALCPAT_8226|FALCPAT_8547|FALCPAT_8622,22,4.045038745451965,3.1354942159291497,0.8979957805907173,0.4063998091007217,0.9190098661028893,1.0475660729130065,0.9936708860759493,0.9978902953586498,0.9240506329113924,3.0,3.0,1.3891314167176863,0.9285714285714287,2.5,0.0,2.2972828541794215,3.0,3,normal,3749.25419464882,1094.5621333936197,0.9852320675105485
