tier_key,winner_n,features,center__lane_continuation,spread__lane_continuation,center__lane_recovery,spread__lane_recovery,center__lane_dryup_compression,spread__lane_dryup_compression,center__vol_vs_20d__pct,spread__vol_vs_20d__pct,center__vol_vs_60d__pct,spread__vol_vs_60d__pct,center__wtd_range_pct__pct,spread__wtd_range_pct__pct,center__wtd_ret__pct,spread__wtd_ret__pct,center__vol_vs_10d__pct,spread__vol_vs_10d__pct,center__ret_3d__pct,spread__ret_3d__pct,center__dry_count_3__pct,spread__dry_count_3__pct,center__ret_2d__pct,spread__ret_2d__pct,center__dist_prior_low_10__pct,spread__dist_prior_low_10__pct,center__red_count_10__pct,spread__red_count_10__pct,center__atr_5_vs_20__pct,spread__atr_5_vs_20__pct,center__vol_vs_5d__pct,spread__vol_vs_5d__pct,center__range_pct__pct,spread__range_pct__pct,center__atr_20_pct__pct,spread__atr_20_pct__pct,center__green_count_10__pct,spread__green_count_10__pct,center__compress_count_7__pct,spread__compress_count_7__pct,center__qtd_range_pct__pct,spread__qtd_range_pct__pct,center__mtd_range_pct__pct,spread__mtd_range_pct__pct,center__slope_sma_200__pct,spread__slope_sma_200__pct,center__ret_120d__pct,spread__ret_120d__pct,center__dist_sma_200__pct,spread__dist_sma_200__pct,center__rs_sector_5d__pct,spread__rs_sector_5d__pct,center__green_count_3__pct,spread__green_count_3__pct,center__red_count_3__pct,spread__red_count_3__pct,center__qtd_close_loc__pct,spread__qtd_close_loc__pct,center__mtd_close_loc__pct,spread__mtd_close_loc__pct,center__dry_count_5__pct,spread__dry_count_5__pct,center__rs_market_5d__pct,spread__rs_market_5d__pct,center__ret_5d__pct,spread__ret_5d__pct,center__lane_pullback_reversal,spread__lane_pullback_reversal,center__slope_sma_50__pct,spread__slope_sma_50__pct,center__compress_count_3__pct,spread__compress_count_3__pct,center__lane_fresh_breakout,spread__lane_fresh_breakout,center__dist_prior_low_252__pct,spread__dist_prior_low_252__pct,center__dist_prior_high_20__pct,spread__dist_prior_high_20__pct,center__slope_sma_100__pct,spread__slope_sma_100__pct,center__slope_sma_20__pct,spread__slope_sma_20__pct,center__rs_sector_20d__pct,spread__rs_sector_20d__pct,center__ret_20d__pct,spread__ret_20d__pct,center__rs_market_20d__pct,spread__rs_market_20d__pct,center__dist_prior_low_20__pct,spread__dist_prior_low_20__pct,center__dist_prior_high_252__pct,spread__dist_prior_high_252__pct,center__ret_40d__pct,spread__ret_40d__pct,center__dist_prior_low_120__pct,spread__dist_prior_low_120__pct,center__dist_prior_high_60__pct,spread__dist_prior_high_60__pct,center__dist_sma_50__pct,spread__dist_sma_50__pct,center__turnover__pct,spread__turnover__pct,center__dry_count_10__pct,spread__dry_count_10__pct,center__dist_prior_high_120__pct,spread__dist_prior_high_120__pct,center__rs_sector_60d__pct,spread__rs_sector_60d__pct,center__ret_60d__pct,spread__ret_60d__pct,center__rs_market_60d__pct,spread__rs_market_60d__pct,center__dry_count_7__pct,spread__dry_count_7__pct,center__dist_sma_100__pct,spread__dist_sma_100__pct,center__dist_prior_low_60__pct,spread__dist_prior_low_60__pct,center__dist_sma_20__pct,spread__dist_sma_20__pct,center__mtd_ret__pct,spread__mtd_ret__pct,center__qtd_ret__pct,spread__qtd_ret__pct,center__range_vs_10d__pct,spread__range_vs_10d__pct,center__prev_day_ret__pct,spread__prev_day_ret__pct,center__body_pct__pct,spread__body_pct__pct,asof_entry_date,center__range_vs_5d__pct,spread__range_vs_5d__pct,center__close_loc__pct,spread__close_loc__pct,center__range_vs_60d__pct,spread__range_vs_60d__pct,center__volume__pct,spread__volume__pct,center__wtd_close_loc__pct,spread__wtd_close_loc__pct,center__range_vs_20d__pct,spread__range_vs_20d__pct,center__compress_count_5__pct,spread__compress_count_5__pct,center__true_range__pct,spread__true_range__pct,center__lower_wick_proxy__pct,spread__lower_wick_proxy__pct,center__dist_prior_high_10__pct,spread__dist_prior_high_10__pct,center__green_count_5__pct,spread__green_count_5__pct,center__red_count_7__pct,spread__red_count_7__pct,center__green_count_7__pct,spread__green_count_7__pct,center__ret_10d__pct,spread__ret_10d__pct,center__red_count_5__pct,spread__red_count_5__pct,center__qtd_low__pct,spread__qtd_low__pct,center__compress_count_10__pct,spread__compress_count_10__pct,center__gap_pct__pct,spread__gap_pct__pct,center__qtd_open__pct,spread__qtd_open__pct,center__qtd_high__pct,spread__qtd_high__pct,center__mtd_low__pct,spread__mtd_low__pct,center__mtd_open__pct,spread__mtd_open__pct,center__wtd_open__pct,spread__wtd_open__pct,center__wtd_low__pct,spread__wtd_low__pct,center__close__pct,spread__close__pct,center__wtd_high__pct,spread__wtd_high__pct,center__open__pct,spread__open__pct,center__low__pct,spread__low__pct,center__high__pct,spread__high__pct,center__mtd_high__pct,spread__mtd_high__pct
BASELINE,11,"lane_continuation,lane_recovery,lane_dryup_compression,vol_vs_20d__pct,vol_vs_60d__pct,wtd_range_pct__pct,wtd_ret__pct,vol_vs_10d__pct,ret_3d__pct,dry_count_3__pct,ret_2d__pct,dist_prior_low_10__pct,red_count_10__pct,atr_5_vs_20__pct,vol_vs_5d__pct,range_pct__pct,atr_20_pct__pct,green_count_10__pct,compress_count_7__pct,qtd_range_pct__pct,mtd_range_pct__pct,slope_sma_200__pct,ret_120d__pct,dist_sma_200__pct,rs_sector_5d__pct,green_count_3__pct,red_count_3__pct,qtd_close_loc__pct,mtd_close_loc__pct,dry_count_5__pct,rs_market_5d__pct,ret_5d__pct,lane_pullback_reversal,slope_sma_50__pct,compress_count_3__pct",3.772294372294372,1.4734848484848486,2.3694021090984214,0.7123367232911706,1.53769332619658,0.4163286099294774,0.9372294372294372,0.12878787878787878,0.9239130434782609,0.17826086956521725,0.9134199134199135,0.14826839826839833,0.9069264069264069,0.6569264069264069,0.8961038961038961,0.14069264069264065,0.8917748917748918,0.2987012987012987,0.1331168831168831,0.08,0.8376623376623377,0.38961038961038963,0.8354978354978355,0.275974025974026,0.8333333333333334,0.6715367965367965,0.8333333333333334,0.2911255411255411,0.8311688311688312,0.3582251082251082,0.8311688311688312,0.3257575757575758,0.8311688311688312,0.3073593073593074,0.1774891774891775,0.6672077922077922,0.18831168831168832,0.362012987012987,0.7943722943722944,0.33333333333333326,0.7943722943722944,0.3874458874458875,0.7916666666666666,0.20723684210526327,0.7866666666666666,0.26195121951219513,0.7807017543859649,0.24542928711274903,0.7748917748917749,0.316017316017316,0.7694805194805194,0.39123376623376627,0.23484848484848486,0.3939393939393939,0.7662337662337663,0.5032467532467533,0.7662337662337663,0.5800865800865802,0.24025974025974026,0.2732683982683983,0.7597402597402597,0.3344155844155843,0.7597402597402597,0.3344155844155843,2.687217081488562,0.37315009126640986,0.7462039045553145,0.3316467037630859,0.25757575757575757,0.23809523809523814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYUP,19,"lane_continuation,lane_fresh_breakout,atr_20_pct__pct,lane_recovery,slope_sma_200__pct,dist_prior_low_252__pct,dist_prior_high_20__pct,slope_sma_100__pct,dry_count_5__pct,slope_sma_20__pct,rs_sector_20d__pct,vol_vs_20d__pct,mtd_range_pct__pct,dist_prior_low_10__pct,vol_vs_10d__pct,qtd_range_pct__pct,ret_20d__pct,rs_market_20d__pct,dist_prior_low_20__pct,dry_count_3__pct,dist_prior_high_252__pct,ret_40d__pct,dist_prior_low_120__pct,rs_sector_5d__pct,range_pct__pct,dist_prior_high_60__pct,rs_market_5d__pct,ret_5d__pct,wtd_range_pct__pct,dist_sma_50__pct,turnover__pct,vol_vs_60d__pct,dry_count_10__pct,lane_dryup_compression,dist_prior_high_120__pct",1.9103896103896103,1.347402597402597,2.2616756345606674,0.7674987945501006,2.191316581968756,0.7741261804937181,0.23376623376623376,0.41991341991341985,0.3,0.30978260869565216,0.7164502164502164,0.33225108225108224,,,0.24242424242424243,0.31601731601731603,,,0.7467532467532467,0.22619047619047616,,,0.7640692640692641,0.48484848484848486,,,,,,,0.7229437229437229,0.4231601731601732,0.8896103896103896,0.26082251082251084,,,,,0.7554112554112554,0.30519480519480524,0.7683982683982684,0.30519480519480524,0.8574561403508771,0.4989035087719298,,,,,0.27056277056277056,0.48917748917748916,,,,,,,,,0.8041125541125541,0.2683982683982685,0.28354978354978355,0.5108225108225108,0.28354978354978355,0.5108225108225108,,,,,,,0.6541125541125541,0.4351731601731602,0.8552631578947368,0.42214912280701755,0.16233766233766234,0.2077922077922078,0.808695652173913,0.6167172963736473,0.21212121212121213,0.7173446582340292,0.22608695652173913,0.5650759219088937,0.25,0.5813449023861171,0.25,0.5813449023861171,0.7510822510822511,0.48917748917748927,0.25877192982456143,0.3048245614035088,0.2679738562091503,0.7075139614312489,0.7336244541484717,0.32555534459844315,0.279826464208243,0.22550221635386214,0.2922077922077922,0.6282267985087941,0.29653679653679654,0.2900432900432901,0.6926406926406926,0.36796536796536794,0.314410480349345,0.3238195812046313,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD,16,"lane_pullback_reversal,lane_dryup_compression,slope_sma_20__pct,lane_continuation,dist_prior_high_60__pct,rs_sector_60d__pct,slope_sma_50__pct,ret_40d__pct,dist_sma_50__pct,dist_prior_high_120__pct,ret_60d__pct,rs_market_60d__pct,rs_market_20d__pct,ret_20d__pct,dist_prior_high_252__pct,dry_count_3__pct,rs_sector_20d__pct,ret_3d__pct,dry_count_7__pct,wtd_range_pct__pct,dist_sma_100__pct,lane_recovery,dry_count_5__pct,green_count_3__pct,red_count_3__pct,ret_2d__pct,dist_prior_low_10__pct,lane_fresh_breakout,dist_prior_low_252__pct,dry_count_10__pct,atr_5_vs_20__pct,dist_prior_high_20__pct,mtd_close_loc__pct,qtd_close_loc__pct,ret_5d__pct",3.033225108225108,1.7506493506493506,2.1574778517719193,0.8880302295397087,1.5453533631950118,0.5979207015044747,,,,,0.7640692640692641,0.3712121212121212,,,,,0.7857142857142857,0.3847402597402598,0.1829004329004329,0.19399350649350652,0.725108225108225,0.19426406926406925,0.7186147186147186,0.11850649350649356,,,0.6742424242424242,0.3122294372294373,,,,,,,,,,,,,,,,,,,,,,,0.7478354978354977,0.2778679653679653,0.25703463203463206,0.2792207792207792,0.6645021645021645,0.3522727272727273,0.6645021645021645,0.33225108225108224,0.24675324675324675,0.23079004329004332,,,0.6601731601731602,0.39989177489177485,1.8150773700090175,0.8149025337053375,0.14099783080260303,0.2885032537960954,,,1.0345238095238096,0.4182359307359309,0.7028508771929824,0.23903508771929827,0.33225108225108224,0.2391774891774892,,,0.10184428731066475,0.10281385281385283,0.18329718004338397,0.1278399981137414,0.16377440347071584,0.10176011506177499,0.16377440347071584,0.10176011506177499,,,0.16885964912280702,0.3163377192982456,0.14192139737991266,0.3020553272255045,,,0.12689804772234273,0.33405639913232105,0.1442516268980477,0.2284301020743537,,,0.303030303030303,0.37851731601731603,0.1469664677465189,0.29973670690983817,0.13973799126637554,0.2930816603441851,0.1517467248908297,0.31168122270742354,0.1517467248908297,0.31168122270742354,0.23809523809523808,0.3693181818181819,0.24130434782608695,0.296195652173913,,,,,,,,,,,,,,,2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULLBACK,6,"lane_continuation,lane_fresh_breakout,lane_dryup_compression,dist_prior_low_10__pct,ret_3d__pct,dist_sma_50__pct,dist_prior_low_60__pct,dist_sma_20__pct,ret_60d__pct,rs_market_60d__pct,ret_2d__pct,dist_prior_high_20__pct,qtd_range_pct__pct,mtd_range_pct__pct,mtd_ret__pct,qtd_ret__pct,rs_sector_60d__pct,ret_20d__pct,rs_market_20d__pct,ret_5d__pct,rs_market_5d__pct,rs_sector_5d__pct,vol_vs_10d__pct,rs_sector_20d__pct,range_vs_10d__pct,dist_sma_100__pct,dist_prior_low_20__pct,ret_40d__pct,dist_prior_high_60__pct,wtd_ret__pct,slope_sma_50__pct,prev_day_ret__pct,body_pct__pct,dry_count_3__pct,wtd_range_pct__pct",1.499891774891775,0.9028679653679654,,,1.5396669671615444,0.7482938699044985,,,,,0.8106060606060606,0.08603896103896091,0.1764069264069264,0.20941558441558444,0.8560606060606061,0.3133116883116882,0.08333333333333334,0.09145021645021646,0.1829004329004329,0.24107142857142855,0.10714285714285714,0.1038961038961039,0.08008658008658008,0.08,,,,,,,,,,,,,,,0.8863636363636364,0.08,0.8863636363636364,0.08,,,,,,,0.12878787878787878,0.2137445887445887,,,,,,,,,,,0.12878787878787878,0.20941558441558442,0.12878787878787878,0.20941558441558442,,,0.17895878524945769,0.12201735357917565,,,0.7174242424242425,0.17683982683982669,,,0.11147186147186147,0.08,,,,,0.14967462039045554,0.1214750542299349,0.12364425162689804,0.1073752711496746,0.12364425162689804,0.1073752711496746,0.15476190476190477,0.12716450216450215,,,0.1703056768558952,0.27729257641921395,,,0.175704989154013,0.14316702819956617,0.09219088937093275,0.19577006507592193,,,,,,,0.11790393013100436,0.08,0.10698689956331878,0.08,0.10698689956331878,0.08,,,0.15434782608695652,0.09184782608695652,0.09978308026030369,0.1767895878524946,0.10281385281385282,0.08,0.11688311688311688,0.2121212121212121,0.11688311688311688,0.2121212121212121,0.8484848484848485,0.17099567099567092,0.18181818181818182,0.125,0.18181818181818182,0.216991341991342,2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASELINE,11,"lane_continuation,lane_recovery,lane_dryup_compression,vol_vs_20d__pct,vol_vs_60d__pct,wtd_range_pct__pct,wtd_ret__pct,vol_vs_10d__pct,ret_3d__pct,dry_count_3__pct,ret_2d__pct,dist_prior_low_10__pct,red_count_10__pct,atr_5_vs_20__pct,vol_vs_5d__pct,range_pct__pct,atr_20_pct__pct,green_count_10__pct,compress_count_7__pct,qtd_range_pct__pct,mtd_range_pct__pct,slope_sma_200__pct,ret_120d__pct,dist_sma_200__pct,rs_sector_5d__pct,green_count_3__pct,red_count_3__pct,qtd_close_loc__pct,mtd_close_loc__pct,dry_count_5__pct,rs_market_5d__pct,ret_5d__pct,lane_pullback_reversal,slope_sma_50__pct,compress_count_3__pct",3.772294372294372,1.4734848484848486,2.3694021090984214,0.7123367232911706,1.53769332619658,0.4163286099294774,0.9372294372294372,0.12878787878787878,0.9239130434782609,0.17826086956521725,0.9134199134199135,0.14826839826839833,0.9069264069264069,0.6569264069264069,0.8961038961038961,0.14069264069264065,0.8917748917748918,0.2987012987012987,0.1331168831168831,0.08,0.8376623376623377,0.38961038961038963,0.8354978354978355,0.275974025974026,0.8333333333333334,0.6715367965367965,0.8333333333333334,0.2911255411255411,0.8311688311688312,0.3582251082251082,0.8311688311688312,0.3257575757575758,0.8311688311688312,0.3073593073593074,0.1774891774891775,0.6672077922077922,0.18831168831168832,0.362012987012987,0.7943722943722944,0.33333333333333326,0.7943722943722944,0.3874458874458875,0.7916666666666666,0.20723684210526327,0.7866666666666666,0.26195121951219513,0.7807017543859649,0.24542928711274903,0.7748917748917749,0.316017316017316,0.7694805194805194,0.39123376623376627,0.23484848484848486,0.3939393939393939,0.7662337662337663,0.5032467532467533,0.7662337662337663,0.5800865800865802,0.24025974025974026,0.2732683982683983,0.7597402597402597,0.3344155844155843,0.7597402597402597,0.3344155844155843,2.687217081488562,0.37315009126640986,0.7462039045553145,0.3316467037630859,0.25757575757575757,0.23809523809523814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYUP,19,"lane_continuation,lane_fresh_breakout,atr_20_pct__pct,lane_recovery,slope_sma_200__pct,dist_prior_low_252__pct,dist_prior_high_20__pct,slope_sma_100__pct,dry_count_5__pct,slope_sma_20__pct,rs_sector_20d__pct,vol_vs_20d__pct,mtd_range_pct__pct,dist_prior_low_10__pct,vol_vs_10d__pct,qtd_range_pct__pct,ret_20d__pct,rs_market_20d__pct,dist_prior_low_20__pct,dry_count_3__pct,dist_prior_high_252__pct,ret_40d__pct,dist_prior_low_120__pct,rs_sector_5d__pct,range_pct__pct,dist_prior_high_60__pct,rs_market_5d__pct,ret_5d__pct,wtd_range_pct__pct,dist_sma_50__pct,turnover__pct,vol_vs_60d__pct,dry_count_10__pct,lane_dryup_compression,dist_prior_high_120__pct",1.9103896103896103,1.347402597402597,2.2616756345606674,0.7674987945501006,2.191316581968756,0.7741261804937181,0.23376623376623376,0.41991341991341985,0.3,0.30978260869565216,0.7164502164502164,0.33225108225108224,,,0.24242424242424243,0.31601731601731603,,,0.7467532467532467,0.22619047619047616,,,0.7640692640692641,0.48484848484848486,,,,,,,0.7229437229437229,0.4231601731601732,0.8896103896103896,0.26082251082251084,,,,,0.7554112554112554,0.30519480519480524,0.7683982683982684,0.30519480519480524,0.8574561403508771,0.4989035087719298,,,,,0.27056277056277056,0.48917748917748916,,,,,,,,,0.8041125541125541,0.2683982683982685,0.28354978354978355,0.5108225108225108,0.28354978354978355,0.5108225108225108,,,,,,,0.6541125541125541,0.4351731601731602,0.8552631578947368,0.42214912280701755,0.16233766233766234,0.2077922077922078,0.808695652173913,0.6167172963736473,0.21212121212121213,0.7173446582340292,0.22608695652173913,0.5650759219088937,0.25,0.5813449023861171,0.25,0.5813449023861171,0.7510822510822511,0.48917748917748927,0.25877192982456143,0.3048245614035088,0.2679738562091503,0.7075139614312489,0.7336244541484717,0.32555534459844315,0.279826464208243,0.22550221635386214,0.2922077922077922,0.6282267985087941,0.29653679653679654,0.2900432900432901,0.6926406926406926,0.36796536796536794,0.314410480349345,0.3238195812046313,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD,17,"lane_pullback_reversal,lane_dryup_compression,rs_sector_60d__pct,rs_market_60d__pct,ret_60d__pct,slope_sma_20__pct,dist_prior_high_60__pct,dist_prior_high_120__pct,ret_20d__pct,rs_market_20d__pct,slope_sma_50__pct,lane_continuation,ret_40d__pct,dist_sma_50__pct,rs_sector_20d__pct,dry_count_3__pct,dist_prior_high_252__pct,ret_3d__pct,wtd_range_pct__pct,lane_recovery,dist_sma_100__pct,dist_prior_low_10__pct,ret_2d__pct,dry_count_7__pct,green_count_3__pct,red_count_3__pct,dry_count_5__pct,lane_fresh_breakout,dist_prior_low_252__pct,dist_prior_high_20__pct,compress_count_3__pct,dry_count_10__pct,atr_5_vs_20__pct,qtd_range_pct__pct,range_vs_5d__pct",2.9915584415584413,1.6218614718614721,2.172973772431473,0.877073179893137,1.5736503554290975,0.5708083312204786,,,,,0.7943722943722944,0.3203463203463204,,,,,0.803030303030303,0.3484848484848485,0.1829004329004329,0.30952380952380953,0.7294372294372294,0.19913419913419916,0.7316017316017316,0.09523809523809523,,,0.6796536796536796,0.3203463203463204,,,,,,,,,,,0.6666666666666666,0.2857142857142857,,,,,,,,,,,0.7261904761904762,0.25649350649350644,0.2792207792207792,0.25757575757575757,,,,,0.2824675324675325,0.329004329004329,,,,,1.8280680698462932,0.7801271752041701,0.1648590021691974,0.27331887201735355,0.683982683982684,0.46969696969696967,1.0443722943722944,0.3880952380952384,0.6951754385964912,0.23464912280701755,0.30952380952380953,0.22943722943722944,,,0.10412147505422993,0.08,0.1822125813449024,0.12634631708007166,0.1561822125813449,0.09374233707441292,0.1561822125813449,0.09374233707441292,,,0.18640350877192982,0.28728070175438597,0.16812227074235808,0.29777872501657665,,,0.13232104121475055,0.3275488069414317,0.16919739696312364,0.20549154388633784,,,0.31926406926406925,0.49242424242424243,0.14130434782608695,0.2729923604570406,0.08296943231441048,0.28669985571364415,0.0851528384279476,0.3056768558951965,0.0851528384279476,0.3056768558951965,0.275974025974026,0.36038961038961037,0.25217391304347825,0.28695652173913044,,,,,,,,,,,,,,,2024-10-15,0.341991341991342,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULLBACK,6,"lane_continuation,lane_fresh_breakout,lane_dryup_compression,dist_prior_low_10__pct,ret_3d__pct,dist_sma_50__pct,dist_prior_low_60__pct,dist_sma_20__pct,ret_60d__pct,rs_market_60d__pct,ret_2d__pct,dist_prior_high_20__pct,qtd_range_pct__pct,mtd_range_pct__pct,mtd_ret__pct,qtd_ret__pct,rs_sector_60d__pct,ret_20d__pct,rs_market_20d__pct,ret_5d__pct,rs_market_5d__pct,rs_sector_5d__pct,vol_vs_10d__pct,rs_sector_20d__pct,range_vs_10d__pct,dist_sma_100__pct,dist_prior_low_20__pct,ret_40d__pct,dist_prior_high_60__pct,wtd_ret__pct,slope_sma_50__pct,prev_day_ret__pct,body_pct__pct,dry_count_3__pct,wtd_range_pct__pct",1.499891774891775,0.9028679653679654,,,1.5396669671615444,0.7482938699044985,,,,,0.8106060606060606,0.08603896103896091,0.1764069264069264,0.20941558441558444,0.8560606060606061,0.3133116883116882,0.08333333333333334,0.09145021645021646,0.1829004329004329,0.24107142857142855,0.10714285714285714,0.1038961038961039,0.08008658008658008,0.08,,,,,,,,,,,,,,,0.8863636363636364,0.08,0.8863636363636364,0.08,,,,,,,0.12878787878787878,0.2137445887445887,,,,,,,,,,,0.12878787878787878,0.20941558441558442,0.12878787878787878,0.20941558441558442,,,0.17895878524945769,0.12201735357917565,,,0.7174242424242425,0.17683982683982669,,,0.11147186147186147,0.08,,,,,0.14967462039045554,0.1214750542299349,0.12364425162689804,0.1073752711496746,0.12364425162689804,0.1073752711496746,0.15476190476190477,0.12716450216450215,,,0.1703056768558952,0.27729257641921395,,,0.175704989154013,0.14316702819956617,0.09219088937093275,0.19577006507592193,,,,,,,0.11790393013100436,0.08,0.10698689956331878,0.08,0.10698689956331878,0.08,,,0.15434782608695652,0.09184782608695652,0.09978308026030369,0.1767895878524946,0.10281385281385282,0.08,0.11688311688311688,0.2121212121212121,0.11688311688311688,0.2121212121212121,0.8484848484848485,0.17099567099567092,0.18181818181818182,0.125,0.18181818181818182,0.216991341991342,2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASELINE,11,"lane_continuation,lane_recovery,lane_dryup_compression,vol_vs_20d__pct,vol_vs_60d__pct,wtd_range_pct__pct,wtd_ret__pct,vol_vs_10d__pct,ret_3d__pct,dry_count_3__pct,ret_2d__pct,dist_prior_low_10__pct,red_count_10__pct,atr_5_vs_20__pct,vol_vs_5d__pct,range_pct__pct,atr_20_pct__pct,green_count_10__pct,compress_count_7__pct,qtd_range_pct__pct,mtd_range_pct__pct,slope_sma_200__pct,ret_120d__pct,dist_sma_200__pct,rs_sector_5d__pct,green_count_3__pct,red_count_3__pct,qtd_close_loc__pct,mtd_close_loc__pct,dry_count_5__pct,rs_market_5d__pct,ret_5d__pct,lane_pullback_reversal,slope_sma_50__pct,compress_count_3__pct",3.772294372294372,1.4734848484848486,2.3694021090984214,0.7123367232911706,1.53769332619658,0.4163286099294774,0.9372294372294372,0.12878787878787878,0.9239130434782609,0.17826086956521725,0.9134199134199135,0.14826839826839833,0.9069264069264069,0.6569264069264069,0.8961038961038961,0.14069264069264065,0.8917748917748918,0.2987012987012987,0.1331168831168831,0.08,0.8376623376623377,0.38961038961038963,0.8354978354978355,0.275974025974026,0.8333333333333334,0.6715367965367965,0.8333333333333334,0.2911255411255411,0.8311688311688312,0.3582251082251082,0.8311688311688312,0.3257575757575758,0.8311688311688312,0.3073593073593074,0.1774891774891775,0.6672077922077922,0.18831168831168832,0.362012987012987,0.7943722943722944,0.33333333333333326,0.7943722943722944,0.3874458874458875,0.7916666666666666,0.20723684210526327,0.7866666666666666,0.26195121951219513,0.7807017543859649,0.24542928711274903,0.7748917748917749,0.316017316017316,0.7694805194805194,0.39123376623376627,0.23484848484848486,0.3939393939393939,0.7662337662337663,0.5032467532467533,0.7662337662337663,0.5800865800865802,0.24025974025974026,0.2732683982683983,0.7597402597402597,0.3344155844155843,0.7597402597402597,0.3344155844155843,2.687217081488562,0.37315009126640986,0.7462039045553145,0.3316467037630859,0.25757575757575757,0.23809523809523814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYUP,22,"lane_continuation,lane_fresh_breakout,dist_prior_low_252__pct,atr_20_pct__pct,dist_prior_high_20__pct,slope_sma_200__pct,lane_recovery,mtd_range_pct__pct,slope_sma_100__pct,qtd_range_pct__pct,rs_sector_20d__pct,slope_sma_20__pct,vol_vs_10d__pct,dry_count_3__pct,dry_count_5__pct,dist_prior_high_252__pct,dist_prior_low_20__pct,rs_market_20d__pct,ret_20d__pct,dist_prior_low_120__pct,vol_vs_20d__pct,dist_prior_low_10__pct,vol_vs_60d__pct,rs_market_5d__pct,ret_5d__pct,rs_sector_5d__pct,range_pct__pct,dist_prior_high_60__pct,ret_3d__pct,turnover__pct,dist_sma_200__pct,lane_dryup_compression,wtd_range_pct__pct,ret_120d__pct,dist_prior_high_120__pct",1.9827922077922078,1.4360389610389608,2.2293444985961255,0.681810904207867,2.1971910496212583,0.6886849592923348,0.27164502164502163,0.4220779220779221,0.283695652173913,0.3125,0.6926406926406926,0.2819264069264069,,,0.25216450216450215,0.275974025974026,0.2954545454545454,0.6282467532467533,0.7467532467532467,0.23024891774891765,,,0.7272727272727273,0.48484848484848486,,,,,,,0.7099567099567099,0.4226190476190476,0.8506493506493507,0.1780303030303031,,,,,0.7619047619047619,0.29329004329004327,0.8214285714285714,0.31114718614718606,0.8313538907443664,0.48435520557411027,0.6814683419561468,0.33037940379403785,0.6998733156743061,0.39329320845782584,0.2911255411255411,0.5124458874458874,,,,,,,,,0.7456709956709957,0.4007034632034632,0.28787878787878785,0.5281385281385281,0.28787878787878785,0.5281385281385281,,,,,,,0.6937229437229437,0.4821428571428572,0.8508771929824561,0.3075657894736843,0.16774891774891776,0.36038961038961037,0.7641304347826087,0.5872048978864166,0.24891774891774893,0.7426836540177104,0.2453645194756201,0.6003253796095445,0.26274403470715835,0.616052060737527,0.26274403470715835,0.616052060737527,0.7413419913419914,0.49999999999999994,0.2576754385964912,0.31359649122807015,,,0.7385513575090185,0.27883994683880775,0.2928416485900217,0.2563661227954353,,,0.2976190476190476,0.36796536796536805,,,0.32096069868995636,0.32979023107249356,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
