tag,days,avg_manual_n,avg_hit_n,avg_profitable_hit_n,coverage_pct,profitable_coverage_pct,days_ge_70pct_profitable
2024-10,14,9.357142857142858,2.5714285714285716,0.9285714285714286,27.480916030534353,22.413793103448278,3
2024-11,19,8.631578947368421,1.894736842105263,0.9473684210526315,21.951219512195124,18.556701030927837,1
2024-12,21,8.571428571428571,2.5238095238095237,1.2857142857142858,29.444444444444446,24.107142857142858,1
2025-01,22,9.681818181818182,3.0454545454545454,1.8636363636363635,31.455399061032864,33.33333333333333,3
2025-02,20,9.7,1.9,0.95,19.587628865979383,23.170731707317074,2
2025-03,18,8.277777777777779,1.8888888888888888,1.0,22.818791946308725,18.181818181818183,1
2025-04,19,7.947368421052632,1.894736842105263,1.263157894736842,23.841059602649008,28.57142857142857,2
2025-05,21,8.285714285714286,2.0,1.2380952380952381,24.137931034482758,22.608695652173914,2
