n,mean_pct,win,per_session,shuffle_pct,target,side
88,1.049490310648557,0.5795454545454546,0.09309994691237199,-0.1462191129693163,y_d1,long
87,0.42015120061192834,0.5402298850574713,0.03684793795689291,-0.7047655077021927,y_d3,short
88,0.2005847355566313,0.6022727272727273,0.017793807186475358,0.4680446493572534,y_d1,short
88,0.15469192051855832,0.5454545454545454,0.013722670368581788,0.10164286550404986,y_60,short
88,0.13876366706890347,0.5681818181818182,0.01230968014320918,0.14696664704634865,y_close,short
88,0.06355143705258548,0.5454545454545454,0.005637627480471292,0.1731870841848008,y_30,short
87,0.06265534482825089,0.5747126436781609,0.005494974798445391,0.293570562215513,y_d3,long
88,-0.20358114387332193,0.38636363636363635,-0.018059617601665655,-0.30013214983539777,y_close,long
88,-0.22303835209530293,0.36363636363636365,-0.019785660266518807,-0.22058903596230492,y_60,long
88,-0.49498149522698603,0.32954545454545453,-0.04390964877013585,-0.2781899883272074,y_30,long
