n,mean_pct,win,per_session,shuffle_pct,target,side
440,0.26518018028511875,0.6477272727272727,0.11762024125549624,0.13384255328046551,y_close,short
440,0.1446896523131796,0.6227272727272727,0.06417686191310386,0.1491355986220405,y_30,short
440,0.13249624428603946,0.5818181818181818,0.058768495449452986,0.30950017588878226,y_d1,short
440,0.08228093311434494,0.4909090909090909,0.03649557517168525,-0.047041615692657225,y_d1,long
440,0.07258535145016753,0.6022727272727273,0.03219511556257431,0.13619432882903254,y_60,short
440,-0.07437444547684967,0.3386363636363636,-0.03298866533247364,-0.2168495902991357,y_close,long
439,-0.08675101041084744,0.5056947608200456,-0.03839082013141333,0.18179786966772796,y_d3,long
440,-0.21521516705906318,0.27954545454545454,-0.09545834022781027,-0.17740539096858032,y_60,long
440,-0.2443387951313863,0.3159090909090909,-0.10837607848569553,-0.1597704471388631,y_30,long
439,-0.25681150658621466,0.5193621867881549,-0.11364944696708494,-0.36031557637308625,y_d3,short
