n,mean_pct,win,per_session,shuffle_pct,target,side
439,0.708314789235529,0.5398633257403189,0.3134578553169327,0.32600798722713753,y_d3,long
440,0.45297232313753816,0.7386363636363636,0.20091514332713387,0.12557883813880097,y_60,short
440,0.34370613195706445,0.740909090909091,0.152450300464827,0.16805928689187621,y_30,short
440,0.3102326228413606,0.6522727272727272,0.13760317948608736,0.2229079531500728,y_close,short
439,0.16839286246178806,0.5558086560364465,0.0745206316741179,0.08564914701373808,y_d3,short
440,0.035172813531595404,0.5477272727272727,0.015600844711594737,-0.055521947279234846,y_d1,short
440,-0.15396688644725123,0.4068181818181818,-0.06829176414999047,0.10759843984632733,y_d1,long
440,-0.17235520318592223,0.325,-0.07644787238085261,-0.16869331972152138,y_30,long
440,-0.21378137848332557,0.3159090909090909,-0.09482238561760409,-0.21053786616268286,y_60,long
440,-0.3203631281652334,0.34545454545454546,-0.1420965487829664,-0.4175362456596887,y_close,long
