n,mean_pct,win,per_session,shuffle_pct,target,side
176,0.47214055991830145,0.5227272727272727,0.0837668735338922,-0.03752160467143507,y_d1,long
176,0.2692939596934532,0.625,0.04777796059077395,0.500677933109322,y_d1,short
175,0.22657168657887286,0.56,0.03996980357994229,-0.7936834176889803,y_d3,short
176,0.11838089780585069,0.5795454545454546,0.021003062513941254,0.18436676107823896,y_30,short
176,0.09898903834626258,0.5397727272727273,0.017562571319498198,0.1271493508214899,y_60,short
176,0.09039659524200619,0.35795454545454547,0.016038105607452714,-0.2983415703978808,y_close,long
176,0.05349672666307115,0.6079545454545454,0.00949135473054488,0.19879259913543318,y_close,short
175,-0.12585332600269508,0.5142857142857142,-0.022201947631523833,0.324130423262604,y_d3,long
176,-0.1829296181259415,0.32386363636363635,-0.032455254828796076,-0.20439428285348643,y_60,long
176,-0.305314921734825,0.35795454545454547,-0.05416877643682379,-0.22246046554054844,y_30,long
