n,mean_pct,win,per_session,shuffle_pct,target,side
303,0.6467152208322026,0.5445544554455446,0.19753499184693282,0.32545391621579295,y_d3,long
304,0.4647598763486185,0.7203947368421053,0.14242641371973794,0.1330246303755621,y_60,short
304,0.39985920306369394,0.75,0.12253749771306752,0.17444555013953153,y_30,short
304,0.21978640231360402,0.618421052631579,0.06735389748320122,0.21623438276582432,y_close,short
303,0.18544629894983292,0.5412541254125413,0.05664337558649131,0.045763657783528214,y_d3,short
304,-0.13065854298048832,0.5230263157894737,-0.0400405212359561,-0.12867746686986467,y_d1,short
304,-0.14641682726466404,0.35526315789473684,-0.044869672871429296,-0.20463975000045792,y_60,long
304,-0.16425346742150712,0.3355263157894737,-0.05033574001626831,-0.1665152133276201,y_30,long
304,-0.2214333538840991,0.3980263157894737,-0.06785860844835295,0.11887719160484918,y_d1,long
304,-0.2698442308086576,0.35855263157894735,-0.08269419976394345,-0.3408513864167827,y_close,long
