rule_text,rule_json,lift_tr,lift_te,prec_te,n_te
atrp>3.536 & dh10<=-12.317 & v_ratio<=1.228 & rng_contract>1.087,"[[""atrp"", "">"", 3.536], [""dh10"", ""<="", -12.317], [""v_ratio"", ""<="", 1.228], [""rng_contract"", "">"", 1.087]]",2.4,2.15,0.226,446
base_tight20>18.272 & rng_contract>1.101 & dh10<=-11.328 & downstreak>0.5,"[[""base_tight20"", "">"", 18.272], [""rng_contract"", "">"", 1.101], [""dh10"", ""<="", -11.328], [""downstreak"", "">"", 0.5]]",3.07,2.1,0.222,645
atrp>3.536 & rng_contract<=1.153 & base_tight20>29.481 & dh10<=-15.085,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""base_tight20"", "">"", 29.481], [""dh10"", ""<="", -15.085]]",2.44,2.09,0.221,281
atrp>3.536 & atr5v20>0.978 & dh10<=-14.718 & rng_contract>1.255,"[[""atrp"", "">"", 3.536], [""atr5v20"", "">"", 0.978], [""dh10"", ""<="", -14.718], [""rng_contract"", "">"", 1.255]]",3.54,2.09,0.22,245
base_tight20>18.272 & dh10<=-12.317 & rng_contract<=1.087 & base_tight20>29.506,"[[""base_tight20"", "">"", 18.272], [""dh10"", ""<="", -12.317], [""rng_contract"", ""<="", 1.087], [""base_tight20"", "">"", 29.506]]",2.12,2.09,0.22,409
base_tight20<=18.272 & dh10<=-9.336 & days_since_hi20<=2.5 & updays5>0.5,"[[""base_tight20"", ""<="", 18.272], [""dh10"", ""<="", -9.336], [""days_since_hi20"", ""<="", 2.5], [""updays5"", "">"", 0.5]]",2.47,2.06,0.217,23
atrp>3.536 & rng_contract<=1.153 & atrp>4.158 & dh10<=-15.085,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""atrp"", "">"", 4.158], [""dh10"", ""<="", -15.085]]",2.19,2.05,0.216,399
atrp>3.536 & rng_contract<=1.153 & dh10<=-15.086 & atrp<=4.419,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""dh10"", ""<="", -15.086], [""atrp"", ""<="", 4.419]]",1.15,2.04,0.215,65
dh10<=-10.568 & dh40<=-22.406 & rng_contract<=1.121 & slope20>-5.025,"[[""dh10"", ""<="", -10.568], [""dh40"", ""<="", -22.406], [""rng_contract"", ""<="", 1.121], [""slope20"", "">"", -5.025]]",1.53,2.03,0.214,365
atrp>3.536 & dh10<=-12.317 & v_ratio>1.228 & rng_contract<=1.38,"[[""atrp"", "">"", 3.536], [""dh10"", ""<="", -12.317], [""v_ratio"", "">"", 1.228], [""rng_contract"", ""<="", 1.38]]",2.39,2.01,0.211,279
atrp>3.536 & rng_contract<=1.153 & dh10<=-15.086 & atrp>4.419,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""dh10"", ""<="", -15.086], [""atrp"", "">"", 4.419]]",2.31,2.0,0.211,365
atrp<=3.536 & rng_contract<=1.369 & dh20<=-13.511 & run20<=-19.917,"[[""atrp"", ""<="", 3.536], [""rng_contract"", ""<="", 1.369], [""dh20"", ""<="", -13.511], [""run20"", ""<="", -19.917]]",2.36,2.0,0.211,19
atrp>3.536 & dh10<=-12.317 & v_ratio<=1.228 & rng_contract<=1.087,"[[""atrp"", "">"", 3.536], [""dh10"", ""<="", -12.317], [""v_ratio"", ""<="", 1.228], [""rng_contract"", ""<="", 1.087]]",1.58,1.98,0.208,730
base_tight20>18.272 & dh10<=-12.317 & rng_contract<=1.087 & dh10>-15.086,"[[""base_tight20"", "">"", 18.272], [""dh10"", ""<="", -12.317], [""rng_contract"", ""<="", 1.087], [""dh10"", "">"", -15.086]]",1.32,1.96,0.206,461
atrp<=3.536 & rng_contract>1.369 & dh20<=-15.751 & downstreak>0.5,"[[""atrp"", ""<="", 3.536], [""rng_contract"", "">"", 1.369], [""dh20"", ""<="", -15.751], [""downstreak"", "">"", 0.5]]",3.61,1.9,0.2,20
base_tight20>18.272 & dh10<=-12.317 & rng_contract<=1.087 & dh10<=-15.086,"[[""base_tight20"", "">"", 18.272], [""dh10"", ""<="", -12.317], [""rng_contract"", ""<="", 1.087], [""dh10"", ""<="", -15.086]]",1.94,1.87,0.197,366
atrp>3.536 & atr5v20<=0.978 & d_sma200<=34.311 & dh10<=-11.709,"[[""atrp"", "">"", 3.536], [""atr5v20"", ""<="", 0.978], [""d_sma200"", ""<="", 34.311], [""dh10"", ""<="", -11.709]]",1.44,1.86,0.196,592
base_tight20<=18.272 & dh10<=-9.336 & days_since_hi20>2.5 & atrp>3.571,"[[""base_tight20"", ""<="", 18.272], [""dh10"", ""<="", -9.336], [""days_since_hi20"", "">"", 2.5], [""atrp"", "">"", 3.571]]",1.39,1.81,0.19,352
dh10<=-10.568 & dh40>-22.406 & rng_contract<=1.376 & slope20>0.484,"[[""dh10"", ""<="", -10.568], [""dh40"", "">"", -22.406], [""rng_contract"", ""<="", 1.376], [""slope20"", "">"", 0.484]]",1.71,1.78,0.188,565
base_tight20>18.272 & atr5v20<=0.982 & atrp>4.73 & base_tight20>31.595,"[[""base_tight20"", "">"", 18.272], [""atr5v20"", ""<="", 0.982], [""atrp"", "">"", 4.73], [""base_tight20"", "">"", 31.595]]",1.72,1.77,0.187,883
atrp<=3.536 & dh10<=-10.084 & run20<=-14.778 & wtd_daysup<=0.5,"[[""atrp"", ""<="", 3.536], [""dh10"", ""<="", -10.084], [""run20"", ""<="", -14.778], [""wtd_daysup"", ""<="", 0.5]]",3.08,1.76,0.185,27
base_tight20>18.272 & dh10<=-12.317 & rng_contract<=1.087 & base_tight20<=29.506,"[[""base_tight20"", "">"", 18.272], [""dh10"", ""<="", -12.317], [""rng_contract"", ""<="", 1.087], [""base_tight20"", ""<="", 29.506]]",1.26,1.75,0.184,418
