month,manual_days,manual_days_pos,manual_ret5x_pct,ret1x_pct,pnl_rs,engine_days,engine_days_pos,engine_ret5x_pct,win_pct,capture_pct_of_manual,meets_70pct_bar
2025-06,21,17,174.6,34.9,873104,21,6,-36.172054467430584,28.57142857142857,-20.71709877859713,False
2025-07,23,18,175.9,35.2,879465,23,4,-56.205576463592415,17.391304347826086,-31.95314182125777,False
2025-08,19,15,126.7,25.3,633363,19,4,-32.20964635467715,21.052631578947366,-25.42197818048709,False
2025-09,22,16,158.6,31.7,793073,22,6,-35.1046963480258,27.27272727272727,-22.13410866836431,False
2025-10,21,16,165.7,33.1,828677,20,6,-26.611866053188553,30.0,-16.06026919323389,False
