month,days,days_pos,avg_names,ret5x_pct,ret1x_pct
2024-10,22,12,9.545454545454545,104.39,20.88512
2024-11,19,13,8.631578947368421,141.33,28.26524
2024-12,21,17,8.571428571428571,163.91,32.7802
2025-01,22,11,9.681818181818182,170.4,34.08144
2025-02,20,6,9.7,59.24000000000001,11.847719999999999
2025-03,18,14,8.277777777777779,211.75,42.3448
2025-04,19,11,7.947368421052632,170.86,34.17268
2025-05,21,14,8.285714285714286,220.78,44.16236
