agent_id,pattern_id,target,regime,mined_year,oos_fires,hit_pct,base_pct,real_lift_pp,clean26_lift,bear_lift,avg_ret,cagr5L,status,rule,mandate,fire_col,family,n_conditions,parsed_conditions
FALCPAT_6644,6644,hit_10pc_20d,other,2022,49829,41.18284533103213,34.00746195228712,7.175383378745015,19.67,14.74,0.687396293476198,-14.451977154591656,PROMOTED,volatility (20d ATR%) >= 3.5789 AND 60d relative strength vs sector >= -2.094 AND close position in weekly range <= 0.7086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6644,other,3,atr_20_pct>=3.5789 AND rs_sector_60d>=-2.094 AND weekly_close_loc<=0.7086
FALCPAT_6645,6645,hit_10pc_20d,breakout,2022,4975,58.79396984924623,34.00746195228712,24.786507896959115,24.77,-0.27,4.414742366721979,53.16954889778644,PROBATION,volatility (20d ATR%) >= 2.6723 AND 60-day return <= -11.5307 AND 60d relative strength vs sector <= -13.9058 AND close position in weekly range >= 0.7086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6645,fresh_breakout,4,atr_20_pct>=2.6723 AND roc_60<=-11.5307 AND rs_sector_60d<=-13.9058 AND weekly_close_loc>=0.7086
FALCPAT_6646,6646,hit_10pc_20d,breakout,2022,7205,58.87578070784178,34.00746195228712,24.868318755554657,30.98,11.16,4.426459107432597,-11.018973828539046,PROMOTED,volatility (20d ATR%) >= 2.6723 AND 60-day return <= -11.5307 AND 60d relative strength vs sector >= -13.9058 AND close position in weekly range >= 0.7086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6646,fresh_breakout,4,atr_20_pct>=2.6723 AND roc_60<=-11.5307 AND rs_sector_60d>=-13.9058 AND weekly_close_loc>=0.7086
FALCPAT_6647,6647,hit_10pc_20d,breakout,2022,23563,48.63063139569445,34.00746195228712,14.623169443407336,2.87,1.18,3.3615730571421976,68.04037831075469,PROMOTED,volatility (20d ATR%) >= 2.6723 AND 60-day return >= -11.5307 AND 60d relative strength vs market <= 3.557 AND close position in weekly range >= 0.7086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6647,fresh_breakout,4,atr_20_pct>=2.6723 AND roc_60>=-11.5307 AND rs_market_60d<=3.557 AND weekly_close_loc>=0.7086
FALCPAT_6648,6648,hit_10pc_20d,breakout,2022,31326,54.83829773648756,34.00746195228712,20.830835784200445,15.41,7.53,3.84220262523404,44.57924945607652,PROMOTED,volatility (20d ATR%) >= 2.6723 AND 60-day return >= -11.5307 AND 60d relative strength vs market >= 3.557 AND close position in weekly range >= 0.7086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6648,fresh_breakout,4,atr_20_pct>=2.6723 AND roc_60>=-11.5307 AND rs_market_60d>=3.557 AND weekly_close_loc>=0.7086
FALCPAT_6672,6672,hit_15pc_20d,other,2022,40019,25.720216064819446,18.31582194494749,7.404394119871954,15.9,15.03,1.5174188252561291,7.504341517723057,PROMOTED,volatility (20d ATR%) >= 3.5755 AND 60d relative strength vs market <= -0.5489 AND close position in weekly range <= 0.712,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6672,other,3,atr_20_pct>=3.5755 AND rs_market_60d<=-0.5489 AND weekly_close_loc<=0.712
FALCPAT_6674,6674,hit_15pc_20d,capitulation,2022,4393,45.36082474226804,18.31582194494749,27.04500279732055,32.5,9.41,6.480808183129166,60.16489472352902,PROMOTED,volatility (20d ATR%) >= 2.673 AND distance from 50-DMA <= -9.6156 AND 60-day return <= -15.4153 AND close position in weekly range >= 0.712,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6674,pullback_reversal,4,atr_20_pct>=2.673 AND dist_sma_50<=-9.6156 AND roc_60<=-15.4153 AND weekly_close_loc>=0.712
FALCPAT_6675,6675,hit_15pc_20d,capitulation,2022,4262,33.90831758034027,18.31582194494749,15.592495635392773,22.5,3.95,4.586278587547061,34.25451342047366,PROMOTED,volatility (20d ATR%) >= 2.673 AND distance from 50-DMA >= -9.6156 AND 60-day return <= -15.4153 AND close position in weekly range >= 0.712,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6675,pullback_reversal,4,atr_20_pct>=2.673 AND dist_sma_50>=-9.6156 AND roc_60<=-15.4153 AND weekly_close_loc>=0.712
FALCPAT_6677,6677,hit_15pc_20d,breakout,2022,38332,37.52965989981545,18.31582194494749,19.21383795486796,7.04,6.78,4.897755311835522,31.979552348246852,PROMOTED,volatility (20d ATR%) >= 2.673 AND 60-day return >= -15.4153 AND close position in weekly range >= 0.712 AND weekly range % >= 7.2486,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6677,fresh_breakout,4,atr_20_pct>=2.673 AND roc_60>=-15.4153 AND weekly_close_loc>=0.712 AND weekly_range_pct>=7.2486
FALCPAT_6696,6696,hit_10pc_20d,breakout,2023,5817,50.61857466457571,32.698883353500555,17.91969131107515,12.57,10.69,2.531457233172033,-20.306004893644303,PROMOTED,volatility (20d ATR%) >= 3.1901 AND close position in weekly range <= 0.7359 AND close position in weekly range >= 0.6892 AND weekly range % >= 5.1546,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6696,fresh_breakout,4,atr_20_pct>=3.1901 AND weekly_close_loc<=0.7359 AND weekly_close_loc>=0.6892 AND weekly_range_pct>=5.1546
FALCPAT_6697,6697,hit_10pc_20d,breakout,2023,33773,58.272820020404495,32.698883353500555,25.573936666903936,17.07,11.61,4.078092667600864,26.1277887717273,PROMOTED,volatility (20d ATR%) >= 3.1901 AND close position in weekly range >= 0.7359 AND weekly range % >= 5.1546,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6697,fresh_breakout,3,atr_20_pct>=3.1901 AND weekly_close_loc>=0.7359 AND weekly_range_pct>=5.1546
FALCPAT_6715,6715,hit_15pc_20d,other,2023,21958,26.56819839533188,17.450644806122114,9.117553589209765,20.63,16.01,1.705882823522077,-5.964455851790262,PROMOTED,volatility (20d ATR%) >= 3.0418 AND 60-day return <= -12.5897 AND 60d relative strength vs market <= 29.6728 AND close position in weekly range <= 0.6892,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6715,other,4,atr_20_pct>=3.0418 AND roc_60<=-12.5897 AND rs_market_60d<=29.6728 AND weekly_close_loc<=0.6892
FALCPAT_6718,6718,hit_15pc_20d,other,2023,2826,30.113234253361643,17.450644806122114,12.662589447239528,30.44,20.77,-0.6508755832946322,-6.763050238458068,PROMOTED,volatility (20d ATR%) >= 5.1515 AND 60d relative strength vs market >= 29.6728 AND close position in weekly range <= 0.6892,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6718,other,3,atr_20_pct>=5.1515 AND rs_market_60d>=29.6728 AND weekly_close_loc<=0.6892
FALCPAT_6756,6756,hit_10pc_20d,breakout,2023,16668,45.73595226255594,32.698883353500555,13.037068909055382,19.44,7.47,2.6935429250174208,28.848864425162837,PROMOTED,volatility (20d ATR%) >= 3.3478 AND close position in weekly range >= 0.6374 AND weekly range % <= 8.134,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6756,fresh_breakout,3,atr_20_pct>=3.3478 AND weekly_close_loc>=0.6374 AND weekly_range_pct<=8.134
FALCPAT_6757,6757,hit_10pc_20d,breakout,2023,7256,67.85714285714286,32.698883353500555,35.158259503642306,22.92,13.76,5.017597993167231,62.68531728715612,PROMOTED,volatility (20d ATR%) >= 3.3478 AND close position in daily range <= 0.3941 AND close position in weekly range >= 0.6374 AND weekly range % >= 8.5149,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6757,fresh_breakout,4,atr_20_pct>=3.3478 AND close_loc<=0.3941 AND weekly_close_loc>=0.6374 AND weekly_range_pct>=8.5149
FALCPAT_6758,6758,hit_10pc_20d,breakout,2023,19316,60.39805673091991,32.698883353500555,27.69917337741936,16.65,12.95,3.946398557646495,60.514672496186186,PROMOTED,volatility (20d ATR%) >= 3.3478 AND close position in daily range >= 0.3941 AND close position in weekly range >= 0.6374 AND weekly range % >= 8.5149,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6758,fresh_breakout,4,atr_20_pct>=3.3478 AND close_loc>=0.3941 AND weekly_close_loc>=0.6374 AND weekly_range_pct>=8.5149
FALCPAT_6818,6818,hit_10pc_20d,other,2023,15415,39.71456373662017,32.698883353500555,7.015680383119616,9.67,7.76,1.537400287654348,26.94309427339434,PROMOTED,volatility (20d ATR%) >= 2.3312 AND 60d relative strength vs sector >= 13.7474 AND close position in weekly range >= 0.3113 AND weekly range % <= 10.1174,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6818,other,4,atr_20_pct>=2.3312 AND rs_sector_60d>=13.7474 AND weekly_close_loc>=0.3113 AND weekly_range_pct<=10.1174
FALCPAT_6819,6819,hit_10pc_20d,other,2023,28616,58.485949951069486,32.698883353500555,25.787066597568923,16.68,12.69,3.5932349513888444,12.32278135210696,PROMOTED,volatility (20d ATR%) >= 2.3312 AND 60d relative strength vs market <= 28.9405 AND close position in weekly range >= 0.3113 AND weekly range % >= 10.1174,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6819,other,4,atr_20_pct>=2.3312 AND rs_market_60d<=28.9405 AND weekly_close_loc>=0.3113 AND weekly_range_pct>=10.1174
FALCPAT_6845,6845,hit_40pc_40d,other,2023,2471,12.46458923512748,4.0653742907808095,8.399214944346669,-4.09,7.47,6.206094761081755,-9.027391800941764,PROBATION,distance from 200-DMA >= 33.0106 AND 60d relative strength vs market <= 3.8055,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pat_6845,other,2,dist_sma_200>=33.0106 AND rs_market_60d<=3.8055
FALCPAT_6865,6865,hit_40pc_40d,capitulation,2023,4943,11.509591326105086,4.0653742907808095,7.444217035324277,4.95,-0.74,9.635637950437756,6.638775880321712,PROBATION,volatility (20d ATR%) >= 2.6793 AND distance from 120-day high <= -28.3595 AND distance from 200-DMA <= 14.55 AND close position in weekly range >= 0.8126,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pat_6865,pullback_reversal,4,atr_20_pct>=2.6793 AND dist_high_120<=-28.3595 AND dist_sma_200<=14.55 AND weekly_close_loc>=0.8126
FALCPAT_6868,6868,hit_40pc_40d,other,2023,1689,18.65715983363042,4.0653742907808095,14.59178554284961,12.58,18.82,4.567843882442192,-6.2084633415936725,PROMOTED,volatility (20d ATR%) >= 2.6793 AND distance from 200-DMA >= 73.6638 AND 60-day return <= 78.2525,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pat_6868,other,3,atr_20_pct>=2.6793 AND dist_sma_200>=73.6638 AND roc_60<=78.2525
FALCPAT_6895,6895,hit_15pc_20d,capitulation,2023,32323,27.52143100300189,17.450644806122114,10.070786196879776,15.48,6.57,2.2686509626514684,6.106726965220055,PROMOTED,distance from 120-day high <= -25.7878 AND days with sub-75% volume in last 20 <= 13.5 AND 20d relative strength vs market <= 4.4732,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_6895,dryup,3,dist_high_120<=-25.7878 AND n_sub_75v_20d<=13.5 AND rs_market_20d<=4.4732
FALCPAT_6912,6912,hit_25pc_30d,capitulation,2023,10266,13.241963115993146,9.458155042142677,3.783808073850471,8.91,4.69,0.8832790565185166,13.678894243501972,PROMOTED,distance from year-high <= -21.4232 AND distance from 200-DMA >= 4.2399,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pat_6912,pullback_reversal,2,dist_high_252<=-21.4232 AND dist_sma_200>=4.2399
FALCPAT_6951,6951,hit_25pc_30d,other,2023,19792,17.086321786459127,9.458155042142677,7.628166744316451,8.95,7.76,2.9522396038683083,19.91105242491329,PROMOTED,volatility (20d ATR%) >= 2.4437 AND distance from 50-DMA <= -2.9357 AND weekly range % >= 10.0261,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pat_6951,other,3,atr_20_pct>=2.4437 AND dist_sma_50<=-2.9357 AND weekly_range_pct>=10.0261
FALCPAT_6953,6953,hit_25pc_30d,breakout,2023,15202,24.551899411449973,9.458155042142677,15.0937443693073,4.97,6.83,6.063709402724515,37.948906430987805,PROMOTED,volatility (20d ATR%) >= 2.4437 AND distance from 50-DMA >= -2.9357 AND close position in weekly range >= 0.7028 AND weekly range % >= 10.0261,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pat_6953,fresh_breakout,4,atr_20_pct>=2.4437 AND dist_sma_50>=-2.9357 AND weekly_close_loc>=0.7028 AND weekly_range_pct>=10.0261
FALCPAT_7055,7055,hit_15pc_20d,other,2023,57032,28.624535315985128,17.450644806122114,11.173890509863012,14.11,9.11,2.39174734624133,-3.1641130652836917,PROMOTED,volatility (20d ATR%) >= 2.1406 AND 60d relative strength vs sector <= 10.0563 AND close position in weekly range >= 0.0938 AND weekly range % >= 8.0101,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_7055,other,4,atr_20_pct>=2.1406 AND rs_sector_60d<=10.0563 AND weekly_close_loc>=0.0938 AND weekly_range_pct>=8.0101
FALCPAT_7056,7056,hit_15pc_20d,other,2023,21565,30.540227220032463,17.450644806122114,13.089582413910348,10.07,10.25,1.9487915781120453,18.562539503534012,PROMOTED,volatility (20d ATR%) >= 2.1406 AND 60d relative strength vs sector >= 10.0563 AND close position in weekly range >= 0.0938 AND weekly range % >= 8.0101,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_7056,other,4,atr_20_pct>=2.1406 AND rs_sector_60d>=10.0563 AND weekly_close_loc>=0.0938 AND weekly_range_pct>=8.0101
FALCPAT_7075,7075,hit_25pc_30d,other,2023,61591,15.880246241190935,9.458155042142677,6.422091199048261,6.74,5.25,3.288961301464712,31.36059259656852,PROMOTED,volatility (20d ATR%) >= 2.1013 AND distance from 200-DMA <= 34.864 AND close position in weekly range >= 0.1023 AND weekly range % >= 8.3165,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pat_7075,other,4,atr_20_pct>=2.1013 AND dist_sma_200<=34.864 AND weekly_close_loc>=0.1023 AND weekly_range_pct>=8.3165
FALCPAT_7085,7085,hit_10pc_20d,breakout,2023,29446,59.53545650463518,32.698883353500555,26.83657315113462,14.54,7.91,4.048273509595568,55.24565639764689,PROMOTED,volatility (20d ATR%) >= 2.3175 AND distance from 120-day high <= -4.8089 AND close position in weekly range >= 0.6441 AND weekly range % >= 7.9969,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_7085,fresh_breakout,4,atr_20_pct>=2.3175 AND dist_high_120<=-4.8089 AND weekly_close_loc>=0.6441 AND weekly_range_pct>=7.9969
FALCPAT_7086,7086,hit_10pc_20d,breakout,2023,9139,52.87215020116227,32.698883353500555,20.173266847661715,1.71,11.36,3.2855260553297096,15.01597782218862,PROMOTED,volatility (20d ATR%) >= 2.3175 AND distance from 120-day high >= -4.8089 AND close position in weekly range >= 0.6441 AND weekly range % >= 7.9969,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pat_7086,fresh_breakout,4,atr_20_pct>=2.3175 AND dist_high_120>=-4.8089 AND weekly_close_loc>=0.6441 AND weekly_range_pct>=7.9969
