pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,selected_n_dec,winner_n_dec,manual_precision_dec,winner_precision_dec,rank_quality_dec,weight,rule,parsed_conditions,fire_col
6335,FALCPAT_6335,fresh_breakout,hit_10pc_20d,breakout,PROBATION,20,1213,32,20,0.026380873866446827,0.016488046166529265,0.45208333333333334,2.909967700736202,distance from year-high >= -29.2888 AND distance from 200-DMA >= -21.0968 AND 20d relative strength vs market >= -3.6469 AND close position in weekly range >= 0.8003,dist_high_252>=-29.2888 AND dist_sma_200>=-21.0968 AND rs_market_20d>=-3.6469 AND weekly_close_loc>=0.8003,pat_6335
6895,FALCPAT_6895,dryup,hit_15pc_20d,capitulation,PROMOTED,20,1384,31,20,0.022398843930635837,0.014450867052023121,0.6043010752688172,2.8945707960162292,distance from 120-day high <= -25.7878 AND days with sub-75% volume in last 20 <= 13.5 AND 20d relative strength vs market <= 4.4732,dist_high_120<=-25.7878 AND n_sub_75v_20d<=13.5 AND rs_market_20d<=4.4732,pat_6895
7947,FALCPAT_7947,other,hit_25pc_30d,other,PROMOTED,20,1507,34,20,0.0225613802256138,0.013271400132714002,0.5607843137254902,2.4847892811441965,volatility (20d ATR%) >= 3.4679 AND distance from 200-DMA <= 5.5845,atr_20_pct>=3.4679 AND dist_sma_200<=5.5845,pat_7947
7412,FALCPAT_7412,other,hit_25pc_30d,other,PROMOTED,19,264,36,19,0.13636363636363635,0.07196969696969698,0.5962962962962963,85.2129261186435,volatility (20d ATR%) >= 2.4512 AND 20d relative strength vs sector <= 10.6274 AND close position in weekly range >= 0.319 AND weekly range % >= 10.5184,atr_20_pct>=2.4512 AND rs_sector_20d<=10.6274 AND weekly_close_loc>=0.319 AND weekly_range_pct>=10.5184,pat_7412
7304,FALCPAT_7304,other,hit_15pc_20d,other,PROMOTED,19,603,34,19,0.05638474295190713,0.03150912106135987,0.4725490196078431,12.224746978845216,distance from 200-DMA >= 24.7508 AND 20d relative strength vs sector >= -5.3079 AND close position in weekly range >= 0.4147 AND weekly range % >= 4.8858,dist_sma_200>=24.7508 AND rs_sector_20d>=-5.3079 AND weekly_close_loc>=0.4147 AND weekly_range_pct>=4.8858,pat_7304
9398,FALCPAT_9398,fresh_breakout,hit_10pc_20d,other,PROMOTED,19,733,29,19,0.03956343792633015,0.02592087312414734,0.6367816091954024,9.5088781138507,volatility (20d ATR%) >= 4.3672 AND distance from year-high >= -25.0624,atr_20_pct>=4.3672 AND dist_high_252>=-25.0624,pat_9398
8953,FALCPAT_8953,other,hit_15pc_20d,other,PROMOTED,19,813,34,19,0.041820418204182044,0.023370233702337023,0.6274509803921569,8.929483681373508,volatility (20d ATR%) >= 3.9374 AND distance from 20-day high >= -14.2373 AND distance from 200-DMA <= 26.2528 AND close position in weekly range >= 0.1754,atr_20_pct>=3.9374 AND dist_high_20>=-14.2373 AND dist_sma_200<=26.2528 AND weekly_close_loc>=0.1754,pat_8953
8157,FALCPAT_8157,other,hit_15pc_20d,other,PROMOTED,19,829,31,19,0.03739445114595899,0.022919179734620022,0.3526881720430108,4.401414275980777,volatility (20d ATR%) >= 2.7614 AND 20-day return <= 13.0636 AND 60d relative strength vs sector >= 10.9468 AND close position in weekly range >= 0.0729,atr_20_pct>=2.7614 AND roc_20<=13.0636 AND rs_sector_60d>=10.9468 AND weekly_close_loc>=0.0729,pat_8157
7113,FALCPAT_7113,compression,hit_10pc_20d,compression,PROMOTED,19,1052,30,19,0.028517110266159697,0.01806083650190114,0.46,3.4498191340415705,distance from 10-day high >= -8.1051 AND days with sub-75% volume in last 7 >= 2.5 AND close position in weekly range >= 0.2193 AND weekly range % >= 5.8433,dist_high_10>=-8.1051 AND n_sub_75v_7d>=2.5 AND weekly_close_loc>=0.2193 AND weekly_range_pct>=5.8433,pat_7113
8316,FALCPAT_8316,other,hit_15pc_20d,other,PROMOTED,18,737,32,18,0.04341926729986431,0.024423337856173677,0.3729166666666667,5.659707415092748,volatility (20d ATR%) >= 3.1996 AND distance from 200-DMA <= 47.1586 AND distance from 200-DMA >= 19.1227 AND close position in weekly range >= 0.4185,atr_20_pct>=3.1996 AND dist_sma_200<=47.1586 AND dist_sma_200>=19.1227 AND weekly_close_loc>=0.4185,pat_8316
