family,patterns,winner_fires_dec,avg_weight,avg_manual_precision_dec,avg_winner_precision_dec
fresh_breakout,116,1768,33.337169955536076,0.08016448597051525,0.04432021078512746
other,96,1587,16.638298755116825,0.053310258485216665,0.030527234822498635
pullback_reversal,54,405,22.94261725227564,0.058320802165240646,0.03137136531459791
dryup,22,400,13.165721320602488,0.04652098618341158,0.02703721939357973
continuation,8,116,29.615414135294554,0.0783458555016902,0.04583399370343068
compression,9,82,7.73507956632104,0.04221723816397224,0.02458225890013914
momentum,3,52,40.99755003028746,0.09271124470460018,0.05467394670052478
mean_reversion,1,6,1.118664260342534,0.0150093808630394,0.01125703564727955
