tag,month,baskets,avg_positions,win_pct,avg_basket_pct,month_ret_pct,end_equity
frozen_gap_bridge_v3_fast,2025-07,10,10.0,70.0,0.0002812602748553772,-0.07715113090938086,999228.4886909062
frozen_gap_bridge_v3_fast,2025-08,15,10.0,60.0,0.4049639010293863,6.069119867188499,1059872.8634166534
frozen_gap_bridge_v3_fast,2025-09,12,10.0,83.33333333333334,0.8486216275539982,10.638456130136543,1172626.973026456
frozen_gap_bridge_v3_fast,2025-10,16,10.0,62.5,0.08391027849852162,1.2351441929356666,1187110.6069885895
frozen_gap_bridge_v3_fast,2025-11,10,10.0,70.0,0.553912860747859,5.645810939351703,1254132.6275001557
frozen_gap_bridge_v3_fast,2025-12,15,10.0,53.333333333333336,0.4032840799330421,6.177342156921228,1331604.6910024267
frozen_gap_bridge_v3_fast,2026-01,12,10.0,75.0,0.647505338810195,7.9565122384317455,1437553.981209566
frozen_gap_bridge_v3_fast,2026-02,20,10.0,40.0,-0.24614632105460688,-5.001327628911123,1365657.19676682
frozen_gap_bridge_v3_fast,2026-03,18,10.0,66.66666666666666,0.7687180556127361,14.533597233972495,1564136.3133416688
frozen_gap_bridge_v3_fast,2026-04,12,10.0,41.66666666666667,-0.03250885150833351,-0.4602603908766101,1556937.2134320394
frozen_gap_bridge_v3_fast,2026-05,5,10.0,40.0,-0.09513404550084532,-0.4888434648619544,1549326.227612173
frozen_gap_bridge_v3_fast,2026-06,3,10.0,33.33333333333333,0.3382492172694958,0.9991314485945146,1564806.0331935692
