variant,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,weights,avg_score,avg_patterns
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-01,2025-08-04,-1.1016162499899231,10,"VTL,RHIM,NETWEB,HINDUNILVR,CEMPRO,AMBER,SUMICHEM,ABFRL,MARICO,GODREJCP","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.1351,-2.1702,-6.7296,0.1515,2.2249,-0.5686,-0.6421,-2.6648,-1.7022,1.4528","0.15001,0.13121,0.11201,0.10694,0.10266,0.08620,0.08620,0.07564,0.07564,0.07347",5.400865303657892,4.3
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-05,2025-08-06,1.8209589883253519,10,"TATAINVEST,ENRIN,SOBHA,GVT&D,ABDL,CGCL,FIRSTCRY,TRAVELFOOD,NIACL,PTCIL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.6301,3.5336,3.1470,1.7442,2.6785,-0.6633,1.1947,1.1033,3.9195,-0.3682","0.15001,0.14184,0.14042,0.09473,0.08691,0.08691,0.08691,0.08087,0.06957,0.06184",3.516458631282486,3.1
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-06,2025-08-07,-0.9195076282468782,10,"KIRLOSENG,BLUESTARCO,NEWGEN,GABRIEL,GRAPHITE,MSUMI,SAREGAMA,NCC,CARTRADE,RHIM","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.1520,-5.2188,1.4391,-0.8750,0.6076,0.4347,-0.0919,-4.5365,-1.4572,-0.1183","0.15003,0.12565,0.11837,0.10089,0.10089,0.09530,0.08325,0.07629,0.07466,0.07466",3.2937355263055523,2.7
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-07,2025-08-08,3.3045010342608543,10,"NCC,CPPLUS,WELSPUNLIV,KALYANKJIL,CUMMINSIND,MANAPPURAM,CCL,SAPPHIRE,GODFRYPHLP,SARDAEN","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.3868,5.9753,1.7283,13.3873,-0.3928,1.2686,-0.9552,1.0040,1.1261,4.3617","0.15180,0.15180,0.15180,0.12417,0.08892,0.08569,0.06146,0.06146,0.06146,0.06146",40.88157859756602,8.8
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-08,2025-08-11,-1.3261468233025528,10,"SAILIFE,KPIL,ITI,PVRINOX,BERGEPAINT,RBLBANK,CONCOR,IOC,TTML,MEDANTA","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-5.4028,-4.3812,-0.8708,-1.0604,0.8323,1.0869,1.7931,0.1961,-0.7625,2.1123","0.15011,0.15011,0.12342,0.12342,0.10519,0.07785,0.07071,0.07071,0.07071,0.05777",2.837652404428055,2.6
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-11,2025-08-12,1.2450159487911339,10,"CRAFTSMAN,JMFINANCIL,ADANIPOWER,PFIZER,DOMS,GMDCLTD,ITI,KOTAKBANK,BEML,SWIGGY","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.0666,2.1068,0.6476,0.2781,5.5277,1.4688,0.2892,0.6768,0.2335,2.1200","0.15193,0.15193,0.15193,0.15193,0.08572,0.07191,0.05866,0.05866,0.05866,0.05866",61.08582787453562,12.1
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-12,2025-08-13,-1.078759399864028,10,"HBLENGINE,FACT,KAJARIACER,PGEL,SCI,SONATSOFTW,POWERINDIA,BELRISE,ITI,PFIZER","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-8.4930,-3.5209,-1.6612,6.8895,-1.4064,3.2469,-0.9988,0.3810,0.4724,0.6421","0.15002,0.13958,0.12220,0.10723,0.10723,0.08495,0.07876,0.07001,0.07001,0.07001",2.876444897207902,2.4
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-13,2025-08-14,1.614519312632337,10,"FACT,JYOTICNC,HONASA,PAYTM,ABSLAMC,CLEAN,HBLENGINE,APOLLOHOSP,GVT&D,BLUESTARCO","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.7796,2.0107,2.4354,0.8231,1.4827,4.4476,-1.4321,0.1503,2.7076,-1.3446","0.15116,0.15116,0.14338,0.11810,0.08478,0.07028,0.07028,0.07028,0.07028,0.07028",29.804071973691755,7.6
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-14,2025-08-18,-1.4866477898715742,10,"USHAMART,CARTRADE,NSLNISP,TBOTEK,DRREDDY,PFIZER,GMDCLTD,CONCORDBIO,NEWGEN,OLAELEC","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-3.9021,-5.6371,3.3339,-1.5260,0.4705,-5.5739,-0.9694,0.2024,-0.0157,3.7557","0.15000,0.12713,0.12713,0.12713,0.10835,0.10547,0.08193,0.07283,0.05001,0.05001",2.5672942727317825,2.5
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-18,2025-08-19,-1.671220726986139,10,"KIRLOSENG,HYUNDAI,UTIAMC,ZFCVINDIA,CRAFTSMAN,AMBUJACEM,BRITANNIA,TRENT,ENDURANCE,BERGEPAINT","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.9033,-6.9024,-0.0510,-3.8297,0.8568,-0.2089,-1.2360,0.9225,-2.6165,0.8080","0.15011,0.14868,0.12699,0.11340,0.10928,0.07316,0.07316,0.07316,0.06738,0.06469",26.90171889888552,7.8
