tag,baskets,avg_positions,win_pct,avg_basket_pct,total_ret_pct,end_equity,max_dd_pct,negative_months,min_month_pct,pattern_mode,basket_n,min_n,regime_name,regime_threshold,min_patterns,sizing,blacklist_name
short0915_top10_none0_mp1_equal_blnone,220,10.0,57.27272727272727,0.31713477219474706,94.79052915934743,1947905.2915934743,14.65512962623296,5,-5.4112541861834895,short_0915,10,10,none,0.0,1,equal,none
short0915_top10_none0_mp1_equal_blstrict,218,10.0,58.71559633027523,0.3520000868982345,108.39013536573887,2083901.3536573888,13.462306816535493,5,-5.18039422708404,short_0915,10,10,none,0.0,1,equal,strict
short0915_top10_none0_mp1_equal_blmedium,212,10.0,59.905660377358494,0.4127190379498513,132.20214310796229,2322021.431079623,11.572803936037772,3,-3.9553224912168505,short_0915,10,10,none,0.0,1,equal,medium
short0915_top10_none0_mp1_score_sqrt_cap15_blnone,220,10.0,58.18181818181818,0.3636114853344476,115.34592548833342,2153459.254883334,12.657737971620072,5,-4.783009604706878,short_0915,10,10,none,0.0,1,score_sqrt_cap15,none
short0915_top10_none0_mp1_score_sqrt_cap15_blstrict,218,10.0,59.174311926605505,0.40210768200074865,132.11836491766428,2321183.6491766428,11.75856609561909,4,-4.719988342817638,short_0915,10,10,none,0.0,1,score_sqrt_cap15,strict
short0915_top10_none0_mp1_score_sqrt_cap15_blmedium,212,10.0,60.84905660377359,0.4598109786687781,156.16719568574462,2561671.956857446,10.153004709770167,4,-3.9696879870522506,short_0915,10,10,none,0.0,1,score_sqrt_cap15,medium
short0915_top10_none0_mp2_equal_blnone,143,10.0,55.94405594405595,0.2735960189759144,44.419530986046695,1444195.309860467,16.264431604086127,6,-5.977449708430383,short_0915,10,10,none,0.0,2,equal,none
short0915_top10_none0_mp2_equal_blstrict,139,10.0,58.27338129496403,0.2981727414741603,47.53801905313135,1475380.1905313134,14.834212272603642,6,-4.345909906938761,short_0915,10,10,none,0.0,2,equal,strict
short0915_top10_none0_mp2_equal_blmedium,137,10.0,58.3941605839416,0.3545326833309673,58.568378472476624,1585683.7847247662,12.3460416741997,6,-3.3535351592601015,short_0915,10,10,none,0.0,2,equal,medium
short0915_top10_none0_mp2_score_sqrt_cap15_blnone,143,10.0,57.34265734265735,0.3164133122588794,53.397691369029346,1533976.9136902934,14.352615283331808,6,-4.364183330505556,short_0915,10,10,none,0.0,2,score_sqrt_cap15,none
short0915_top10_none0_mp2_score_sqrt_cap15_blstrict,139,10.0,58.992805755395686,0.34965276856308614,58.411675752229606,1584116.7575222962,13.339546923217737,6,-4.99425474642492,short_0915,10,10,none,0.0,2,score_sqrt_cap15,strict
short0915_top10_none0_mp2_score_sqrt_cap15_blmedium,137,10.0,60.58394160583942,0.4076940025229811,70.44653202380336,1704465.3202380335,11.962370494899123,5,-3.8802273834636525,short_0915,10,10,none,0.0,2,score_sqrt_cap15,medium
short0915_top10_avg_5d_le3_mp1_equal_blnone,177,10.0,59.887005649717516,0.3386371458365572,77.43436676890292,1774343.6676890291,12.839890189887878,5,-3.6383989224137547,short_0915,10,10,avg_5d_le,3.0,1,equal,none
short0915_top10_avg_5d_le3_mp1_equal_blstrict,175,10.0,61.71428571428571,0.37213626125347227,86.48331885441267,1864833.1885441267,13.218118649753297,5,-3.967034492698873,short_0915,10,10,avg_5d_le,3.0,1,equal,strict
short0915_top10_avg_5d_le3_mp1_equal_blmedium,170,10.0,62.94117647058823,0.44422243942039763,107.05813824154156,2070581.3824154157,12.345695252130891,4,-3.2260170475601146,short_0915,10,10,avg_5d_le,3.0,1,equal,medium
short0915_top10_avg_5d_le3_mp1_score_sqrt_cap15_blnone,177,10.0,61.016949152542374,0.3825708782087944,91.46149121046885,1914614.9121046886,11.815566437140669,6,-2.905102754021882,short_0915,10,10,avg_5d_le,3.0,1,score_sqrt_cap15,none
short0915_top10_avg_5d_le3_mp1_score_sqrt_cap15_blstrict,175,10.0,62.28571428571429,0.41886467297163305,102.1474200995924,2021474.2009959237,11.636413802439497,5,-3.7591809055938064,short_0915,10,10,avg_5d_le,3.0,1,score_sqrt_cap15,strict
short0915_top10_avg_5d_le3_mp1_score_sqrt_cap15_blmedium,170,10.0,64.11764705882354,0.4907600806700794,123.83441289539574,2238344.1289539575,10.63763051771375,3,-3.040939690891842,short_0915,10,10,avg_5d_le,3.0,1,score_sqrt_cap15,medium
short0915_top10_avg_5d_le3_mp2_equal_blnone,117,10.0,56.41025641025641,0.26671595613789484,33.73033664784497,1337303.3664784497,13.991831584275804,5,-4.9922934318896495,short_0915,10,10,avg_5d_le,3.0,2,equal,none
short0915_top10_avg_5d_le3_mp2_equal_blstrict,113,10.0,59.29203539823009,0.2834361740730911,34.5909710621691,1345909.710621691,13.30481563990387,7,-4.053327271543772,short_0915,10,10,avg_5d_le,3.0,2,equal,strict
short0915_top10_avg_5d_le3_mp2_equal_blmedium,112,10.0,58.92857142857143,0.34032518412724455,43.16167272781608,1431616.7272781609,13.036275099978864,6,-3.353535159260068,short_0915,10,10,avg_5d_le,3.0,2,equal,medium
short0915_top10_avg_5d_le3_mp2_score_sqrt_cap15_blnone,117,10.0,58.119658119658126,0.30339013723521596,39.47818573255708,1394781.857325571,12.675869919704446,5,-4.036264180422567,short_0915,10,10,avg_5d_le,3.0,2,score_sqrt_cap15,none
short0915_top10_avg_5d_le3_mp2_score_sqrt_cap15_blstrict,113,10.0,60.17699115044248,0.32791555124573807,41.484859272007604,1414848.592720076,12.738735065376666,6,-3.7530326861370478,short_0915,10,10,avg_5d_le,3.0,2,score_sqrt_cap15,strict
short0915_top10_avg_5d_le3_mp2_score_sqrt_cap15_blmedium,112,10.0,61.60714285714286,0.3871849215648373,50.808386865845925,1508083.8686584593,12.36118261156252,6,-3.0179576204940717,short_0915,10,10,avg_5d_le,3.0,2,score_sqrt_cap15,medium
short0915_top10_avg_5d_le5_mp1_equal_blnone,208,10.0,58.65384615384615,0.3448194509601742,98.87553817650787,1988755.3817650788,12.676464746060567,5,-4.650221592252213,short_0915,10,10,avg_5d_le,5.0,1,equal,none
short0915_top10_avg_5d_le5_mp1_equal_blstrict,206,10.0,60.19417475728155,0.3772115518547386,110.6733434102726,2106733.434102726,11.809775846817665,5,-4.122161039972328,short_0915,10,10,avg_5d_le,5.0,1,equal,strict
short0915_top10_avg_5d_le5_mp1_equal_blmedium,200,10.0,61.0,0.4464264903112427,136.7085120611064,2367085.120611064,9.146945841702868,3,-3.2617521845175412,short_0915,10,10,avg_5d_le,5.0,1,equal,medium
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blnone,208,10.0,59.61538461538461,0.3983664997298724,121.8886470363199,2218886.470363199,10.970239194680993,5,-4.7830096047069,short_0915,10,10,avg_5d_le,5.0,1,score_sqrt_cap15,none
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blstrict,206,10.0,60.679611650485434,0.435649893100582,137.30418186218137,2373041.818621814,10.36844886745975,4,-4.501982086960677,short_0915,10,10,avg_5d_le,5.0,1,score_sqrt_cap15,strict
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,200,10.0,62.0,0.5017126899602969,164.0025746483851,2640025.7464838508,8.158386265261889,4,-3.6321058395229255,short_0915,10,10,avg_5d_le,5.0,1,score_sqrt_cap15,medium
short0915_top10_avg_5d_le5_mp2_equal_blnone,136,10.0,55.88235294117647,0.2694589469005565,41.0146966869807,1410146.966869807,14.323077335450504,5,-5.97744970843036,short_0915,10,10,avg_5d_le,5.0,2,equal,none
short0915_top10_avg_5d_le5_mp2_equal_blstrict,132,10.0,58.333333333333336,0.2922007171992856,43.48405481156401,1434840.5481156402,13.207879323312245,6,-4.34590990693875,short_0915,10,10,avg_5d_le,5.0,2,equal,strict
short0915_top10_avg_5d_le5_mp2_equal_blmedium,130,10.0,58.46153846153847,0.35982190244952145,55.89676458223109,1558967.645822311,11.807639551441985,6,-3.3535351592600793,short_0915,10,10,avg_5d_le,5.0,2,equal,medium
short0915_top10_avg_5d_le5_mp2_score_sqrt_cap15_blnone,136,10.0,57.35294117647059,0.3129705837155355,49.46288767724738,1494628.8767724738,12.697862434013029,5,-4.364183330505556,short_0915,10,10,avg_5d_le,5.0,2,score_sqrt_cap15,none
short0915_top10_avg_5d_le5_mp2_score_sqrt_cap15_blstrict,132,10.0,59.09090909090909,0.34522825912128996,53.80813905950976,1538081.3905950976,11.974335780426577,6,-4.9942547464249305,short_0915,10,10,avg_5d_le,5.0,2,score_sqrt_cap15,strict
short0915_top10_avg_5d_le5_mp2_score_sqrt_cap15_blmedium,130,10.0,60.76923076923077,0.41133529618531933,66.58511082872359,1665851.1082872357,11.174657162281934,4,-3.8802273834636303,short_0915,10,10,avg_5d_le,5.0,2,score_sqrt_cap15,medium
short0915_top10_avg_ret_le2_mp1_equal_blnone,207,10.0,57.971014492753625,0.31438942127670905,86.33784887839053,1863378.4887839053,12.209501928666471,6,-6.066947032141135,short_0915,10,10,avg_ret_le,2.0,1,equal,none
short0915_top10_avg_ret_le2_mp1_equal_blstrict,205,10.0,59.512195121951216,0.34686786315831064,97.49120846699087,1974912.0846699087,12.895915390331869,5,-5.837687403211,short_0915,10,10,avg_ret_le,2.0,1,equal,strict
short0915_top10_avg_ret_le2_mp1_equal_blmedium,199,10.0,60.80402010050251,0.4047006161529304,117.11129632096254,2171112.9632096253,12.576664979050427,4,-4.621107912019184,short_0915,10,10,avg_ret_le,2.0,1,equal,medium
short0915_top10_avg_ret_le2_mp1_score_sqrt_cap15_blnone,207,10.0,58.93719806763285,0.3603919662520322,104.54980199054606,2045498.0199054605,11.3517589604443,6,-4.815734206198097,short_0915,10,10,avg_ret_le,2.0,1,score_sqrt_cap15,none
short0915_top10_avg_ret_le2_mp1_score_sqrt_cap15_blstrict,205,10.0,59.512195121951216,0.39812755105369046,119.05977549773668,2190597.754977367,11.361504519035199,5,-5.385113829416621,short_0915,10,10,avg_ret_le,2.0,1,score_sqrt_cap15,strict
short0915_top10_avg_ret_le2_mp1_score_sqrt_cap15_blmedium,199,10.0,61.30653266331658,0.4533168825678498,138.77731947434705,2387773.1947434703,11.303244779620744,5,-4.640051129278522,short_0915,10,10,avg_ret_le,2.0,1,score_sqrt_cap15,medium
short0915_top10_avg_ret_le2_mp2_equal_blnone,131,10.0,56.48854961832062,0.2547214766668478,36.68175415990596,1366817.5415990595,13.759388790121951,6,-5.049880600946944,short_0915,10,10,avg_ret_le,2.0,2,equal,none
short0915_top10_avg_ret_le2_mp2_equal_blstrict,127,10.0,59.055118110236215,0.27537615625246303,38.63757876746617,1386375.7876746617,12.286382854005906,7,-4.718433319416759,short_0915,10,10,avg_ret_le,2.0,2,equal,strict
short0915_top10_avg_ret_le2_mp2_equal_blmedium,125,10.0,59.199999999999996,0.32624947880680777,47.03162373758643,1470316.2373758643,12.475001314160483,7,-4.023492193132904,short_0915,10,10,avg_ret_le,2.0,2,equal,medium
short0915_top10_avg_ret_le2_mp2_score_sqrt_cap15_blnone,131,10.0,58.01526717557252,0.29640984124098385,44.21519381601697,1442151.9381601696,11.932099121670579,6,-4.150168081540251,short_0915,10,10,avg_ret_le,2.0,2,score_sqrt_cap15,none
short0915_top10_avg_ret_le2_mp2_score_sqrt_cap15_blstrict,127,10.0,59.055118110236215,0.3280476422338244,48.1575474608291,1481575.474608291,12.136131665525562,7,-4.994254746424942,short_0915,10,10,avg_ret_le,2.0,2,score_sqrt_cap15,strict
short0915_top10_avg_ret_le2_mp2_score_sqrt_cap15_blmedium,125,10.0,60.8,0.3815925593246359,57.46711438567744,1574671.1438567743,12.357007756751155,6,-3.8802273834636414,short_0915,10,10,avg_ret_le,2.0,2,score_sqrt_cap15,medium
short0915_top10_breadth_pos_le85_mp1_equal_blnone,209,10.0,57.41626794258373,0.33220033716153635,94.25324867655269,1942532.486765527,13.343627888911364,5,-6.066947032141123,short_0915,10,10,breadth_pos_le,85.0,1,equal,none
short0915_top10_breadth_pos_le85_mp1_equal_blstrict,207,10.0,58.93719806763285,0.36453706381611606,105.88038909265434,2058803.8909265434,12.89591539033188,4,-5.837687403211012,short_0915,10,10,breadth_pos_le,85.0,1,equal,strict
