month,tag,days,days_pos,avg_names,ret5x_pct,ret1x_pct,avg_day5x,win_pct,end_equity
2025-06,clone_forward,21,5,15.0,-37.28975351822023,-7.457950703644046,-1.7757025484866777,23.809523809523807,338724.5675655206
2025-07,clone_forward,23,4,15.0,-51.46716217160586,-10.29343243432117,-2.2377027031132983,17.391304347826086,200420.84207725918
2025-08,clone_forward,19,5,15.0,-23.09358000866848,-4.618716001733695,-1.215451579403604,26.31578947368421,156298.90303163516
2025-09,clone_forward,22,8,14.954545454545455,-29.404744319128,-5.8809488638256,-1.3365792872330908,36.36363636363637,114449.52218264218
2025-10,clone_forward,20,6,15.0,-33.99069806948498,-6.798139613896995,-1.6995349034742488,30.0,80389.66883176529
2025-11,clone_forward,19,3,15.0,-42.309393435130104,-8.46187868702602,-2.2268101807963214,15.789473684210526,52184.43973623104
2025-12,clone_forward,22,7,15.0,-26.56758993635887,-5.313517987271775,-1.2076177243799486,31.818181818181817,39279.45657849837
2026-01,clone_forward,20,6,15.0,-25.330415389383706,-5.0660830778767405,-1.2665207694691853,30.0,29945.510219138203
2026-02,clone_forward,21,8,15.0,-20.791296105057214,-4.158259221011443,-0.9900617192884388,38.095238095238095,23984.07589165866
2026-03,clone_forward,19,4,15.0,-41.83031596102474,-8.366063192204948,-2.2015955768960387,21.052631578947366,15473.538889791585
2026-04,clone_forward,20,6,15.0,-27.063310215705144,-5.4126620431410295,-1.3531655107852572,30.0,11642.70072535062
2026-05,clone_forward,19,8,15.0,-2.2207702819720607,-0.44415405639441197,-0.11688264641958214,42.10526315789473,11223.9641591446
2026-06,clone_forward,17,5,15.0,-13.559398601200401,-2.71187972024008,-0.7976116824235531,29.411764705882355,9693.733180655063
