entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-07-03,2025-07-02,15,"GABRIEL,BAYERCROP,ASAHIINDIA,BLUEDART,CUB,JPPOWER,APARINDS,ZFCVINDIA,ABBOTINDIA,TBOTEK,RBLBANK,ENDURANCE,TATACOMM,KALYANKJIL,WAAREEENER",151.09522315389233,52.93333333333333
2025-07-04,2025-07-03,15,"GABRIEL,JMFINANCIL,HONAUT,BAYERCROP,BLUEDART,SYRMA,DCMSHRIRAM,CHENNPETRO,PTCIL,ABBOTINDIA,SAGILITY,AMBER,LTFOODS,ENDURANCE,BLUESTARCO",153.66282616617585,51.86666666666667
2025-07-07,2025-07-04,15,"DCMSHRIRAM,ASTERDM,BLUEDART,CHENNPETRO,HONAUT,SPLPETRO,COHANCE,NATCOPHARM,GALLANTT,MRPL,BLUESTARCO,CRAFTSMAN,JMFINANCIL,JKCEMENT,BOSCHLTD",161.30813629369015,56.2
2025-07-08,2025-07-07,15,"CHENNPETRO,JSWDULUX,JPPOWER,HONAUT,TEGA,NATCOPHARM,BOSCHLTD,DCMSHRIRAM,GABRIEL,BAYERCROP,CREDITACC,BLUEJET,RAINBOW,IGIL,NEULANDLAB",153.33219375583928,53.2
2025-07-09,2025-07-08,15,"JPPOWER,TEGA,JSWDULUX,SONATSOFTW,BELRISE,BOSCHLTD,FORCEMOT,SPLPETRO,GABRIEL,CARTRADE,MSUMI,BAJAJHLDNG,DCMSHRIRAM,JMFINANCIL,KPRMILL",152.89258106441213,51.06666666666667
2025-07-10,2025-07-09,15,"JPPOWER,FORCEMOT,MEDANTA,BELRISE,SYRMA,BOSCHLTD,BAYERCROP,JSWDULUX,GABRIEL,MRF,SCHAEFFLER,AIAENG,THELEELA,LINDEINDIA,TEGA",147.40407460765593,50.6
2025-07-11,2025-07-10,15,"FORCEMOT,SYRMA,TEGA,GABRIEL,ATUL,BELRISE,SAGILITY,GALLANTT,DCMSHRIRAM,ACMESOLAR,NYKAA,CARTRADE,JPPOWER,POWERINDIA,LEMONTREE",147.7429239989521,47.4
2025-07-14,2025-07-11,15,"GALLANTT,JPPOWER,ACMESOLAR,GABRIEL,SBFC,LEMONTREE,KIRLOSENG,SPLPETRO,SYRMA,FORCEMOT,BELRISE,GLENMARK,CARTRADE,SAGILITY,NETWEB",163.84730174617042,47.8
2025-07-15,2025-07-14,15,"JPPOWER,GABRIEL,ACMESOLAR,BELRISE,GLENMARK,EIDPARRY,CARTRADE,BOSCHLTD,HEG,SYRMA,WOCKPHARMA,NEULANDLAB,MANKIND,ANANDRATHI,ABDL",156.74905629314068,45.6
2025-07-16,2025-07-15,15,"JPPOWER,ANANDRATHI,OLAELEC,NEULANDLAB,ABDL,NETWEB,SWANCORP,FORCEMOT,GLENMARK,GODFRYPHLP,ACMESOLAR,BOSCHLTD,CARTRADE,BLUEJET,TEGA",167.56113968650828,53.13333333333333
2025-07-17,2025-07-16,15,"NEULANDLAB,BOSCHLTD,OLAELEC,SWANCORP,TEGA,IDEA,AEGISVOPAK,GODFRYPHLP,JPPOWER,ACUTAAS,GALLANTT,ANANTRAJ,ANANDRATHI,PAGEIND,PGEL",159.0646872590787,53.333333333333336
2025-07-18,2025-07-17,15,"SWANCORP,CRAFTSMAN,TEGA,THERMAX,APARINDS,NEULANDLAB,JPPOWER,AEGISVOPAK,PATANJALI,BELRISE,GLAND,CHOICEIN,AADHARHFC,COHANCE,ITCHOTELS",146.90634725342332,46.86666666666667
2025-07-21,2025-07-18,15,"NUVOCO,NEULANDLAB,ANANDRATHI,AEGISVOPAK,BLUEJET,THERMAX,RRKABEL,SPLPETRO,CHENNPETRO,ITCHOTELS,TEGA,PATANJALI,JSWDULUX,SAMMAANCAP,POWERINDIA",152.4243898096186,47.13333333333333
2025-07-22,2025-07-21,15,"GMDCLTD,ITCHOTELS,JPPOWER,BLUEJET,GALLANTT,SAMMAANCAP,PARADEEP,GILLETTE,NEULANDLAB,TRAVELFOOD,JSWDULUX,CRAFTSMAN,AIIL,NUVOCO,TEGA",148.3689799187474,48.13333333333333
