rule_id,feature,direction,threshold,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0376,teacher_selected__pct,hi,0.95,474,474,1.0,58.79324894514768,13.396314679257529,70.042194092827,6784.258786135128
R0375,teacher_selected__pct,hi,0.9,474,474,1.0,58.79324894514768,13.396314679257529,70.042194092827,6784.258786135128
R0374,teacher_selected__pct,hi,0.8,474,474,1.0,58.79324894514768,13.396314679257529,70.042194092827,6784.258786135128
R0373,teacher_selected__pct,hi,0.7,474,474,1.0,58.79324894514768,13.396314679257529,70.042194092827,6784.258786135128
R0129,down_day_streak__pct,lo,0.1,27,552,0.04891304347826087,2.8757567418822236,4.596159152086417,63.58695652173913,38.124116176244364
R0062,ret5_pct__pct,hi,0.95,94,1416,0.06638418079096045,3.9029416672626285,1.0027561148543351,49.152542372881356,15.630510062011933
R0054,ret3_pct__pct,hi,0.95,104,1416,0.07344632768361582,4.318148227609717,0.5909688762861071,49.36440677966102,12.059290987275373
R0070,ret10_pct__pct,hi,0.95,72,1416,0.05084745762711865,2.989487234499035,0.9286732483349828,48.728813559322035,9.389209344029188
R0053,ret3_pct__pct,hi,0.9,145,2832,0.05120056497175141,3.0102475625163887,0.6059380604410464,49.22316384180791,7.948670322209572
R0061,ret5_pct__pct,hi,0.9,133,2832,0.04696327683615819,2.761123626308136,0.6527164435106847,49.43502824858757,7.272166932467573
R0107,ret_std_20d__pct,hi,0.8,173,5605,0.030865298840321142,1.814671198485379,1.4450969470168085,50.61552185548618,6.99935073981866
R0108,ret_std_20d__pct,hi,0.9,98,2832,0.0346045197740113,2.034512145700732,1.2467555363082945,49.82344632768362,6.853167558988154
R0106,ret_std_20d__pct,hi,0.7,247,8378,0.02948197660539508,1.733341189956013,1.4537704372013556,50.728097397947,6.783934390729778
R0046,ret2_pct__pct,hi,0.95,81,1416,0.057203389830508475,3.3631731388114137,0.46495611914700763,48.728813559322035,6.748694111286904
R0372,hour_red_streak__pct,lo,0.1,11,349,0.03151862464183381,1.8530823449760012,2.311435855661833,55.30085959885387,5.888233183614029
R0128,down_day_streak__pct,lo,0.2,53,1745,0.03037249283667622,1.7856975324314195,1.4057145321688538,53.35243553008596,5.369950369238143
R0052,ret3_pct__pct,hi,0.8,196,5605,0.03496877787689563,2.0559280630238974,0.752832396694746,49.652096342551296,5.278563983857074
R0188,first15_ret_pct__pct,lo,0.05,48,1357,0.03537214443625645,2.079643293564546,0.996167749132026,50.25792188651437,5.051957423071024
R0187,first15_ret_pct__pct,lo,0.1,81,2775,0.02918918918918919,1.7161272665070133,1.2777455764493268,51.0990990990991,4.765939217298103
R0068,ret10_pct__pct,hi,0.8,167,5605,0.029794826048171276,1.7517346251275046,0.9909430284487326,50.31222123104371,4.61599251632242
R0051,ret3_pct__pct,hi,0.7,238,8378,0.02840773454285032,1.67018300894547,0.9004619808802503,50.45356887085223,4.075590536233725
R0045,ret2_pct__pct,hi,0.9,120,2832,0.0423728813559322,2.4912393620825286,0.3695775139533337,48.87005649717514,3.9813764040864648
R0136,day_volume_1m__pct,lo,0.1,77,2773,0.027767760548142804,1.6325568585562102,1.2122499659958574,51.02776776054815,3.971972595531666
R0069,ret10_pct__pct,hi,0.9,103,2832,0.03637005649717514,2.1383137857875036,0.5728003737641025,48.44632768361582,3.9586667408158456
R0006,volume__pct,lo,0.1,76,2726,0.027879677182685254,1.6391368011119676,1.1640934680706454,50.660308143800435,3.837126701623168
R0304,last60_ret_pct__pct,lo,0.05,47,1357,0.034635224760501106,2.0363173916152846,0.7621906509477824,47.67870302137067,3.680900437102628
R0060,ret5_pct__pct,hi,0.8,184,5605,0.03282783229259589,1.9300549163081484,0.569149279631457,49.04549509366637,3.663097302933795
R0067,ret10_pct__pct,hi,0.7,216,8378,0.02578180950107424,1.5157963442530316,1.0640188951245129,50.94294581045595,3.5737145941180626
R0078,ret20_pct__pct,hi,0.95,48,1416,0.03389830508474576,1.992991489666023,0.7458959128464672,48.44632768361582,3.5418691461401393
R0179,close_vs_vwap_pct__pct,lo,0.1,83,2773,0.02993148214929679,1.75976908130085,0.8044162949703781,50.054093040028846,3.384922671138738
R0319,last60_volume__pct,lo,0.1,74,2773,0.026685899747565814,1.5689507471838904,1.1407907086137503,50.48683736025965,3.325638017190496
R0028,day_range_pct__pct,hi,0.7,224,8380,0.02673031026252983,1.5715617856459523,0.8951367880715987,48.782816229116946,3.307616298134304
R0159,intra_range_pct__pct,hi,0.7,224,8380,0.02673031026252983,1.5715617856459523,0.8845379169205869,48.72315035799522,3.2715984069525215
R0320,last60_volume__pct,lo,0.05,44,1357,0.032424465733235076,1.9063396857675001,0.7565612824034377,49.37361827560796,3.25891564096574
R0232,first60_ret_pct__pct,lo,0.05,43,1357,0.03168754605747973,1.8630137838182388,0.8190475804326423,48.48931466470155,3.2274619263167486
R0137,day_volume_1m__pct,lo,0.05,43,1357,0.03168754605747973,1.8630137838182388,0.7893569807318261,49.74207811348563,3.2143825901699774
R0007,volume__pct,lo,0.05,44,1334,0.03298350824587706,1.9392076113841814,0.6893572522772122,49.32533733133433,3.1367671901080665
