entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired,exit_time,exit_reason,ret5x_pct,ret1x_pct,gross_rs,charges_rs,position_rets
2025-06-17,2025-06-16,15,"JUBLINGREA,FORCEMOT,SCI,NAVA,NEULANDLAB,DCMSHRIRAM,RHIM,GILLETTE,ONESOURCE,ANANDRATHI,360ONE,ERIS,PFIZER,OIL,MANAPPURAM",150.03533007526767,49.46666666666667,09:19,HARD_STOP,-3.880531875165379,-0.7761063750330758,-17832.029999999795,1570.6293758271001,"-0.3394,1.1111,-4.1215,-2.0318,-0.0934,-0.5585,-0.2119,0.7506,-1.3455,-0.5048,-1.4078,-1.6901,0.7627,-0.6523,-0.2740"
2025-06-18,2025-06-17,15,"FORCEMOT,ONESOURCE,SCI,JUBLINGREA,BAYERCROP,WOCKPHARMA,SPLPETRO,NAVA,POWERINDIA,SAGILITY,GLAND,RPOWER,IKS,SUPREMEIND,BAJAJHLDNG",160.9090438492619,54.666666666666664,09:16,HARD_STOP,-4.838478224674555,-0.967695644934911,-22623.069999999832,1569.3211233729403,"-1.5375,0.1581,0.0999,-0.7015,-0.6367,-0.3777,-1.8209,-1.3879,-0.3262,0.0244,-0.2524,-2.1283,-3.8973,-0.0130,-0.9538"
2025-06-19,2025-06-18,15,"FORCEMOT,GRSE,SPLPETRO,ZYDUSWELL,ONESOURCE,BAYERCROP,GODREJIND,POWERINDIA,SAGILITY,ABCAPITAL,BEML,MCX,CRISIL,NEULANDLAB,SUPREMEIND",152.7642260810728,48.666666666666664,11:10,HARD_STOP,-3.268165662755778,-0.6536331325511556,-14768.539999999572,1572.28831377932,"-1.7251,-1.2855,0.0815,1.0726,-0.3619,0.3082,0.6464,2.1126,-2.7449,0.3059,-2.1286,-1.6939,0.3482,-1.4510,-2.5813"
2025-06-20,2025-06-19,15,"SWIGGY,DCMSHRIRAM,GILLETTE,CEMPRO,GALLANTT,ZYDUSWELL,SPLPETRO,MRF,AEGISVOPAK,ONESOURCE,CRISIL,GODREJIND,SHREECEM,PTCIL,POWERINDIA",167.82896674197826,49.46666666666667,09:24,HARD_STOP,-3.5958920616045926,-0.7191784123209185,-16419.619999999646,1559.84030802332,"-1.2351,-0.7019,-1.2360,-3.0374,-0.7008,-0.4075,0.0515,-0.1408,1.8588,-1.1531,-0.9485,0.1659,-0.0680,-0.4878,-1.9417"
2025-06-23,2025-06-20,15,"FORCEMOT,GILLETTE,CEMPRO,CRISIL,BEML,SWIGGY,ZYDUSWELL,CONCORDBIO,GALLANTT,WAAREEENER,KAYNES,MRF,POWERINDIA,PTCIL,MCX",147.0728116056758,52.13333333333333,15:29,EOD,6.329230686478966,1.2658461372957932,33213.59999999963,1567.4465676048003,"0.8463,1.1342,1.2845,3.1345,2.6793,0.0130,1.8000,1.1123,1.7192,-1.3504,-0.1552,0.4500,0.7707,4.4365,2.7329"
2025-06-24,2025-06-23,15,"GALLANTT,BEML,SWIGGY,GRSE,SPLPETRO,CRISIL,TEGA,KFINTECH,CHENNPETRO,BOSCHLTD,WAAREEENER,MCX,ZEEL,POWERINDIA,FORCEMOT",153.92066086561107,49.53333333333333,09:22,HARD_STOP,-3.563491887081579,-0.7126983774163158,-16247.600000000093,1569.8594354078,"0.1141,-2.6619,0.4093,-4.3528,-1.8577,1.8718,0.2003,-0.1563,-1.0760,-0.5625,-0.8261,-1.6766,-1.8130,2.0248,0.7497"
2025-06-25,2025-06-24,15,"SPLPETRO,ZEEL,JMFINANCIL,GALLANTT,FORCEMOT,SWANCORP,CHENNPETRO,WAAREEENER,USHAMART,GRSE,BEML,ANANDRATHI,POONAWALLA,KFINTECH,BAYERCROP",150.95246380927745,52.0,15:29,EOD,-2.1042077346821197,-0.42084154693642395,-8942.739999999758,1578.29867341084,"2.1792,1.1164,2.0396,2.6665,-0.5099,-0.6944,-2.7559,-1.9333,0.7505,-6.3830,-0.8054,-1.2906,-1.1249,-0.5485,1.8689"
2025-06-26,2025-06-25,15,"GALLANTT,IDEA,SPLPETRO,JMFINANCIL,PAGEIND,MCX,SAMMAANCAP,NEULANDLAB,ENDURANCE,PTCIL,KFINTECH,CEMPRO,ZEEL,RKFORGE,KAJARIACER",145.75804012412254,46.266666666666666,10:09,HARD_STOP,-3.5328080487561717,-0.7065616097512344,-16093.71999999974,1570.32024378112,"-0.0827,0.8357,-2.3622,1.7115,-0.2495,0.1731,-1.2028,-2.0917,-0.9313,-0.6640,-1.5242,-0.7581,-1.6322,-0.7956,-0.2732"
2025-06-27,2025-06-26,15,"SPLPETRO,SAMMAANCAP,IDEA,NUVAMA,APARINDS,GALLANTT,JMFINANCIL,ABBOTINDIA,GABRIEL,CEMPRO,NH,JSWDULUX,FIRSTCRY,WELSPUNLIV,USHAMART",149.85458176228465,49.0,15:29,EOD,5.58759240700534,1.1175184814010681,29529.97999999998,1592.01796497328,"0.5747,-2.2222,2.0690,4.1772,-3.9886,-1.9054,0.8038,5.2632,1.0256,1.5584,3.9009,6.1928,-2.7288,0.1389,2.8386"
2025-06-30,2025-06-27,15,"ABBOTINDIA,FIRSTCRY,SPLPETRO,HOMEFIRST,NH,NUVAMA,SAMMAANCAP,JKCEMENT,TBOTEK,WELSPUNLIV,ONESOURCE,HSCL,PAGEIND,APARINDS,IDEA",156.01734427038792,52.0,09:34,HARD_STOP,-3.158160759043196,-0.6316321518086392,-14227.290000000037,1563.51379521594,"-0.5580,-1.2274,-0.9628,-1.8788,-1.3753,-0.5073,-0.2325,-3.7638,-0.9233,-0.9705,0.0728,2.5765,-0.2459,0.7548,0.5405"
2025-07-01,2025-06-30,15,"ABBOTINDIA,BAYERCROP,NUVAMA,IDBI,AAVAS,SPLPETRO,FORCEMOT,NH,CEMPRO,REDINGTON,GABRIEL,HSCL,JMFINANCIL,EIDPARRY,GODFRYPHLP",157.02547359648548,48.266666666666666,10:11,HARD_STOP,-3.3189961982446996,-0.6637992396489399,-15023.94999999972,1571.03099122378,"-1.4436,-0.5582,0.0000,-0.1933,-0.0048,-1.4001,-2.1486,-0.2064,-0.6153,0.4287,0.0000,-2.3894,-0.1318,-0.9099,0.2658"
2025-07-02,2025-07-01,15,"ENDURANCE,HSCL,GABRIEL,BAYERCROP,FORCEMOT,ABBOTINDIA,SPLPETRO,CRAFTSMAN,PTCIL,TBOTEK,RBLBANK,CUB,J&KBANK,SYRMA,LAURUSLABS",154.4783063985781,52.13333333333333,13:22,HARD_STOP,-3.341161081027424,-0.6682322162054848,-15134.439999999478,1571.36540513764,"-2.6988,-1.6799,0.0000,0.7458,-2.0460,0.8897,-0.8314,-0.6834,0.2203,-0.6310,-3.4352,-0.2919,-2.7179,3.2423,0.9316"
2025-07-03,2025-07-02,15,"GABRIEL,BAYERCROP,ASAHIINDIA,BLUEDART,CUB,JPPOWER,APARINDS,ZFCVINDIA,ABBOTINDIA,TBOTEK,RBLBANK,ENDURANCE,TATACOMM,KALYANKJIL,WAAREEENER",151.09522315389233,52.93333333333333,10:45,HARD_STOP,-3.4065202242873704,-0.6813040448574741,-15464.370000000112,1568.2311214367398,"-1.9016,0.5938,-0.3076,-0.6293,-1.2613,-1.4854,0.1855,1.0682,0.2679,-2.4390,1.8936,-2.0446,-1.3152,-1.2124,-0.6342"
2025-07-04,2025-07-03,15,"GABRIEL,JMFINANCIL,HONAUT,BAYERCROP,BLUEDART,SYRMA,DCMSHRIRAM,CHENNPETRO,PTCIL,ABBOTINDIA,SAGILITY,AMBER,LTFOODS,ENDURANCE,BLUESTARCO",153.66282616617585,51.86666666666667,10:54,HARD_STOP,-3.3881607119498995,-0.6776321423899799,-15371.330000000075,1569.47355974942,"-0.7425,-1.3473,-0.5691,0.5792,-2.1889,0.3872,-4.6886,1.6831,0.3524,0.0706,-0.6580,0.2723,-2.8560,-0.7672,1.2371"
2025-07-07,2025-07-04,15,"DCMSHRIRAM,ASTERDM,BLUEDART,CHENNPETRO,HONAUT,SPLPETRO,COHANCE,NATCOPHARM,GALLANTT,MRPL,BLUESTARCO,CRAFTSMAN,JMFINANCIL,JKCEMENT,BOSCHLTD",161.30813629369015,56.2,09:49,HARD_STOP,-3.7859371370609733,-0.7571874274121947,-17360.669999999925,1569.0156853049398,"-0.3321,-1.6170,-0.5599,-2.6206,-1.3592,0.0918,-1.4132,-2.0110,-0.2355,-1.3873,-0.2723,-0.7365,0.4209,0.9310,0.7550"
2025-07-08,2025-07-07,15,"CHENNPETRO,JSWDULUX,JPPOWER,HONAUT,TEGA,NATCOPHARM,BOSCHLTD,DCMSHRIRAM,GABRIEL,BAYERCROP,CREDITACC,BLUEJET,RAINBOW,IGIL,NEULANDLAB",153.33219375583928,53.2,15:29,EOD,0.6447765959354214,0.12895531918708428,4800.899999999907,1577.0170203228001,"-0.5002,2.0776,-3.2328,-0.4872,-1.1486,1.1276,-1.4032,2.2553,7.4698,0.9321,1.3770,-2.5695,-1.4094,-0.9524,-0.7976"
2025-07-09,2025-07-08,15,"JPPOWER,TEGA,JSWDULUX,SONATSOFTW,BELRISE,BOSCHLTD,FORCEMOT,SPLPETRO,GABRIEL,CARTRADE,MSUMI,BAJAJHLDNG,DCMSHRIRAM,JMFINANCIL,KPRMILL",152.89258106441213,51.06666666666667,15:29,EOD,2.466609232682262,0.4933218465364524,13906.39000000013,1573.3438365888198,"-0.9379,1.6969,-1.5495,-0.9122,2.8319,0.5634,9.2566,-0.7280,3.6290,-1.8529,-0.2080,-0.6881,-0.3556,-0.7895,-0.8299"
2025-07-10,2025-07-09,15,"JPPOWER,FORCEMOT,MEDANTA,BELRISE,SYRMA,BOSCHLTD,BAYERCROP,JSWDULUX,GABRIEL,MRF,SCHAEFFLER,AIAENG,THELEELA,LINDEINDIA,TEGA",147.40407460765593,50.6,15:29,EOD,1.6454342683383212,0.3290868536676642,9792.950000000186,1565.7786583085801,"2.6257,-0.5992,2.9295,-0.2414,2.1462,1.5535,-2.2412,-1.2552,4.7194,-1.2625,-0.3542,-0.5797,1.1866,-0.4918,-2.2995"
2025-07-11,2025-07-10,15,"FORCEMOT,SYRMA,TEGA,GABRIEL,ATUL,BELRISE,SAGILITY,GALLANTT,DCMSHRIRAM,ACMESOLAR,NYKAA,CARTRADE,JPPOWER,POWERINDIA,LEMONTREE",147.7429239989521,47.4,15:29,EOD,-1.623813474103061,-0.3247626948206122,-6537.7400000002235,1581.3273705150802,"-1.1987,2.0000,-2.4247,0.3717,-2.4157,2.4180,0.4944,-2.0305,-0.5868,-0.5444,0.3279,3.4820,2.3758,-4.5175,-1.9703"
2025-07-14,2025-07-11,15,"GALLANTT,JPPOWER,ACMESOLAR,GABRIEL,SBFC,LEMONTREE,KIRLOSENG,SPLPETRO,SYRMA,FORCEMOT,BELRISE,GLENMARK,CARTRADE,SAGILITY,NETWEB",163.84730174617042,47.8,09:24,HARD_STOP,-4.295071636658942,-0.8590143273317883,-19894.16000000015,1581.1981832945598,"-0.7937,-3.7190,-1.2780,-1.5250,-0.8101,0.1641,0.8371,-0.5937,-0.6325,0.5785,-2.2929,0.1382,-1.6903,-1.4441,1.1224"
2025-07-15,2025-07-14,15,"JPPOWER,GABRIEL,ACMESOLAR,BELRISE,GLENMARK,EIDPARRY,CARTRADE,BOSCHLTD,HEG,SYRMA,WOCKPHARMA,NEULANDLAB,MANKIND,ANANDRATHI,ABDL",156.74905629314068,45.6,09:45,HARD_STOP,-3.7563569804641754,-0.7512713960928351,-17207.610000000335,1574.17490232054,"-3.6162,0.2000,-2.2232,-0.6718,-1.0657,0.0607,-3.5723,0.9739,0.0560,0.1903,-0.2085,1.2338,-0.8333,-1.3520,0.5524"
2025-07-16,2025-07-15,15,"JPPOWER,ANANDRATHI,OLAELEC,NEULANDLAB,ABDL,NETWEB,SWANCORP,FORCEMOT,GLENMARK,GODFRYPHLP,ACMESOLAR,BOSCHLTD,CARTRADE,BLUEJET,TEGA",167.56113968650828,53.13333333333333,15:29,EOD,-2.202333294726711,-0.4404666589453422,-9437.819999999832,1573.8464736337203,"-3.0600,1.4575,-5.2833,-3.9973,0.4171,-0.3204,4.8000,0.2196,-0.6306,-1.1161,-1.1626,-0.1685,0.9451,-0.9126,3.1467"
2025-07-17,2025-07-16,15,"NEULANDLAB,BOSCHLTD,OLAELEC,SWANCORP,TEGA,IDEA,AEGISVOPAK,GODFRYPHLP,JPPOWER,ACUTAAS,GALLANTT,ANANTRAJ,ANANDRATHI,PAGEIND,PGEL",159.0646872590787,53.333333333333336,14:23,HARD_STOP,-3.540636804447053,-0.7081273608894106,-16136.399999999907,1566.7840222353598,"0.3403,-0.3238,-0.3774,-3.1608,-0.0784,-0.1276,0.6181,-1.3171,-4.8421,-0.6224,-0.3973,-0.7553,1.9061,-0.4017,-0.2171"
2025-07-18,2025-07-17,15,"SWANCORP,CRAFTSMAN,TEGA,THERMAX,APARINDS,NEULANDLAB,JPPOWER,AEGISVOPAK,PATANJALI,BELRISE,GLAND,CHOICEIN,AADHARHFC,COHANCE,ITCHOTELS",146.90634725342332,46.86666666666667,15:29,EOD,0.5968818389587485,0.11937636779174969,4566.010000000242,1581.6008052065001,"-0.7089,-1.0923,2.6247,-0.4300,0.4156,-2.1237,0.3954,-1.3014,1.2762,2.0082,-0.8969,-0.9279,-0.2477,-1.4587,5.1074"
2025-07-21,2025-07-18,15,"NUVOCO,NEULANDLAB,ANANDRATHI,AEGISVOPAK,BLUEJET,THERMAX,RRKABEL,SPLPETRO,CHENNPETRO,ITCHOTELS,TEGA,PATANJALI,JSWDULUX,SAMMAANCAP,POWERINDIA",152.4243898096186,47.13333333333333,09:17,HARD_STOP,-3.2930905635707517,-0.6586181127141504,-14892.770000000019,1572.6828178537398,"1.8798,0.3645,-2.3229,-1.1203,-2.0032,-0.2545,-2.4711,-1.0035,-1.0000,1.0196,-0.1435,-0.5882,-0.4460,0.4485,-1.4375"
2025-07-22,2025-07-21,15,"GMDCLTD,ITCHOTELS,JPPOWER,BLUEJET,GALLANTT,SAMMAANCAP,PARADEEP,GILLETTE,NEULANDLAB,TRAVELFOOD,JSWDULUX,CRAFTSMAN,AIIL,NUVOCO,TEGA",148.3689799187474,48.13333333333333,14:18,HARD_STOP,-3.282097305166068,-0.6564194610332136,-14834.25,1576.2365258303398,"5.2074,-1.6944,-0.2776,-10.7241,-2.0347,-0.4794,-1.5947,0.2080,-1.7464,1.9264,2.5351,-0.5239,-0.3979,1.8141,-1.2139"
2025-07-23,2025-07-22,15,"3MINDIA,ETERNAL,GMDCLTD,TEGA,PARADEEP,GALLANTT,JSWDULUX,APARINDS,CHOICEIN,NUVOCO,FORCEMOT,SWIGGY,POWERINDIA,SHREECEM,RHIM",155.31458497468313,48.8,15:29,EOD,-0.6826999987144544,-0.13653999974289088,-1836.6500000003725,1576.8499935718996,"1.0400,1.3591,-1.2453,-2.0891,5.1181,1.1744,-1.1675,-1.2758,-0.8284,0.8383,-2.2159,0.2033,-1.7322,-1.2158,0.7803"
2025-07-24,2025-07-23,15,"GMDCLTD,PAYTM,INDIACEM,NEULANDLAB,PARADEEP,JSWDULUX,BELRISE,POWERINDIA,3MINDIA,CRAFTSMAN,SHREECEM,ETERNAL,RHIM,TEGA,GALLANTT",160.0261255186572,54.06666666666667,09:43,HARD_STOP,-3.3671612260457673,-0.6734322452091535,-15260.009999999776,1575.79613022906,"-0.7882,0.2864,-0.9452,0.4663,-3.5359,0.6268,-2.0116,-0.1003,-0.4736,0.0000,-0.2958,1.5054,-2.1088,-1.5816,-0.2359"
2025-07-25,2025-07-24,15,"FORCEMOT,PARADEEP,BELRISE,JSWDULUX,3MINDIA,ETERNAL,NEULANDLAB,PAYTM,OLECTRA,ZFCVINDIA,GALLANTT,VIJAYA,RHIM,MRPL,KIMS",163.17237175982567,50.4,09:17,HARD_STOP,-3.602477004911987,-0.7204954009823974,-16438.799999999814,1573.5850245601198,"-1.0933,0.3312,-1.0690,-0.7658,-1.9061,0.6453,-0.3186,0.6545,-1.3037,-0.1553,-0.5374,-1.5361,-0.1972,-1.5513,-1.2722"
2025-07-28,2025-07-25,15,"OLECTRA,FORCEMOT,HOMEFIRST,VIJAYA,COROMANDEL,GRAVITA,PTCIL,JSWDULUX,3MINDIA,SHYAMMETL,ETERNAL,GALLANTT,ERIS,PHOENIXLTD,JPPOWER",169.0651685240877,50.733333333333334,15:29,EOD,-1.3663771388434165,-0.2732754277686833,-5256.260000000242,1575.6256942168402,"-2.7119,4.0286,-5.6905,5.4251,-1.2295,-3.4057,1.2274,0.2600,-1.1527,-2.0000,-0.9516,3.0495,-2.0541,-0.2449,2.4378"
