entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-04-04,2025-04-03,15,"GALLANTT,WHIRLPOOL,LINDEINDIA,TATACONSUM,SBFC,TEJASNET,GPIL,PTCIL,GODFRYPHLP,PARADEEP,ATUL,IDEA,VTL,BLUEDART,BBTC",9177.53747254551,48.46666666666667
2025-04-07,2025-04-04,15,"PARADEEP,VTL,PNBHOUSING,TATACONSUM,TEJASNET,GALLANTT,BDL,TRIDENT,GPIL,ADANIPOWER,SBFC,GMRAIRPORT,LINDEINDIA,WHIRLPOOL,LEMONTREE",27264.90536931024,36.266666666666666
2025-04-08,2025-04-07,15,"ATUL,CRAFTSMAN,MEDANTA,JMFINANCIL,APARINDS,FSL,NUVAMA,PGEL,AFFLE,JUBLINGREA,LTFOODS,SYRMA,DIXON,MCX,PIIND",27190.60908488363,29.0
2025-04-09,2025-04-08,15,"CRAFTSMAN,ATUL,JUBLINGREA,NUVAMA,ARE&M,SUZLON,LTFOODS,VTL,BLUEDART,PARADEEP,RAINBOW,GMRAIRPORT,ZFCVINDIA,CRISIL,IGIL",12772.03485769508,46.333333333333336
2025-04-11,2025-04-09,15,"CRAFTSMAN,PPLPHARMA,LTFOODS,ATUL,KAYNES,MCX,JUBLINGREA,GRAVITA,FLUOROCHEM,NUVAMA,FSL,SYRMA,MEDANTA,ARE&M,TARIL",25395.347345361195,33.46666666666667
2025-04-15,2025-04-11,15,"CRAFTSMAN,RKFORGE,BLUESTARCO,TARIL,PTCIL,PAGEIND,GALLANTT,ONESOURCE,NBCC,GRAVITA,ATUL,GODFRYPHLP,VTL,MRF,BLUEDART",5547.506598360408,46.333333333333336
2025-04-16,2025-04-15,15,"JBMA,DOMS,NBCC,KFINTECH,KAYNES,TARIL,NEULANDLAB,SYRMA,GALLANTT,GRAVITA,360ONE,3MINDIA,DIXON,DATAPATTNS,COHANCE",7368.689898275387,44.2
2025-04-17,2025-04-16,15,"BLUEJET,FACT,DELHIVERY,NEULANDLAB,SAILIFE,PTCIL,PARADEEP,JBMA,KAYNES,GALLANTT,GMDCLTD,INTELLECT,IREDA,INDUSINDBK,POLYMED",5569.984557357763,45.06666666666667
2025-04-21,2025-04-17,15,"JBMA,PARADEEP,GMDCLTD,BLUEJET,INDUSINDBK,ENGINERSIN,DOMS,ANURAS,NEULANDLAB,PTCIL,CRAFTSMAN,NBCC,POLYMED,HOMEFIRST,GALLANTT",14613.298898946405,47.733333333333334
2025-04-22,2025-04-21,15,"GODFRYPHLP,SPLPETRO,APARINDS,PERSISTENT,LALPATHLAB,GALLANTT,TECHNOE,ONESOURCE,ZFCVINDIA,FACT,PTCIL,EMCURE,VTL,JBMA,KFINTECH",9171.724635500306,51.53333333333333
2025-04-23,2025-04-22,15,"SPLPETRO,ATUL,REDINGTON,GODFRYPHLP,COFORGE,AUBANK,PERSISTENT,HCLTECH,MPHASIS,LALPATHLAB,CHOICEIN,TECHM,NAM-INDIA,FACT,VIJAYA",21783.209605488428,30.866666666666667
2025-04-24,2025-04-23,15,"DATAPATTNS,APARINDS,LALPATHLAB,KFINTECH,SBFC,HOMEFIRST,ELECON,NEULANDLAB,MOTILALOFS,WAAREEENER,GALLANTT,PREMIERENE,DIXON,AUBANK,TARIL",5564.7474757605605,45.93333333333333
2025-04-25,2025-04-24,15,"OFSS,PERSISTENT,ATUL,COFORGE,MPHASIS,HCLTECH,M&M,TECHM,LALPATHLAB,WAAREEENER,NEWGEN,MMTC,GODFRYPHLP,AUBANK,ELECON",16402.351563069624,39.733333333333334
2025-04-28,2025-04-25,15,"REDINGTON,APARINDS,CHOICEIN,ELECON,TECHM,TATAELXSI,AUBANK,GODFRYPHLP,DATAPATTNS,OFSS,HCLTECH,IIFL,ATUL,LALPATHLAB,SONATSOFTW",21846.4970325086,39.333333333333336
2025-04-29,2025-04-28,15,"ATUL,FORCEMOT,INDIACEM,TIMKEN,CEATLTD,MARUTI,HONASA,NEWGEN,CARTRADE,DATAPATTNS,CHOICEIN,PARADEEP,SONATSOFTW,SPLPETRO,JSWDULUX",12786.652486736444,46.06666666666667
2025-04-30,2025-04-29,15,"ACUTAAS,SCHAEFFLER,TIMKEN,IGL,FORCEMOT,CEATLTD,MARUTI,DATAPATTNS,MAZDOCK,EMCURE,GRSE,KPITTECH,SONATSOFTW,WHIRLPOOL,ATUL",12766.536627858171,36.6
2025-05-02,2025-04-30,15,"MAZDOCK,POWERINDIA,ELECON,INDIACEM,HONASA,TIMKEN,CREDITACC,FORCEMOT,DATAPATTNS,COCHINSHIP,GRSE,SONATSOFTW,WHIRLPOOL,JSWDULUX,CEATLTD",14620.063203134814,50.2
2025-05-05,2025-05-02,15,"SONATSOFTW,GRSE,MAZDOCK,POWERINDIA,CEATLTD,IGL,TIINDIA,INDIACEM,MARUTI,DATAPATTNS,TIMKEN,ATUL,ELECON,VMM,3MINDIA",16426.97877900701,46.8
2025-05-06,2025-05-05,15,"TIMKEN,CONCORDBIO,ENDURANCE,SPLPETRO,CCL,WELSPUNLIV,KAJARIACER,KPRMILL,YESBANK,TMPV,IIFL,FORCEMOT,VMM,RRKABEL,DATAPATTNS",19993.223668821814,41.333333333333336
2025-05-07,2025-05-06,15,"YESBANK,SPLPETRO,CEMPRO,CRAFTSMAN,ENDURANCE,TIMKEN,APARINDS,GVT&D,KPRMILL,CONCORDBIO,ZEEL,WELSPUNLIV,KAJARIACER,IIFL,TMPV",27215.526561423496,35.8
2025-05-08,2025-05-07,15,"RRKABEL,CRAFTSMAN,SPLPETRO,YESBANK,CONCORDBIO,POLYMED,BLUEDART,CCL,MRF,CEATLTD,ELECON,NEWGEN,BOSCHLTD,ABBOTINDIA,FORCEMOT",9176.844730413228,48.733333333333334
2025-05-09,2025-05-08,15,"ELECON,ENDURANCE,TMPV,RRKABEL,CRAFTSMAN,KAJARIACER,SPLPETRO,YESBANK,IIFL,UNIONBANK,CCL,WELSPUNLIV,SCHAEFFLER,NIVABUPA,INTELLECT",18236.540317785246,44.46666666666667
2025-05-12,2025-05-09,15,"ENDURANCE,APARINDS,CCL,CONCORDBIO,TIMKEN,ELECON,INTELLECT,WELSPUNLIV,NEULANDLAB,TBOTEK,KPRMILL,POWERINDIA,CEATLTD,CRISIL,SPLPETRO",11007.86682703159,49.2
2025-05-13,2025-05-12,15,"GRSE,KPRMILL,YESBANK,WELSPUNLIV,POWERINDIA,INTELLECT,PTCIL,TBOTEK,NETWEB,SYRMA,CONCORDBIO,ENDURANCE,CRAFTSMAN,TIMKEN,RRKABEL",1964.5762555375031,55.733333333333334
2025-05-14,2025-05-13,15,"PTCIL,BAJAJHLDNG,IFCI,RVNL,TITAGARH,RITES,HBLENGINE,IRFC,GESHIP,IRCON,SCI,SYRMA,WELSPUNLIV,FORCEMOT,DATAPATTNS",19984.21268941814,33.86666666666667
2025-05-15,2025-05-14,15,"ECLERX,BAJAJHLDNG,KPIL,SCI,ANANTRAJ,KEC,GRSE,BDL,ABDL,INTELLECT,CEMPRO,APARINDS,COCHINSHIP,ZENTEC,FORCEMOT",10978.243737483248,42.666666666666664
2025-05-16,2025-05-15,15,"TITAGARH,SCI,IFCI,RVNL,GRANULES,RITES,JWL,IRFC,GESHIP,PTCIL,GRSE,ZENTEC,TEGA,COCHINSHIP,BDL",16384.01707918805,35.8
2025-05-19,2025-05-16,15,"PTCIL,BDL,HFCL,GRANULES,APARINDS,COCHINSHIP,CEMPRO,ABDL,ZENTEC,KIRLOSENG,GRSE,DATAPATTNS,IFCI,ECLERX,IRCON",7387.806238420785,47.13333333333333
2025-05-20,2025-05-19,15,"GRSE,PTCIL,IFCI,SCI,CLEAN,SOLARINDS,PFIZER,ERIS,RPOWER,JUBLPHARMA,TTML,JKTYRE,COCHINSHIP,APARINDS,DATAPATTNS",21828.187600186884,49.46666666666667
2025-05-21,2025-05-20,15,"PTCIL,GRSE,HONASA,PARADEEP,ERIS,BDL,SCI,RPOWER,CLEAN,LTFOODS,TTML,SOLARINDS,JKTYRE,KIMS,ZENTEC",25420.599112068547,35.4
2025-05-22,2025-05-21,15,"PTCIL,JUBLPHARMA,PARADEEP,IFCI,HONASA,CLEAN,RPOWER,SCI,NEWGEN,CCL,TRIDENT,ZENTEC,KIRLOSENG,ECLERX,IDBI",14597.560145647449,45.266666666666666
2025-05-23,2025-05-22,15,"JKTYRE,TBOTEK,LTFOODS,IFCI,PARADEEP,ERIS,RPOWER,HONASA,PTCIL,TTML,GRSE,TRIDENT,NTPCGREEN,PFIZER,ECLERX",14605.268703875434,46.333333333333336
2025-05-26,2025-05-23,15,"GRSE,TTML,BDL,JUBLPHARMA,PFIZER,JKTYRE,ERIS,PARADEEP,PTCIL,EMCURE,CAPLIPOINT,RPOWER,APARINDS,ANGELONE,SCI",14624.761526080418,51.333333333333336
2025-05-27,2025-05-26,15,"POWERINDIA,TEGA,GLAXO,ZENTEC,CONCORDBIO,MMTC,ELGIEQUIP,ITI,ENGINERSIN,WELCORP,HONASA,RPOWER,PTCIL,IFCI,TTML",18201.656134380333,45.86666666666667
2025-05-28,2025-05-27,15,"BEML,SUZLON,TECHNOE,MMTC,CONCORDBIO,ENGINERSIN,DEEPAKFERT,WELCORP,EMCURE,HONASA,KEC,BAJAJHLDNG,IFCI,CEMPRO,GVT&D",14592.479779701867,40.93333333333333
2025-05-29,2025-05-28,15,"BAYERCROP,SUZLON,ELGIEQUIP,WOCKPHARMA,BSE,BEML,PFIZER,IFCI,RPOWER,TECHNOE,PTCIL,FORCEMOT,MMTC,ITI,EMCURE",9183.730904508204,45.93333333333333
2025-05-30,2025-05-29,15,"BAYERCROP,TEGA,BEML,CONCORDBIO,SUZLON,NBCC,IFCI,ZENTEC,GVT&D,FORCEMOT,ITI,MMTC,PFIZER,POWERINDIA,GRSE",11004.68790808567,48.2
