DEEPAKNTR [ENTERPRISE-Dryup] nf=11 down_streak=2 vol=0.6x sret=-1.4% rsi=25 distSMA200=-12% distHigh60=-20% atr=2.5% | close10d[2448,2409,2318,2331,2351,2356,2349,2350,2340,2306] vol5d[0.9x,0.5x,0.4x,0.5x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>2.04 & dist_high_252<=-20.17 & rsi_14<=28.7 & weekly_range_pct>5.64 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_10pc_20d:dist_high_60<=-17.39 & dist_sma_20<=-2.87 & dist_sma_200<=-1.47 & rs_market_60d>-13.49 | hit_15pc_20d:dist_high_252<=-25.98 & dist_sma_20<=-1.89 & rsi_14<=27.56 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d>9.5 & weekly_close_loc>0.22 & weekly_range_pct>3.68
DLF [GOLD-baseline] nf=21 down_streak=2 vol=1.9x sret=-3.3% rsi=24 distSMA200=-15% distHigh60=-20% atr=3.3% | close10d[775,747,706,718,729,735,744,755,733,709] vol5d[0.8x,0.7x,0.6x,0.8x,1.9x] | patterns: hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_15pc_20d:atr_20_pct>3.27 & roc_20<=-13.62 & vol_5d_vs_20d>0.64 & weekly_close_vs_sma20<=3.41 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74 | hit_10pc_20d:atr_20_pct>2.04 & dist_high_252<=-20.17 & rsi_14<=28.7 & weekly_range_pct>5.64 | hit_15pc_20d:atr_20_pct>2.14 & rs_sector_60d<=10.06 & weekly_close_loc>0.09 & weekly_range_pct>8.01
APOLLOTYRE [GOLD] nf=13 down_streak=4 vol=1.0x sret=-1.9% rsi=11 distSMA200=-13% distHigh60=-21% atr=3.0% | close10d[467,454,435,445,447,448,445,443,440,431] vol5d[1.1x,0.5x,1.7x,1.0x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>2.04 & dist_high_252<=-20.17 & rsi_14<=28.7 & weekly_range_pct>5.64 | hit_10pc_20d:atr_20_pct>2.22 & dist_high_20<=-15.18 & weekly_close_loc<=0.63 & weekly_close_vs_sma20<=9.42 | hit_25pc_30d:roc_20<=-15.73 & slope_sma_20<=-1.89 | hit_25pc_30d:atr_20_pct>2.31 & dist_high_20<=-16.84 & dist_sma_200<=20.53 & weekly_close_vs_sma20<=8.49 | hit_10pc_20d:dist_high_60<=-17.39 & dist_sma_20<=-2.87 & dist_sma_200<=-1.47 & rs_market_60d>-13.49
DIXON [GOLD-baseline] nf=53 down_streak=2 vol=2.5x sret=-2.8% rsi=27 distSMA200=+14% distHigh60=-23% atr=5.0% | close10d[16845,16702,15828,16268,16912,16931,17217,17552,15138,14708] vol5d[0.5x,1.1x,1.0x,4.9x,2.5x] | patterns: hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20>1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57 | hit_10pc_20d:atr_20_pct>4.48 & rs_market_60d<=49.51 & rs_sector_60d>-3.61 & weekly_range_pct>5.29 | hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_40pc_40d:atr_20_pct>4.51 & atr_5_vs_20<=1.45 & dist_high_252>-34.53 & weekly_range_pct>19.69 | hit_15pc_20d:atr_20_pct>3.27 & roc_20<=-13.62 & vol_5d_vs_20d>0.64 & weekly_close_vs_sma20<=3.41
BIOCON [ENTERPRISE-Dryup] nf=10 down_streak=2 vol=0.4x sret=-0.6% rsi=56 distSMA200=+14% distHigh60=-4% atr=3.4% | close10d[370,360,365,387,382,393,393,401,390,388] vol5d[1.7x,1.0x,1.2x,0.7x,0.4x] | patterns: hit_25pc_30d:atr_20_pct>3.35 & rs_sector_60d>7.93 & weekly_close_vs_sma20>4.16 & weekly_range_pct>4.63 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d>9.5 & weekly_close_loc>0.22 & weekly_range_pct>3.68 | hit_15pc_20d:atr_20_pct>2.45 & dist_high_20<=-2.03 & weekly_close_loc>0.17 & weekly_range_pct>5.02 | hit_10pc_20d:atr_20_pct>3.12 & roc_5<=6.87 & rs_market_60d>2.39 & slope_sma_50>0.42 | hit_10pc_20d:atr_20_pct>2.15 & rs_sector_60d>13.71 & weekly_close_loc<=0.83 & weekly_close_loc>0.26
ABFRL [GOLD] nf=17 down_streak=0 vol=1.2x sret=+0.7% rsi=48 distSMA200=-8% distHigh60=-14% atr=3.4% | close10d[277,274,260,270,266,276,275,283,277,279] vol5d[1.4x,1.0x,1.4x,0.8x,1.2x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_10pc_20d:atr_20_pct>3.02 & dist_high_120<=-18.07 & weekly_close_loc>0.43 & weekly_range_pct<=8.64 | hit_10pc_20d:n_sub_2_5_range_7d<=0.5 & roc_5>-6.67 & weekly_close_vs_sma20<=3.06 & weekly_range_pct<=9.66
GLENMARK [ENTERPRISE-Dryup] nf=12 down_streak=0 vol=0.4x sret=+0.1% rsi=27 distSMA200=+4% distHigh60=-16% atr=3.0% | close10d[1589,1538,1493,1512,1474,1458,1465,1500,1496,1498] vol5d[0.4x,0.8x,0.8x,0.6x,0.4x] | patterns: hit_10pc_20d:dist_high_10<=-8.11 & n_sub_75v_7d>2.5 & weekly_close_loc>0.22 & weekly_range_pct>5.84 | hit_10pc_20d:dist_high_20<=-3.93 & weekly_close_loc>0.59 & weekly_range_pct<=9.47 & weekly_range_pct>5.47 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d>9.5 & weekly_close_loc>0.22 & weekly_range_pct>3.68 | hit_15pc_20d:atr_20_pct>2.45 & dist_high_20<=-2.03 & weekly_close_loc>0.17 & weekly_range_pct>5.02
GODREJPROP [GOLD] nf=74 down_streak=2 vol=1.8x sret=-5.3% rsi=22 distSMA200=-22% distHigh60=-26% atr=4.3% | close10d[2496,2386,2249,2308,2307,2364,2408,2428,2366,2241] vol5d[1.2x,0.9x,1.0x,1.4x,1.8x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:dist_high_252<=-32.38 & dist_high_60<=-19.39 & n_sub_3_range_7d<=3.5 & rs_sector_60d<=1.7 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:dist_high_252<=-27.48 & rsi_14<=37.51 & weekly_close_vs_sma20<=0.26 & weekly_range_pct>8.5 | hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20>1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57
EXIDEIND [GOLD] nf=21 down_streak=2 vol=1.1x sret=-0.4% rsi=21 distSMA200=-21% distHigh60=-21% atr=3.0% | close10d[395,387,371,380,380,386,388,390,375,374] vol5d[0.6x,0.4x,0.8x,1.3x,1.1x] | patterns: hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:dist_high_120<=-11.56 & dist_high_252<=-38.3 & rs_sector_60d<=-4.73 | hit_10pc_20d:atr_20_pct>2.04 & dist_high_252<=-20.17 & rsi_14<=28.7 & weekly_range_pct>5.64 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73
ADANIPORTS [ENTERPRISE-Dryup] nf=25 down_streak=3 vol=0.6x sret=-0.4% rsi=32 distSMA200=-19% distHigh60=-22% atr=3.5% | close10d[1127,1107,1061,1112,1123,1145,1158,1143,1101,1097] vol5d[1.3x,0.8x,0.4x,1.0x,0.6x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:atr_20_pct>2.14 & rs_sector_60d<=10.06 & weekly_close_loc>0.09 & weekly_range_pct>8.01 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_15pc_20d:atr_20_pct>3.04 & roc_60<=-12.59 & rs_market_60d<=29.67 & weekly_close_loc<=0.69
