DLF [ENTERPRISE-Dryup] nf=20 down_streak=2 vol=0.8x sret=-3.8% rsi=49 distSMA200=-18% distHigh60=-19% atr=3.4% | close10d[691,701,690,676,684,676,658,678,675,649] vol5d[0.8x,1.0x,1.0x,0.6x,0.8x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:dist_high_10<=-5.2 & rs_market_60d<=-13.99 & weekly_range_pct>5.35 | hit_10pc_20d:dist_sma_200<=-7.87 & roc_60<=-15.54 & rs_market_60d<=-12.87 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47
DIXON [GOLD] nf=50 down_streak=1 vol=0.8x sret=-2.6% rsi=48 distSMA200=-8% distHigh60=-26% atr=4.4% | close10d[14051,14602,13618,13255,13505,13174,12918,13445,13482,13132] vol5d[1.2x,0.9x,1.2x,1.0x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_10pc_20d:atr_20_pct>4.28 & weekly_close_loc<=0.67 & weekly_close_loc>0.35 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74
BIOCON [GOLD] nf=12 down_streak=1 vol=2.0x sret=-5.2% rsi=54 distSMA200=-7% distHigh60=-19% atr=2.8% | close10d[344,349,348,348,345,341,339,342,345,327] vol5d[1.0x,0.5x,0.5x,1.8x,2.0x] | patterns: hit_15pc_20d:atr_20_pct>2.14 & rs_sector_60d<=10.06 & weekly_close_loc>0.09 & weekly_range_pct>8.01 | hit_25pc_30d:atr_20_pct>2.44 & dist_sma_50<=-2.94 & weekly_range_pct>10.03 | hit_10pc_20d:dist_high_60<=-17.39 & dist_sma_20<=-2.87 & dist_sma_200<=-1.47 & rs_market_60d>-13.49 | hit_15pc_20d:dist_high_60<=-13.65 & n_sub_3_range_7d>3.5 & weekly_close_loc>0.17 & weekly_range_pct>7.49 | hit_10pc_20d:dist_sma_200<=15.86 & weekly_close_vs_sma20<=1.2 & weekly_range_pct>8.79
BERGEPAINT [GOLD] nf=16 down_streak=0 vol=2.3x sret=+0.1% rsi=65 distSMA200=-1% distHigh60=-2% atr=2.7% | close10d[497,508,498,498,498,497,490,502,508,509] vol5d[0.9x,1.3x,0.8x,0.5x,2.3x] | patterns: hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20>5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14
GRANULES [GOLD] nf=52 down_streak=1 vol=1.7x sret=-7.0% rsi=44 distSMA200=-19% distHigh60=-26% atr=3.7% | close10d[506,510,504,491,489,485,481,482,490,455] vol5d[0.3x,0.3x,1.0x,1.3x,1.7x] | patterns: hit_10pc_20d:n_sub_2_5_range_7d<=0.5 & roc_5<=-6.67 & weekly_close_vs_sma20<=3.06 | hit_15pc_20d:n_sub_2_5_range_7d<=0.5 & rs_sector_60d<=-13.92 & weekly_close_vs_sma20<=3.06 & weekly_range_pct>9.06 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:atr_20_pct>2.78 & dist_high_252<=-36.5 & dist_high_252>-43.91 & weekly_range_pct>9.13 | hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97
GODREJPROP [GOLD] nf=35 down_streak=1 vol=0.7x sret=-3.9% rsi=59 distSMA200=-24% distHigh60=-20% atr=3.6% | close10d[2144,2189,2138,2131,2126,2130,2041,2147,2151,2068] vol5d[0.5x,0.9x,1.4x,0.7x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_10pc_20d:atr_20_pct>2.23 & dist_high_120<=-32.84 & weekly_close_loc<=0.55 & weekly_close_vs_sma20<=8.42
HCLTECH [GOLD] nf=26 down_streak=6 vol=1.4x sret=-3.3% rsi=32 distSMA200=-17% distHigh60=-29% atr=2.8% | close10d[1485,1521,1540,1548,1545,1510,1451,1448,1394,1348] vol5d[0.7x,1.4x,1.0x,1.3x,1.4x] | patterns: hit_15pc_20d:dist_high_252<=-27.48 & rsi_14<=37.51 & weekly_close_vs_sma20<=0.26 & weekly_range_pct>8.5 | hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73
GUJGASLTD [ENTERPRISE-Dryup] nf=22 down_streak=1 vol=0.8x sret=-3.9% rsi=55 distSMA200=-25% distHigh60=-22% atr=3.1% | close10d[408,411,405,399,405,407,404,402,408,392] vol5d[0.9x,0.3x,0.3x,0.6x,0.8x] | patterns: hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_10pc_20d:dist_sma_200<=-25.2 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73
IDEA [GOLD] nf=63 down_streak=2 vol=1.0x sret=-3.4% rsi=63 distSMA200=-26% distHigh60=-24% atr=5.2% | close10d[8,7,7,7,7,7,8,8,8,8] vol5d[1.7x,0.0x,1.9x,1.0x,1.0x] | patterns: hit_15pc_20d:slope_sma_50<=0.45 & weekly_close_loc>0.22 & weekly_range_pct>12.8 | hit_10pc_20d:atr_20_pct>2.33 & rs_market_60d<=28.94 & weekly_close_loc>0.31 & weekly_range_pct>10.12 | hit_10pc_20d:n_sub_75v_7d<=2.5 & weekly_close_loc>0.22 & weekly_range_pct>9.96 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44
ABCAPITAL [GOLD] nf=11 down_streak=1 vol=0.9x sret=-2.6% rsi=77 distSMA200=-6% distHigh60=-3% atr=3.0% | close10d[186,185,182,181,185,185,184,190,193,188] vol5d[0.6x,0.7x,0.8x,1.2x,0.9x] | patterns: hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:atr_20_pct>2.35 & roc_20>3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:dist_high_10>-8.11 & n_sub_75v_7d>2.5 & weekly_close_loc>0.22 & weekly_range_pct>5.84
