month,days,win_pct,avg_names,deployed_1x_rs,pnl_1x_rs,deployed_5x_capital_rs,pnl_5x_rs,avg_day_5x_pct,ret_1x_pct,ret_5x_pct,cum_pnl_5x_rs
2025-01,17,52.94117647058824,2.9411764705882355,1229132.5,29430.234881450633,1244988.35,151708.96750258876,8.3239218585338,2.3943907496913988,12.185573262801114,151708.96750258876
2025-02,19,42.10526315789473,4.315789473684211,2001798.35,29552.81638406789,2041428.034,153433.06579960766,5.483448597601002,1.4763133551422845,7.51596741321167,305142.0333021964
2025-03,18,55.55555555555556,6.333333333333333,2781131.2,39714.72177006155,2837973.44,206440.68485399862,5.417946235521949,1.4280060491235202,7.274228924918995,511582.718156195
2025-04,17,47.05882352941176,3.764705882352941,1553707.35,27818.680748024864,1589010.1300000001,143785.65741907016,7.087151633122124,1.7904710786123823,9.048756499687649,655368.3755752651
2025-05,16,56.25,2.5625,994310.0,4753.311330492295,1019401.31,27906.791510104384,1.2676451180335433,0.4780512446311809,2.7375667694702477,683275.1670853696
2025-06,12,41.66666666666667,1.5,432211.5,572.7498972265066,446092.86,4606.131301571533,-0.13208258494252703,0.13251611704605423,1.0325498824553105,687881.2983869411
2025-07,4,25.0,1.25,122933.6,-196.32292707119908,124550.24,-836.9806821007955,-0.06584352550947148,-0.15969834697039628,-0.6720024643074116,687044.3177048403
2025-08,6,50.0,1.6666666666666667,245432.45,437.833437660296,248938.21,2605.7493644016795,2.2056837353159815,0.17839264435501337,1.046745441128415,689650.067069242
2025-09,6,0.0,1.0,148099.8,-1444.0782140554936,149372.21,-7037.274291244368,-4.714508299532487,-0.9750710089112165,-4.711233964633963,682612.7927779977
2025-10,6,33.33333333333333,1.0,149223.55,-1148.709884056003,149774.64,-5504.122634088014,-3.6754476619663037,-0.7697912856623522,-3.6749363137097264,677108.6701439096
2025-11,1,100.0,1.0,24791.25,112.37123799749745,24989.58,607.8617049073871,2.4324606692364856,0.45326975443956014,2.4324606692364856,677716.531848817
2025-12,15,6.666666666666667,1.0666666666666667,370773.0,-2912.2731517177995,394175.79,-15218.248223034298,-3.842198394515159,-0.785459877530942,-3.8607769957242426,662498.2836257827
