config_id,continuation_w,breakout_w,pullback_w,dryup_w,recovery_w,teacher_profile_w,loser_penalty_w,dec_profitable_capture,jan_profitable_capture,dec_capture,jan_capture
V11C0006,2.0,0.75,1.0,0.75,0.75,1.5,0.75,12.5,7.317073170731707,12.222222222222221,12.206572769953052
V11C0000,1.0,1.0,1.0,1.0,1.0,0.75,0.25,11.607142857142858,5.691056910569105,10.0,9.859154929577464
V11C0005,1.25,1.25,1.25,1.25,1.25,1.25,0.75,11.607142857142858,5.691056910569105,10.0,9.859154929577464
V11C0002,1.75,1.25,1.25,0.75,0.5,1.0,0.4,10.714285714285714,6.504065040650407,9.444444444444445,10.7981220657277
V11C0004,0.75,1.0,1.75,1.25,1.0,1.0,0.5,8.928571428571429,6.504065040650407,11.666666666666666,7.981220657276995
V11C0001,1.5,1.5,0.75,0.75,0.75,0.75,0.25,8.035714285714286,6.504065040650407,7.222222222222221,10.7981220657277
V11C0003,1.0,2.0,0.75,0.5,1.0,0.75,0.3,8.035714285714286,6.504065040650407,7.222222222222221,10.7981220657277
