symbol,date,month,signal_date,tier,rank,score,avg_lift,sret,twoday,rng,entry_context,regime,sector,p1,p2,avg,lastClose,vol,range_pct,L_mfe,L_mae,L_eod_g,L_eod_n,S_mfe,S_mae,S_eod_g,S_eod_n,SS_L_eod_g,SS_S_eod_g
360ONE,2024-10-01,2024-10,2024-09-30,GOLD,50.0,329.132,9.9737,-2.618144349210816,-3.7184533456818825,4.491592899629998,normal,neutral,Financial Services,1040.0,1028.65,1034.2938631474633,1016.0,0.12319060873655927,3.640164690277407,0.7353941779554343,-2.638888629233983,-1.7687297391278316,-1.81290868268952,2.638888629233983,-0.7353941779554343,1.7687297391278316,1.7241616750235351,-2.307692307692308,2.307692307692308
360ONE,2024-10-03,2024-10,2024-10-01,GOLD,48.0,314.517,9.8287,-2.457676029242017,-5.011474872371313,3.621585225086581,normal,risk_on,Financial Services,994.0,974.35,984.0769172149262,970.95,0.14997269257517828,5.939576366187069,1.049011779921587,-4.479011390661411,-1.333932031662438,-1.3782354256327434,4.479011390661411,-1.049011779921587,1.333932031662438,1.2893351726451667,-2.3189134808853074,2.3189134808853074
360ONE,2024-10-04,2024-10,2024-10-03,GOLD-baseline,33.0,330.859,10.6729,-5.778807751097082,-8.094459407464393,5.76401558108575,normal,risk_off,Financial Services,962.9,957.9,960.393492294877,1010.0,0.18622489702412784,7.64270068350936,6.727087201595322,-0.9156134819140384,5.165227388889049,5.1190637665144365,0.9156134819140384,-6.727087201595322,-5.165227388889049,-5.210254661238105,4.89147367327864,-4.89147367327864
360ONE,2024-10-07,2024-10,2024-10-04,STANDARD-weak,40.0,314.733,10.1527,5.834946883667391,-0.2810512302154677,7.682243968810505,normal,risk_off,Financial Services,1007.6,1009.75,1008.6738543138275,964.85,0.20108434815421147,6.528373836436536,1.2269719923088103,-5.301401844127727,-4.344700135371273,-4.388141769230326,5.301401844127727,-1.2269719923088103,4.344700135371273,4.300302667482438,-4.242755061532354,4.242755061532354
360ONE,2024-10-08,2024-10,2024-10-07,GOLD,10.0,814.516,15.6638,-4.687500000000011,0.8739337484954701,6.512064873417713,normal,risk_off,Financial Services,965.0,964.45,964.724921609785,978.95,0.17584284202065234,3.218534040583153,2.0446324074743316,-1.1739016331088215,1.4745217078541284,1.429414461403776,1.1739016331088215,-2.0446324074743316,-1.4745217078541284,-1.5193045595287527,1.4455958549222845,-1.4455958549222845
360ONE,2024-10-09,2024-10,2024-10-08,GOLD-baseline,31.0,785.56,14.8219,1.3228885660925505,-3.4266218354430444,3.221622743307748,normal,risk_off,Financial Services,979.95,988.0,983.9585355318986,1009.0,0.154081247650846,4.395510424290424,3.8915729764366693,-0.18380200654705592,2.5449715169719727,2.4995578799545557,0.18380200654705592,-3.8915729764366693,-2.5449715169719727,-2.5898252602556555,2.9644369610694374,-2.9644369610694374
360ONE,2024-10-10,2024-10,2024-10-09,STANDARD,48.0,747.905,14.3828,3.4253238441452005,4.793525627723594,4.428856689365624,normal,risk_off,Financial Services,1052.0,1038.0,1044.953110047847,1025.0,0.1787309594066103,5.07199791936819,1.9184487571155227,-3.1535491622526677,-1.9094742008982055,-1.9536128597355793,3.1535491622526677,-1.9184487571155227,1.9094742008982055,1.8649154577366343,-2.5665399239543727,2.5665399239543727
360ONE,2024-10-11,2024-10,2024-10-10,GOLD-baseline,42.0,745.034,14.6085,1.2722772277227845,4.7411806871128,5.247524752475248,normal,risk_off,Financial Services,1023.95,1045.75,1034.7351910904963,1056.65,0.18264846250947236,5.416844858724623,4.374530730108793,-0.10970836792551975,2.117914718490246,2.0726233162320313,0.10970836792551975,-4.374530730108793,-2.117914718490246,-2.1627401795103927,3.193515308364671,-3.193515308364671
360ONE,2024-10-14,2024-10,2024-10-11,STANDARD,69.0,806.058,13.8976,3.328933861269978,4.643564356435648,5.479786870020038,normal,risk_off,Financial Services,1063.95,1090.55,1077.0857948479925,1063.15,0.14214979988931092,4.470395973126283,1.417176349834012,-2.496160935052233,-1.2938425996008165,-1.3381574682089032,2.496160935052233,-1.417176349834012,1.2938425996008165,1.2492430856208177,-0.07519150336011603,0.07519150336011603
360ONE,2024-10-15,2024-10,2024-10-14,GOLD,208.0,134.632,7.9195,0.6339294162172271,3.9839663684802185,4.5557763269940255,normal,risk_off,Financial Services,1064.95,1083.95,1074.3660035366931,1115.0,0.16869068753078376,5.10999043336025,4.233566244052634,0.6500574702025407,3.782137216697501,3.7363694706905144,-0.6500574702025407,-4.233566244052634,-3.782137216697501,-3.827072892516814,4.699751162026382,-4.699751162026382
