symbol,date,month,signal_date,tier,rank,score,avg_lift,sret,twoday,rng,entry_context,regime,sector,p1,p2,avg,lastClose,vol,range_pct,L_mfe,L_mae,L_eod_g,L_eod_n,S_mfe,S_mae,S_eod_g,S_eod_n,SS_L_eod_g,SS_S_eod_g
360ONE,2024-11-04,2024-11,2024-11-01,ENTERPRISE-Dryup,121.0,623.617,13.5569,-1.2746446584135818,1.4368492957082868,2.7051811095827603,normal,risk_off,Financial Services,1079.8,1081.7,1080.7491649317603,1035.0,0.15285436242855166,6.823970111941438,1.762743445602617,-5.061226666338821,-4.233097412076093,-4.276570989536224,5.061226666338821,-1.762743445602617,4.233097412076093,4.188692553185305,-4.148916466012221,4.148916466012221
360ONE,2024-11-05,2024-11,2024-11-04,ENTERPRISE-Dryup,158.0,169.456,8.4728,-3.613226825190397,-4.841815680880323,6.850269366524244,normal,risk_off,Financial Services,1035.5,1023.5,1029.4650315687227,1032.95,0.14118787050756296,3.6475255446783263,1.9267258064173671,-1.720799738260959,0.338522273647983,0.2937401797716858,1.720799738260959,-1.9267258064173671,-0.338522273647983,-0.3832298926240776,-0.24625784645098547,0.24625784645098547
360ONE,2024-11-06,2024-11,2024-11-05,ENTERPRISE-Dryup,158.0,175.728,8.368,-0.120458706755322,-3.729333085639963,3.6185795509299368,normal,risk_off,Financial Services,1035.85,1058.9,1047.2481823606636,1054.7,0.11303631917750105,2.8646504720948993,1.227198848926746,-0.9929052669468009,0.711561763949677,0.6666728964722287,0.9929052669468009,-1.227198848926746,-0.711561763949677,-0.7562940878390563,1.8197615484867633,-1.8197615484867633
360ONE,2024-11-07,2024-11,2024-11-06,ENTERPRISE-Dryup,151.0,169.58,8.479,1.9055429591393611,1.782788859978801,2.8944956341357515,normal,neutral,Financial Services,1060.4,1060.45,1060.4249994106137,1037.0,0.12396066464410234,3.9229554209983046,1.3744489801246742,-2.54850644087363,-2.209019914056477,-2.253072835122556,2.54850644087363,-1.3744489801246742,2.209019914056477,2.164481008609305,-2.206714447378356,2.206714447378356
360ONE,2024-11-08,2024-11,2024-11-07,ENTERPRISE-Dryup,155.0,168.939,8.4469,-1.8983147131225064,-0.0289449563413479,3.93864798333648,normal,neutral,Financial Services,1046.0,1030.3,1038.090642007417,1049.0,0.1370526230417029,3.5979517094744264,2.235773742040638,-1.3621779674337886,1.0509061108080973,1.005920114155625,1.3621779674337886,-2.235773742040638,-1.0509061108080973,-1.0956609081161917,0.28680688336520077,-0.28680688336520077
360ONE,2024-11-11,2024-11,2024-11-08,ENTERPRISE-Dryup,166.0,174.035,8.2874,0.9940645659412216,-0.9231206210944864,3.604690440573267,normal,risk_off,Financial Services,1042.5,1037.8,1040.144690669615,1051.5,0.13033008255079478,3.730250257300418,2.75974194627722,-0.3984725112567627,1.0917047822524266,1.0467071079594217,0.3984725112567627,-2.75974194627722,-1.0917047822524266,-1.136462281493336,0.8633093525179856,-0.8633093525179856
360ONE,2024-11-12,2024-11,2024-11-11,ENTERPRISE-Dryup,22.0,309.356,10.6674,0.4491375603230096,1.4476668436037343,3.707773902240905,normal,risk_off,Financial Services,1055.2,1051.5,1053.34675084255,1035.0,0.11756289075696849,2.397121363862665,0.5177069329817656,-1.8794144308808995,-1.7417579565204648,-1.785944620107602,1.8794144308808995,-0.5177069329817656,1.7417579565204648,1.6971881061828933,-1.9143290371493598,1.9143290371493598
360ONE,2024-11-13,2024-11,2024-11-12,ENTERPRISE-Dryup,20.0,298.609,10.6646,-1.1796603719735566,-0.73582110946534,2.4021309993816296,normal,risk_off,Financial Services,1035.5,1024.95,1030.1979907301804,1015.0,0.11356257391870075,2.95574251493325,0.005048473234033492,-2.44108326326245,-1.4752495022251453,-1.5195124474611215,2.44108326326245,-0.005048473234033492,1.4752495022251453,1.4306620020986796,-1.979719942056977,1.979719942056977
360ONE,2024-11-14,2024-11,2024-11-13,ENTERPRISE-Dryup,25.0,270.366,10.3987,-2.1131167268351403,-3.2678494981686845,2.9314079422382715,normal,risk_off,Financial Services,1001.05,1030.65,1015.6343776148054,1050.0,0.1357372416501197,5.23810548092504,3.8021184824289325,1.0895281440927571,3.383660807730973,3.3380071160326197,-1.0895281440927571,-3.8021184824289325,-3.383660807730973,-3.4285700940516257,4.889865641076874,-4.889865641076874
360ONE,2024-11-18,2024-11,2024-11-14,STANDARD,21.0,275.499,10.5961,3.3044846577498177,1.121540312876057,5.23210070810386,normal,risk_off,Financial Services,1051.0,1057.2,1054.090883217911,1050.45,0.11998881030845394,2.7037516834407747,0.5605889279726842,-2.1431627554680905,-0.34540505718027287,-0.38999139327237636,2.1431627554680905,-0.5605889279726842,0.34540505718027287,0.3007427319755897,-0.05233111322549519,0.05233111322549519
