symbol,date,month,signal_date,tier,rank,score,avg_lift,sret,twoday,rng,entry_context,regime,sector,p1,p2,avg,lastClose,vol,range_pct,L_mfe,L_mae,L_eod_g,L_eod_n,S_mfe,S_mae,S_eod_g,S_eod_n,SS_L_eod_g,SS_S_eod_g
360ONE,2025-12-01,2025-12,2025-11-28,GOLD-baseline,43.0,262.055,10.919,1.4229384536259326,2.886956521739137,3.600205726041488,normal,risk_off,Financial Services,1184.9,1195.1,1189.9781428571428,1190.0,0.07715899174798856,1.462211730899728,0.7245391181854849,-0.5359882360384283,0.0018367684304489882,-0.04284895730043178,0.5359882360384283,-0.7245391181854849,-0.0018367684304489882,-0.04652209007227506,0.43041606886656325,-0.43041606886656325
360ONE,2025-12-02,2025-12,2025-12-01,GOLD,118.0,16.08,8.0402,0.5155510480054026,1.9458254757414692,1.470588235294106,normal,risk_off,Financial Services,1189.0,1184.0,1186.4947324062368,1164.8,0.08753474724703479,2.654879043256882,-0.050125161957576846,-2.4437303946082336,-1.8284727115677537,-1.8726345551374126,2.4437303946082336,0.050125161957576846,1.8284727115677537,1.78390860400155,-2.035323801513881,2.035323801513881
360ONE,2025-12-03,2025-12,2025-12-02,ENTERPRISE-Dryup,115.0,32.188,8.047,-2.219793155637761,-1.7156862745097978,2.64861683343143,normal,risk_off,Financial Services,1162.0,1164.7,1163.348433403533,1151.0,0.0893580843568341,2.4068455499683976,0.3998429415388738,-2.007002608429524,-1.0614561423705104,-1.1058375260247042,2.007002608429524,-0.3998429415388738,1.0614561423705104,1.0168412383649952,-0.9466437177280551,0.9466437177280551
360ONE,2025-12-04,2025-12,2025-12-03,ENTERPRISE-Dryup,156.0,45.328,7.5546,-1.2726803680454202,-3.4642226519801644,2.407773669275088,normal,risk_off,Financial Services,1151.9,1147.1,1149.4949891257068,1123.9,0.08219375675291507,5.558962901491332,0.39191218029751573,-2.226629029951138,-2.226629029951138,-2.270676910830411,2.226629029951138,-0.39191218029751573,2.226629029951138,2.1820912906852756,-2.430766559597187,2.430766559597187
360ONE,2025-12-05,2025-12,2025-12-04,ENTERPRISE-Dryup,210.0,49.819,7.117,-1.759428621200232,-3.009717086593855,5.565717272014621,normal,risk_off,Financial Services,1125.1,1126.0,1125.549820087957,1146.1,0.10427641349797466,3.775932370250728,2.7586677513409854,-1.0172646189097427,1.825790342220217,1.7805825535537247,1.0172646189097427,-2.7586677513409854,-1.825790342220217,-1.8705964570114209,1.866500755488401,-1.866500755488401
360ONE,2025-12-08,2025-12,2025-12-05,ENTERPRISE-Dryup,175.0,51.6,7.3714,1.6668144339037072,-0.1219405975089182,3.768064544729143,normal,risk_off,Financial Services,1141.0,1148.4,1144.6880405346378,1126.8,0.13622164928339953,5.311490803346099,1.2066134157312562,-2.3139964424076864,-1.5627000458817653,-1.6069379604984326,2.3139964424076864,-1.2066134157312562,1.5627000458817653,1.5181183372550038,-1.2445223488168313,1.2445223488168313
360ONE,2025-12-09,2025-12,2025-12-08,ENTERPRISE-Dryup,151.0,197.605,9.8803,-1.6133251940350537,0.0265981026686734,5.302171448504399,normal,risk_off,Financial Services,1130.2,1127.0,1128.597731702995,1117.4,0.09842609010566389,2.791074190133995,1.231817848510762,-1.5592563416232328,-0.9921809506118734,-1.0365821626271035,1.5592563416232328,-1.231817848510762,0.9921809506118734,0.9475614587875086,-1.1325429127587998,1.1325429127587998
360ONE,2025-12-10,2025-12,2025-12-09,GOLD-baseline,128.0,165.48,10.3425,-0.9129586952667968,-2.511554896659973,2.792058145718844,normal,risk_off,Financial Services,1115.0,1110.3,1112.6450366242755,1101.0,0.07879786960672382,2.4086747451200075,0.022915068807404917,-1.8015661746976794,-1.0466084187645397,-1.0909940522232704,1.8015661746976794,-0.022915068807404917,1.0466084187645397,1.0019925314536808,-1.2556053811659191,1.2556053811659191
360ONE,2025-12-11,2025-12,2025-12-10,GOLD,137.0,152.766,10.1844,-1.3507469362197044,-2.2513738698812347,2.397352178191268,normal,risk_off,Financial Services,1102.0,1106.6,1104.295209635063,1135.2,0.1065995087942319,3.7218308692638673,3.5049314736887993,0.10004483903377767,2.79859860798909,2.75311237630392,-0.10004483903377767,-3.5049314736887993,-2.79859860798909,-2.8434691479805028,3.0127041742286793,-3.0127041742286793
360ONE,2025-12-12,2025-12,2025-12-11,STANDARD,156.0,205.655,9.7931,2.992383025027201,1.6012165667769862,3.726877040261145,normal,risk_off,Financial Services,1135.2,1131.4,1133.2968146121946,1143.0,0.06804239789529679,1.702996051092252,1.209143554550143,-0.4938524965421091,0.8561910051009708,0.8112607409743448,0.4938524965421091,-1.209143554550143,-0.8561910051009708,-0.9009329072064746,0.6871035940803343,-0.6871035940803343
