symbol,date,month,signal_date,tier,rank,score,avg_lift,sret,twoday,rng,entry_context,regime,sector,p1,p2,avg,lastClose,vol,range_pct,L_mfe,L_mae,L_eod_g,L_eod_n,S_mfe,S_mae,S_eod_g,S_eod_n,SS_L_eod_g,SS_S_eod_g
360ONE,2026-07-01,2026-07,2026-06-30,GOLD-baseline,369.0,5.384,5.3837,-1.4760147601476037,-1.8201875344732497,3.773062730627315,normal,risk_on,Financial Services,1074.5,1075.9,1075.1995442708335,1069.2,0.11659691495782747,2.1577390098071105,0.9022005060228285,-1.255538503784282,-0.5579935652690535,-0.6025190530028408,1.255538503784282,-0.9022005060228285,0.5579935652690535,0.5133453189509071,-0.49325267566309483,0.49325267566309483
360ONE,2026-07-02,2026-07,2026-07-01,GOLD-baseline,469.0,0.0,0.0,0.1123595505617913,-1.365313653136524,2.172284644194761,normal,risk_on,Financial Services,1075.0,1070.0,1072.4941724941725,1075.0,0.0970257940378554,1.930080417300591,0.8210606389915172,-1.1090197783090738,0.23364485981308197,0.18889278457943712,1.1090197783090738,-0.8210606389915172,-0.23364485981308197,-0.27834553317756794,0.0,0.0
360ONE,2026-07-03,2026-07,2026-07-02,GOLD,349.0,7.172,7.1719,0.5424616535727678,0.655430711610494,1.93602693602694,normal,risk_on,Financial Services,1084.0,1079.6,1081.7955259752264,1107.2,0.12830618138927444,4.011848723526147,3.614774981577176,-0.3970737419489709,2.348361905256709,2.303004543022015,0.3970737419489709,-3.614774981577176,-2.348361905256709,-2.3932026278722462,2.1402214022140265,-2.1402214022140265
360ONE,2026-07-06,2026-07,2026-07-03,STANDARD,92.0,172.009,11.4672,2.9953488372093107,3.55405910961466,4.03720930232559,normal,risk_on,Financial Services,1110.2,1113.1,1111.6481086672964,1137.9,0.09340377096040951,2.6537174641862333,2.451485422430554,-0.05830160302016285,2.3615288982208513,2.316167767250429,0.05830160302016285,-2.451485422430554,-2.3615288982208513,-2.406370492833665,2.4950459376688925,-2.4950459376688925
360ONE,2026-07-07,2026-07,2026-07-06,STANDARD,46.0,143.847,11.0651,2.7727601156069426,5.851162790697684,2.664378612716763,normal,risk_on,Financial Services,1140.0,1138.5,1139.2495062541145,1147.4,0.08020392465443485,2.422647527910678,1.294755333656938,-1.1278921942537399,0.7154265769826516,0.6705366032952281,1.1278921942537399,-1.294755333656938,-0.7154265769826516,-0.7601591568231388,0.6491228070175518,-0.6491228070175518
360ONE,2026-07-08,2026-07,2026-07-07,GOLD-baseline,35.0,98.6,10.9555,0.8348712540644954,3.6307803468208055,2.425520696018974,normal,risk_on,Financial Services,1142.8,1140.3,1141.5486312469886,1094.0,0.12921096494746998,6.018140455825742,0.7315823894325647,-5.286558066393178,-4.165274255118518,-4.208767245329572,5.286558066393178,-0.7315823894325647,4.165274255118518,4.120864904571337,-4.27021351067553,4.27021351067553
360ONE,2026-07-09,2026-07,2026-07-08,GOLD-baseline,313.0,12.357,6.1787,-4.654000348614263,-3.857984005624404,5.98744988670037,normal,risk_off,Financial Services,1090.8,1090.2,1090.4999174690508,1100.8,0.1027467891005187,1.852361442344936,1.494734870661897,-0.22924508557991635,0.9445285016485511,0.8995729530336382,0.22924508557991635,-1.494734870661897,-0.9445285016485511,-0.9892762539931013,0.9167583425009168,-0.9167583425009168
360ONE,2026-07-10,2026-07,2026-07-09,GOLD,317.0,6.974,6.9736,0.6215722120658018,-4.061356109464887,1.8464351005484505,normal,neutral,Financial Services,1106.8,1114.4,1110.5869980190887,1131.5,0.07955919688509062,2.6652572065760083,2.0721476140058024,0.16324718226894214,1.8830584202960254,1.8378342400166179,-0.16324718226894214,-2.0721476140058024,-1.8830584202960254,-1.927868327722968,2.2316588362847893,-2.2316588362847893
ABB,2026-07-01,2026-07,2026-06-30,GOLD-baseline,278.0,14.566,7.2832,-0.3334515785739622,0.6736419664612248,1.5182688896771903,normal,risk_on,Capital Goods,7046.0,7018.5,7032.223114934765,6931.5,0.0640221804926387,2.2539102842653524,0.5869677965360964,-1.666942487729256,-1.432308294099109,-1.476583530225322,1.666942487729256,-0.5869677965360964,1.432308294099109,1.387717950148194,-1.625035481124042,1.625035481124042
ABB,2026-07-02,2026-07,2026-07-01,GOLD,273.0,7.593,7.5927,-1.3169134396355364,-1.645973749556584,2.256548974943052,normal,risk_on,Capital Goods,6950.0,6908.0,6928.936354452302,6845.0,0.06355782970495624,1.8834059561846757,-0.2011326665361427,-1.420656063452657,-1.211388734987693,-1.2557272040356324,1.420656063452657,0.2011326665361427,1.211388734987693,1.1667837604180564,-1.5107913669064748,1.5107913669064748
ABB,2026-07-03,2026-07,2026-07-02,ENTERPRISE-Dryup,320.0,7.593,7.5927,-1.2479261343143588,-2.5484054669703826,1.882709370266176,normal,risk_on,Capital Goods,6881.0,6822.0,6851.372984018098,6957.0,0.08733488064400881,3.2548220702650767,1.8044122874390542,-1.4504097828260225,1.5416912234714693,1.4965647513593399,1.4504097828260225,-1.8044122874390542,-1.5416912234714693,-1.586478523514435,1.1044906263624472,-1.1044906263624472
ABB,2026-07-06,2026-07,2026-07-03,ENTERPRISE-Dryup,332.0,14.566,7.2832,1.6362308254200153,0.3678857390175372,3.2578524470416363,normal,risk_on,Capital Goods,6985.5,6919.5,6952.343365695792,7064.5,0.0824138505170983,2.7904260447956806,1.9080851926669968,-0.8823408521286837,1.6132205848406491,1.5680736391655326,0.8823408521286837,-1.9080851926669968,-1.6132205848406491,-1.6580126219871008,1.13091403621788,-1.13091403621788
ABB,2026-07-07,2026-07,2026-07-06,GOLD,124.0,96.251,9.6251,1.5452062670691324,3.2067202337472622,2.788558286617795,normal,risk_on,Capital Goods,7107.0,7054.5,7080.652685096918,6978.0,0.07596631247246854,3.375395046604078,-0.2916777028251444,-3.0032921335698433,-1.4497630326223594,-1.494033272748584,3.0032921335698433,0.2916777028251444,1.4497630326223594,1.405173844628958,-1.8151118615449557,1.8151118615449557
ABB,2026-07-08,2026-07,2026-07-07,GOLD,204.0,7.593,7.5927,-1.224432019251187,0.3018542475204722,3.3831127468327558,normal,risk_on,Capital Goods,6908.5,6901.5,6904.998225923244,6800.0,0.09815378979548155,3.1643744552995177,0.08691927036597775,-2.606781638950774,-1.5206119174520838,-1.5648618787853992,2.606781638950774,-0.08691927036597775,1.5206119174520838,1.476027421496929,-1.570529058406311,1.570529058406311
ABB,2026-07-09,2026-07,2026-07-08,ENTERPRISE-Dryup,228.0,6.974,6.9736,-2.5508741759816544,-3.744072475051308,3.131269704786472,normal,risk_off,Capital Goods,6780.0,6815.0,6797.454946671571,6825.0,0.06094276841428924,1.1989781563746464,0.9421916560078042,-0.043471368251107534,0.4052259786130239,0.36042479240206937,0.043471368251107534,-0.9421916560078042,-0.4052259786130239,-0.44993801510868353,0.6637168141592921,-0.6637168141592921
ABB,2026-07-10,2026-07,2026-07-09,ENTERPRISE-Dryup,314.0,6.974,6.9736,0.3676470588235281,-2.192605331040409,1.1985294117647058,normal,neutral,Capital Goods,6835.0,6851.5,6843.240054067877,6826.0,0.05705057886447256,1.4466831386566763,0.9901734470332321,-0.4565096916234442,-0.251928237671995,-0.29654132926023913,0.4565096916234442,-0.9901734470332321,0.251928237671995,0.20725972187146308,-0.13167520117044623,0.13167520117044623
ABCAPITAL,2026-07-01,2026-07,2026-06-30,GOLD,40.0,56.325,11.265,1.2896569512509617,0.2041337075784577,2.527727624451899,normal,risk_on,Financial Services,392.6,392.25,392.4249219596102,391.45,0.07336918199147709,1.822004566961698,0.7836092634061413,-1.0383953035555569,-0.24843528151622538,-0.29304937287933813,1.0383953035555569,-0.7836092634061413,0.24843528151622538,0.20376653439117906,-0.2929190015282817,0.2929190015282817
ABCAPITAL,2026-07-02,2026-07,2026-07-01,GOLD,112.0,19.445,9.7223,-0.3183091418385575,0.9672427134382212,1.8207282913165208,normal,risk_on,Financial Services,392.5,392.0,392.24984066284253,392.7,0.0837866181738281,2.0267694657480946,1.3002323540881493,-0.7265371116599451,0.11476342129209227,0.07004537301706953,0.7265371116599451,-1.3002323540881493,-0.11476342129209227,-0.15945622161443077,0.050955414012735956,-0.050955414012735956
