family,patterns,winner_fires_dec,avg_weight,avg_manual_precision_dec
fresh_breakout,126,3595,578.616201873816,0.12667773264651863
other,81,2166,153.75585195809157,0.0632972209446174
pullback_reversal,48,488,206.20395760001557,0.06799890391349409
dryup,21,476,130.4611988651132,0.05056871834247428
continuation,9,202,117.37575016183291,0.08339045082978595
compression,9,156,381.64679591079187,0.08955927671749307
momentum,3,73,214.37654368558492,0.0992305332178398
mean_reversion,1,6,10.13701067184946,0.0150093808630394
