pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,manual_precision_dec,winner_precision_dec,weight,hit_pct,real_lift_pp,clean26_lift,rule,parsed_conditions,fire_col
8316,FALCPAT_8316,other,hit_15pc_20d,other,PROMOTED,21,629,0.057233704292527825,0.033386327503974564,103.34570694879318,26.835496914237076,11.309836963124551,8.52,volatility (20d ATR%) >= 3.1996 AND distance from 200-DMA <= 47.1586 AND distance from 200-DMA >= 19.1227 AND close position in weekly range >= 0.4185,atr_20_pct>=3.1996 AND dist_sma_200<=47.1586 AND dist_sma_200>=19.1227 AND weekly_close_loc>=0.4185,pat_8316
7547,FALCPAT_7547,other,hit_10pc_20d,other,PROMOTED,21,1206,0.03316749585406302,0.017412935323383085,67.63913489076536,46.89137380191693,14.192490448416372,14.9,volatility (20d ATR%) >= 3.6294 AND distance from 50-DMA >= -1.7213 AND 20d relative strength vs market >= 3.1904 AND 60d relative strength vs sector >= -16.2109,atr_20_pct>=3.6294 AND dist_sma_50>=-1.7213 AND rs_market_20d>=3.1904 AND rs_sector_60d>=-16.2109,pat_7547
8416,FALCPAT_8416,continuation,hit_25pc_30d,other,PROMOTED,21,698,0.05300859598853868,0.03008595988538682,48.20517971841597,13.576494427558258,5.854130338089594,7.56,volatility (20d ATR%) >= 3.5179 AND distance from 200-DMA >= 15.007 AND 60-day return >= 14.8289 AND 60d relative strength vs sector >= 3.8227,atr_20_pct>=3.5179 AND dist_sma_200>=15.007 AND roc_60>=14.8289 AND rs_sector_60d>=3.8227,pat_8416
6292,FALCPAT_6292,fresh_breakout,hit_15pc_20d,other,PROMOTED,21,1249,0.02722177742193755,0.016813450760608487,46.25864151813646,28.368194401722548,10.052372456775055,9.54,volatility (20d ATR%) >= 3.8293 AND distance from 120-day high <= -5.9266 AND distance from year-high >= -25.9776,atr_20_pct>=3.8293 AND dist_high_120<=-5.9266 AND dist_high_252>=-25.9776,pat_6292
9151,FALCPAT_9151,dryup,hit_10pc_20d,other,PROMOTED,21,1024,0.0302734375,0.0205078125,45.86808795208531,43.55250245338567,8.171915208201458,8.17,volatility (20d ATR%) >= 3.33 AND days with sub-75% volume in last 20 >= 11.5 AND 20d relative strength vs market >= -10.4124,atr_20_pct>=3.33 AND n_sub_75v_20d>=11.5 AND rs_market_20d>=-10.4124,pat_9151
8909,FALCPAT_8909,pullback_reversal,hit_25pc_30d,capitulation,PROMOTED,21,1502,0.022636484687083888,0.013981358189081226,37.52283030177307,20.214236351071182,9.805704026053714,9.81,distance from 120-day high <= -27.1874,dist_high_120<=-27.1874,pat_8909
8349,FALCPAT_8349,fresh_breakout,hit_25pc_30d,breakout,PROMOTED,20,97,0.31958762886597936,0.20618556701030927,1406.0958700641233,33.01971326164875,25.297349172180084,6.07,distance from 50-DMA <= 7.1184 AND close position in weekly range >= 0.6784 AND weekly range % >= 14.8541,dist_sma_50<=7.1184 AND weekly_close_loc>=0.6784 AND weekly_range_pct>=14.8541,pat_8349
9395,FALCPAT_9395,pullback_reversal,hit_10pc_20d,capitulation,PROMOTED,20,403,0.08933002481389578,0.04962779156327544,418.4488995786516,66.65836032893098,31.27777308374676,30.77,volatility (20d ATR%) >= 3.3431 AND distance from year-high <= -25.0624 AND 20d relative strength vs sector <= 5.8353 AND close position in weekly range >= 0.4821,atr_20_pct>=3.3431 AND dist_high_252<=-25.0624 AND rs_sector_20d<=5.8353 AND weekly_close_loc>=0.4821,pat_9395
8621,FALCPAT_8621,other,hit_25pc_30d,other,PROMOTED,20,261,0.12643678160919541,0.07662835249042145,256.8897499468755,20.158218576032816,12.435854486564152,12.61,volatility (20d ATR%) >= 3.5234 AND close position in weekly range <= 0.7828 AND close position in weekly range >= 0.3476 AND weekly range % >= 12.8291,atr_20_pct>=3.5234 AND weekly_close_loc<=0.7828 AND weekly_close_loc>=0.3476 AND weekly_range_pct>=12.8291,pat_8621
7324,FALCPAT_7324,other,hit_10pc_20d,other,PROMOTED,20,689,0.05079825834542816,0.02902757619738752,109.49199638349631,46.6912103083295,13.992326954828943,6.59,distance from 200-DMA <= 64.0406 AND distance from 200-DMA >= 24.1184 AND 20d relative strength vs sector >= -5.3079 AND close position in weekly range >= 0.4147,dist_sma_200<=64.0406 AND dist_sma_200>=24.1184 AND rs_sector_20d>=-5.3079 AND weekly_close_loc>=0.4147,pat_7324
7546,FALCPAT_7546,other,hit_10pc_20d,other,PROMOTED,20,705,0.03546099290780142,0.028368794326241134,76.9465482953123,42.76047316493621,10.06158981143565,3.97,volatility (20d ATR%) >= 3.6294 AND distance from 50-DMA >= -1.7213 AND 20d relative strength vs market <= 3.1904 AND 60d relative strength vs sector >= -16.2109,atr_20_pct>=3.6294 AND dist_sma_50>=-1.7213 AND rs_market_20d<=3.1904 AND rs_sector_60d>=-16.2109,pat_7546
6481,FALCPAT_6481,fresh_breakout,hit_10pc_20d,other,PROMOTED,20,1203,0.029925187032418952,0.01662510390689942,61.60559532401351,47.75339215540891,13.745930203121798,13.39,volatility (20d ATR%) >= 3.8654 AND distance from year-high >= -20.1662,atr_20_pct>=3.8654 AND dist_high_252>=-20.1662,pat_6481
6895,FALCPAT_6895,dryup,hit_15pc_20d,capitulation,PROMOTED,20,1384,0.022398843930635837,0.014450867052023121,39.231863506837065,27.52143100300189,10.070786196879776,15.48,distance from 120-day high <= -25.7878 AND days with sub-75% volume in last 20 <= 13.5 AND 20d relative strength vs market <= 4.4732,dist_high_120<=-25.7878 AND n_sub_75v_20d<=13.5 AND rs_market_20d<=4.4732,pat_6895
7947,FALCPAT_7947,other,hit_25pc_30d,other,PROMOTED,20,1507,0.0225613802256138,0.013271400132714002,30.613695063992747,16.279281742776412,8.556917653307746,7.48,volatility (20d ATR%) >= 3.4679 AND distance from 200-DMA <= 5.5845,atr_20_pct>=3.4679 AND dist_sma_200<=5.5845,pat_7947
8622,FALCPAT_8622,fresh_breakout,hit_25pc_30d,breakout,PROMOTED,19,165,0.21212121212121213,0.11515151515151516,706.5404071104389,30.853761622992398,23.131397533523728,9.99,volatility (20d ATR%) >= 3.5234 AND close position in weekly range >= 0.7828 AND weekly range % >= 12.8291,atr_20_pct>=3.5234 AND weekly_close_loc>=0.7828 AND weekly_range_pct>=12.8291,pat_8622
8596,FALCPAT_8596,dryup,hit_15pc_20d,other,PROMOTED,19,502,0.0697211155378486,0.037848605577689244,331.9797606717219,52.62948207171315,33.067110648485176,34.56,volatility (20d ATR%) >= 4.4669 AND days with sub-75% volume in last 20 <= 12.5 AND close position in weekly range >= 0.4229,atr_20_pct>=4.4669 AND n_sub_75v_20d<=12.5 AND weekly_close_loc>=0.4229,pat_8596
6439,FALCPAT_6439,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,19,262,0.10305343511450382,0.07251908396946564,270.4524685466298,32.37542842077511,14.059606475827618,19.19,60-day return <= -5.8816 AND 20d relative strength vs sector >= -2.8018 AND close position in weekly range >= 0.7316 AND weekly range % >= 6.249,roc_60<=-5.8816 AND rs_sector_20d>=-2.8018 AND weekly_close_loc>=0.7316 AND weekly_range_pct>=6.249,pat_6439
9398,FALCPAT_9398,fresh_breakout,hit_10pc_20d,other,PROMOTED,19,733,0.03956343792633015,0.02592087312414734,111.61495159838617,51.61390440720049,16.23331716201628,16.23,volatility (20d ATR%) >= 4.3672 AND distance from year-high >= -25.0624,atr_20_pct>=4.3672 AND dist_high_252>=-25.0624,pat_9398
8953,FALCPAT_8953,other,hit_15pc_20d,other,PROMOTED,19,773,0.04398447606727038,0.02457956015523933,107.7548519541003,36.08949416342412,16.527122740196145,19.25,volatility (20d ATR%) >= 3.9374 AND distance from 20-day high >= -14.2373 AND distance from 200-DMA <= 26.2528 AND close position in weekly range >= 0.1754,atr_20_pct>=3.9374 AND dist_high_20>=-14.2373 AND dist_sma_200<=26.2528 AND weekly_close_loc>=0.1754,pat_8953
8157,FALCPAT_8157,other,hit_15pc_20d,other,PROMOTED,19,821,0.037758830694275276,0.023142509135200974,33.674555586234206,21.011282908483075,5.485622957370556,12.16,volatility (20d ATR%) >= 2.7614 AND 20-day return <= 13.0636 AND 60d relative strength vs sector >= 10.9468 AND close position in weekly range >= 0.0729,atr_20_pct>=2.7614 AND roc_20<=13.0636 AND rs_sector_60d>=10.9468 AND weekly_close_loc>=0.0729,pat_8157
8246,FALCPAT_8246,fresh_breakout,hit_25pc_30d,breakout,PROMOTED,19,975,0.03282051282051282,0.019487179487179488,32.93967213546889,14.094790248731591,6.372426159262928,8.53,volatility (20d ATR%) >= 3.475 AND distance from year-high >= -41.2081 AND close position in weekly range >= 0.5303 AND weekly range % <= 11.9613,atr_20_pct>=3.475 AND dist_high_252>=-41.2081 AND weekly_close_loc>=0.5303 AND weekly_range_pct<=11.9613,pat_8246
7619,FALCPAT_7619,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,18,82,0.35365853658536583,0.21951219512195122,2828.602622154309,79.67445742904842,49.42517908715877,36.05,5-day return <= 3.643 AND close position in weekly range >= 0.5098 AND weekly range % >= 14.1572,roc_5<=3.643 AND weekly_close_loc>=0.5098 AND weekly_range_pct>=14.1572,pat_7619
6151,FALCPAT_6151,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,18,288,0.08680555555555555,0.0625,296.9919287269547,52.23380726698262,18.226345314695507,1.42,volatility (20d ATR%) >= 2.3809 AND distance from year-high >= -5.3701 AND close position in weekly range >= 0.7418 AND weekly range % >= 4.478,atr_20_pct>=2.3809 AND dist_high_252>=-5.3701 AND weekly_close_loc>=0.7418 AND weekly_range_pct>=4.478,pat_6151
9005,FALCPAT_9005,other,hit_15pc_20d,other,PROMOTED,18,484,0.07024793388429752,0.0371900826446281,204.3447320167212,40.63755020080321,21.07517877757524,23.5,volatility (20d ATR%) >= 4.1414 AND 60d relative strength vs sector <= 15.164 AND weekly range % >= 9.1665,atr_20_pct>=4.1414 AND rs_sector_60d<=15.164 AND weekly_range_pct>=9.1665,pat_9005
