trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable,rank_weight,profit_weight,teacher_weight
2025-01-09,SHYAMMETL,1,GOLD,09:15,780.45,15:29,790.0,1.22,EOD,10.25,51270,10254.0,1,1.0,1.1525,1.1525
2025-01-09,SRF,2,GOLD-baseline,09:15,2500.0,15:29,2663.0,6.52,EOD,10.25,51270,10254.0,1,0.9333333333333333,1.815,1.694
2025-01-09,JSWDULUX,3,GOLD-baseline,09:15,3626.3,15:29,3741.15,3.17,EOD,10.25,51270,10254.0,1,0.8666666666666667,1.39625,1.2100833333333334
2025-01-09,ANANDRATHI,4,GOLD-baseline,09:15,1994.95,15:29,1974.15,-1.04,EOD,10.25,51270,10254.0,0,0.8,0.35,0.27999999999999997
2025-01-09,AARTIIND,5,GOLD,09:15,398.55,15:29,414.7,4.05,EOD,10.25,51270,10254.0,1,0.7333333333333333,1.50625,1.1045833333333333
2025-01-09,PTCIL,6,GOLD-baseline,09:15,17252.0,15:29,17305.0,0.31,EOD,10.25,51270,10254.0,1,0.6666666666666666,1.03875,0.6925
2025-01-09,VIJAYA,7,GOLD-baseline,09:15,1207.6,15:29,1216.75,0.76,EOD,10.25,51270,10254.0,1,0.6,1.095,0.6569999999999999
2025-01-09,LLOYDSME,8,GOLD-baseline,09:15,1426.0,15:29,1433.0,0.49,EOD,10.25,51270,10254.0,1,0.5333333333333333,1.06125,0.5660000000000001
2025-01-09,UBL,9,GOLD-baseline,09:15,1991.1,15:29,2002.0,0.55,EOD,10.25,51270,10254.0,1,0.4666666666666667,1.06875,0.49875
2025-01-09,RKFORGE,10,GOLD,09:15,909.55,15:29,904.0,-0.61,EOD,10.25,51270,10254.0,0,0.4,0.35,0.13999999999999999
2025-01-09,BDL,11,ENTERPRISE-Dryup,09:15,1177.0,15:29,1191.0,1.19,EOD,10.25,51270,10254.0,1,0.3333333333333333,1.14875,0.3829166666666666
2025-01-09,NAVINFLUOR,12,GOLD,09:15,3590.3,15:29,3822.55,6.47,EOD,10.25,51270,10254.0,1,0.26666666666666666,1.8087499999999999,0.4823333333333333
2025-01-09,MARICO,13,GOLD,09:15,639.0,15:29,666.95,4.37,EOD,10.25,51270,10254.0,1,0.2,1.5462500000000001,0.30925
2025-01-10,SHYAMMETL,1,ENTERPRISE-Dryup,09:15,787.0,09:15,745.45,-5.28,HARD_STOP,-4.56,-22816,-4563.2,0,1.0,0.35,0.35
2025-01-10,LLOYDSME,5,ENTERPRISE-Dryup,09:15,1435.0,09:15,1434.9,-0.01,HARD_STOP,-4.56,-22816,-4563.2,0,0.7333333333333333,0.35,0.25666666666666665
2025-01-10,PTCIL,6,GOLD-baseline,09:15,17310.05,09:15,17372.7,0.36,HARD_STOP,-4.56,-22816,-4563.2,1,0.6666666666666666,1.045,0.6966666666666665
2025-01-10,VIJAYA,7,GOLD-baseline,09:15,1230.0,09:15,1213.4,-1.35,HARD_STOP,-4.56,-22816,-4563.2,0,0.6,0.35,0.21
2025-01-10,UBL,9,GOLD-baseline,09:15,2013.35,09:15,2000.55,-0.64,HARD_STOP,-4.56,-22816,-4563.2,0,0.4666666666666667,0.35,0.16333333333333333
2025-01-10,RKFORGE,10,GOLD,09:15,904.1,09:15,909.75,0.62,HARD_STOP,-4.56,-22816,-4563.2,1,0.4,1.0775,0.431
2025-01-10,BDL,11,ENTERPRISE-Dryup,09:15,1191.0,09:15,1185.5,-0.46,HARD_STOP,-4.56,-22816,-4563.2,0,0.3333333333333333,0.35,0.11666666666666665
2025-01-10,INDIAMART,12,GOLD,09:15,2315.05,09:15,2311.5,-0.15,HARD_STOP,-4.56,-22816,-4563.2,0,0.26666666666666666,0.35,0.09333333333333332
2025-01-13,SHYAMMETL,1,GOLD-baseline,09:15,779.7,09:16,774.35,-0.69,HARD_STOP,-3.39,-16945,-3389.0,0,1.0,0.35,0.35
2025-01-13,SRF,2,GOLD-baseline,09:15,2557.0,09:16,2572.5,0.61,HARD_STOP,-3.39,-16945,-3389.0,1,0.9333333333333333,1.07625,1.0045
2025-01-13,LLOYDSME,3,ENTERPRISE-Dryup,09:15,1441.9,09:16,1412.1,-2.07,HARD_STOP,-3.39,-16945,-3389.0,0,0.8666666666666667,0.35,0.30333333333333334
