entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2025-06-26,2025-06-25,15,"TEGA,SUZLON,ABFRL,WELSPUNLIV,NBCC,CGCL,CONCORDBIO,BAYERCROP,DEVYANI,GPIL,OLAELEC,CHAMBLFERT,SJVN,VBL,BLS",25.47488430603003,"{""continuation"": 8, ""dryup_compression"": 3, ""pullback_reversal"": 4}"
2025-06-27,2025-06-26,15,"TEGA,SUZLON,ABFRL,WELSPUNLIV,NBCC,CGCL,CONCORDBIO,DEVYANI,BAYERCROP,OLAELEC,GPIL,CHAMBLFERT,SJVN,VBL,BLS",25.71982044758134,"{""continuation"": 5, ""dryup_compression"": 4, ""fresh_breakout"": 1, ""pullback_reversal"": 5}"
2025-06-30,2025-06-27,15,"TEGA,ABFRL,SUZLON,WELSPUNLIV,NBCC,CGCL,CONCORDBIO,DEVYANI,OLAELEC,BAYERCROP,GPIL,CHAMBLFERT,SJVN,VBL,NTPCGREEN",25.439587143795862,"{""continuation"": 4, ""dryup_compression"": 6, ""fresh_breakout"": 1, ""pullback_reversal"": 3, ""recovery"": 1}"
2025-07-01,2025-06-30,15,"TEGA,ABFRL,SUZLON,WELSPUNLIV,NBCC,CGCL,CONCORDBIO,DEVYANI,OLAELEC,GPIL,BAYERCROP,CHAMBLFERT,SJVN,VBL,NTPCGREEN",25.541868743761366,"{""continuation"": 6, ""dryup_compression"": 3, ""fresh_breakout"": 1, ""pullback_reversal"": 4, ""recovery"": 1}"
2025-07-02,2025-07-01,15,"TEGA,ABFRL,SUZLON,WELSPUNLIV,CGCL,NBCC,CONCORDBIO,DEVYANI,OLAELEC,GPIL,CHAMBLFERT,BAYERCROP,SJVN,VBL,NTPCGREEN",25.676960825279313,"{""continuation"": 5, ""dryup_compression"": 2, ""pullback_reversal"": 8}"
2025-07-03,2025-07-02,15,"TEGA,ABFRL,SUZLON,WELSPUNLIV,CGCL,NBCC,CONCORDBIO,DEVYANI,OLAELEC,GPIL,CHAMBLFERT,SJVN,BAYERCROP,VBL,NTPCGREEN",26.14403707936449,"{""continuation"": 3, ""dryup_compression"": 2, ""pullback_reversal"": 9, ""recovery"": 1}"
2025-07-04,2025-07-03,15,"TEGA,ABFRL,SUZLON,WELSPUNLIV,CGCL,NBCC,CONCORDBIO,DEVYANI,OLAELEC,GPIL,CHAMBLFERT,SJVN,VBL,BAYERCROP,NTPCGREEN",25.839483823434367,"{""continuation"": 5, ""dryup_compression"": 4, ""pullback_reversal"": 6}"
2025-07-07,2025-07-04,15,"TEGA,ABFRL,SUZLON,CGCL,WELSPUNLIV,NBCC,CONCORDBIO,OLAELEC,DEVYANI,GPIL,CHAMBLFERT,SJVN,VBL,SAMMAANCAP,NTPCGREEN",25.29098985829456,"{""continuation"": 6, ""dryup_compression"": 4, ""fresh_breakout"": 1, ""pullback_reversal"": 3, ""recovery"": 1}"
2025-07-08,2025-07-07,15,"ABFRL,TEGA,SUZLON,CGCL,WELSPUNLIV,NBCC,CONCORDBIO,OLAELEC,DEVYANI,GPIL,CHAMBLFERT,SJVN,VBL,SAMMAANCAP,HFCL",25.45904346776337,"{""continuation"": 3, ""dryup_compression"": 5, ""fresh_breakout"": 1, ""pullback_reversal"": 2, ""recovery"": 4}"
2025-07-09,2025-07-08,15,"ABFRL,TEGA,SUZLON,CGCL,WELSPUNLIV,NBCC,OLAELEC,CONCORDBIO,DEVYANI,GPIL,CHAMBLFERT,SJVN,VBL,SAMMAANCAP,HFCL",25.41249484459377,"{""continuation"": 7, ""dryup_compression"": 2, ""pullback_reversal"": 4, ""recovery"": 2}"
