tier_key,winner_n,features,center__lane_continuation,spread__lane_continuation,center__lane_dryup_compression,spread__lane_dryup_compression,center__ret_3d__pct,spread__ret_3d__pct,center__wtd_ret__pct,spread__wtd_ret__pct,center__lane_recovery,spread__lane_recovery,center__ret_5d__pct,spread__ret_5d__pct,center__rs_market_5d__pct,spread__rs_market_5d__pct,center__wtd_range_pct__pct,spread__wtd_range_pct__pct,center__rs_sector_5d__pct,spread__rs_sector_5d__pct,center__vol_vs_60d__pct,spread__vol_vs_60d__pct,center__dist_prior_low_10__pct,spread__dist_prior_low_10__pct,center__dist_sma_20__pct,spread__dist_sma_20__pct,center__vol_vs_20d__pct,spread__vol_vs_20d__pct,center__mtd_ret__pct,spread__mtd_ret__pct,center__mtd_range_pct__pct,spread__mtd_range_pct__pct,center__ret_10d__pct,spread__ret_10d__pct,center__dry_count_3__pct,spread__dry_count_3__pct,center__atr_5_vs_20__pct,spread__atr_5_vs_20__pct,center__ret_2d__pct,spread__ret_2d__pct,center__dist_prior_low_20__pct,spread__dist_prior_low_20__pct,center__mtd_close_loc__pct,spread__mtd_close_loc__pct,center__dist_sma_50__pct,spread__dist_sma_50__pct,center__dry_count_7__pct,spread__dry_count_7__pct,center__dry_count_5__pct,spread__dry_count_5__pct,center__dist_prior_low_120__pct,spread__dist_prior_low_120__pct,center__vol_vs_10d__pct,spread__vol_vs_10d__pct,center__dist_prior_low_60__pct,spread__dist_prior_low_60__pct,center__dist_sma_100__pct,spread__dist_sma_100__pct,center__wtd_close_loc__pct,spread__wtd_close_loc__pct,center__qtd_range_pct__pct,spread__qtd_range_pct__pct,center__ret_40d__pct,spread__ret_40d__pct,center__rs_market_20d__pct,spread__rs_market_20d__pct,center__ret_20d__pct,spread__ret_20d__pct,center__dist_prior_low_252__pct,spread__dist_prior_low_252__pct,center__lane_fresh_breakout,spread__lane_fresh_breakout,center__range_vs_20d__pct,spread__range_vs_20d__pct,center__range_vs_10d__pct,spread__range_vs_10d__pct,center__range_pct__pct,spread__range_pct__pct,center__range_vs_60d__pct,spread__range_vs_60d__pct,center__range_vs_5d__pct,spread__range_vs_5d__pct,center__lane_pullback_reversal,spread__lane_pullback_reversal,center__compress_count_3__pct,spread__compress_count_3__pct,center__lower_wick_proxy__pct,spread__lower_wick_proxy__pct,center__dist_prior_high_252__pct,spread__dist_prior_high_252__pct,center__dist_prior_high_120__pct,spread__dist_prior_high_120__pct,center__turnover__pct,spread__turnover__pct,center__slope_sma_100__pct,spread__slope_sma_100__pct,center__slope_sma_20__pct,spread__slope_sma_20__pct,center__dry_count_10__pct,spread__dry_count_10__pct,center__rs_sector_20d__pct,spread__rs_sector_20d__pct,center__qtd_low__pct,spread__qtd_low__pct,center__dist_sma_200__pct,spread__dist_sma_200__pct,center__slope_sma_50__pct,spread__slope_sma_50__pct,center__rs_market_60d__pct,spread__rs_market_60d__pct,center__ret_60d__pct,spread__ret_60d__pct,center__rs_sector_60d__pct,spread__rs_sector_60d__pct,center__volume__pct,spread__volume__pct,center__qtd_open__pct,spread__qtd_open__pct,center__atr_20_pct__pct,spread__atr_20_pct__pct,center__slope_sma_200__pct,spread__slope_sma_200__pct,center__dist_prior_high_20__pct,spread__dist_prior_high_20__pct,center__dist_prior_high_60__pct,spread__dist_prior_high_60__pct,center__ret_120d__pct,spread__ret_120d__pct,center__dist_prior_high_10__pct,spread__dist_prior_high_10__pct,center__vol_vs_5d__pct,spread__vol_vs_5d__pct,center__prev_day_ret__pct,spread__prev_day_ret__pct,center__qtd_ret__pct,spread__qtd_ret__pct,center__body_pct__pct,spread__body_pct__pct
BASELINE,197,"lane_continuation,lane_dryup_compression,ret_3d__pct,wtd_ret__pct,lane_recovery,ret_5d__pct,rs_market_5d__pct,wtd_range_pct__pct,rs_sector_5d__pct,vol_vs_60d__pct,dist_prior_low_10__pct,dist_sma_20__pct,vol_vs_20d__pct,mtd_ret__pct,mtd_range_pct__pct,ret_10d__pct,dry_count_3__pct,atr_5_vs_20__pct,ret_2d__pct,dist_prior_low_20__pct,mtd_close_loc__pct,dist_sma_50__pct,dry_count_7__pct,dry_count_5__pct,dist_prior_low_120__pct,vol_vs_10d__pct,dist_prior_low_60__pct,dist_sma_100__pct,wtd_close_loc__pct,qtd_range_pct__pct,ret_40d__pct,rs_market_20d__pct,ret_20d__pct,dist_prior_low_252__pct,lane_fresh_breakout",4.149005281271688,1.6293376079986954,1.4842767295597485,0.6855345911949686,0.9287211740041929,0.40041928721174,0.9182389937106918,0.4757848366637476,2.3177360252277013,0.6143715346655019,0.8972746331236897,0.3932659666850873,0.8972746331236897,0.3932659666850873,0.896774193548387,0.20545073375262057,0.8912579957356077,0.39683747215127974,0.8846960167714885,0.18855827716587203,0.8841201716738197,0.3437538537427549,0.8697478991596639,0.5785679051494812,0.8553459119496856,0.2397101980924432,0.8532494758909853,0.5483787712077374,0.8463157894736842,0.3385834024131896,0.8427672955974843,0.571460633809139,0.16422594142259414,0.21357662561880097,0.8333333333333334,0.3444626295690125,0.823404255319149,0.5441885158866291,0.8221757322175732,0.3942727151077211,0.803347280334728,0.48203935662315245,0.8021505376344086,0.6473202262321573,0.20043103448275862,0.3150956664809065,0.2074468085106383,0.2875265986222815,0.7903930131004366,0.4332632071061244,0.7893617021276595,0.3821816345049237,0.7830802603036876,0.4157004573981491,0.7721518987341772,0.5667888431968533,0.7702127659574468,0.40985324947589097,0.7698744769874477,0.4625013185190394,0.7688984881209503,0.6077327842598947,0.7651991614255765,0.5765199161425577,0.7651991614255765,0.5765199161425577,0.7597402597402597,0.4639505714020255,1.5406708595387841,0.7848076465136389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPRESSION,41,"range_vs_20d__pct,range_vs_10d__pct,range_pct__pct,range_vs_60d__pct,range_vs_5d__pct,lane_pullback_reversal,lane_dryup_compression,compress_count_3__pct,lower_wick_proxy__pct,dist_prior_high_252__pct,dist_prior_low_252__pct,lane_fresh_breakout,dist_prior_high_120__pct,turnover__pct,ret_40d__pct,lane_continuation,slope_sma_100__pct,slope_sma_20__pct,dry_count_10__pct,ret_3d__pct,dist_sma_100__pct,rs_sector_20d__pct,dist_prior_low_120__pct,qtd_low__pct,lane_recovery,dist_sma_200__pct,slope_sma_50__pct,rs_market_60d__pct,ret_60d__pct,rs_sector_60d__pct,atr_5_vs_20__pct,mtd_range_pct__pct,volume__pct,qtd_open__pct,rs_market_20d__pct",2.8219665271966528,1.382637988633057,2.260247798178833,0.8742647590969232,0.6569037656903766,0.37328072771110743,,,2.0443713376881654,0.5683833784645376,,,,,,,,,,,,,,,,,,,0.3649789029535865,0.5783639815758939,,,,,0.3649789029535865,0.5439330543933054,,,,,,,,,,,,,0.35053763440860214,0.5057154991686547,,,,,0.34591194968553457,0.334669678147939,,,,,0.33403361344537813,0.34888991674375575,0.3710691823899371,0.4731120924216067,,,0.3008658008658009,0.49658517178338346,1.0981272966474618,0.4258551036897389,0.08658008658008658,0.1777409366420182,0.09414225941422594,0.1999946020350328,0.1148936170212766,0.14838206012122487,0.12159329140461216,0.18238993710691823,0.12987012987012986,0.1950518845995281,2.173547631977762,0.6828470391751924,0.7413419913419913,0.38506523312677643,0.7213822894168467,0.39852027847415733,0.2894736842105263,0.41231315604020624,0.3249475890985325,0.3964249492900609,0.3333333333333333,0.5117670595082205,0.3347826086956522,0.3830016014641958,0.33617021276595743,0.3794549266247379,0.33752620545073375,0.4735116619738077,0.350210970464135,0.4855372449114986,0.6476793248945147,0.6708860759493671,0.3588621444201313,0.3439879086430811,0.3620689655172414,0.38723404255319144,0.3624454148471616,0.3608467654465372,0.3624454148471616,0.3608467654465372,0.3634453781512605,0.3592301881230077,0.3668763102725367,0.5892993857384492,0.6317991631799164,0.6729957805907173,,,,,,,,,,,,,,,,,,,,
DRYUP,280,"lane_fresh_breakout,lane_dryup_compression,atr_20_pct__pct,lane_continuation,dry_count_5__pct,dry_count_7__pct,vol_vs_20d__pct,qtd_range_pct__pct,mtd_range_pct__pct,dist_prior_low_252__pct,dry_count_10__pct,turnover__pct,vol_vs_60d__pct,lane_recovery,dry_count_3__pct,slope_sma_200__pct,vol_vs_10d__pct,dist_prior_high_20__pct,wtd_range_pct__pct,dist_sma_200__pct,dist_prior_low_120__pct,volume__pct,dist_prior_high_60__pct,dist_prior_high_120__pct,ret_120d__pct,dist_prior_high_10__pct,dist_prior_high_252__pct,range_vs_5d__pct,dist_prior_low_60__pct,range_vs_10d__pct,range_vs_60d__pct,dist_prior_low_10__pct,vol_vs_5d__pct,compress_count_3__pct,rs_sector_20d__pct",2.422110281664936,1.5643923872184502,2.3226219767924716,0.8353831269782592,,,,,2.075014534115533,0.7482923645480677,,,,,0.6523556397638659,0.35403321148893196,,,0.3245385829165046,0.40029603586446194,0.6031449893390192,0.4308104621801073,,,0.31271588061061745,0.3651804462830608,,,0.6851093885830194,0.40999299624253305,,,0.6733193277310925,0.32794407342203846,,,,,,,,,,,0.6978494623655914,0.3861657002507836,0.7331489557848456,0.32124224611001306,0.6407563025210083,0.433773826709956,0.3447095010252905,0.40270032535969225,0.6137324778067409,0.45269203457261115,,,,,0.6876432391138274,0.4432800014034718,,,,,,,0.684156211479843,0.4362590716003071,0.8848655167494435,0.6697032819468061,,,0.3918793131118601,0.43631578733947274,,,0.39544891117559233,0.458644896363015,0.3876773122056141,0.4634309712282224,,,0.5985324947589099,0.4277202274309174,,,0.3847808105872622,0.49811555824500514,0.36736783320923305,0.507943046836125,0.32115397040770177,0.3962727264512398,,,,,0.6819155852771808,0.39345024313144844,0.40520090899700445,0.5387033474763185,,,0.6416952642415923,0.5014223397554427,,,,,,,,,0.36341827053402004,0.39225699698401423,,,0.7484276729559748,0.3551442861710815,0.6583777246415614,0.5856151608692262,0.34533620612263216,0.46761992656779633,0.3671723391550977,0.5058361787560792,0.6278934683056159,0.4969414135180874,0.3776818303213745,0.4890714817069048,0.4021070453497855,0.43999265884628475,,,,,,
GOLD,249,"lane_continuation,lane_recovery,wtd_range_pct__pct,lane_dryup_compression,ret_3d__pct,dry_count_3__pct,wtd_ret__pct,dry_count_5__pct,mtd_range_pct__pct,dist_prior_low_10__pct,atr_5_vs_20__pct,dist_prior_high_120__pct,dry_count_7__pct,ret_2d__pct,rs_sector_5d__pct,ret_5d__pct,rs_market_5d__pct,dry_count_10__pct,slope_sma_50__pct,compress_count_3__pct,dist_prior_high_252__pct,rs_market_60d__pct,ret_60d__pct,dist_prior_low_20__pct,lane_fresh_breakout,rs_sector_60d__pct,range_vs_5d__pct,qtd_range_pct__pct,dist_sma_100__pct,slope_sma_20__pct,dist_prior_high_60__pct,slope_sma_100__pct,lower_wick_proxy__pct,atr_20_pct__pct,qtd_low__pct",3.360479548783804,1.661481031468682,1.7074985565178769,0.8692888097628202,0.7845188284518828,0.4668020062096967,0.7735849056603774,0.5303983228511531,2.2559906470969375,0.6777878760036951,0.7042553191489361,0.45606694560669453,0.7042553191489361,0.45606694560669453,0.8106382978723404,0.3268398268398268,0.7085106382978723,0.49616537961414964,,,0.740506329113924,0.3214314146962822,,,,,,,0.7405857740585774,0.37421383647798745,,,0.22727272727272727,0.2786564311259095,0.7402597402597403,0.3658280922431866,0.7257019438444925,0.497345249917246,0.6818181818181818,0.3218710011162841,,,,,0.2746331236897275,0.33417859851019227,0.25862068965517243,0.3457049486461251,,,,,,,0.3412526997840173,0.44379621648595924,,,0.6645569620253164,0.41089808096322583,,,,,,,,,1.1084415584415583,0.6375646980071181,,,,,,,,,0.33472803347280333,0.379454926624738,,,0.30952380952380953,0.46317968314624636,0.649895178197065,0.5132566126945894,0.31222707423580787,0.4268817204301075,0.27157894736842103,0.4214850119152138,,,0.35106382978723405,0.5308645300296256,0.3438155136268344,0.5427435124993393,0.3031578947368421,0.4016068253589152,,,0.35654008438818563,0.4308043414802431,,,0.3081761006289308,0.5221108005918133,0.31521739130434784,0.5295358649789029,0.31521739130434784,0.5295358649789029,0.3318777292576419,0.554364240410752,,,,,0.648936170212766,0.3093492127213524,,,,,0.350104821802935,0.4972719336534265,,,,,,,,,,,,
PULLBACK,57,"lane_continuation,lane_dryup_compression,lane_fresh_breakout,ret_2d__pct,ret_3d__pct,ret_5d__pct,rs_market_5d__pct,mtd_range_pct__pct,wtd_range_pct__pct,rs_sector_5d__pct,dist_sma_20__pct,qtd_range_pct__pct,range_pct__pct,dist_prior_high_10__pct,wtd_ret__pct,mtd_ret__pct,dist_prior_low_20__pct,prev_day_ret__pct,dist_prior_low_10__pct,qtd_ret__pct,rs_sector_20d__pct,dist_prior_high_20__pct,body_pct__pct,atr_20_pct__pct,ret_10d__pct,vol_vs_20d__pct,dist_prior_high_60__pct,ret_20d__pct,rs_market_20d__pct,dist_prior_low_60__pct,dist_sma_50__pct,range_vs_60d__pct,range_vs_20d__pct,range_vs_10d__pct,lane_pullback_reversal",1.176385964912281,1.0167570825798673,1.347159853884366,0.7977148225877577,0.09014675052410902,0.17088607594936708,0.11904761904761904,0.19219586568804736,,,0.09282700421940929,0.19644136613326965,0.09282700421940929,0.19644136613326965,0.9014675052410901,0.1688563180102154,0.10548523206751055,0.2088607594936709,,,0.12421052631578948,0.20064750683332006,0.1092436974789916,0.18987341772151897,0.8221757322175732,0.5274261603375527,0.12236286919831224,0.21841662980981866,0.9014675052410901,0.17704029949350364,0.17088607594936708,0.2573839662447257,,,,,0.08441558441558442,0.1308505440817233,0.12368972746331237,0.20455226115603473,,,0.19327731092436976,0.3365652212945507,,,,,,,,,0.18143459915611815,0.6286919831223629,,,,,0.8881856540084389,0.21097046413502119,,,0.18143459915611815,0.34560677228458453,0.18143459915611815,0.34560677228458453,,,0.8448051948051948,0.36078937677250145,0.8004201680672269,0.30142438206954336,0.7953586497890295,0.2810033104150751,0.884453781512605,0.16981132075471705,0.8042553191489362,0.2552742616033755,,,2.7246082266269913,0.9424207104899378,,,,,,,,,,,,,,,,,0.13924050632911392,0.3569389781228947,,,,,,,,,,,,,,,,,0.8487394957983193,0.28226204175571257,,,0.13924050632911392,0.18996668887408394,0.18143459915611815,0.29842894335218606,,,0.11814345991561181,0.19472971897141947,,,0.12368972746331237,0.21008403361344535,0.13203463203463203,0.2849715197083618,0.14526315789473684,0.37577401501452135
