entry_date,signal_date,symbol,final_rank,final_score,carry_score,raw_state_score,best_lane,best_tier_proto,profile_score,lane_score
2025-06-02,2025-05-30,CONCORDBIO,1.0,95.8408435717038,1.0,-2.7156101546854603,continuation,BASELINE,-1.0462082771065508,4.817405508337629
2025-06-02,2025-05-30,TEGA,2.0,38.77828407843119,0.42781774580335735,-3.1674498955235815,fresh_breakout,BASELINE,-1.1349124795695404,5.425213354181043
2025-06-02,2025-05-30,SUZLON,3.0,13.628288439935675,0.16351725518355748,-2.168013434074346,fresh_breakout,BASELINE,-1.0588013171617119,6.263405281225706
2025-06-02,2025-05-30,NBCC,4.0,6.941427361941614,0.10127897681854517,-2.6971272059367455,fresh_breakout,BASELINE,-1.1444526905111219,6.643975419501926
2025-06-02,2025-05-30,BAYERCROP,5.0,5.214679379792125,0.07517525627421472,-1.8412183555954142,continuation,GOLD,-0.9212047432984172,4.489095570444004
2025-06-02,2025-05-30,WELSPUNLIV,6.0,3.5333648945414557,0.0,3.915176619808461,pullback_reversal,PULLBACK,-0.17208347516083627,3.6692584730129543
2025-06-02,2025-05-30,ABFRL,7.0,3.5227803928859682,0.0,3.9045921181529737,pullback_reversal,PULLBACK,-0.10769097086566501,2.4754669075652393
2025-06-02,2025-05-30,CGCL,8.0,3.442284733588754,0.0,3.824096458855759,pullback_reversal,PULLBACK,-0.10651040839666173,2.275095000701432
2025-06-02,2025-05-30,DEVYANI,9.0,3.289641967739093,0.0,3.6714536930060984,pullback_reversal,DRYUP,-0.12891428561646198,2.3429850665466274
2025-06-02,2025-05-30,CHAMBLFERT,10.0,3.219429273692663,0.0,3.601240998959668,pullback_reversal,PULLBACK,-0.15136522966827964,2.5949465448834452
2025-06-02,2025-05-30,GPIL,11.0,2.976290755745728,0.0,3.358102481012733,pullback_reversal,DRYUP,-0.22151811591776885,3.32948079027751
2025-06-02,2025-05-30,SJVN,12.0,2.8727175803029965,0.0,3.254529305570002,pullback_reversal,PULLBACK,-0.2154227010812138,2.9884926157381986
2025-06-02,2025-05-30,CESC,13.0,2.8275177591273186,0.0,3.2093294843943236,pullback_reversal,DRYUP,-0.22762827267026706,3.1098510202646352
2025-06-02,2025-05-30,VBL,14.0,2.721584161969038,0.0,3.103395887236043,pullback_reversal,DRYUP,-0.18567072314809108,2.111860061221696
2025-06-02,2025-05-30,TEJASNET,15.0,2.7109149773210444,0.0,3.09272670258805,dryup_compression,DRYUP,-0.23288503050884313,2.946215858839887
2025-06-03,2025-06-02,CONCORDBIO,1.0,53.93496211177373,1.0,-3.58695211635902,fresh_breakout,BASELINE,-1.1263994573430998,5.4938782522464535
2025-06-03,2025-06-02,TEGA,2.0,45.2581613250437,0.7932028966214716,-0.21161547029334143,pullback_reversal,GOLD,-0.6841729536031311,4.000046088302992
2025-06-03,2025-06-02,SUZLON,3.0,37.70118926130849,0.6609913482669987,-0.06329705878358,pullback_reversal,BASELINE,-0.6649150334568608,3.937645453510482
2025-06-03,2025-06-02,NBCC,4.0,32.34241448024452,0.6063124371760937,-2.2353843071070587,continuation,BASELINE,-0.9020360233293491,4.016530241216434
2025-06-03,2025-06-02,WELSPUNLIV,5.0,30.414881421261285,0.48186466758745616,3.0898999982891073,pullback_reversal,DRYUP,-0.28518557828035007,3.163008805332738
2025-06-03,2025-06-02,BAYERCROP,6.0,29.157121495090216,0.5353691774851719,-1.2861033463175904,continuation,DRYUP,-0.7770562743784043,3.5851033846849742
2025-06-03,2025-06-02,ABFRL,7.0,25.98655376070576,0.43367820082871056,1.4698801442226288,continuation,GOLD,-0.496199842958974,3.857006410981307
2025-06-03,2025-06-02,CGCL,8.0,24.9904541497117,0.38549173406996495,3.282088339717614,recovery,PULLBACK,-0.20862262614117436,2.1225766645428608
2025-06-03,2025-06-02,DEVYANI,9.0,21.72265698521337,0.33730526731121935,2.8225989817083326,recovery,DRYUP,-0.2614269998921387,2.1884086536683083
2025-06-03,2025-06-02,CHAMBLFERT,10.0,17.689542783670777,0.28911880055247374,1.597792586654791,recovery,DRYUP,-0.42124012750167245,2.7182525835013687
2025-06-03,2025-06-02,GPIL,11.0,14.748170977496667,0.24093233379372808,1.4647285869697282,recovery,DRYUP,-0.4195265863785103,2.421135513869655
2025-06-03,2025-06-02,SJVN,12.0,12.019679958712697,0.19274586703498248,1.5445453746748066,recovery,GOLD,-0.4176357981025381,2.5450907286837796
2025-06-03,2025-06-02,CESC,13.0,8.744520178398421,0.14455940027623687,1.077693400849578,dryup_compression,COMPRESSION,-0.47971545862645104,2.768702988202871
2025-06-03,2025-06-02,VBL,14.0,6.14103570631846,0.09637293351749124,1.2825167352586657,continuation,DRYUP,-0.47073951107527423,3.010117085221688
2025-06-03,2025-06-02,TEJASNET,15.0,5.466328690226469,0.04818646675874562,3.4161175256557232,dryup_compression,DRYUP,-0.24542416308564724,3.0740160557251572
2025-06-04,2025-06-03,CONCORDBIO,1.0,43.654351658699085,1.0,-2.8040906741218405,continuation,GOLD,-1.0251703850033365,4.727886028932054
2025-06-04,2025-06-03,TEGA,2.0,42.33240182349304,0.9333333333333333,-0.9764265893720154,pullback_reversal,DRYUP,-0.7497663133444135,3.548538463983444
2025-06-04,2025-06-03,SUZLON,3.0,41.42888666552461,0.8666666666666667,1.2696721726154085,pullback_reversal,BASELINE,-0.5383732924669654,4.2382186782005205
2025-06-04,2025-06-03,WELSPUNLIV,4.0,36.6356467820384,0.7154039052420003,3.622721773440587,pullback_reversal,PULLBACK,-0.21838862637636766,3.3021171631199575
2025-06-04,2025-06-03,NBCC,5.0,35.40274092279692,0.8,-1.6068596501564072,pullback_reversal,DRYUP,-0.8320928657702079,3.742031376826514
2025-06-04,2025-06-03,ABFRL,6.0,30.662208505818434,0.6,3.1014496927326984,recovery,GOLD,-0.22071517444776004,2.3553310310632485
2025-06-04,2025-06-03,BAYERCROP,7.0,30.128352225763503,0.6845960947579997,-1.4290821516777463,continuation,DRYUP,-0.7588821223439166,2.845828947711793
2025-06-04,2025-06-03,CGCL,8.0,27.503563160517054,0.5333333333333333,3.0924182673871865,recovery,GOLD,-0.20815205825717295,2.126756495794153
2025-06-04,2025-06-03,DEVYANI,9.0,24.55302189508909,0.4666666666666667,3.291490921915086,dryup_compression,DRYUP,-0.1957640246968188,2.2947446480919287
2025-06-04,2025-06-03,CHAMBLFERT,10.0,19.131423279106084,0.4,1.0195062258879433,recovery,GOLD,-0.48950205246458184,2.9423294391913637
2025-06-04,2025-06-03,GPIL,11.0,17.152633703326668,0.3333333333333333,2.190330570064397,pullback_reversal,DRYUP,-0.3547170887030159,2.8878468973750233
2025-06-04,2025-06-03,SJVN,12.0,13.756660369836169,0.26666666666666666,1.9439711565297628,pullback_reversal,COMPRESSION,-0.3614540730189784,2.535287056724038
2025-06-04,2025-06-03,CESC,13.0,11.386337293550886,0.2,2.7232620002003447,pullback_reversal,DRYUP,-0.28402590571023933,2.7058101643112646
2025-06-04,2025-06-03,VBL,14.0,7.442893690390173,0.13333333333333333,1.929432316995498,continuation,DRYUP,-0.33452203062587876,2.0544037439434932
2025-06-04,2025-06-03,TEJASNET,15.0,5.639348939038452,0.06666666666666667,3.2755014855996425,dryup_compression,PULLBACK,-0.2057667247508716,2.4328908567402294
2025-06-05,2025-06-04,TEGA,1.0,44.63594631077072,0.9333333333333333,1.3200770396355548,pullback_reversal,DRYUP,-0.5054717948342196,3.8280350369376994
2025-06-05,2025-06-04,CONCORDBIO,2.0,43.24463356282463,1.0,-3.221361671330789,fresh_breakout,BASELINE,-1.096128536538813,5.086429074713594
2025-06-05,2025-06-04,SUZLON,3.0,42.55073718398326,0.8666666666666667,2.3849938758683584,pullback_reversal,BASELINE,-0.40677749062777063,4.20649175046329
2025-06-05,2025-06-04,WELSPUNLIV,4.0,38.124853741347216,0.782070571908667,1.9564357502417717,recovery,DRYUP,-0.3717684708819589,2.789841568458981
2025-06-05,2025-06-04,ABFRL,5.0,34.156280277378436,0.6487372385753336,4.288114212313524,pullback_reversal,PULLBACK,-0.10812703260823575,2.814025768573365
2025-06-05,2025-06-04,NBCC,6.0,32.823585697473575,0.7512627614246663,-1.889105038589989,continuation,BASELINE,-0.8760907329977348,3.92602333525063
2025-06-05,2025-06-04,BAYERCROP,7.0,28.73023090080434,0.617929428091333,0.31779209078129755,pullback_reversal,DRYUP,-0.5715844167670732,3.018780224871268
2025-06-05,2025-06-04,CGCL,8.0,27.748426137837953,0.5333333333333333,3.3333126448243693,pullback_reversal,PULLBACK,-0.16194540368652655,1.888089828031071
2025-06-05,2025-06-04,DEVYANI,9.0,23.610183529202423,0.4666666666666667,2.3451959992090963,dryup_compression,DRYUP,-0.3035156122824906,2.3827964752650947
2025-06-05,2025-06-04,CHAMBLFERT,10.0,19.541534901977464,0.4,1.4266733350043972,recovery,DRYUP,-0.4036893563135594,2.3109540496792533
2025-06-05,2025-06-04,GPIL,11.0,18.136576290047945,0.3333333333333333,3.1718406860951425,pullback_reversal,DRYUP,-0.2652061361469153,3.3246319535285904
2025-06-05,2025-06-04,SJVN,12.0,12.442747673750647,0.26666666666666666,0.6281380328181052,continuation,GOLD,-0.5199812016364278,2.742613309118232
2025-06-05,2025-06-04,VBL,13.0,8.735521289305003,0.13333333333333333,3.221163574412985,pullback_reversal,PULLBACK,-0.18753803438795336,2.105392087683366
2025-06-05,2025-06-04,CESC,14.0,8.364685690761029,0.2,-0.29979798715125205,continuation,DRYUP,-0.6968441144886547,3.950211880023814
2025-06-05,2025-06-04,TEJASNET,15.0,5.099060473939531,0.06666666666666667,2.734828722067775,dryup_compression,DRYUP,-0.27832561553523216,2.7060343252811867
2025-06-06,2025-06-05,TEGA,1.0,44.61817879751452,1.0,-1.0080358921090762,pullback_reversal,DRYUP,-0.7361178835761065,3.0929353801794752
