entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json,exit_time,exit_reason,n_positions_filled,gross_ret5x_pct,net_ret5x_pct,charges_rs
2025-06-02,2025-05-30,15,"CONCORDBIO,TEGA,SUZLON,NBCC,BAYERCROP,WELSPUNLIV,ABFRL,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,CESC,VBL,TEJASNET",12.768003288581234,"{""continuation"": 2, ""dryup_compression"": 1, ""fresh_breakout"": 3, ""pullback_reversal"": 9}",15:16,TRAIL,15,2.3869259999999777,2.068983190082702,1589.7140495863803
2025-06-03,2025-06-02,15,"CONCORDBIO,TEGA,SUZLON,NBCC,WELSPUNLIV,BAYERCROP,ABFRL,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,CESC,VBL,TEJASNET",24.421178219011747,"{""continuation"": 4, ""dryup_compression"": 2, ""fresh_breakout"": 1, ""pullback_reversal"": 3, ""recovery"": 5}",09:17,HARD_STOP,15,-3.3150519999999553,-3.631549190686835,1582.4859534343998
2025-06-04,2025-06-03,15,"CONCORDBIO,TEGA,SUZLON,WELSPUNLIV,NBCC,ABFRL,BAYERCROP,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,CESC,VBL,TEJASNET",25.787364727665906,"{""continuation"": 3, ""dryup_compression"": 2, ""pullback_reversal"": 7, ""recovery"": 3}",09:43,HARD_STOP,15,-3.183834000000078,-3.5005121353275785,1583.3906766375
2025-06-05,2025-06-04,15,"TEGA,CONCORDBIO,SUZLON,WELSPUNLIV,ABFRL,NBCC,BAYERCROP,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,VBL,CESC,TEJASNET",25.86300024409361,"{""continuation"": 3, ""dryup_compression"": 2, ""fresh_breakout"": 1, ""pullback_reversal"": 7, ""recovery"": 2}",15:29,EOD,15,0.7830799999998882,0.4654733228894402,1588.0333855522404
2025-06-06,2025-06-05,15,"TEGA,CONCORDBIO,SUZLON,WELSPUNLIV,ABFRL,NBCC,BAYERCROP,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,VBL,CESC,TEJASNET",25.462562891184582,"{""continuation"": 3, ""dryup_compression"": 2, ""pullback_reversal"": 8, ""recovery"": 2}",15:29,EOD,15,-0.6366620000000112,-0.9536839672100552,1585.10983605022
2025-06-09,2025-06-06,15,"TEGA,SUZLON,CONCORDBIO,WELSPUNLIV,ABFRL,BAYERCROP,NBCC,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,VBL,CESC,OLAELEC",25.537405229129035,"{""continuation"": 5, ""fresh_breakout"": 1, ""pullback_reversal"": 7, ""recovery"": 2}",15:29,EOD,15,6.039367999999877,5.720129365990405,1596.1931700473601
2025-06-10,2025-06-09,15,"TEGA,SUZLON,WELSPUNLIV,ABFRL,CONCORDBIO,BAYERCROP,NBCC,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,VBL,CESC,OLAELEC",25.45398398352758,"{""continuation"": 4, ""dryup_compression"": 2, ""fresh_breakout"": 1, ""pullback_reversal"": 6, ""recovery"": 2}",09:31,HARD_STOP,15,-3.1704480000000443,-3.4870857770219246,1583.1888851094
2025-06-11,2025-06-10,15,"TEGA,SUZLON,ABFRL,WELSPUNLIV,BAYERCROP,CONCORDBIO,NBCC,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,VBL,OLAELEC,CESC",25.689421103525103,"{""continuation"": 6, ""dryup_compression"": 2, ""fresh_breakout"": 1, ""pullback_reversal"": 4, ""recovery"": 2}",13:46,HARD_STOP,15,-3.0685120000001045,-3.385072906587953,1582.8045329392403
2025-06-12,2025-06-11,15,"TEGA,SUZLON,ABFRL,WELSPUNLIV,BAYERCROP,NBCC,CONCORDBIO,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,VBL,OLAELEC,BLS",25.47789514365976,"{""continuation"": 5, ""dryup_compression"": 2, ""fresh_breakout"": 1, ""pullback_reversal"": 5, ""recovery"": 2}",09:31,HARD_STOP,15,-3.0938740000000227,-3.410414734892586,1582.70367446282
2025-06-13,2025-06-12,15,"TEGA,SUZLON,ABFRL,WELSPUNLIV,BAYERCROP,NBCC,CONCORDBIO,CGCL,DEVYANI,CHAMBLFERT,GPIL,SJVN,OLAELEC,VBL,BLS",26.11613285122648,"{""continuation"": 3, ""dryup_compression"": 5, ""pullback_reversal"": 5, ""recovery"": 2}",15:29,EOD,15,6.248054000000003,5.928783813168895,1596.3509341555402
