test_type,metric,treated_n,control_n,treated_mean,control_mean,difference,ci95_low,ci95_high,t_stat,p_value_normal_approx,significant_5pct
base_rate,gap_up_0_8,105,4746,0.2,0.2185,-0.0185,-0.096271,0.059272,-0.4662,0.641049,0
base_rate,first15_up_0_75,105,4746,0.171429,0.19764,-0.026212,-0.099527,0.047104,-0.7007,0.483469,0
base_rate,first60_up_1_2,105,4746,0.114286,0.14075,-0.026464,-0.088408,0.035479,-0.8374,0.402379,0
base_rate,next_high_up_2,105,4746,0.304762,0.343447,-0.038685,-0.128179,0.050809,-0.8472,0.39686,0
base_rate,day1_close_positive,105,4746,0.438095,0.541719,-0.103624,-0.20003,-0.007218,-2.1068,0.035139,1
base_rate,day3_close_positive,105,4746,0.495238,0.502739,-0.007501,-0.104641,0.089639,-0.1513,0.8797,0
base_rate,day5_close_positive,105,4746,0.466667,0.458913,0.007754,-0.089172,0.10468,0.1568,0.875405,0
base_rate,day3_up_2,105,4746,0.266667,0.301517,-0.03485,-0.120839,0.051138,-0.7944,0.42698,0
base_rate,day5_up_3,105,4746,0.228571,0.272861,-0.04429,-0.125984,0.037404,-1.0626,0.287961,0
