date,direction,rank,symbol,sector,entry_1000,exit_1515,move_pct_in_dir,hit_1pct,confidence,reliability_prior,why_picked
2026-02-10,LONG,4,PFC,Financial Services,410.8,412.6,0.44,0,0.285,0.49,"20d rel-strength high (+15.72, 96pct); volume vs 20d high (+1.97, 95pct); morning move low (-1.25, 8pct)"
2026-02-10,LONG,5,MOTILALOFS,Financial Services,803.0,820.6,2.19,1,0.284,0.48,"recent volatility high (+4.91, 97pct); vs morning VWAP low (-0.49, 10pct); morning volatility high (+0.17, 86pct)"
2026-02-11,LONG,1,MOTILALOFS,Financial Services,812.2,809.1,-0.38,0,0.346,0.61,"recent volatility high (+4.83, 96pct); morning range high (+2.55, 88pct); morning move low (-1.55, 13pct)"
2026-02-11,LONG,2,MANAPPURAM,Financial Services,310.2,301.6,-2.77,0,0.325,0.49,"vs morning VWAP high (+0.60, 96pct); strength vs sector high (+1.46, 92pct); near morning high/low high (+0.77, 90pct)"
2026-02-11,LONG,3,ADANIGREEN,Power,989.3,994.55,0.53,0,0.32,0.52,"near morning high/low high (+0.95, 99pct); morning move high (+1.26, 95pct); strength vs market high (+1.73, 95pct)"
2026-02-11,LONG,4,MCX,Financial Services,2402.9,2380.1,-0.95,0,0.309,0.39,"morning volatility high (+0.28, 99pct); morning range high (+4.15, 99pct); recent volatility high (+5.35, 99pct)"
2026-02-11,LONG,5,BDL,Capital Goods,1279.5,1283.8,0.34,0,0.304,0.55,"dist from 20d high low (-18.44, 1pct); 20d rel-strength low (-16.18, 1pct); recent volatility high (+4.92, 97pct)"
2026-02-12,LONG,1,CGPOWER,Capital Goods,687.1,684.95,-0.31,0,0.251,0.45,"20d rel-strength high (+17.25, 97pct); volume vs 20d low (+0.35, 8pct); recent volatility high (+4.00, 85pct)"
2026-02-12,LONG,2,ASHOKLEY,Capital Goods,211.82,211.17,-0.31,0,0.247,0.42,"morning move high (+2.63, 100pct); strength vs market high (+3.03, 100pct); strength vs sector high (+2.70, 100pct)"
2026-02-12,LONG,3,MOTILALOFS,Financial Services,799.8,804.2,0.55,0,0.24,0.46,"recent volatility high (+4.75, 96pct); 9:45-10:00 push high (+0.67, 94pct); volume vs 20d low (+0.38, 11pct)"
2026-02-12,LONG,4,DLF,Realty,662.0,650.65,-1.71,0,0.237,0.57,"near morning high/low low (+0.10, 5pct); up-bar share low (+0.37, 10pct); dist from 20d high high (-0.67, 85pct)"
2026-02-12,LONG,5,GMRAIRPORT,Services,96.36,96.26,-0.1,0,0.232,0.55,"volume vs 20d low (+0.33, 6pct); up-bar share low (+0.37, 10pct); vs morning VWAP low (-0.33, 10pct)"
2026-02-13,LONG,1,PIIND,Chemicals,3204.0,3152.8,-1.6,0,0.378,,"morning move high (+5.57, 100pct); vs morning VWAP high (+1.54, 100pct); 9:45-10:00 push high (+3.02, 100pct)"
2026-02-13,LONG,2,INFY,Information Technology,1296.7,1369.6,5.62,1,0.267,,"morning volume high (+11665722.00, 99pct); morning volatility high (+0.36, 99pct); RSI low (+12.53, 1pct)"
2026-02-13,LONG,3,KPITTECH,Information Technology,821.3,860.9,4.82,1,0.239,0.22,"20d rel-strength low (-24.70, 0pct); dist from 20d high low (-27.13, 0pct); RSI low (+8.86, 0pct)"
2026-02-13,LONG,4,COFORGE,Information Technology,1338.5,1361.1,1.69,1,0.238,,"5d momentum low (-11.15, 0pct); 20d rel-strength low (-15.56, 1pct); dist from 20d high low (-19.19, 2pct)"
2026-02-13,LONG,5,TECHM,Information Technology,1480.0,1534.5,3.68,1,0.223,,"9:45-10:00 push low (-1.19, 1pct); up-bar share high (+0.54, 99pct); dist from 20d high low (-17.12, 4pct)"
2026-02-16,LONG,1,KPITTECH,Information Technology,870.1,879.9,1.13,1,0.399,0.41,"20d rel-strength low (-26.66, 0pct); dist from 20d high low (-27.39, 0pct); RSI low (+8.26, 0pct)"
2026-02-16,LONG,2,COFORGE,Information Technology,1355.8,1392.5,2.71,1,0.355,0.41,"5d momentum low (-11.91, 0pct); volume vs 20d high (+4.33, 99pct); dist from 20d high low (-22.58, 1pct)"
2026-02-16,LONG,3,INFY,Information Technology,1351.3,1366.7,1.14,1,0.324,0.44,"5d momentum low (-9.16, 1pct); RSI low (+10.29, 1pct); morning move low (-1.63, 2pct)"
2026-02-16,LONG,4,KFINTECH,Financial Services,1010.1,998.4,-1.16,0,0.311,,"morning move high (+4.34, 100pct); morning volatility high (+0.37, 100pct); morning range high (+6.40, 100pct)"
2026-02-16,LONG,5,OFSS,Information Technology,6665.0,6699.5,0.52,0,0.307,,"RSI low (+10.26, 1pct); 20d rel-strength low (-15.83, 2pct); 5d momentum low (-8.60, 2pct)"
2026-02-17,LONG,1,COFORGE,Information Technology,1429.2,1381.9,-3.31,0,0.357,0.56,"5d momentum low (-10.12, 0pct); 20d rel-strength low (-19.38, 1pct); morning move high (+2.45, 99pct)"
2026-02-17,LONG,2,INFY,Information Technology,1409.5,1391.5,-1.28,0,0.353,0.58,"RSI low (+7.32, 0pct); morning move high (+2.88, 100pct); strength vs market high (+2.71, 100pct)"
2026-02-17,LONG,3,KPITTECH,Information Technology,890.5,878.9,-1.3,0,0.347,0.56,"20d rel-strength low (-24.27, 0pct); dist from 20d high low (-24.69, 0pct); 9:45-10:00 push high (+0.62, 98pct)"
2026-02-17,LONG,4,NATIONALUM,Metals & Mining,341.85,341.0,-0.25,0,0.281,0.43,"recent volatility high (+5.62, 99pct); dist from 20d high low (-19.26, 2pct); RSI low (+33.64, 9pct)"
2026-02-17,LONG,5,GMRAIRPORT,Services,101.8,100.0,-1.77,0,0.276,0.41,"morning volume high (+9361804.00, 100pct); volume vs 20d high (+3.23, 99pct); 9:45-10:00 push low (-0.63, 2pct)"
2026-02-18,LONG,1,KPITTECH,Information Technology,863.4,862.1,-0.15,0,0.378,0.42,"20d rel-strength low (-22.82, 0pct); dist from 20d high low (-22.95, 0pct); 5d momentum low (-9.69, 2pct)"
2026-02-18,LONG,2,COFORGE,Information Technology,1341.6,1372.1,2.27,1,0.364,0.42,"20d rel-strength low (-20.56, 1pct); dist from 20d high low (-21.61, 1pct); 5d momentum low (-11.10, 1pct)"
2026-02-18,LONG,3,INOXWIND,Capital Goods,99.54,99.12,-0.42,0,0.347,0.24,"vs morning VWAP low (-1.90, 0pct); up-bar share low (+0.22, 0pct); 5d momentum low (-10.20, 1pct)"
2026-02-18,LONG,4,WAAREEENER,Capital Goods,2947.2,2964.1,0.57,0,0.344,0.33,"morning move low (-3.37, 1pct); strength vs market low (-3.09, 1pct); strength vs sector low (-2.75, 1pct)"
2026-02-18,LONG,5,INFY,Information Technology,1351.7,1373.8,1.63,1,0.318,0.44,"morning range high (+3.65, 99pct); RSI low (+13.86, 1pct); 20d rel-strength low (-17.80, 1pct)"
2026-02-19,LONG,1,COFORGE,Information Technology,1394.2,1361.0,-2.38,0,0.27,0.56,"20d rel-strength low (-21.08, 1pct); dist from 20d high low (-21.96, 1pct); morning volatility high (+0.22, 99pct)"
2026-02-19,LONG,2,INFY,Information Technology,1393.7,1367.8,-1.86,0,0.249,0.58,"RSI low (+13.49, 1pct); 20d rel-strength low (-19.52, 1pct); dist from 20d high low (-20.50, 1pct)"
2026-02-19,LONG,3,ADANIGREEN,Power,995.2,976.05,-1.92,0,0.223,0.39,"recent volatility high (+4.65, 95pct); near morning high/low low (+0.03, 11pct); 20d rel-strength high (+11.49, 84pct)"
