entry_date,signal_date,n_positions,symbols,avg_score,avg_rule_score,avg_profile_score,exit_time,exit_reason,n_positions_filled,gross_ret5x_pct,net_ret5x_pct,charges_rs
2024-12-26,2024-12-24,15,"ZENTEC,AEGISLOG,CARTRADE,AMBER,KFINTECH,NEWGEN,MANKIND,GICRE,PTCIL,ACUTAAS,INTELLECT,TECHNOE,MANAPPURAM,ABDL,PGEL",8.805252129012842,3.5000430854724462,1.9594104436146063,15:28,TRAIL,15,4.07745,3.7598282691850207,1588.1086540749
2024-12-27,2024-12-26,15,"AMBER,PTCIL,KFINTECH,PGEL,ELECON,NEWGEN,VIJAYA,POWERINDIA,INTELLECT,TATAINVEST,ACUTAAS,ZENTEC,FIRSTCRY,CONCORDBIO,MANAPPURAM",8.011896922736405,3.130925897094559,1.8501824057672518,09:17,HARD_STOP,15,-3.094850000000093,-3.409863508704073,1575.0675435198998
2024-12-30,2024-12-27,15,"POWERINDIA,AMBER,INTELLECT,PGEL,KFINTECH,NEWGEN,FIVESTAR,PAYTM,PTCIL,ABDL,SAGILITY,SIGNATURE,360ONE,IKS,ELECON",8.556572132793548,3.131693051854643,1.8556650844597804,09:21,HARD_STOP,15,-3.0904120000000113,-3.4054564420402036,1575.22221020096
2024-12-31,2024-12-30,15,"NEWGEN,POWERINDIA,CAPLIPOINT,KFINTECH,SAGILITY,AMBER,PGEL,PTCIL,BLUESTARCO,INTELLECT,IGIL,HSCL,FIVESTAR,TARIL,COCHINSHIP",8.218834399896249,3.348876754025104,1.9496037356150473,09:21,HARD_STOP,15,-3.3331159999999214,-3.648229216797874,1575.56608398976
2025-01-01,2024-12-31,15,"PTCIL,NEWGEN,POWERINDIA,IREDA,TARIL,BLUESTARCO,ATGL,ITI,BAJAJHLDNG,CRISIL,HSCL,PPLPHARMA,FORTIS,COCHINSHIP,SIGNATURE",7.994237025218192,3.103654676086356,1.7366985155433217,15:29,EOD,15,1.1578000000000932,0.841219992365213,1582.9000381744
2025-01-02,2025-01-01,15,"CRISIL,NEWGEN,POWERINDIA,TARIL,ATGL,ITI,IREDA,COCHINSHIP,PGEL,BAJAJHLDNG,TECHNOE,UTIAMC,BLUESTARCO,KAYNES,RITES",8.73961617559123,3.302642221959592,1.8886279752334665,09:20,HARD_STOP,15,-2.9513300000000746,-3.2663412256900144,1575.0561284497
2025-01-03,2025-01-02,15,"AIIL,BLUESTARCO,POWERINDIA,TARIL,RPOWER,TECHNOE,IREDA,KALYANKJIL,ACUTAAS,LLOYDSME,CRISIL,UTIAMC,SUNDARMFIN,ITI,PNBHOUSING",8.1945245965001,3.090717110644874,1.8803957411872425,15:29,EOD,15,7.499168000000063,7.181243484518504,1589.6225774077998
2025-01-06,2025-01-03,15,"TARIL,AIIL,SUNDARMFIN,RPOWER,FORCEMOT,LLOYDSME,ZENSARTECH,CHOLAHLDNG,PARADEEP,BLUEJET,IREDA,ITI,POLYMED,PTCIL,BLUESTARCO",8.788208366367975,3.320266244044431,2.049796850544996,10:38,HARD_STOP,15,-3.079216000000015,-3.3945786851417985,1576.8134257089198
2025-01-07,2025-01-06,15,"LLOYDSME,VIJAYA,AIIL,PARADEEP,BLUESTARCO,PTCIL,SAREGAMA,TARIL,SAPPHIRE,APARINDS,DEVYANI,ITI,FORCEMOT,CARTRADE,SHYAMMETL",8.599826926931526,3.3653491968523443,2.0576290017753025,15:29,EOD,15,0.08505400000000372,-0.23109404027592031,1580.7402013796202
2025-01-08,2025-01-07,15,"PARADEEP,SAREGAMA,VIJAYA,DEVYANI,PTCIL,AIIL,TARIL,LLOYDSME,FSL,APARINDS,SAPPHIRE,AMBER,ITI,CARTRADE,BLUEJET",8.444615541501229,3.331145267566526,2.0044859045509336,09:17,HARD_STOP,15,-5.485620000000019,-5.800069220895594,1572.24610447788
2025-01-09,2025-01-08,15,"VIJAYA,ITI,ACUTAAS,AEGISLOG,PTCIL,IREDA,TARIL,ZEEL,SAGILITY,BLUEJET,OIL,MINDACORP,PARADEEP,JSWDULUX,SHYAMMETL",8.075793478103634,3.1593563767359916,1.9838651326840848,10:02,HARD_STOP,15,-3.0403040000000967,-3.3560711697735535,1578.8358488672802
