tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v7_fit_all_in_sample,2024-12-02,10,5,5,2,50.0,40.0,"MAZDOCK,GRSE,HUDCO,JPPOWER,ATGL,OLAELEC,ADANIPOWER,PREMIERENE,ADANIENT,ADANIGREEN,IDEA,AEGISLOG,ADANIENSOL,BDL,LTFOODS","ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW","CAMS,COCHINSHIP,SONATSOFTW"
v7_fit_all_in_sample,2024-12-03,11,9,1,1,9.090909090909092,11.11111111111111,"JPPOWER,PREMIERENE,OLAELEC,FACT,ADANIGREEN,LTFOODS,HUDCO,WOCKPHARMA,PGEL,ADANIENSOL,GRSE,SAGILITY,CARTRADE,BDL,NEULANDLAB","GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE","ANGELONE,BLS,HSCL,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
v7_fit_all_in_sample,2024-12-04,8,4,0,0,0.0,0.0,"PGEL,MAZDOCK,FACT,PREMIERENE,OLAELEC,INOXWIND,CAPLIPOINT,ADANIGREEN,GRSE,TORNTPOWER,LLOYDSME,ADANIPORTS,AFFLE,COCHINSHIP,BDL","FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO","BLUESTARCO,FINCABLES,HSCL,PNBHOUSING"
v7_fit_all_in_sample,2024-12-05,8,6,0,0,0.0,0.0,"GALLANTT,JPPOWER,SARDAEN,PGEL,MAZDOCK,GRAPHITE,NEULANDLAB,PREMIERENE,LTFOODS,OLAELEC,AFFLE,HEG,CAPLIPOINT,POLICYBZR,JYOTICNC","INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE","ANGELONE,CASTROLIND,CESC,FLUOROCHEM,IGL,KPIL"
v7_fit_all_in_sample,2024-12-06,9,7,0,0,0.0,0.0,"KEC,HEG,GALLANTT,CAPLIPOINT,JYOTICNC,GRAPHITE,NEWGEN,PREMIERENE,SWANCORP,NIVABUPA,UCOBANK,PGEL,HSCL,SARDAEN,OLAELEC","GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL","GABRIEL,GRSE,INOXWIND,IREDA,MAZDOCK,MMTC,ZEEL"
v7_fit_all_in_sample,2024-12-09,9,3,0,0,0.0,0.0,"PGEL,SWANCORP,KFINTECH,FINCABLES,ANGELONE,UCOBANK,BSE,RBLBANK,HEG,CDSL,POLICYBZR,NEWGEN,KEC,IOB,NTPCGREEN","INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH","CASTROLIND,INOXWIND,MAXHEALTH"
v7_fit_all_in_sample,2024-12-10,7,6,0,0,0.0,0.0,"POLICYBZR,BSE,PCBL,PGEL,GPIL,GABRIEL,ABDL,NEWGEN,ANGELONE,BLUESTARCO,HEG,CDSL,ZENTEC,ASAHIINDIA,HBLENGINE","CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL","CLEAN,CRISIL,KPRMILL,RPOWER,SYRMA,TARIL"
v7_fit_all_in_sample,2024-12-11,7,4,2,0,28.57142857142857,0.0,"POLICYBZR,ZENTEC,NEWGEN,PGEL,ANGELONE,GPIL,GABRIEL,ITI,AIIL,CARTRADE,ASAHIINDIA,MAPMYINDIA,BSE,RPOWER,BLS","PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER","CHALET,MAXHEALTH,POWERINDIA,TITAGARH"
v7_fit_all_in_sample,2024-12-12,10,7,2,2,20.0,28.57142857142857,"ZENTEC,GPIL,AIIL,BLS,GABRIEL,NAM-INDIA,PGEL,BLUESTARCO,CARTRADE,360ONE,NUVAMA,SBFC,SWANCORP,NEWGEN,SARDAEN","PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM","CHALET,CRISIL,MANAPPURAM,MAXHEALTH,POWERINDIA"
v7_fit_all_in_sample,2024-12-13,9,7,3,2,33.33333333333333,28.57142857142857,"ZENTEC,PGEL,JUBLINGREA,SWANCORP,AIIL,GPIL,BLS,JWL,TARIL,CARTRADE,WAAREEENER,ITI,SYRMA,GABRIEL,TITAGARH","PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA","CRISIL,DELHIVERY,GODFRYPHLP,JBMA,KPRMILL"
v7_fit_all_in_sample,2024-12-16,9,6,4,2,44.44444444444444,33.33333333333333,"ZENTEC,JUBLINGREA,TARIL,CHALET,SWANCORP,GPIL,JWL,RPOWER,WAAREEENER,SYRMA,PGEL,EIHOTEL,BLS,AIIL,KAYNES","LATENTVIEW,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CHALET,SYRMA","MANAPPURAM,MAXHEALTH,POWERINDIA,TITAGARH"
v7_fit_all_in_sample,2024-12-17,7,1,1,0,14.285714285714285,0.0,"RPOWER,VTL,TARIL,PGEL,TBOTEK,KPRMILL,PREMIERENE,BLS,MANAPPURAM,ZENTEC,SWANCORP,AIIL,CHALET,KAYNES,JWL","AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,POWERINDIA,KPRMILL",AEGISLOG
v7_fit_all_in_sample,2024-12-18,8,5,1,1,12.5,20.0,"PGEL,TBOTEK,WOCKPHARMA,ZENTEC,KPRMILL,TARIL,MAZDOCK,HBLENGINE,PAYTM,RPOWER,KAYNES,BLS,ANANTRAJ,LODHA,FIVESTAR","TECHNOE,KFINTECH,AEGISLOG,GICRE,CARTRADE,KPRMILL,HONASA,POWERINDIA","CARTRADE,GICRE,HONASA,KFINTECH"
