bucket,symbol,patterns,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,weighted_avg_d1
1-2%,AUBANK,33,225,1.3380909090909092,1.878,288.856,109.26456258950776,1.2838044444444445
1-2%,GESHIP,26,224,1.395230769230769,1.999,288.584,96.20731974254817,1.2883214285714286
1-2%,KPITTECH,25,214,1.37316,1.922,288.433,95.75752334482067,1.347817757009346
1-2%,ETERNAL,21,212,1.3905714285714286,1.812,287.10699999999997,88.4465240134745,1.3542783018867923
1-2%,TVSMOTOR,43,222,1.2879767441860466,1.887,286.752,122.91219035131647,1.2916756756756758
1-2%,PAYTM,13,217,1.4086153846153846,1.844,284.665,65.49350219299765,1.3118202764976956
1-2%,CEATLTD,26,218,1.3631923076923076,1.989,283.819,97.87759121141914,1.301922018348624
1-2%,HINDALCO,22,218,1.3904545454545454,1.963,283.55,87.09879267096746,1.3006880733944952
1-2%,ZYDUSLIFE,39,198,1.4446153846153844,1.95,281.808,124.65687720402606,1.4232727272727272
1-2%,NHPC,25,195,1.4203999999999999,1.988,280.612,96.10991878535658,1.4390358974358972
1-2%,MEDANTA,25,206,1.37708,1.915,276.818,92.9632905463615,1.3437766990291262
1-2%,IDEA,12,177,1.4505,1.923,269.933,66.54153672610326,1.5250451977401134
1-2%,POWERGRID,41,202,1.3007560975609755,1.846,269.864,117.08282358761602,1.3359603960396038
1-2%,LALPATHLAB,31,215,1.3299032258064516,1.98,268.592,101.12671301780028,1.24926511627907
1-2%,M&M,37,207,1.2907027027027027,1.935,263.445,108.99502374412921,1.2726811594202898
1-2%,BAYERCROP,29,197,1.3563793103448276,1.903,263.396,98.77416505309935,1.3370355329949237
1-2%,VTL,20,199,1.3516,1.856,262.807,79.96737615731335,1.320638190954774
1-2%,BHARATFORG,29,206,1.327896551724138,1.977,260.586,96.86503057546787,1.264980582524272
1-2%,ABFRL,22,182,1.5345,1.921,260.027,87.23250403822675,1.4287197802197802
