bucket,pattern,symbols,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,rule_family,rule,weighted_avg_d1
1-2%,FALCPAT_6865,49,501,1.3455102040816327,1.898,668.548,203.03438088818055,pullback_from_high|volatility_expansion|weekly_strength,volatility (20d ATR%) >= 2.6793 AND distance from 120-day high <= -28.3595 AND distance from 200-DMA <= 14.55 AND close position in weekly range >= 0.8126,1.3344271457085828
1-2%,FALCPAT_7209,33,477,1.4126363636363635,1.95,667.067,168.54261727856183,volatility_expansion,distance from 200-DMA <= 17.8236 AND distance from 20-week SMA >= 2.9036 AND weekly range % >= 8.017,1.3984633123689727
1-2%,FALCPAT_6424,44,510,1.3566363636363636,1.976,658.888,188.7488543094005,volatility_expansion|recent_weakness|weekly_strength,volatility (20d ATR%) >= 3.7232 AND 60-day return <= -14.7778 AND close position in weekly range >= 0.6594,1.2919372549019608
1-2%,FALCPAT_7753,49,465,1.4039183673469389,1.957,650.755,201.17531567920454,volatility_expansion|recent_weakness|weekly_strength,volatility (20d ATR%) >= 3.5078 AND 5-day return <= 7.2582 AND close position in weekly range >= 0.6063 AND weekly range % >= 10.9288,1.3994731182795699
1-2%,FALCPAT_9569,37,488,1.3705945945945945,1.969,645.7379999999999,170.6688918386882,pullback_from_high|volatility_expansion|compression|weekly_strength,volatility (20d ATR%) >= 3.5761 AND distance from year-high <= -27.4711 AND close position in weekly range >= 0.767 AND weekly range % <= 13.4815,1.3232336065573769
1-2%,FALCPAT_9530,44,491,1.3762045454545453,1.978,644.281,185.56497977595396,pullback_from_high|volatility_expansion|relative_strength,volatility (20d ATR%) >= 3.347 AND distance from 120-day high <= -28.3924 AND lower wick >= 0.2522 AND 20d relative strength vs market >= -10.0472,1.3121812627291245
1-2%,FALCPAT_8371,33,511,1.277,1.789,638.2470000000001,155.37259544648074,volatility_expansion|relative_strength,distance from 200-DMA <= 33.9899 AND 20d relative strength vs market <= -5.828 AND distance from 20-week SMA <= 30.0974 AND weekly range % >= 9.6165,1.2490156555772993
1-2%,FALCPAT_6999,30,440,1.4148,1.964,627.529,152.9374342682487,volatility_expansion,volatility (20d ATR%) <= 4.4018 AND distance from 20-DMA >= 8.5001 AND distance from 20-week SMA >= 0.261 AND weekly range % >= 8.5031,1.4262022727272725
1-2%,FALCPAT_6467,43,460,1.4372325581395349,1.992,626.905,190.22628194174024,volatility_expansion|recent_weakness|weekly_strength|relative_strength,volatility (20d ATR%) >= 3.8758 AND 60-day return <= -13.0654 AND 60d relative strength vs market >= -19.0757 AND close position in weekly range >= 0.5112,1.3628369565217395
1-2%,FALCPAT_9522,41,484,1.3322682926829268,1.981,625.626,174.97250279703604,oversold|pullback_from_high|recent_weakness,distance from 120-day high <= -25.7021 AND 60-day return <= -17.0951 AND RSI(14) <= 37.611,1.2926157024793388
1-2%,FALCPAT_7737,39,479,1.3721794871794872,1.976,624.069,174.40920549386328,volatility_expansion|weekly_weak_close,volatility (20d ATR%) >= 3.7186 AND close position in weekly range <= 0.4445 AND distance from 20-week SMA <= -3.4823 AND weekly range % >= 8.6398,1.3028580375782879
1-2%,FALCPAT_7009,33,432,1.4307878787878787,1.919,622.465,165.49552908959174,volatility_expansion|weekly_strength,volatility (20d ATR%) <= 4.4018 AND close position in weekly range >= 0.8143 AND distance from 20-week SMA >= 2.2342 AND weekly range % >= 8.5031,1.4408912037037036
