pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_8445,ECLERX,42,1.275,1-2%,53.55,8.262944390470022,hit_10pc_20d,other,41.490209471766846,30.24927834188964,11.240931129877207,PROMOTED,60d relative strength vs market <= -12.6624 AND distance from 20-week SMA <= -1.5679 AND weekly range % <= 12.8017 AND weekly range % >= 5.5108,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|compression|relative_strength,B_broad_edge
FALCPAT_6477,IOB,21,2.545,2-5%,53.445,11.662655143662612,hit_10pc_20d,capitulation,43.82678506264445,34.00746195228712,9.819323110357333,PROMOTED,volatility (20d ATR%) >= 2.0373 AND distance from year-high <= -20.1662 AND RSI(14) <= 28.6983 AND weekly range % >= 5.6382,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",oversold|pullback_from_high|volatility_expansion,A_high_edge
FALCPAT_8364,RITES,38,1.405,1-2%,53.39,8.66100167417141,hit_15pc_20d,breakout,36.29958430212076,15.52565995111252,20.773924351008244,PROMOTED,60-day return <= 32.9608 AND close position in weekly range >= 0.6135 AND distance from 20-week SMA <= 36.7502 AND weekly range % >= 9.6242,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,B_broad_edge
FALCPAT_8198,SONATSOFTW,52,1.026,1-2%,53.352000000000004,7.398591217252106,hit_10pc_20d,capitulation,63.69467607440667,30.24927834188964,33.44539773251704,PROMOTED,volatility (20d ATR%) >= 2.975 AND distance from 120-day high <= -26.1604 AND 60d relative strength vs market <= -22.1244 AND close position in weekly range >= 0.4434,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength|relative_strength,B_broad_edge
FALCPAT_7564,TARIL,53,1.006,1-2%,53.318,7.323790548616201,hit_25pc_30d,capitulation,22.885245901639344,9.458155042142677,13.427090859496673,PROMOTED,volatility (20d ATR%) >= 3.2686 AND distance from 120-day high <= -16.2667 AND distance from 20-week SMA >= 12.5677,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_8178,ELECON,28,1.904,1-2%,53.312,10.075020992533961,hit_25pc_30d,mean_reversion,15.385307076701734,7.722364089468664,7.6629429872330705,PROMOTED,volatility (20d ATR%) >= 3.0061 AND short-term vol vs longer-term >= 0.8729 AND distance from year-high <= -15.2403 AND RSI(14) <= 33.6661,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",oversold|pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_6882,IDBI,53,1.004,1-2%,53.212,7.30923032883764,hit_10pc_20d,other,49.3234100135318,32.698883353500555,16.62452666003124,PROMOTED,volatility (20d ATR%) >= 3.3684 AND short-term vol vs longer-term >= 1.0196 AND distance from 120-day high <= -7.2128 AND weekly range % >= 8.5705,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_6174,LTFOODS,33,1.61,1-2%,53.13,9.248745860926226,hit_25pc_30d,other,19.16382453251793,10.722915258072424,8.44090927444551,PROMOTED,distance from 10-day high <= -10.804 AND days with sub-3% range in last 7 <= 2.5 AND close position in weekly range <= 0.7438,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|compression|weekly_weak_close,B_broad_edge
FALCPAT_9149,ITI,44,1.206,1-2%,53.064,7.999698994337224,hit_10pc_20d,other,47.037263286499694,35.380587245184216,11.656676041315478,PROMOTED,volatility (20d ATR%) <= 4.4687 AND volatility (20d ATR%) >= 3.33 AND days with sub-75% volume in last 20 <= 11.5 AND 20d relative strength vs market >= -10.4124,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,B_broad_edge
FALCPAT_8883,HBLENGINE,41,1.293,1-2%,53.013,8.279239639000673,hit_25pc_30d,capitulation,24.49931946334824,10.408532325017468,14.090787138330771,PROMOTED,volatility (20d ATR%) >= 3.1926 AND distance from 120-day high <= -27.0472 AND distance from 60-day high <= -17.4136 AND 5-day avg volume vs 20-day >= 0.5484,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
