pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_7515,BLS,4,4.273,2-5%,17.092,8.546,hit_15pc_20d,capitulation,29.247557416571503,17.450644806122114,11.796912610449386,PROMOTED,volatility (20d ATR%) >= 3.6302 AND distance from year-high <= -24.7275 AND slope of 50-DMA >= -0.072 AND distance from 20-week SMA <= 13.8145,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,ignore
FALCPAT_8332,POONAWALLA,9,4.272,2-5%,38.448,12.816,hit_10pc_20d,other,53.716904276985744,30.24927834188964,23.467625935096105,PROMOTED,distance from 200-DMA <= 6.4162 AND weekly range % >= 16.3281,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,ignore
FALCPAT_6865,GLAXO,3,4.267,2-5%,12.801000000000002,7.3906607958964,hit_40pc_40d,capitulation,11.509591326105086,4.0653742907808095,7.444217035324277,PROMOTED,volatility (20d ATR%) >= 2.6793 AND distance from 120-day high <= -28.3595 AND distance from 200-DMA <= 14.55 AND close position in weekly range >= 0.8126,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength,ignore
FALCPAT_7764,CHAMBLFERT,4,4.266,2-5%,17.064,8.532,hit_15pc_20d,other,43.37478559176672,15.52565995111252,27.849125640654204,PROMOTED,volatility (20d ATR%) >= 3.4791 AND close position in weekly range >= 0.2163 AND distance from 20-week SMA <= 11.1709 AND weekly range % >= 13.6861,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_9266,JUBLPHARMA,8,4.265,2-5%,34.12,12.0632416870425,hit_25pc_30d,mean_reversion,26.7104542966612,10.408532325017468,16.30192197164373,PROMOTED,distance from 60-day high <= -5.8193 AND distance from 50-DMA <= -15.3122 AND distance from 20-week SMA <= 14.3274 AND weekly range % >= 5.7248,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,ignore
FALCPAT_8766,VIJAYA,4,4.263,2-5%,17.052,8.526,hit_10pc_20d,other,56.95732838589982,35.380587245184216,21.576741140715605,PROMOTED,volatility (20d ATR%) >= 3.6888 AND distance from 20-day high <= -19.8967 AND distance from year-high >= -45.8202 AND distance from 60-day high <= -28.1363,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,ignore
FALCPAT_9111,PARADEEP,3,4.256,2-5%,12.768,7.371608237013142,hit_10pc_20d,breakout,63.94869445716903,35.380587245184216,28.568107211984817,PROMOTED,volatility (20d ATR%) >= 3.307 AND distance from 200-DMA <= -0.9248 AND close position in weekly range >= 0.7784 AND distance from 20-week SMA <= -1.7511,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_7764,GODFRYPHLP,5,4.253,2-5%,21.265,9.509997108306607,hit_15pc_20d,other,43.37478559176672,15.52565995111252,27.849125640654204,PROMOTED,volatility (20d ATR%) >= 3.4791 AND close position in weekly range >= 0.2163 AND distance from 20-week SMA <= 11.1709 AND weekly range % >= 13.6861,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_7201,GABRIEL,3,4.253,2-5%,12.759,7.366412084590435,hit_25pc_30d,breakout,31.872852233676973,9.458155042142677,22.41469719153429,PROMOTED,distance from 50-DMA >= 31.3804 AND close position in weekly range >= 0.2462 AND distance from 20-week SMA >= 21.4949 AND weekly range % >= 10.7355,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8332,CHOLAHLDNG,3,4.253,2-5%,12.759,7.366412084590435,hit_10pc_20d,other,53.716904276985744,30.24927834188964,23.467625935096105,PROMOTED,distance from 200-DMA <= 6.4162 AND weekly range % >= 16.3281,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,ignore
FALCPAT_9221,IRFC,4,4.25,2-5%,17.0,8.5,hit_25pc_30d,other,33.80952380952381,10.408532325017468,23.400991484506346,PROMOTED,volatility (20d ATR%) >= 4.4887 AND daily range % >= 5.6888 AND 20d relative strength vs sector <= -11.6776,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,ignore
