month,baskets,avg_positions,win_pct,avg_basket_pct,month_ret_pct,end_equity
2025-07,15,10.0,73.33333333333333,0.31733287135662647,4.781952362289932,1047819.5236228993
2025-08,14,10.0,57.14285714285714,0.4688550051981179,6.648727089422546,1117486.1841382734
2025-09,14,10.0,85.71428571428571,0.7036939881287895,10.281745072700922,1232383.2648140239
2025-10,17,10.0,52.94117647058824,0.12518592443124596,2.066992455755434,1257856.5339237223
2025-11,12,10.0,66.66666666666666,0.7331573047352345,9.10795986428008,1372421.6021837196
2025-12,17,10.0,76.47058823529412,0.3806390090652318,6.629234774250259,1463402.6522850054
2026-01,13,10.0,76.92307692307693,0.6669768621773092,8.922590445893519,1593976.0775227398
2026-02,19,10.0,47.368421052631575,-0.03358804143499402,-0.776457800906083,1581599.5259242377
2026-03,18,10.0,72.22222222222221,0.8791511998104093,16.8515940956369,1848124.2582515078
2026-04,9,10.0,55.55555555555556,0.2835894786932072,2.524519258979452,1894780.5110809382
2026-05,5,10.0,60.0,-0.11940789727193846,-0.6174262135197672,1883081.6395168607
2026-06,3,10.0,33.33333333333333,0.5672038478164952,1.684732561321911,1914806.5290540757
