tag,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,avg_score,avg_patterns
short_0915_top10_min10,2026-01-27,2026-01-28,-2.1706589520508794,10,"ASAHIINDIA,GROWW,COCHINSHIP,GRSE,AIAENG,VOLTAS,BLUEDART,CGCL,UNOMINDA,HUDCO","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.1179,-1.8201,-6.9011,-4.3299,-0.0767,-2.8944,-1.5039,-3.9053,0.4252,-2.8185",99.58979384906371,17.2
short_0915_top10_min10,2026-01-28,2026-01-29,1.200640075375525,10,"ACUTAAS,BLUESTARCO,ONESOURCE,VOLTAS,SPLPETRO,SRF,ENGINERSIN,GODREJIND,IRCON,RVNL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.7583,-0.8421,4.2179,1.7180,-0.2335,0.6179,2.1641,0.8478,1.9114,2.3631",37.7426340838051,9.0
short_0915_top10_min10,2026-01-29,2026-01-30,0.35869594927564863,10,"GMDCLTD,AIAENG,HFCL,HSCL,3MINDIA,ENRIN,IGIL,BSOFT,PPLPHARMA,NLCINDIA","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","4.5215,-0.0930,-4.1425,-0.1366,-0.6814,0.0298,3.6568,-0.5623,-1.5431,2.5379",86.33860784796454,15.4
short_0915_top10_min10,2026-01-30,2026-02-01,2.0681508988811133,10,"ABDL,AEGISVOPAK,CANFINHOME,ONESOURCE,BELRISE,JAINREC,GESHIP,NAM-INDIA,GMDCLTD,HINDCOPPER","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.7179,1.8734,4.1230,1.2789,3.5634,3.8545,3.2471,2.4378,-2.7525,3.7738",69.83865281177764,14.5
short_0915_top10_min10,2026-02-01,2026-02-02,-1.8160932943288306,10,"AIAENG,PRESTIGE,GROWW,GABRIEL,DATAPATTNS,ACMESOLAR,ACUTAAS,ANANTRAJ,ELECON,GMDCLTD","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-1.3623,0.6145,1.7117,-2.5246,-3.4826,0.6153,-7.2384,-4.1896,-2.4733,0.1685",18.728473998182892,6.3
short_0915_top10_min10,2026-02-02,2026-02-03,2.0975237238863174,10,"SUNDARMFIN,ACUTAAS,APARINDS,ITCHOTELS,MSUMI,GRAVITA,GRSE,AEGISVOPAK,ONESOURCE,LLOYDSME","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.2246,4.7471,-3.5257,3.6950,3.2503,0.0377,5.3607,5.6454,3.6779,-2.1376",137.62397937681857,23.3
short_0915_top10_min10,2026-02-03,2026-02-04,-1.2130385197766977,10,"SOLARINDS,KIRLOSENG,ABLBL,ABFRL,ETERNAL,AMBER,PERSISTENT,SHRIRAMFIN,SRF,UNOMINDA","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.6065,-3.3333,-1.1039,-3.8702,-4.9915,-3.7862,1.2067,1.0646,-1.2991,1.3761",21.20589301780898,9.7
short_0915_top10_min10,2026-02-04,2026-02-05,1.241528669878947,10,"AIAENG,BALKRISIND,TEGA,AEGISVOPAK,EMAMILTD,GVT&D,JBMA,VTL,ZFCVINDIA,RPOWER","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","3.5662,-1.1918,0.8416,1.3664,0.3235,-0.3226,1.1441,1.3418,2.1346,3.2115",20.6746685349893,7.1
short_0915_top10_min10,2026-02-05,2026-02-06,-0.3621147744830036,10,"PREMIERENE,POONAWALLA,EIHOTEL,CHENNPETRO,FORCEMOT,CCL,IDBI,PWL,ITI,GROWW","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.9841,-7.2999,1.3338,-1.6449,-0.4650,0.2178,-3.6911,6.6159,0.7727,1.5237",4.3127198701596345,3.1
short_0915_top10_min10,2026-02-06,2026-02-09,-0.8747695725534712,10,"POONAWALLA,KIRLOSENG,TRITURBINE,CONCORDBIO,FLUOROCHEM,ZEEL,ANANTRAJ,KPRMILL,TMCV,EIHOTEL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-6.8805,-3.3667,1.2114,3.9381,-2.4024,-3.2715,0.1212,2.0277,-1.6015,1.4764",42.292648449090954,10.6
