month,side,n,avg,median,win_pct,sum_contrib,p10,p90
2025-07,LONG,10.0,-0.7250300000000001,-0.5491,30.0,-7.2503,-2.1556499999999996,1.1830899999999995
2025-07,SHORT,193.0,0.04691450777202072,0.051,50.77720207253886,9.054499999999999,-2.7777399999999997,2.7843800000000005
2025-08,LONG,12.0,-0.5205666666666668,-0.68885,41.66666666666667,-6.246800000000002,-3.5905,2.074
2025-08,SHORT,212.0,0.5497245283018869,0.5627500000000001,64.62264150943396,116.54160000000002,-2.77049,3.7594300000000005
2025-09,SHORT,185.0,0.45863189189189185,0.6073,62.70270270270271,84.84689999999999,-2.2103199999999994,2.9957599999999998
2025-10,LONG,2.0,-1.4444,-1.4444,0.0,-2.8888,-1.55776,-1.33104
2025-10,SHORT,226.0,0.09184955752212384,0.33985,58.4070796460177,20.75799999999999,-2.60975,2.72955
2025-11,LONG,6.0,-0.8199499999999998,-0.79355,16.666666666666664,-4.919699999999999,-2.177,0.5107
2025-11,SHORT,182.0,0.5727521978021979,0.88825,63.73626373626373,104.24090000000001,-2.33108,3.26684
2025-12,SHORT,215.0,0.14008790697674414,0.2939,57.674418604651166,30.11889999999999,-2.7575999999999996,2.78992
2025-12,LONG,6.0,0.38643333333333324,0.88915,66.66666666666666,2.3185999999999996,-2.7131499999999997,2.9833
2026-01,LONG,17.0,-0.4947823529411765,-1.2896,35.294117647058826,-8.4113,-2.50762,2.0662400000000005
2026-01,SHORT,203.0,0.5975039408866996,0.628,61.083743842364534,121.29330000000002,-2.22184,3.3709400000000005
2026-02,SHORT,271.0,-0.0006811808118081562,0.1406,53.874538745387454,-0.1846000000000103,-3.4795,3.2271
2026-02,LONG,12.0,0.20553333333333323,-0.16305,41.66666666666667,2.466399999999999,-2.20124,2.820030000000001
2026-03,LONG,11.0,0.3203,-0.0944,36.36363636363637,3.5233,-3.8979,3.2918
2026-03,SHORT,250.0,0.9210384,1.01425,64.4,230.2596,-2.3481199999999993,4.34492
2026-04,SHORT,286.0,-0.32503286713286716,-0.09605,47.55244755244755,-92.9594,-3.59985,2.64025
2026-04,LONG,5.0,2.0460400000000005,1.5874,80.0,10.230200000000002,-0.97874,5.26302
2026-05,SHORT,100.0,-0.679201,-0.1334,48.0,-67.9201,-4.02832,2.397440000000001
2026-05,LONG,6.0,0.6993,0.778,66.66666666666666,4.1958,-0.6615,1.9814
2026-06,LONG,1.0,-0.842,-0.842,0.0,-0.842,-0.842,-0.842
2026-06,SHORT,40.0,0.17441499999999993,-0.052349999999999994,45.0,6.976599999999997,-1.6414499999999999,3.301130000000001
