side,entry_mode,n,avg,median,win_pct,sum_contrib,p10,p90
LONG,09:15,88.0,-0.08891590909090909,-0.3587,40.909090909090914,-7.8246,-2.59273,2.9010799999999994
SHORT,09:16,106.0,-0.06744999999999997,0.159,50.943396226415096,-7.149699999999997,-3.5932,2.7613000000000003
SHORT,09:15,2251.0,0.24965837405597513,0.3955,57.6188360728565,561.981,-2.8732,3.2072
SHORT,dual_0915_0916,6.0,1.3658166666666667,0.9853999999999999,83.33333333333334,8.1949,-0.02784999999999993,3.1399
