side,n,avg,median,win_pct,sum_contrib,p10,p90
LONG,88.0,-0.08891590909090909,-0.3587,40.909090909090914,-7.8246,-2.59273,2.9010799999999994
SHORT,2363.0,0.23826754126110877,0.3935,57.384680490901395,563.0262,-2.8958999999999997,3.2037000000000013
