tag,baskets,avg_basket_pct,win_pct,total_ret_pct,max_dd_pct,negative_months,min_month_pct
avg5d_le_5,208,0.3448194509601741,58.65384615384615,98.87553817650785,12.676464746060567,5,-4.650221592252213
avg5d_le_99,220,0.31713477219474695,57.27272727272727,94.79052915934736,14.655129626232949,5,-5.411254186183479
avg5d_le_4,196,0.3303845788853775,58.673469387755105,85.77250719267508,12.239017747141062,5,-4.650221592252224
avg5d_le_3.5,187,0.32723230939966036,59.35828877005348,79.52111197359287,12.839890189887871,6,-4.650221592252224
avg5d_le_3,177,0.33863714583655713,59.887005649717516,77.43436676890289,12.839890189887878,5,-3.638398922413766
avg5d_le_2.5,168,0.3376517199619487,58.92857142857143,71.86428043778498,12.21095142739565,5,-3.9670344926989176
avg5d_le_2,154,0.31491713682266925,57.14285714285714,58.5113607306583,12.210951427395624,6,-4.114457213911082
avg5d_le_1.5,136,0.28557177783675625,56.61764705882353,44.16779960219102,12.710423133013272,6,-5.260596238908599
avg5d_le_1,118,0.14821339505581174,50.847457627118644,16.814322008576397,15.145813948710046,7,-6.664213445114353
avg5d_le_0.5,101,0.14761375007376457,51.48514851485149,14.050305257134909,13.774731858234698,7,-6.09753948574614
avg5d_le_0,86,0.16646976947560638,53.48837209302325,13.465906159295837,13.281350136248223,7,-6.590345204099723
