lookback_days,carry_slots,carry_weight,profitable_coverage_pct,coverage_pct,days_ge_70pct_profitable
2,15,5.0,43.896103896103895,44.469026548672566,43
2,15,10.0,43.896103896103895,44.469026548672566,43
2,15,20.0,43.896103896103895,44.469026548672566,43
3,15,5.0,43.37662337662337,45.94395280235988,46
3,15,10.0,43.37662337662337,45.94395280235988,46
3,15,20.0,43.37662337662337,45.94395280235988,46
5,15,5.0,40.77922077922078,44.02654867256637,45
5,15,10.0,40.77922077922078,44.02654867256637,45
5,15,20.0,40.77922077922078,44.02654867256637,45
2,12,5.0,39.22077922077922,40.41297935103245,35
2,12,10.0,39.22077922077922,40.41297935103245,35
2,12,20.0,39.22077922077922,40.41297935103245,35
3,12,5.0,37.922077922077925,40.56047197640118,31
3,12,10.0,37.922077922077925,40.56047197640118,31
3,12,20.0,37.922077922077925,40.56047197640118,31
5,12,5.0,35.324675324675326,37.46312684365782,30
5,12,10.0,35.324675324675326,37.46312684365782,30
5,12,20.0,35.324675324675326,37.46312684365782,30
8,15,5.0,32.077922077922075,35.47197640117994,26
8,15,10.0,32.077922077922075,35.47197640117994,26
8,15,20.0,32.077922077922075,35.47197640117994,26
2,8,5.0,30.77922077922078,32.89085545722713,20
2,8,10.0,30.77922077922078,32.89085545722713,20
2,8,20.0,30.77922077922078,32.89085545722713,20
3,8,5.0,30.519480519480517,33.259587020648965,23
3,8,10.0,30.519480519480517,33.259587020648965,23
3,8,20.0,30.519480519480517,33.259587020648965,23
8,12,5.0,29.22077922077922,31.63716814159292,21
8,12,10.0,29.22077922077922,31.63716814159292,21
8,12,20.0,29.22077922077922,31.63716814159292,21
5,8,5.0,28.83116883116883,31.047197640117997,20
5,8,10.0,28.83116883116883,31.047197640117997,20
5,8,20.0,28.83116883116883,31.047197640117997,20
13,12,5.0,27.27272727272727,29.793510324483773,20
13,12,10.0,27.27272727272727,29.793510324483773,20
13,12,20.0,27.27272727272727,29.793510324483773,20
8,8,5.0,27.01298701298701,29.35103244837758,20
8,8,10.0,27.01298701298701,29.35103244837758,20
8,8,20.0,27.01298701298701,29.35103244837758,20
13,15,5.0,27.01298701298701,29.35103244837758,20
13,15,10.0,27.01298701298701,29.35103244837758,20
13,15,20.0,27.01298701298701,29.35103244837758,20
13,8,5.0,26.75324675324675,28.908554572271388,19
13,8,10.0,26.75324675324675,28.908554572271388,19
13,8,20.0,26.75324675324675,28.908554572271388,19
21,8,5.0,26.75324675324675,28.83480825958702,19
21,8,10.0,26.75324675324675,28.83480825958702,19
21,8,20.0,26.75324675324675,28.83480825958702,19
21,12,5.0,26.49350649350649,28.539823008849556,19
21,12,10.0,26.49350649350649,28.539823008849556,19
21,12,20.0,26.49350649350649,28.539823008849556,19
21,15,5.0,24.285714285714285,25.958702064896755,18
21,15,10.0,24.285714285714285,25.958702064896755,18
21,15,20.0,24.285714285714285,25.958702064896755,18
