pattern_id,avg1,win1,avg2,win2,avg3,win3,avg5,win5,avg6,win6,n,last_date,n_recent,best_hold,best_avg,best_win,nstocks,n_consistent_stocks
7976,0.02,47.0,0.15,48.0,0.28,50.0,0.47,51.0,0.68,52.0,8123,2024-12-31,2539,6,0.68,52.0,417,173
7977,-0.08,44.0,0.14,47.0,0.43,50.0,0.86,52.0,1.0,52.0,27495,2024-12-31,16388,6,1.0,52.0,442,150
7979,-0.13,42.0,-0.02,47.0,0.08,48.0,0.32,51.0,0.48,52.0,1742,2024-12-30,1125,6,0.48,52.0,246,61
7983,-0.1,45.0,0.12,48.0,0.4,51.0,0.83,52.0,1.0,52.0,3722,2024-12-31,2185,6,1.0,52.0,406,156
7992,-0.12,43.0,0.07,47.0,0.28,50.0,0.73,52.0,0.88,53.0,13507,2024-12-31,9802,6,0.88,53.0,379,137
7993,-0.11,45.0,0.28,48.0,0.78,50.0,1.75,53.0,2.08,53.0,47455,2024-12-31,23166,6,2.08,53.0,446,200
7996,-0.12,43.0,0.19,47.0,0.6,49.0,1.29,51.0,1.61,52.0,5245,2024-12-31,3394,6,1.61,52.0,369,138
7997,-0.05,45.0,0.19,48.0,0.41,50.0,0.79,52.0,1.16,52.0,39716,2024-12-31,18469,6,1.16,52.0,447,157
7998,-0.07,44.0,0.11,47.0,0.27,48.0,0.48,48.0,0.52,49.0,3304,2024-12-31,1918,6,0.52,49.0,348,103
7999,-0.11,43.0,0.1,47.0,0.39,49.0,0.87,51.0,1.11,52.0,12669,2024-12-31,8554,6,1.11,52.0,425,167
8000,-0.09,44.0,0.14,47.0,0.32,49.0,0.77,52.0,0.92,52.0,6567,2024-12-31,4398,6,0.92,52.0,405,150
8037,-0.11,45.0,0.06,47.0,0.21,48.0,0.57,51.0,1.49,51.0,10752,2024-12-31,4258,6,1.49,51.0,442,177
8038,-0.08,44.0,0.08,47.0,0.33,49.0,0.79,51.0,0.94,51.0,48002,2024-12-31,27419,6,0.94,51.0,446,123
8039,-0.1,45.0,0.21,48.0,0.61,49.0,1.36,51.0,1.68,52.0,77273,2024-12-31,35622,6,1.68,52.0,444,158
8040,-0.07,44.0,-0.23,47.0,-0.33,47.0,-0.58,49.0,-0.66,49.0,3096,2024-12-31,1217,1,-0.07,44.0,316,97
8042,-0.1,43.0,0.1,47.0,0.39,49.0,0.87,51.0,1.11,52.0,12644,2024-12-31,8540,6,1.11,52.0,425,168
8043,-0.09,44.0,0.14,47.0,0.32,49.0,0.77,52.0,0.92,52.0,6552,2024-12-31,4390,6,0.92,52.0,405,150
8065,0.23,48.0,0.33,51.0,2.58,51.0,3.64,54.0,4.06,55.0,5659,2024-12-31,1732,6,4.06,55.0,406,177
8066,0.04,48.0,0.45,52.0,0.66,53.0,1.39,55.0,1.63,56.0,3583,2024-12-31,1593,6,1.63,56.0,347,141
8068,-0.04,46.0,0.27,49.0,0.49,51.0,1.19,55.0,1.45,57.0,5677,2024-12-31,2873,6,1.45,57.0,438,211
8069,-0.1,44.0,0.06,47.0,0.29,48.0,0.83,51.0,0.99,51.0,25427,2024-12-31,14482,6,0.99,51.0,447,152
8070,-0.16,43.0,-0.11,45.0,0.27,45.0,0.78,48.0,0.9,49.0,5101,2024-12-31,2692,6,0.9,49.0,393,124
8071,-0.15,44.0,-0.06,47.0,0.09,50.0,0.65,51.0,0.41,51.0,2360,2024-12-31,1578,5,0.65,51.0,386,108
8076,-0.03,45.0,0.11,49.0,0.35,50.0,0.6,52.0,0.71,53.0,5053,2024-12-31,2987,6,0.71,53.0,419,177
8079,0.02,46.0,0.99,49.0,2.01,50.0,4.14,53.0,5.36,54.0,14054,2024-12-31,3739,6,5.36,54.0,410,193
8082,-0.18,42.0,0.05,47.0,0.29,49.0,0.73,51.0,0.95,51.0,38890,2024-12-31,25355,6,0.95,51.0,416,120
8084,-0.07,44.0,0.15,47.0,0.57,48.0,1.29,51.0,1.48,51.0,7883,2024-12-31,5521,6,1.48,51.0,391,150
8094,-0.08,45.0,-0.11,46.0,-0.07,49.0,0.03,50.0,0.03,51.0,1317,2024-12-30,676,5,0.03,50.0,321,65
8095,-0.01,47.0,0.1,49.0,0.35,50.0,0.74,52.0,0.78,52.0,6791,2024-12-31,3857,6,0.78,52.0,417,173
8096,-0.23,41.0,0.88,44.0,2.35,46.0,5.33,49.0,6.09,50.0,10295,2024-12-31,1324,6,6.09,50.0,235,88
8097,-0.11,44.0,0.06,47.0,0.24,48.0,0.74,51.0,0.96,52.0,15299,2024-12-31,5786,6,0.96,52.0,378,168
8099,-0.01,46.0,0.31,48.0,0.54,50.0,0.82,51.0,1.29,52.0,31399,2024-12-31,10302,6,1.29,52.0,434,147
8100,-0.11,43.0,0.11,47.0,0.33,49.0,0.78,52.0,0.99,53.0,36131,2024-12-31,24913,6,0.99,53.0,436,138
8101,0.01,46.0,0.18,49.0,0.23,50.0,1.3,54.0,1.32,55.0,5043,2024-12-31,2792,6,1.32,55.0,420,175
8102,-0.16,43.0,-0.05,45.0,0.28,46.0,0.82,48.0,1.03,49.0,9835,2024-12-31,5743,6,1.03,49.0,433,141
8136,-0.01,47.0,0.08,49.0,0.25,50.0,0.62,52.0,0.67,52.0,6417,2024-12-31,3564,6,0.67,52.0,406,163
8138,-0.23,42.0,0.6,45.0,1.62,46.0,3.73,49.0,4.28,50.0,16854,2024-12-31,2267,6,4.28,50.0,292,127
8141,0.01,46.0,0.29,49.0,0.5,51.0,0.81,52.0,1.3,53.0,30252,2024-12-31,11797,6,1.3,53.0,440,180
8142,-0.11,43.0,0.11,47.0,0.33,49.0,0.75,51.0,0.94,52.0,49888,2024-12-31,30084,6,0.94,52.0,441,123
8143,-0.18,44.0,-0.24,46.0,-0.23,46.0,0.17,48.0,0.11,48.0,3934,2024-12-31,1363,5,0.17,48.0,396,122
8144,-0.11,43.0,0.1,46.0,0.54,48.0,1.34,51.0,1.54,51.0,6627,2024-12-31,4716,6,1.54,51.0,391,136
8157,-0.11,44.0,0.05,47.0,0.24,49.0,0.58,51.0,0.74,51.0,34987,2024-12-31,19052,6,0.74,51.0,430,149
8162,-0.03,46.0,0.23,48.0,0.42,50.0,0.79,51.0,1.12,52.0,46598,2024-12-31,18907,6,1.12,52.0,444,166
8163,-0.1,43.0,0.16,47.0,0.44,49.0,0.95,50.0,1.21,51.0,16846,2024-12-31,11260,6,1.21,51.0,419,162
8170,-0.04,45.0,0.17,51.0,0.28,50.0,0.59,53.0,0.77,53.0,546,2024-12-31,463,6,0.77,53.0,99,26
8171,-0.0,46.0,0.37,48.0,0.49,49.0,0.68,50.0,0.84,51.0,10481,2024-12-31,2942,6,0.84,51.0,387,150
8175,-0.19,42.0,0.05,47.0,0.32,49.0,0.87,52.0,1.14,52.0,18603,2024-12-31,15032,6,1.14,52.0,283,72
8176,-0.47,42.0,0.05,43.0,0.69,44.0,1.82,46.0,2.37,47.0,1823,2024-12-31,1560,6,2.37,47.0,85,17
8178,0.0,47.0,0.55,49.0,1.09,50.0,1.41,52.0,1.7,53.0,19622,2024-12-31,7166,6,1.7,53.0,439,210
8187,-0.09,45.0,0.3,48.0,0.7,49.0,1.52,52.0,1.97,53.0,59269,2024-12-31,22983,6,1.97,53.0,444,193
8189,-0.09,44.0,0.18,48.0,0.46,49.0,1.03,51.0,1.29,53.0,26070,2024-12-31,16982,6,1.29,53.0,425,160
8190,-0.15,43.0,0.03,47.0,0.26,48.0,0.72,51.0,0.96,51.0,35246,2024-12-31,23826,6,0.96,51.0,417,121
8193,0.02,47.0,0.12,50.0,0.54,53.0,0.78,55.0,0.74,53.0,2106,2024-12-31,1164,5,0.78,55.0,376,107
8196,-0.13,43.0,-0.03,46.0,1.03,47.0,1.83,51.0,2.13,52.0,13434,2024-12-31,3696,6,2.13,52.0,396,180
8198,-0.03,45.0,0.85,48.0,0.97,48.0,1.23,50.0,3.55,51.0,4099,2024-12-31,1164,6,3.55,51.0,240,77
8199,-0.02,45.0,0.23,49.0,0.48,50.0,1.01,52.0,1.28,53.0,13849,2024-12-31,3392,6,1.28,53.0,377,164
8200,-0.09,44.0,0.11,47.0,0.33,49.0,0.73,51.0,0.89,52.0,88791,2024-12-31,51293,6,0.89,52.0,441,109
8206,-0.15,43.0,0.73,46.0,1.97,47.0,4.41,50.0,5.1,51.0,13215,2024-12-31,3189,6,5.1,51.0,352,156
8211,-0.08,44.0,0.03,47.0,0.25,48.0,0.92,51.0,1.01,51.0,15035,2024-12-31,7921,6,1.01,51.0,440,182
8220,-0.01,46.0,0.13,50.0,0.25,51.0,0.75,55.0,1.0,55.0,1710,2024-12-31,1413,6,1.0,55.0,196,67
8221,-0.12,42.0,0.19,46.0,0.37,48.0,1.03,50.0,1.42,50.0,5742,2024-12-31,3874,6,1.42,50.0,369,119
8224,-0.1,44.0,0.31,47.0,0.73,49.0,1.61,51.0,2.06,52.0,70886,2024-12-31,30664,6,2.06,52.0,438,189
8225,-0.05,45.0,0.04,47.0,0.22,49.0,0.55,51.0,0.73,52.0,6864,2024-12-31,2630,6,0.73,52.0,415,175
8226,-0.1,44.0,0.19,46.0,0.5,49.0,0.91,51.0,1.1,50.0,3361,2024-12-31,1319,6,1.1,50.0,384,122
8229,-0.09,44.0,0.13,48.0,0.42,50.0,0.83,52.0,1.08,53.0,10003,2024-12-31,7873,6,1.08,53.0,363,152
8230,-0.04,44.0,0.08,46.0,0.56,47.0,1.4,50.0,1.61,51.0,3325,2024-12-31,2670,6,1.61,51.0,352,111
8241,-0.19,42.0,1.01,45.0,2.56,47.0,5.78,50.0,6.56,51.0,9476,2024-12-31,1305,6,6.56,51.0,268,117
8245,0.07,46.0,0.84,49.0,1.24,51.0,1.88,52.0,3.72,53.0,6798,2024-12-31,756,6,3.72,53.0,242,97
8246,-0.08,44.0,0.15,48.0,0.38,50.0,0.79,52.0,0.99,53.0,43791,2024-12-31,26158,6,0.99,53.0,436,145
8247,-0.19,43.0,-0.25,46.0,-0.24,45.0,0.2,48.0,0.11,48.0,3597,2024-12-31,1161,5,0.2,48.0,374,122
8248,-0.1,43.0,0.11,46.0,0.58,47.0,1.43,50.0,1.64,51.0,5673,2024-12-31,4093,6,1.64,51.0,356,120
