agent,stock,entry_date,entry,exit_date,exit,ret,reason
7164,PGEL,2026-06-19,565.1,2026-07-16,621.6100000000001,9.850000000000017,target+10%
7164,OLECTRA,2026-06-19,1443.9,2026-07-17,1349.9,-6.660146132003601,20d-exit
7164,FIVESTAR,2026-06-19,518.9,2026-07-17,556.45,7.08646174600117,20d-exit
7164,REDINGTON,2026-06-19,270.0,2026-07-17,273.9,1.294444444444436,20d-exit
7164,NIACL,2026-06-19,180.0,2026-06-19,198.00000000000003,9.850000000000016,target+10%
7164,WELSPUNLIV,2026-06-19,162.0,2026-07-17,164.76,1.5537037037036983,20d-exit
7164,CARBORUNIV,2026-06-19,1176.3,2026-06-19,1293.93,9.85000000000001,target+10%
7164,BATAINDIA,2026-06-19,785.0,2026-07-17,695.0,-11.614968152866243,20d-exit
7164,THELEELA,2026-06-22,502.4,2026-07-20,494.0,-1.821974522292989,20d-exit
7164,TARIL,2026-06-22,360.65,2026-07-20,333.8,-7.594891168723129,20d-exit
7164,NIACL,2026-06-22,205.5,2026-07-20,176.99,-14.023479318734788,20d-exit
7164,NETWEB,2026-06-22,5100.0,2026-07-20,4195.0,-17.895098039215686,20d-exit
7164,HFCL,2026-06-22,218.99,2026-07-20,208.2,-5.077165624001105,20d-exit
7164,GVT&D,2026-06-22,5533.5,2026-07-20,4467.3,-19.41809433450799,20d-exit
7164,CARBORUNIV,2026-06-22,1240.0,2026-07-20,1076.4,-13.343548387096769,20d-exit
7164,TRENT,2026-06-22,3209.8,2026-07-20,2928.9,-8.90132407003552,20d-exit
7164,GABRIEL,2026-06-22,1215.0,2026-07-15,1336.5,9.85,target+10%
7164,KIRLOSENG,2026-06-24,2463.9,2026-07-20,2230.0,-9.643080076301802,OPEN(mtm)
7164,COHANCE,2026-06-24,460.0,2026-07-20,449.15,-2.508695652173918,OPEN(mtm)
7164,ATHERENERG,2026-07-01,1141.0,2026-07-15,1255.1000000000001,9.850000000000012,target+10%
8584,OLAELEC,2026-07-01,43.97,2026-07-20,39.14,-11.134762337957694,OPEN(mtm)
7164,AEGISLOG,2026-07-02,1245.0,2026-07-06,1369.5,9.85,target+10%
7164,RPOWER,2026-07-02,27.48,2026-07-20,24.38,-11.430931586608448,OPEN(mtm)
7164,RHIM,2026-07-02,387.85,2026-07-02,426.63500000000005,9.850000000000005,target+10%
7164,RITES,2026-07-02,231.85,2026-07-20,219.6,-5.433588527064913,OPEN(mtm)
8584,ZENSARTECH,2026-07-03,478.5,2026-07-13,526.35,9.850000000000005,target+10%
7164,CEMPRO,2026-07-03,1460.0,2026-07-14,1606.0000000000002,9.850000000000016,target+10%
7164,ZYDUSWELL,2026-07-03,598.4,2026-07-20,602.0,0.45160427807487,OPEN(mtm)
7164,MAPMYINDIA,2026-07-06,940.1,2026-07-09,1034.1100000000001,9.85000000000001,target+10%
7164,SUMICHEM,2026-07-06,499.0,2026-07-16,548.9000000000001,9.850000000000017,target+10%
7164,AEGISLOG,2026-07-06,1315.0,2026-07-20,1383.0,5.021102661596958,OPEN(mtm)
7164,NAUKRI,2026-07-08,1172.0,2026-07-20,1190.8,1.454095563139928,OPEN(mtm)
7164,AEGISVOPAK,2026-07-08,288.4,2026-07-20,281.0,-2.715880721220519,OPEN(mtm)
7164,KALYANKJIL,2026-07-10,451.1,2026-07-13,496.2100000000001,9.850000000000014,target+10%
7164,LODHA,2026-07-10,1190.0,2026-07-20,1187.0,-0.40210084033613447,OPEN(mtm)
7164,SWIGGY,2026-07-10,284.6,2026-07-20,270.59,-5.07269852424457,OPEN(mtm)
7164,MAPMYINDIA,2026-07-10,1074.95,2026-07-13,1182.4450000000002,9.85000000000001,target+10%
7164,MAPMYINDIA,2026-07-13,1068.1,2026-07-13,1174.91,9.850000000000017,target+10%
7619,ZENSARTECH,2026-07-13,504.0,2026-07-14,554.4000000000001,9.850000000000017,target+10%
7164,NEWGEN,2026-07-13,511.95,2026-07-13,563.145,9.85,target+10%
7164,KALYANKJIL,2026-07-13,470.5,2026-07-13,517.5500000000001,9.850000000000014,target+10%
7164,J&KBANK,2026-07-13,188.99,2026-07-20,182.0,-3.848608391978416,OPEN(mtm)
7164,GODREJIND,2026-07-13,1384.0,2026-07-20,1367.0,-1.3783236994219652,OPEN(mtm)
7164,BRIGADE,2026-07-13,570.0,2026-07-20,563.95,-1.2114035087719217,OPEN(mtm)
7164,NEWGEN,2026-07-14,592.5,2026-07-20,559.75,-5.6774261603375535,OPEN(mtm)
7164,MAPMYINDIA,2026-07-15,1180.0,2026-07-20,1105.0,-6.505932203389831,OPEN(mtm)
