symbol,tier,side,days,win%,avg%,sharpe
DELHIVERY,STANDARD-weak,SHORT,6.0,33.333,-1.769,-12.379
DIVISLAB,AVOID,SHORT,1.0,100.0,0.107,
DIVISLAB,ENTERPRISE-Dryup,SHORT,246.0,48.374,-0.111,-1.222
DIVISLAB,GOLD,SHORT,133.0,49.624,-0.019,-0.206
DIVISLAB,GOLD-baseline,SHORT,87.0,57.471,-0.099,-0.976
DIVISLAB,PREMIUM-Compression,LONG,2.0,50.0,-1.42,-9.679
DIVISLAB,PREMIUM-Pullback,LONG,1.0,100.0,0.481,
DIVISLAB,STANDARD,SHORT,56.0,51.786,0.007,0.071
DIVISLAB,STANDARD-weak,SHORT,2.0,0.0,-2.045,-35.597
DIXON,AVOID,SHORT,8.0,50.0,0.04,0.396
DIXON,ENTERPRISE-Dryup,SHORT,247.0,48.583,0.022,0.164
DIXON,GOLD,SHORT,92.0,45.652,0.184,1.145
DIXON,GOLD-baseline,SHORT,92.0,53.261,-0.114,-0.753
DIXON,PREMIUM-Pullback,LONG,1.0,100.0,0.128,
DIXON,STANDARD,SHORT,73.0,54.795,0.276,1.868
DIXON,STANDARD-weak,SHORT,15.0,60.0,0.069,0.34
DLF,AVOID,SHORT,1.0,100.0,1.046,
DLF,ENTERPRISE-Dryup,SHORT,221.0,54.751,0.256,2.401
DLF,GOLD,SHORT,176.0,55.682,0.161,1.544
DLF,GOLD-baseline,SHORT,64.0,51.562,-0.095,-0.774
DLF,PREMIUM-Pullback,LONG,1.0,100.0,2.109,
DLF,STANDARD,SHORT,58.0,44.828,-0.398,-3.485
DLF,STANDARD-weak,SHORT,7.0,71.429,1.924,7.371
DMART,AVOID,SHORT,4.0,50.0,-0.2,-1.614
DMART,ENTERPRISE-Dryup,SHORT,257.0,55.642,0.147,1.691
DMART,GOLD,SHORT,132.0,56.818,0.167,1.942
DMART,GOLD-baseline,SHORT,94.0,58.511,0.318,3.109
DMART,PREMIUM-Compression,LONG,9.0,100.0,1.662,13.139
DMART,STANDARD,SHORT,36.0,50.0,-0.556,-4.043
DMART,STANDARD-weak,SHORT,2.0,100.0,3.143,151.311
DRREDDY,AVOID,SHORT,1.0,0.0,-0.986,
DRREDDY,ENTERPRISE-Dryup,SHORT,244.0,47.951,-0.046,-0.633
DRREDDY,GOLD,SHORT,151.0,46.358,0.0,0.0
DRREDDY,GOLD-baseline,SHORT,100.0,45.0,-0.08,-0.938
DRREDDY,PREMIUM-Pullback,LONG,1.0,100.0,0.532,
DRREDDY,STANDARD,SHORT,30.0,43.333,-0.265,-3.157
DRREDDY,STANDARD-weak,SHORT,1.0,0.0,-0.56,
EICHERMOT,AVOID,SHORT,2.0,0.0,-0.233,-23.395
EICHERMOT,ENTERPRISE-Dryup,SHORT,229.0,48.472,-0.13,-1.665
EICHERMOT,GOLD,SHORT,133.0,52.632,-0.054,-0.619
EICHERMOT,GOLD-baseline,SHORT,117.0,56.41,-0.003,-0.044
EICHERMOT,PREMIUM-Compression,LONG,2.0,50.0,-0.143,-0.557
EICHERMOT,STANDARD,SHORT,41.0,39.024,-0.14,-1.561
EICHERMOT,STANDARD-weak,SHORT,4.0,25.0,-0.631,-12.227
ETERNAL,AVOID,SHORT,4.0,0.0,-1.333,-20.914
ETERNAL,ENTERPRISE-Dryup,SHORT,237.0,48.523,-0.095,-0.741
ETERNAL,GOLD,SHORT,100.0,45.0,-0.263,-1.915
ETERNAL,GOLD-baseline,SHORT,88.0,51.136,0.016,0.106
ETERNAL,PREMIUM-Compression,LONG,1.0,100.0,0.711,
ETERNAL,PREMIUM-Pullback,LONG,2.0,100.0,0.831,49.531
ETERNAL,STANDARD,SHORT,89.0,44.944,-0.134,-0.853
ETERNAL,STANDARD-weak,SHORT,13.0,76.923,1.343,8.556
EXIDEIND,AVOID,SHORT,5.0,60.0,-2.338,-8.071
EXIDEIND,ENTERPRISE-Dryup,SHORT,260.0,54.231,0.047,0.448
EXIDEIND,GOLD,SHORT,141.0,45.39,-0.087,-0.794
EXIDEIND,GOLD-baseline,SHORT,60.0,53.333,0.048,0.377
EXIDEIND,PREMIUM-Pullback,LONG,3.0,33.333,-0.296,-2.087
EXIDEIND,STANDARD,SHORT,54.0,57.407,0.32,2.666
EXIDEIND,STANDARD-weak,SHORT,5.0,80.0,1.374,13.987
FEDERALBNK,AVOID,SHORT,3.0,33.333,-0.862,-6.574
FEDERALBNK,ENTERPRISE-Dryup,SHORT,254.0,50.787,-0.019,-0.239
FEDERALBNK,GOLD,SHORT,139.0,49.64,-0.042,-0.471
FEDERALBNK,GOLD-baseline,SHORT,83.0,39.759,-0.412,-3.748
FEDERALBNK,PREMIUM-Compression,LONG,1.0,100.0,8.274,
FEDERALBNK,STANDARD,SHORT,48.0,54.167,-0.073,-0.907
FORCEMOT,AVOID,SHORT,12.0,83.333,1.968,10.595
FORCEMOT,ENTERPRISE-Dryup,SHORT,242.0,56.612,0.109,0.643
FORCEMOT,GOLD,SHORT,94.0,60.638,0.377,2.445
FORCEMOT,GOLD-baseline,SHORT,71.0,69.014,0.484,2.533
FORCEMOT,PREMIUM-Compression,LONG,1.0,0.0,-2.578,
FORCEMOT,PREMIUM-Pullback,LONG,4.0,75.0,2.57,9.866
FORCEMOT,STANDARD,SHORT,82.0,43.902,-0.455,-2.265
FORCEMOT,STANDARD-weak,SHORT,27.0,51.852,0.023,0.11
FORTIS,AVOID,SHORT,3.0,66.667,-0.684,-6.517
FORTIS,ENTERPRISE-Dryup,SHORT,238.0,51.261,-0.055,-0.512
FORTIS,GOLD,SHORT,105.0,46.667,-0.105,-0.933
FORTIS,GOLD-baseline,SHORT,106.0,54.717,0.054,0.452
FORTIS,PREMIUM-Pullback,LONG,2.0,50.0,3.584,8.626
FORTIS,STANDARD,SHORT,78.0,55.128,0.374,3.224
FORTIS,STANDARD-weak,SHORT,2.0,50.0,-0.055,-0.271
GAIL,AVOID,SHORT,1.0,100.0,13.214,
GAIL,ENTERPRISE-Dryup,SHORT,232.0,51.724,0.015,0.165
GAIL,GOLD,SHORT,180.0,52.222,0.025,0.263
GAIL,GOLD-baseline,SHORT,50.0,52.0,-0.278,-2.193
GAIL,PREMIUM-Compression,LONG,5.0,100.0,1.647,17.681
GAIL,STANDARD,SHORT,53.0,54.717,0.22,1.695
GAIL,STANDARD-weak,SHORT,6.0,50.0,0.025,0.441
GLENMARK,AVOID,SHORT,2.0,0.0,-2.828,-30.201
GLENMARK,ENTERPRISE-Dryup,SHORT,244.0,45.082,-0.198,-2.125
GLENMARK,GOLD,SHORT,118.0,48.305,-0.132,-0.963
GLENMARK,GOLD-baseline,SHORT,91.0,48.352,-0.147,-1.232
GLENMARK,STANDARD,SHORT,70.0,54.286,0.262,2.391
GLENMARK,STANDARD-weak,SHORT,3.0,0.0,-2.254,-29.163
GMRAIRPORT,ENTERPRISE-Dryup,SHORT,240.0,52.917,0.105,0.959
GMRAIRPORT,GOLD,SHORT,138.0,43.478,-0.261,-2.501
GMRAIRPORT,GOLD-baseline,SHORT,78.0,50.0,0.026,0.229
GMRAIRPORT,PREMIUM-Pullback,LONG,1.0,100.0,5.172,
GMRAIRPORT,STANDARD,SHORT,69.0,69.565,0.723,5.247
GMRAIRPORT,STANDARD-weak,SHORT,8.0,37.5,-0.638,-7.103
GODFRYPHLP,AVOID,SHORT,25.0,64.0,-0.332,-0.835
GODFRYPHLP,ENTERPRISE-Dryup,SHORT,262.0,52.672,-0.022,-0.118
GODFRYPHLP,GOLD,SHORT,65.0,55.385,-0.259,-1.121
GODFRYPHLP,GOLD-baseline,SHORT,80.0,65.0,0.741,3.847
GODFRYPHLP,PREMIUM-Pullback,LONG,6.0,66.667,2.377,13.175
GODFRYPHLP,STANDARD,SHORT,80.0,58.75,-0.127,-0.474
GODFRYPHLP,STANDARD-weak,SHORT,16.0,56.25,0.11,0.468
GODREJCP,ENTERPRISE-Dryup,SHORT,230.0,53.043,0.014,0.168
GODREJCP,GOLD,SHORT,141.0,51.773,0.046,0.536
GODREJCP,GOLD-baseline,SHORT,103.0,51.456,-0.155,-1.625
GODREJCP,PREMIUM-Compression,LONG,2.0,50.0,0.006,0.572
GODREJCP,STANDARD,SHORT,48.0,58.333,0.177,1.636
GODREJCP,STANDARD-weak,SHORT,4.0,75.0,0.487,5.647
GODREJPROP,AVOID,SHORT,1.0,0.0,-1.57,
GODREJPROP,ENTERPRISE-Dryup,SHORT,233.0,51.502,0.101,0.826
GODREJPROP,GOLD,SHORT,123.0,50.407,0.156,1.205
GODREJPROP,GOLD-baseline,SHORT,78.0,51.282,0.306,1.984
GODREJPROP,PREMIUM-Pullback,LONG,1.0,100.0,1.438,
GODREJPROP,STANDARD,SHORT,82.0,54.878,0.112,0.687
GODREJPROP,STANDARD-weak,SHORT,10.0,50.0,0.949,3.974
GRASIM,ENTERPRISE-Dryup,SHORT,227.0,50.661,0.013,0.159
GRASIM,GOLD,SHORT,150.0,49.333,-0.055,-0.715
GRASIM,GOLD-baseline,SHORT,106.0,55.66,-0.022,-0.271
GRASIM,PREMIUM-Compression,LONG,1.0,100.0,2.673,
GRASIM,STANDARD,SHORT,42.0,47.619,-0.072,-1.086
GRASIM,STANDARD-weak,SHORT,2.0,50.0,0.025,0.78
GVT&D,AVOID,SHORT,2.0,0.0,-3.574,-135.06
GVT&D,ENTERPRISE-Dryup,SHORT,201.0,47.761,-0.181,-1.145
GVT&D,GOLD,SHORT,44.0,45.455,-0.448,-3.175
GVT&D,GOLD-baseline,SHORT,142.0,52.817,-0.145,-0.859
GVT&D,PREMIUM-Pullback,LONG,2.0,50.0,1.416,4.276
GVT&D,STANDARD,SHORT,131.0,54.198,0.387,2.56
GVT&D,STANDARD-weak,SHORT,12.0,41.667,-0.624,-7.596
HAL,AVOID,SHORT,1.0,100.0,1.89,
HAL,ENTERPRISE-Dryup,SHORT,240.0,55.0,0.193,1.949
HAL,GOLD,SHORT,148.0,51.351,0.128,1.085
HAL,GOLD-baseline,SHORT,60.0,53.333,-0.019,-0.128
HAL,PREMIUM-Compression,LONG,1.0,100.0,3.833,
HAL,STANDARD,SHORT,64.0,46.875,-0.353,-2.383
HAL,STANDARD-weak,SHORT,14.0,42.857,0.863,3.15
HAVELLS,ENTERPRISE-Dryup,SHORT,248.0,47.984,-0.075,-0.833
HAVELLS,GOLD,SHORT,156.0,53.846,0.002,0.023
HAVELLS,GOLD-baseline,SHORT,84.0,61.905,0.414,4.27
HAVELLS,PREMIUM-Compression,LONG,1.0,100.0,1.378,
HAVELLS,PREMIUM-Pullback,LONG,1.0,0.0,-1.295,
HAVELLS,STANDARD,SHORT,35.0,51.429,0.208,1.974
HAVELLS,STANDARD-weak,SHORT,2.0,50.0,-0.216,-7.603
HCLTECH,AVOID,SHORT,1.0,0.0,-0.071,
HCLTECH,ENTERPRISE-Dryup,SHORT,212.0,50.943,0.008,0.103
HCLTECH,GOLD,SHORT,169.0,47.337,-0.125,-1.391
HCLTECH,GOLD-baseline,SHORT,101.0,47.525,-0.047,-0.599
HCLTECH,PREMIUM-Compression,LONG,1.0,0.0,-0.775,
HCLTECH,STANDARD,SHORT,42.0,69.048,0.337,4.044
HCLTECH,STANDARD-weak,SHORT,2.0,100.0,2.001,16.526
HDFCAMC,AVOID,SHORT,3.0,66.667,0.246,2.431
HDFCAMC,ENTERPRISE-Dryup,SHORT,253.0,53.36,-0.017,-0.176
HDFCAMC,GOLD,SHORT,114.0,50.877,-0.07,-0.695
HDFCAMC,GOLD-baseline,SHORT,83.0,42.169,-0.352,-2.882
HDFCAMC,PREMIUM-Compression,LONG,1.0,100.0,5.223,
HDFCAMC,PREMIUM-Pullback,LONG,1.0,100.0,1.326,
HDFCAMC,STANDARD,SHORT,65.0,41.538,-0.023,-0.211
HDFCAMC,STANDARD-weak,SHORT,8.0,50.0,1.144,3.416
HDFCBANK,ENTERPRISE-Dryup,SHORT,199.0,45.226,-0.138,-2.376
HDFCBANK,GOLD,SHORT,197.0,41.624,-0.207,-3.812
HDFCBANK,GOLD-baseline,SHORT,99.0,57.576,0.015,0.196
HDFCBANK,STANDARD,SHORT,32.0,75.0,0.43,7.226
HDFCBANK,STANDARD-weak,SHORT,1.0,100.0,1.769,
HDFCLIFE,AVOID,SHORT,1.0,0.0,-0.659,
HDFCLIFE,ENTERPRISE-Dryup,SHORT,245.0,44.898,-0.169,-2.072
HDFCLIFE,GOLD,SHORT,162.0,55.556,0.053,0.651
HDFCLIFE,GOLD-baseline,SHORT,73.0,39.726,-0.22,-2.333
HDFCLIFE,PREMIUM-Compression,LONG,1.0,0.0,-0.751,
HDFCLIFE,STANDARD,SHORT,44.0,68.182,0.099,1.034
HDFCLIFE,STANDARD-weak,SHORT,1.0,0.0,-1.385,
HEROMOTOCO,ENTERPRISE-Dryup,SHORT,230.0,56.087,0.197,2.472
HEROMOTOCO,GOLD,SHORT,166.0,48.795,-0.04,-0.411
HEROMOTOCO,GOLD-baseline,SHORT,83.0,49.398,-0.039,-0.384
HEROMOTOCO,STANDARD,SHORT,45.0,42.222,-0.137,-1.465
HEROMOTOCO,STANDARD-weak,SHORT,4.0,25.0,-0.231,-1.918
HINDALCO,AVOID,SHORT,1.0,100.0,1.797,
HINDALCO,ENTERPRISE-Dryup,SHORT,219.0,50.685,0.08,0.982
HINDALCO,GOLD,SHORT,140.0,43.571,-0.123,-1.343
HINDALCO,GOLD-baseline,SHORT,101.0,46.535,-0.257,-2.187
HINDALCO,STANDARD,SHORT,65.0,50.769,0.071,0.786
HINDALCO,STANDARD-weak,SHORT,3.0,66.667,0.381,4.102
HINDPETRO,AVOID,SHORT,2.0,100.0,7.297,11.552
HINDPETRO,ENTERPRISE-Dryup,SHORT,249.0,48.996,0.035,0.326
HINDPETRO,GOLD,SHORT,129.0,48.837,-0.056,-0.434
HINDPETRO,GOLD-baseline,SHORT,71.0,53.521,0.005,0.037
HINDPETRO,STANDARD,SHORT,68.0,57.353,0.049,0.384
HINDPETRO,STANDARD-weak,SHORT,10.0,70.0,0.681,6.013
HINDUNILVR,ENTERPRISE-Dryup,SHORT,253.0,50.593,-0.067,-0.962
HINDUNILVR,GOLD,SHORT,148.0,50.676,0.014,0.193
HINDUNILVR,GOLD-baseline,SHORT,99.0,57.576,0.091,1.224
HINDUNILVR,PREMIUM-Compression,LONG,1.0,0.0,-0.021,
HINDUNILVR,STANDARD,SHORT,26.0,46.154,-0.038,-0.51
HINDUNILVR,STANDARD-weak,SHORT,1.0,0.0,-1.486,
HINDZINC,AVOID,SHORT,5.0,60.0,-0.977,-3.621
HINDZINC,ENTERPRISE-Dryup,SHORT,236.0,54.237,0.076,0.633
HINDZINC,GOLD,SHORT,102.0,54.902,0.21,2.035
HINDZINC,GOLD-baseline,SHORT,94.0,52.128,-0.032,-0.226
HINDZINC,PREMIUM-Pullback,LONG,1.0,100.0,2.629,
HINDZINC,STANDARD,SHORT,89.0,57.303,0.208,1.267
HINDZINC,STANDARD-weak,SHORT,7.0,71.429,0.773,6.571
HYUNDAI,AVOID,SHORT,1.0,0.0,-7.306,
HYUNDAI,ENTERPRISE-Dryup,SHORT,185.0,47.027,-0.082,-0.795
HYUNDAI,GOLD,SHORT,97.0,44.33,-0.09,-0.83
HYUNDAI,GOLD-baseline,SHORT,81.0,49.383,0.193,1.77
HYUNDAI,STANDARD,SHORT,52.0,50.0,-0.095,-0.881
HYUNDAI,STANDARD-weak,SHORT,5.0,20.0,-0.6,-3.552
ICICIBANK,ENTERPRISE-Dryup,SHORT,229.0,47.598,-0.12,-2.11
ICICIBANK,GOLD,SHORT,153.0,45.098,-0.155,-2.498
ICICIBANK,GOLD-baseline,SHORT,119.0,52.941,-0.058,-0.891
ICICIBANK,STANDARD,SHORT,27.0,59.259,0.139,1.452
ICICIBANK,STANDARD-weak,SHORT,1.0,100.0,1.285,
ICICIGI,AVOID,SHORT,2.0,50.0,-0.376,-7.243
ICICIGI,ENTERPRISE-Dryup,SHORT,240.0,49.583,-0.074,-0.878
ICICIGI,GOLD,SHORT,148.0,52.027,0.142,1.635
ICICIGI,GOLD-baseline,SHORT,100.0,53.0,0.024,0.251
ICICIGI,PREMIUM-Compression,LONG,2.0,100.0,3.513,18.389
ICICIGI,STANDARD,SHORT,35.0,42.857,-0.113,-1.332
ICICIGI,STANDARD-weak,SHORT,2.0,0.0,-2.148,-26.063
ICICIPRULI,AVOID,SHORT,1.0,0.0,-1.782,
ICICIPRULI,ENTERPRISE-Dryup,SHORT,257.0,50.973,0.077,0.938
ICICIPRULI,GOLD,SHORT,165.0,46.061,-0.08,-0.936
ICICIPRULI,GOLD-baseline,SHORT,65.0,63.077,0.092,0.825
ICICIPRULI,STANDARD,SHORT,41.0,51.22,-0.031,-0.27
IDEA,AVOID,SHORT,11.0,54.545,-0.18,-2.184
IDEA,ENTERPRISE-Dryup,SHORT,185.0,61.081,0.485,2.626
IDEA,GOLD,SHORT,146.0,50.0,-0.212,-1.242
IDEA,GOLD-baseline,SHORT,82.0,48.78,-0.331,-1.463
IDEA,PREMIUM-Compression,LONG,3.0,100.0,1.489,35.986
IDEA,PREMIUM-Pullback,LONG,2.0,50.0,4.937,10.764
IDEA,STANDARD,SHORT,75.0,60.0,0.882,4.407
IDEA,STANDARD-weak,SHORT,25.0,60.0,0.395,1.946
IDFCFIRSTB,AVOID,SHORT,2.0,100.0,0.51,243.335
IDFCFIRSTB,ENTERPRISE-Dryup,SHORT,251.0,55.378,0.05,0.544
IDFCFIRSTB,GOLD,SHORT,157.0,50.318,-0.155,-1.513
IDFCFIRSTB,GOLD-baseline,SHORT,60.0,45.0,-0.38,-2.604
IDFCFIRSTB,PREMIUM-Compression,LONG,2.0,50.0,-0.297,-1.674
IDFCFIRSTB,PREMIUM-Pullback,LONG,4.0,75.0,0.179,2.59
IDFCFIRSTB,STANDARD,SHORT,48.0,56.25,0.08,0.761
IDFCFIRSTB,STANDARD-weak,SHORT,5.0,60.0,0.873,7.608
IEX,AVOID,SHORT,3.0,33.333,-0.985,-4.224
IEX,ENTERPRISE-Dryup,SHORT,269.0,53.532,0.018,0.153
IEX,GOLD,SHORT,120.0,41.667,-0.003,-0.021
IEX,GOLD-baseline,SHORT,61.0,54.098,0.073,0.433
IEX,STANDARD,SHORT,69.0,53.623,0.352,2.359
IEX,STANDARD-weak,SHORT,6.0,33.333,0.381,3.138
INDHOTEL,AVOID,SHORT,5.0,60.0,0.006,0.089
INDHOTEL,ENTERPRISE-Dryup,SHORT,244.0,45.082,-0.067,-0.664
INDHOTEL,GOLD,SHORT,144.0,46.528,-0.109,-1.089
INDHOTEL,GOLD-baseline,SHORT,83.0,46.988,0.015,0.126
INDHOTEL,PREMIUM-Compression,LONG,1.0,100.0,2.823,
INDHOTEL,STANDARD,SHORT,49.0,48.98,-0.034,-0.31
INDHOTEL,STANDARD-weak,SHORT,3.0,100.0,0.671,15.017
INDIANB,AVOID,SHORT,1.0,0.0,-6.715,
INDIANB,ENTERPRISE-Dryup,SHORT,232.0,53.879,-0.025,-0.224
INDIANB,GOLD,SHORT,128.0,53.906,0.024,0.205
INDIANB,GOLD-baseline,SHORT,96.0,60.417,0.018,0.168
INDIANB,STANDARD,SHORT,67.0,56.716,-0.01,-0.071
INDIANB,STANDARD-weak,SHORT,10.0,80.0,1.666,7.104
INDIGO,AVOID,SHORT,2.0,100.0,1.239,11.227
INDIGO,ENTERPRISE-Dryup,SHORT,254.0,46.457,-0.091,-1.107
INDIGO,GOLD,SHORT,106.0,50.0,-0.045,-0.447
INDIGO,GOLD-baseline,SHORT,104.0,45.192,-0.175,-1.545
INDIGO,PREMIUM-Compression,LONG,1.0,0.0,-2.566,
INDIGO,STANDARD,SHORT,59.0,49.153,0.054,0.512
INDIGO,STANDARD-weak,SHORT,7.0,28.571,-0.686,-6.755
INDUSINDBK,AVOID,SHORT,2.0,50.0,0.284,3.685
INDUSINDBK,ENTERPRISE-Dryup,SHORT,241.0,51.037,-0.054,-0.529
INDUSINDBK,GOLD,SHORT,163.0,49.08,-0.01,-0.091
INDUSINDBK,GOLD-baseline,SHORT,69.0,47.826,0.125,0.641
INDUSINDBK,STANDARD,SHORT,49.0,48.98,0.139,1.128
INDUSINDBK,STANDARD-weak,SHORT,5.0,60.0,-1.047,-4.979
INDUSTOWER,AVOID,SHORT,1.0,0.0,-0.916,
INDUSTOWER,ENTERPRISE-Dryup,SHORT,248.0,54.032,0.136,1.313
INDUSTOWER,GOLD,SHORT,140.0,47.857,-0.117,-1.186
INDUSTOWER,GOLD-baseline,SHORT,72.0,50.0,-0.123,-1.058
INDUSTOWER,STANDARD,SHORT,70.0,60.0,0.668,4.407
INDUSTOWER,STANDARD-weak,SHORT,3.0,33.333,-1.766,-16.711
INFY,AVOID,SHORT,1.0,100.0,2.552,
INFY,ENTERPRISE-Dryup,SHORT,198.0,54.545,-0.042,-0.591
INFY,GOLD,SHORT,148.0,47.973,-0.036,-0.481
INFY,GOLD-baseline,SHORT,134.0,53.731,0.045,0.577
INFY,STANDARD,SHORT,45.0,62.222,0.041,0.529
INFY,STANDARD-weak,SHORT,3.0,100.0,1.1,19.61
INOXWIND,AVOID,SHORT,9.0,88.889,1.362,10.117
INOXWIND,ENTERPRISE-Dryup,SHORT,248.0,55.242,0.232,1.467
INOXWIND,GOLD,SHORT,112.0,58.036,0.007,0.047
INOXWIND,GOLD-baseline,SHORT,68.0,61.765,0.475,2.91
INOXWIND,PREMIUM-Pullback,LONG,6.0,83.333,3.689,8.947
INOXWIND,STANDARD,SHORT,79.0,59.494,0.654,4.338
INOXWIND,STANDARD-weak,SHORT,12.0,33.333,-0.05,-0.399
IOC,AVOID,SHORT,1.0,100.0,10.832,
IOC,ENTERPRISE-Dryup,SHORT,229.0,53.712,0.12,1.31
IOC,GOLD,SHORT,167.0,55.09,0.042,0.459
IOC,GOLD-baseline,SHORT,82.0,45.122,-0.18,-1.953
IOC,STANDARD,SHORT,47.0,53.191,0.058,0.75
IOC,STANDARD-weak,SHORT,3.0,66.667,-0.105,-4.195
IREDA,AVOID,SHORT,7.0,85.714,1.396,15.165
IREDA,ENTERPRISE-Dryup,SHORT,273.0,62.271,0.254,1.973
IREDA,GOLD,SHORT,145.0,44.138,-0.117,-0.875
IREDA,GOLD-baseline,SHORT,23.0,52.174,0.067,0.348
IREDA,PREMIUM-Pullback,LONG,2.0,0.0,-2.495,-22.013
IREDA,STANDARD,SHORT,69.0,57.971,0.106,0.509
IREDA,STANDARD-weak,SHORT,14.0,78.571,0.457,4.411
IRFC,AVOID,SHORT,4.0,50.0,3.043,11.909
IRFC,ENTERPRISE-Dryup,SHORT,278.0,65.108,0.267,2.279
IRFC,GOLD,SHORT,143.0,54.545,0.012,0.09
IRFC,GOLD-baseline,SHORT,36.0,52.778,-0.197,-1.148
IRFC,PREMIUM-Compression,LONG,2.0,50.0,2.594,7.843
IRFC,PREMIUM-Pullback,LONG,3.0,66.667,2.049,11.36
IRFC,STANDARD,SHORT,47.0,55.319,0.033,0.288
IRFC,STANDARD-weak,SHORT,16.0,68.75,1.202,6.402
ITC,ENTERPRISE-Dryup,SHORT,241.0,50.622,-0.035,-0.609
ITC,GOLD,SHORT,170.0,55.294,0.127,1.793
ITC,GOLD-baseline,SHORT,94.0,53.191,0.01,0.118
ITC,STANDARD,SHORT,21.0,61.905,0.197,2.292
ITC,STANDARD-weak,SHORT,2.0,100.0,1.086,55.019
JINDALSTEL,ENTERPRISE-Dryup,SHORT,232.0,54.741,0.084,0.845
JINDALSTEL,GOLD,SHORT,148.0,45.946,-0.068,-0.702
JINDALSTEL,GOLD-baseline,SHORT,85.0,49.412,0.059,0.523
JINDALSTEL,STANDARD,SHORT,61.0,50.82,0.07,0.618
JINDALSTEL,STANDARD-weak,SHORT,3.0,0.0,-0.674,-18.076
JIOFIN,AVOID,SHORT,2.0,50.0,-0.182,-2.03
JIOFIN,ENTERPRISE-Dryup,SHORT,237.0,59.072,0.139,1.41
JIOFIN,GOLD,SHORT,193.0,52.85,0.117,1.051
JIOFIN,GOLD-baseline,SHORT,37.0,48.649,0.141,1.178
JIOFIN,PREMIUM-Compression,LONG,3.0,33.333,-0.072,-1.295
JIOFIN,PREMIUM-Pullback,LONG,2.0,100.0,3.227,1365.044
JIOFIN,STANDARD,SHORT,55.0,60.0,0.261,2.663
JIOFIN,STANDARD-weak,SHORT,5.0,80.0,0.337,4.803
JSWENERGY,AVOID,SHORT,4.0,25.0,2.389,4.933
JSWENERGY,ENTERPRISE-Dryup,SHORT,244.0,55.738,0.248,2.112
JSWENERGY,GOLD,SHORT,136.0,53.676,-0.053,-0.393
JSWENERGY,GOLD-baseline,SHORT,61.0,60.656,0.334,2.278
JSWENERGY,PREMIUM-Compression,LONG,2.0,100.0,0.268,16.706
JSWENERGY,PREMIUM-Pullback,LONG,2.0,100.0,3.042,29.782
JSWENERGY,STANDARD,SHORT,71.0,50.704,-0.198,-1.547
JSWENERGY,STANDARD-weak,SHORT,14.0,50.0,0.634,3.933
JSWSTEEL,ENTERPRISE-Dryup,SHORT,226.0,49.115,-0.087,-1.033
JSWSTEEL,GOLD,SHORT,146.0,51.37,-0.003,-0.033
JSWSTEEL,GOLD-baseline,SHORT,98.0,46.939,-0.106,-1.35
JSWSTEEL,PREMIUM-Compression,LONG,1.0,100.0,2.14,
JSWSTEEL,PREMIUM-Pullback,LONG,1.0,0.0,-0.027,
JSWSTEEL,STANDARD,SHORT,56.0,57.143,0.187,2.178
JSWSTEEL,STANDARD-weak,SHORT,1.0,100.0,1.639,
JUBLFOOD,AVOID,SHORT,2.0,100.0,1.433,35.477
JUBLFOOD,ENTERPRISE-Dryup,SHORT,232.0,54.31,0.085,0.731
JUBLFOOD,GOLD,SHORT,148.0,52.027,-0.045,-0.424
JUBLFOOD,GOLD-baseline,SHORT,73.0,56.164,0.132,1.31
JUBLFOOD,PREMIUM-Compression,LONG,3.0,100.0,2.308,17.79
JUBLFOOD,PREMIUM-Pullback,LONG,1.0,100.0,4.074,
JUBLFOOD,STANDARD,SHORT,64.0,40.625,-0.08,-0.646
JUBLFOOD,STANDARD-weak,SHORT,6.0,66.667,0.768,9.503
KALYANKJIL,AVOID,SHORT,9.0,44.444,-0.445,-2.593
KALYANKJIL,ENTERPRISE-Dryup,SHORT,256.0,50.781,-0.089,-0.648
KALYANKJIL,GOLD,SHORT,105.0,56.19,0.136,0.85
KALYANKJIL,GOLD-baseline,SHORT,72.0,58.333,0.578,2.704
KALYANKJIL,PREMIUM-Compression,LONG,1.0,100.0,3.231,
KALYANKJIL,PREMIUM-Pullback,LONG,1.0,0.0,-0.564,
KALYANKJIL,STANDARD,SHORT,77.0,51.948,-0.027,-0.151
KALYANKJIL,STANDARD-weak,SHORT,13.0,69.231,0.728,2.363
KAYNES,AVOID,SHORT,14.0,35.714,0.063,0.24
KAYNES,ENTERPRISE-Dryup,SHORT,235.0,51.489,-0.014,-0.079
KAYNES,GOLD,SHORT,63.0,61.905,0.269,1.512
KAYNES,GOLD-baseline,SHORT,110.0,61.818,0.622,3.149
KAYNES,PREMIUM-Pullback,LONG,5.0,60.0,3.223,9.817
KAYNES,STANDARD,SHORT,88.0,51.136,0.345,1.614
KAYNES,STANDARD-weak,SHORT,19.0,63.158,0.371,2.172
KEI,AVOID,SHORT,4.0,50.0,1.3,7.651
KEI,ENTERPRISE-Dryup,SHORT,253.0,52.964,0.011,0.088
KEI,GOLD,SHORT,105.0,51.429,-0.025,-0.177
KEI,GOLD-baseline,SHORT,84.0,53.571,0.213,1.542
KEI,PREMIUM-Compression,LONG,1.0,100.0,2.796,
KEI,STANDARD,SHORT,81.0,43.21,-0.254,-1.991
KEI,STANDARD-weak,SHORT,5.0,60.0,0.052,0.715
KFINTECH,AVOID,SHORT,9.0,44.444,-2.68,-6.131
