symbol,signal,side,days,win,raw,neutral,retained,sector
ADANIPOWER,TIER:ENTERPRISE-Dryup,SHORT,272,64.338,0.17,0.051,29.731,Power
ADANIPOWER,TIER:ENTERPRISE-Dryup,LONG,272,33.824,-0.259,-0.14,0.0,Power
ADANIPOWER,TIER:GOLD,SHORT,104,60.577,0.091,0.067,73.496,Power
ADANIPOWER,TIER:GOLD,LONG,104,37.5,-0.18,-0.156,0.0,Power
ADANIPOWER,TIER:GOLD-baseline,SHORT,66,63.636,0.066,0.242,366.598,Power
ADANIPOWER,TIER:GOLD-baseline,LONG,66,34.848,-0.155,-0.332,0.0,Power
ADANIPOWER,TIER:STANDARD,SHORT,56,62.5,0.309,0.215,69.696,Power
ADANIPOWER,TIER:STANDARD,LONG,56,35.714,-0.398,-0.304,0.0,Power
ALKEM,TIER:ENTERPRISE-Dryup,SHORT,255,50.588,0.054,0.005,9.4,Healthcare
ALKEM,TIER:ENTERPRISE-Dryup,LONG,255,45.49,-0.144,-0.094,0.0,Healthcare
ALKEM,TIER:GOLD,SHORT,147,48.299,-0.056,-0.001,0.0,Healthcare
ALKEM,TIER:GOLD,LONG,147,48.299,-0.033,-0.088,0.0,Healthcare
ALKEM,TIER:GOLD-baseline,SHORT,83,59.036,0.163,-0.068,-41.685,Healthcare
ALKEM,TIER:GOLD-baseline,LONG,83,38.554,-0.252,-0.021,0.0,Healthcare
ALKEM,TIER:STANDARD,SHORT,40,75.0,0.49,0.381,77.913,Healthcare
ALKEM,TIER:STANDARD,LONG,40,25.0,-0.579,-0.471,0.0,Healthcare
AMBER,TIER:ENTERPRISE-Dryup,SHORT,245,49.388,-0.033,-0.055,0.0,Consumer Durables
AMBER,TIER:ENTERPRISE-Dryup,LONG,245,48.163,-0.056,-0.034,0.0,Consumer Durables
AMBER,TIER:GOLD,SHORT,106,53.774,0.27,0.221,81.964,Consumer Durables
AMBER,TIER:GOLD,LONG,106,43.396,-0.359,-0.311,0.0,Consumer Durables
AMBER,TIER:GOLD-baseline,SHORT,72,55.556,-0.305,-0.331,0.0,Consumer Durables
AMBER,TIER:GOLD-baseline,LONG,72,43.056,0.216,0.241,111.78,Consumer Durables
AMBER,TIER:STANDARD,SHORT,78,42.308,0.069,-0.222,-323.219,Consumer Durables
AMBER,TIER:STANDARD,LONG,78,53.846,-0.158,0.133,0.0,Consumer Durables
AMBUJACEM,TIER:ENTERPRISE-Dryup,SHORT,256,52.734,0.062,0.026,42.362,Construction Materials
AMBUJACEM,TIER:ENTERPRISE-Dryup,LONG,256,44.531,-0.152,-0.116,0.0,Construction Materials
AMBUJACEM,TIER:GOLD,SHORT,152,51.974,0.155,0.091,58.713,Construction Materials
AMBUJACEM,TIER:GOLD,LONG,152,44.079,-0.244,-0.18,0.0,Construction Materials
AMBUJACEM,TIER:GOLD-baseline,SHORT,60,60.0,0.29,0.067,23.149,Construction Materials
AMBUJACEM,TIER:GOLD-baseline,LONG,60,40.0,-0.379,-0.156,0.0,Construction Materials
AMBUJACEM,TIER:STANDARD,SHORT,55,56.364,0.127,0.172,135.077,Construction Materials
AMBUJACEM,TIER:STANDARD,LONG,55,38.182,-0.217,-0.261,0.0,Construction Materials
ANGELONE,TIER:ENTERPRISE-Dryup,SHORT,249,54.618,0.118,0.047,40.018,Financial Services
ANGELONE,TIER:ENTERPRISE-Dryup,LONG,249,44.578,-0.207,-0.137,0.0,Financial Services
ANGELONE,TIER:GOLD,SHORT,102,53.922,0.304,0.135,44.355,Financial Services
ANGELONE,TIER:GOLD,LONG,102,44.118,-0.393,-0.224,0.0,Financial Services
ANGELONE,TIER:GOLD-baseline,SHORT,69,53.623,-0.409,-0.361,0.0,Financial Services
ANGELONE,TIER:GOLD-baseline,LONG,69,46.377,0.32,0.271,84.838,Financial Services
ANGELONE,TIER:STANDARD,SHORT,79,49.367,-0.056,-0.182,0.0,Financial Services
ANGELONE,TIER:STANDARD,LONG,79,50.633,-0.034,0.093,0.0,Financial Services
APLAPOLLO,TIER:ENTERPRISE-Dryup,SHORT,239,57.322,0.17,0.035,20.84,Capital Goods
APLAPOLLO,TIER:ENTERPRISE-Dryup,LONG,239,40.586,-0.259,-0.125,0.0,Capital Goods
APLAPOLLO,TIER:GOLD,SHORT,127,49.606,-0.022,-0.031,0.0,Capital Goods
APLAPOLLO,TIER:GOLD,LONG,127,49.606,-0.068,-0.058,0.0,Capital Goods
APLAPOLLO,TIER:GOLD-baseline,SHORT,101,50.495,-0.005,0.026,0.0,Capital Goods
APLAPOLLO,TIER:GOLD-baseline,LONG,101,47.525,-0.084,-0.115,0.0,Capital Goods
APLAPOLLO,TIER:STANDARD,SHORT,61,42.623,-0.1,-0.164,0.0,Capital Goods
APLAPOLLO,TIER:STANDARD,LONG,61,54.098,0.011,0.074,705.282,Capital Goods
APOLLOHOSP,TIER:ENTERPRISE-Dryup,SHORT,256,45.703,-0.109,-0.132,0.0,Healthcare
APOLLOHOSP,TIER:ENTERPRISE-Dryup,LONG,256,48.828,0.019,0.043,221.643,Healthcare
APOLLOHOSP,TIER:GOLD,SHORT,147,43.537,-0.068,-0.098,0.0,Healthcare
APOLLOHOSP,TIER:GOLD,LONG,147,51.701,-0.021,0.009,0.0,Healthcare
APOLLOHOSP,TIER:GOLD-baseline,SHORT,94,53.191,0.044,-0.155,-350.869,Healthcare
APOLLOHOSP,TIER:GOLD-baseline,LONG,94,41.489,-0.134,0.066,0.0,Healthcare
ASHOKLEY,TIER:ENTERPRISE-Dryup,SHORT,246,52.033,-0.07,-0.16,0.0,Capital Goods
ASHOKLEY,TIER:ENTERPRISE-Dryup,LONG,246,45.122,-0.019,0.07,0.0,Capital Goods
ASHOKLEY,TIER:GOLD,SHORT,111,45.045,-0.15,-0.207,0.0,Capital Goods
ASHOKLEY,TIER:GOLD,LONG,111,50.45,0.061,0.118,193.615,Capital Goods
ASHOKLEY,TIER:GOLD-baseline,SHORT,97,47.423,-0.27,-0.242,0.0,Capital Goods
ASHOKLEY,TIER:GOLD-baseline,LONG,97,48.454,0.181,0.152,84.088,Capital Goods
ASHOKLEY,TIER:STANDARD,SHORT,61,54.098,0.257,0.25,97.639,Capital Goods
ASHOKLEY,TIER:STANDARD,LONG,61,44.262,-0.346,-0.34,0.0,Capital Goods
ASIANPAINT,TIER:ENTERPRISE-Dryup,SHORT,255,49.02,-0.03,-0.074,0.0,Consumer Durables
ASIANPAINT,TIER:ENTERPRISE-Dryup,LONG,255,47.059,-0.059,-0.015,0.0,Consumer Durables
ASIANPAINT,TIER:GOLD,SHORT,141,53.191,-0.035,-0.238,0.0,Consumer Durables
ASIANPAINT,TIER:GOLD,LONG,141,45.39,-0.054,0.149,0.0,Consumer Durables
ASIANPAINT,TIER:GOLD-baseline,SHORT,90,42.222,-0.141,-0.124,0.0,Consumer Durables
ASIANPAINT,TIER:GOLD-baseline,LONG,90,56.667,0.052,0.034,66.859,Consumer Durables
ASIANPAINT,TIER:STANDARD,SHORT,40,40.0,-0.234,-0.103,0.0,Consumer Durables
ASIANPAINT,TIER:STANDARD,LONG,40,52.5,0.144,0.014,9.494,Consumer Durables
ASTRAL,TIER:ENTERPRISE-Dryup,SHORT,233,54.506,0.159,0.073,45.862,Capital Goods
ASTRAL,TIER:ENTERPRISE-Dryup,LONG,233,43.348,-0.248,-0.162,0.0,Capital Goods
ASTRAL,TIER:GOLD,SHORT,162,48.765,0.006,-0.048,-781.074,Capital Goods
ASTRAL,TIER:GOLD,LONG,162,49.383,-0.096,-0.041,0.0,Capital Goods
ASTRAL,TIER:GOLD-baseline,SHORT,73,52.055,0.128,0.135,105.68,Capital Goods
ASTRAL,TIER:GOLD-baseline,LONG,73,43.836,-0.217,-0.224,0.0,Capital Goods
ASTRAL,TIER:STANDARD,SHORT,55,43.636,-0.399,-0.537,0.0,Capital Goods
ASTRAL,TIER:STANDARD,LONG,55,56.364,0.31,0.448,144.47,Capital Goods
AUBANK,TIER:ENTERPRISE-Dryup,SHORT,261,54.406,0.017,-0.06,-363.316,Financial Services
AUBANK,TIER:ENTERPRISE-Dryup,LONG,261,42.912,-0.106,-0.029,0.0,Financial Services
AUBANK,TIER:GOLD,SHORT,119,44.538,-0.311,-0.327,0.0,Financial Services
AUBANK,TIER:GOLD,LONG,119,52.941,0.222,0.238,107.181,Financial Services
AUBANK,TIER:GOLD-baseline,SHORT,81,51.852,-0.344,-0.367,0.0,Financial Services
AUBANK,TIER:GOLD-baseline,LONG,81,48.148,0.254,0.278,109.334,Financial Services
AUBANK,TIER:STANDARD,SHORT,57,50.877,0.075,-0.1,-132.183,Financial Services
AUBANK,TIER:STANDARD,LONG,57,45.614,-0.165,0.01,0.0,Financial Services
AUROPHARMA,TIER:ENTERPRISE-Dryup,SHORT,244,46.721,-0.195,-0.225,0.0,Healthcare
AUROPHARMA,TIER:ENTERPRISE-Dryup,LONG,244,51.639,0.105,0.136,128.931,Healthcare
AUROPHARMA,TIER:GOLD,SHORT,132,57.576,0.073,0.019,26.456,Healthcare
AUROPHARMA,TIER:GOLD,LONG,132,41.667,-0.163,-0.109,0.0,Healthcare
AUROPHARMA,TIER:GOLD-baseline,SHORT,86,60.465,0.314,0.263,83.539,Healthcare
AUROPHARMA,TIER:GOLD-baseline,LONG,86,38.372,-0.404,-0.352,0.0,Healthcare
AUROPHARMA,TIER:STANDARD,SHORT,63,53.968,0.103,-0.145,-140.779,Healthcare
AUROPHARMA,TIER:STANDARD,LONG,63,46.032,-0.192,0.055,0.0,Healthcare
AXISBANK,TIER:ENTERPRISE-Dryup,SHORT,232,48.276,-0.076,-0.1,0.0,Financial Services
AXISBANK,TIER:ENTERPRISE-Dryup,LONG,232,49.138,-0.014,0.011,0.0,Financial Services
AXISBANK,TIER:GOLD,SHORT,172,51.163,-0.061,-0.183,0.0,Financial Services
AXISBANK,TIER:GOLD,LONG,172,47.674,-0.028,0.093,0.0,Financial Services
AXISBANK,TIER:GOLD-baseline,SHORT,82,45.122,-0.195,-0.314,0.0,Financial Services
AXISBANK,TIER:GOLD-baseline,LONG,82,51.22,0.106,0.224,211.878,Financial Services
BAJAJ-AUTO,TIER:ENTERPRISE-Dryup,SHORT,235,49.362,0.021,-0.024,-114.086,Automobile and Auto Components
BAJAJ-AUTO,TIER:ENTERPRISE-Dryup,LONG,235,47.234,-0.111,-0.065,0.0,Automobile and Auto Components
BAJAJ-AUTO,TIER:GOLD,SHORT,168,52.381,0.037,-0.066,-175.29,Automobile and Auto Components
BAJAJ-AUTO,TIER:GOLD,LONG,168,44.643,-0.127,-0.024,0.0,Automobile and Auto Components
BAJAJ-AUTO,TIER:GOLD-baseline,SHORT,74,45.946,-0.23,-0.215,0.0,Automobile and Auto Components
BAJAJ-AUTO,TIER:GOLD-baseline,LONG,74,50.0,0.141,0.126,89.5,Automobile and Auto Components
BAJAJ-AUTO,TIER:STANDARD,SHORT,50,46.0,-0.193,-0.336,0.0,Automobile and Auto Components
BAJAJ-AUTO,TIER:STANDARD,LONG,50,54.0,0.103,0.246,238.496,Automobile and Auto Components
BAJAJFINSV,TIER:ENTERPRISE-Dryup,SHORT,249,53.012,-0.036,-0.145,0.0,Financial Services
BAJAJFINSV,TIER:ENTERPRISE-Dryup,LONG,249,42.972,-0.053,0.056,0.0,Financial Services
BAJAJFINSV,TIER:GOLD,SHORT,135,50.37,0.091,0.06,66.552,Financial Services
BAJAJFINSV,TIER:GOLD,LONG,135,43.704,-0.18,-0.15,0.0,Financial Services
BAJAJFINSV,TIER:GOLD-baseline,SHORT,89,41.573,-0.192,-0.083,0.0,Financial Services
BAJAJFINSV,TIER:GOLD-baseline,LONG,89,52.809,0.103,-0.007,-6.484,Financial Services
BAJAJFINSV,TIER:STANDARD,SHORT,52,50.0,0.129,-0.111,-86.023,Financial Services
BAJAJFINSV,TIER:STANDARD,LONG,52,48.077,-0.219,0.022,0.0,Financial Services
BAJAJHLDNG,TIER:ENTERPRISE-Dryup,SHORT,246,50.0,-0.161,-0.196,0.0,Financial Services
BAJAJHLDNG,TIER:ENTERPRISE-Dryup,LONG,246,47.154,0.072,0.107,148.73,Financial Services
BAJAJHLDNG,TIER:GOLD,SHORT,118,52.542,0.192,0.168,87.68,Financial Services
BAJAJHLDNG,TIER:GOLD,LONG,118,44.068,-0.281,-0.258,0.0,Financial Services
BAJAJHLDNG,TIER:GOLD-baseline,SHORT,93,62.366,0.24,0.111,46.395,Financial Services
BAJAJHLDNG,TIER:GOLD-baseline,LONG,93,35.484,-0.329,-0.2,0.0,Financial Services
BAJAJHLDNG,TIER:STANDARD,SHORT,65,58.462,0.307,0.136,44.222,Financial Services
BAJAJHLDNG,TIER:STANDARD,LONG,65,38.462,-0.396,-0.225,0.0,Financial Services
BAJFINANCE,TIER:ENTERPRISE-Dryup,SHORT,230,52.174,-0.048,-0.127,0.0,Financial Services
BAJFINANCE,TIER:ENTERPRISE-Dryup,LONG,230,45.217,-0.041,0.038,0.0,Financial Services
BAJFINANCE,TIER:GOLD,SHORT,161,47.205,-0.151,-0.193,0.0,Financial Services
BAJFINANCE,TIER:GOLD,LONG,161,50.311,0.062,0.104,167.283,Financial Services
BAJFINANCE,TIER:GOLD-baseline,SHORT,79,43.038,-0.41,-0.42,0.0,Financial Services
BAJFINANCE,TIER:GOLD-baseline,LONG,79,53.165,0.321,0.331,103.053,Financial Services
BAJFINANCE,TIER:STANDARD,SHORT,51,52.941,0.373,0.156,41.813,Financial Services
BAJFINANCE,TIER:STANDARD,LONG,51,43.137,-0.462,-0.245,0.0,Financial Services
BANDHANBNK,TIER:ENTERPRISE-Dryup,SHORT,223,51.57,0.125,0.018,14.535,Financial Services
BANDHANBNK,TIER:ENTERPRISE-Dryup,LONG,223,45.74,-0.215,-0.108,0.0,Financial Services
BANDHANBNK,TIER:GOLD,SHORT,150,48.0,0.004,-0.023,-588.473,Financial Services
BANDHANBNK,TIER:GOLD,LONG,150,50.0,-0.093,-0.067,0.0,Financial Services
BANDHANBNK,TIER:GOLD-baseline,SHORT,62,51.613,0.049,0.078,157.851,Financial Services
BANDHANBNK,TIER:GOLD-baseline,LONG,62,45.161,-0.139,-0.167,0.0,Financial Services
BANDHANBNK,TIER:STANDARD,SHORT,76,57.895,0.067,-0.139,-208.574,Financial Services
BANDHANBNK,TIER:STANDARD,LONG,76,39.474,-0.156,0.049,0.0,Financial Services
