symbol,side,days,win,raw,neutral,retained,neut_sharpe,best_signal,bs_days,bs_neutral,sector
LTF,SHORT,535,48.411,-0.07,-0.133,0.0,-1.418,extended_move,49,0.244,Financial Services
LTF,LONG,535,49.346,-0.02,0.044,0.0,0.465,GOLD,111,0.228,Financial Services
LTM,SHORT,535,48.972,0.034,-0.029,-86.545,-0.322,STANDARD,58,0.2,Information Technology
LTM,LONG,535,48.598,-0.123,-0.06,0.0,-0.656,GOLD-baseline,69,0.037,Information Technology
LUPIN,SHORT,534,52.247,-0.003,-0.067,0.0,-0.794,GOLD-baseline,102,0.052,Healthcare
LUPIN,LONG,534,43.633,-0.086,-0.022,0.0,-0.259,extended_move,21,0.211,Healthcare
M&M,SHORT,535,49.907,-0.089,-0.152,0.0,-1.822,STANDARD,71,0.25,Automobile and Auto Components
M&M,LONG,535,47.664,-0.001,0.063,0.0,0.752,ENTERPRISE-Dryup,203,0.168,Automobile and Auto Components
MANAPPURAM,SHORT,535,50.28,-0.137,-0.201,0.0,-1.884,GOLD-baseline,65,-0.122,Financial Services
MANAPPURAM,LONG,535,46.355,0.048,0.111,232.025,1.046,GOLD,126,0.205,Financial Services
MANKIND,SHORT,535,55.514,0.125,0.062,49.256,0.558,STANDARD,70,0.227,Healthcare
MANKIND,LONG,535,41.682,-0.214,-0.151,0.0,-1.368,GOLD-baseline,85,0.079,Healthcare
MARICO,SHORT,535,48.224,-0.044,-0.108,0.0,-1.313,extended_move,20,0.251,Fast Moving Consumer Goods
MARICO,LONG,535,48.037,-0.045,0.018,0.0,0.224,GOLD-baseline,95,0.088,Fast Moving Consumer Goods
MARUTI,SHORT,535,51.215,0.001,-0.063,-11116.165,-0.845,GOLD-baseline,110,-0.002,Automobile and Auto Components
MARUTI,LONG,535,45.421,-0.09,-0.027,0.0,-0.357,STANDARD,23,0.212,Automobile and Auto Components
MAXHEALTH,SHORT,535,48.785,-0.128,-0.192,0.0,-1.639,extended_move,30,0.322,Healthcare
MAXHEALTH,LONG,535,49.346,0.039,0.102,262.487,0.875,ENTERPRISE-Dryup,200,0.18,Healthcare
MAZDOCK,SHORT,535,54.953,0.004,-0.059,-1435.082,-0.343,GOLD-baseline,46,0.024,Capital Goods
MAZDOCK,LONG,535,43.364,-0.093,-0.03,0.0,-0.174,extended_move,105,0.29,Capital Goods
MCX,SHORT,535,48.972,-0.109,-0.172,0.0,-1.432,GOLD,85,-0.04,Financial Services
MCX,LONG,535,49.72,0.019,0.083,428.268,0.688,STANDARD,109,0.208,Financial Services
MFSL,SHORT,535,47.664,-0.136,-0.199,0.0,-2.215,GOLD,131,-0.101,Financial Services
MFSL,LONG,535,49.346,0.046,0.11,237.462,1.22,GOLD-baseline,93,0.195,Financial Services
MOTHERSON,SHORT,535,50.467,-0.025,-0.088,0.0,-0.885,STANDARD,83,0.153,Automobile and Auto Components
MOTHERSON,LONG,535,47.664,-0.064,-0.001,0.0,-0.01,GOLD-baseline,69,0.193,Automobile and Auto Components
MOTILALOFS,SHORT,535,53.832,-0.015,-0.079,0.0,-0.585,GOLD-baseline,72,0.092,Financial Services
MOTILALOFS,LONG,535,45.047,-0.074,-0.011,0.0,-0.081,extended_move,88,0.237,Financial Services
MPHASIS,SHORT,535,51.589,0.058,-0.006,-9.898,-0.059,ENTERPRISE-Dryup,248,0.074,Information Technology
MPHASIS,LONG,535,45.794,-0.147,-0.084,0.0,-0.87,GOLD-baseline,70,0.052,Information Technology
MUTHOOTFIN,SHORT,535,48.037,-0.045,-0.108,0.0,-1.18,GOLD-baseline,122,-0.003,Financial Services
MUTHOOTFIN,LONG,535,48.785,-0.044,0.019,0.0,0.207,extended_move,34,0.173,Financial Services
NAM-INDIA,SHORT,535,53.084,-0.038,-0.101,0.0,-0.827,STANDARD,81,-0.001,Financial Services
NAM-INDIA,LONG,535,44.486,-0.051,0.012,0.0,0.098,GOLD,109,0.355,Financial Services
NATIONALUM,SHORT,535,48.972,-0.048,-0.111,0.0,-0.928,STANDARD,94,0.066,Metals & Mining
NATIONALUM,LONG,535,48.598,-0.041,0.022,0.0,0.184,GOLD-baseline,65,0.624,Metals & Mining
NAUKRI,SHORT,535,52.897,0.015,-0.048,-311.319,-0.475,STANDARD,71,0.239,Consumer Services
NAUKRI,LONG,535,44.86,-0.105,-0.041,0.0,-0.41,ENTERPRISE-Dryup,229,0.04,Consumer Services
NBCC,SHORT,535,55.701,0.09,0.027,29.846,0.226,STANDARD-weak,20,0.185,Construction
NBCC,LONG,535,42.804,-0.18,-0.116,0.0,-0.975,GOLD,129,-0.036,Construction
NESTLEIND,SHORT,535,50.841,-0.041,-0.104,0.0,-1.29,STANDARD,24,0.003,Fast Moving Consumer Goods
NESTLEIND,LONG,535,45.234,-0.049,0.015,0.0,0.182,GOLD-baseline,81,0.129,Fast Moving Consumer Goods
NHPC,SHORT,535,57.009,0.121,0.058,47.784,0.689,GOLD-baseline,43,0.133,Power
NHPC,LONG,535,39.813,-0.211,-0.147,0.0,-1.751,STANDARD,63,-0.071,Power
NMDC,SHORT,535,51.215,0.096,0.033,34.257,0.369,STANDARD,81,0.36,Metals & Mining
NMDC,LONG,535,46.168,-0.186,-0.122,0.0,-1.367,ENTERPRISE-Dryup,214,0.055,Metals & Mining
NTPC,SHORT,535,52.336,0.024,-0.039,-162.658,-0.539,GOLD-baseline,84,0.089,Power
NTPC,LONG,535,45.981,-0.113,-0.05,0.0,-0.688,GOLD,173,0.002,Power
NUVAMA,SHORT,535,53.645,-0.034,-0.097,0.0,-0.719,GOLD,104,0.33,Financial Services
NUVAMA,LONG,535,45.421,-0.055,0.008,0.0,0.059,STANDARD,84,0.249,Financial Services
NYKAA,SHORT,535,49.72,-0.055,-0.118,0.0,-1.122,STANDARD,66,0.036,Consumer Services
NYKAA,LONG,535,47.103,-0.035,0.029,0.0,0.271,GOLD-baseline,81,0.166,Consumer Services
OBEROIRLTY,SHORT,534,49.064,0.031,-0.034,-110.496,-0.367,GOLD-baseline,79,0.074,Realty
OBEROIRLTY,LONG,534,48.876,-0.12,-0.056,0.0,-0.606,STANDARD,71,0.149,Realty
OFSS,SHORT,535,55.888,0.06,-0.003,-5.137,-0.029,ENTERPRISE-Dryup,251,0.089,Information Technology
OFSS,LONG,535,41.682,-0.15,-0.086,0.0,-0.796,STANDARD,70,0.152,Information Technology
OIL,SHORT,535,52.336,0.118,0.054,46.185,0.443,GOLD-baseline,65,0.518,Oil Gas & Consumable Fuels
OIL,LONG,535,45.794,-0.207,-0.144,0.0,-1.17,GOLD,138,0.041,Oil Gas & Consumable Fuels
ONGC,SHORT,535,54.019,0.061,-0.003,-4.302,-0.031,STANDARD,43,0.092,Oil Gas & Consumable Fuels
ONGC,LONG,535,43.925,-0.15,-0.087,0.0,-1.029,GOLD,152,-0.053,Oil Gas & Consumable Fuels
PAGEIND,SHORT,535,51.963,0.006,-0.057,-920.007,-0.633,GOLD,150,0.047,Textiles
PAGEIND,LONG,535,45.234,-0.096,-0.032,0.0,-0.356,STANDARD,51,0.555,Textiles
PATANJALI,SHORT,534,56.18,0.179,0.114,64.045,1.212,GOLD-baseline,97,0.351,Fast Moving Consumer Goods
PATANJALI,LONG,534,41.199,-0.268,-0.204,0.0,-2.158,GOLD,130,-0.137,Fast Moving Consumer Goods
PAYTM,SHORT,535,50.841,-0.121,-0.185,0.0,-1.264,GOLD-baseline,53,0.179,Financial Services
PAYTM,LONG,535,47.29,0.032,0.095,298.88,0.653,STANDARD,105,0.259,Financial Services
PERSISTENT,SHORT,535,50.654,-0.045,-0.108,0.0,-0.974,GOLD,110,0.027,Information Technology
PERSISTENT,LONG,535,48.224,-0.045,0.019,0.0,0.168,GOLD-baseline,93,0.142,Information Technology
PETRONET,SHORT,535,51.028,-0.008,-0.072,0.0,-0.844,STANDARD,52,0.343,Oil Gas & Consumable Fuels
PETRONET,LONG,535,46.916,-0.081,-0.018,0.0,-0.208,GOLD,153,0.189,Oil Gas & Consumable Fuels
PFC,SHORT,535,52.15,0.092,0.028,30.931,0.299,GOLD,168,0.209,Financial Services
PFC,LONG,535,44.673,-0.181,-0.118,0.0,-1.241,extended_move,29,0.236,Financial Services
PGEL,SHORT,535,52.71,-0.01,-0.074,0.0,-0.41,STANDARD,96,0.27,Consumer Durables
PGEL,LONG,535,45.794,-0.079,-0.016,0.0,-0.088,extended_move,140,0.194,Consumer Durables
PHOENIXLTD,SHORT,535,49.159,-0.095,-0.158,0.0,-1.34,GOLD,140,0.064,Realty
PHOENIXLTD,LONG,535,49.907,0.006,0.069,1219.346,0.584,GOLD-baseline,79,0.301,Realty
PIDILITIND,SHORT,535,52.336,0.012,-0.051,-431.949,-0.708,STANDARD,31,-0.018,Chemicals
PIDILITIND,LONG,535,44.86,-0.101,-0.038,0.0,-0.521,GOLD-baseline,94,-0.02,Chemicals
PIIND,SHORT,535,49.159,-0.027,-0.09,0.0,-1.082,GOLD-baseline,79,0.181,Chemicals
PIIND,LONG,535,46.729,-0.063,0.001,0.0,0.007,GOLD,147,0.15,Chemicals
PNB,SHORT,535,52.336,0.108,0.044,41.138,0.582,GOLD-baseline,48,0.223,Financial Services
PNB,LONG,535,43.551,-0.197,-0.134,0.0,-1.755,GOLD,154,-0.068,Financial Services
PNBHOUSING,SHORT,535,51.215,0.014,-0.049,-350.395,-0.453,ENTERPRISE-Dryup,276,0.074,Financial Services
PNBHOUSING,LONG,535,45.981,-0.103,-0.04,0.0,-0.367,GOLD,89,0.215,Financial Services
POLICYBZR,SHORT,535,48.785,-0.084,-0.147,0.0,-1.103,extended_move,50,0.124,Financial Services
POLICYBZR,LONG,535,50.28,-0.005,0.058,0.0,0.435,GOLD-baseline,83,0.163,Financial Services
POLYCAB,SHORT,535,48.224,-0.006,-0.07,0.0,-0.76,GOLD,117,0.099,Capital Goods
POLYCAB,LONG,535,48.785,-0.083,-0.02,0.0,-0.212,GOLD-baseline,79,0.089,Capital Goods
POWERGRID,SHORT,535,49.346,-0.009,-0.073,0.0,-0.97,STANDARD,41,0.42,Power
POWERGRID,LONG,535,46.355,-0.08,-0.017,0.0,-0.224,GOLD,183,0.148,Power
POWERINDIA,SHORT,535,52.897,0.03,-0.033,-108.102,-0.209,GOLD,53,0.209,Capital Goods
POWERINDIA,LONG,535,45.981,-0.12,-0.056,0.0,-0.358,extended_move,146,0.129,Capital Goods
PREMIERENE,SHORT,456,54.825,0.102,0.03,29.818,0.192,GOLD,93,0.243,Capital Goods
PREMIERENE,LONG,456,44.079,-0.191,-0.12,0.0,-0.758,GOLD-baseline,64,0.262,Capital Goods
PRESTIGE,SHORT,534,52.247,0.03,-0.035,-117.588,-0.295,ENTERPRISE-Dryup,232,0.033,Realty
PRESTIGE,LONG,534,46.067,-0.119,-0.055,0.0,-0.464,GOLD-baseline,76,0.163,Realty
RADICO,SHORT,535,55.14,-0.021,-0.084,0.0,-0.684,extended_move,51,0.162,Fast Moving Consumer Goods
RADICO,LONG,535,41.495,-0.069,-0.005,0.0,-0.043,normal,479,0.024,Fast Moving Consumer Goods
RBLBANK,SHORT,535,52.523,-0.003,-0.066,0.0,-0.597,extended_move,45,0.19,Financial Services
RBLBANK,LONG,535,45.234,-0.087,-0.023,0.0,-0.21,GOLD-baseline,58,0.328,Financial Services
RECLTD,SHORT,535,53.458,0.152,0.089,58.381,0.912,ENTERPRISE-Dryup,237,0.139,Financial Services
RECLTD,LONG,535,43.551,-0.242,-0.178,0.0,-1.829,extended_move,38,0.136,Financial Services
RELIANCE,SHORT,535,50.467,-0.011,-0.074,0.0,-1.111,GOLD,175,-0.004,Oil Gas & Consumable Fuels
RELIANCE,LONG,535,45.607,-0.079,-0.015,0.0,-0.231,STANDARD,27,0.089,Oil Gas & Consumable Fuels
RVNL,SHORT,535,59.626,0.137,0.074,53.81,0.509,ENTERPRISE-Dryup,292,0.146,Construction
RVNL,LONG,535,38.692,-0.227,-0.163,0.0,-1.125,STANDARD,54,0.284,Construction
SAIL,SHORT,534,52.247,0.085,0.02,23.832,0.189,extended_move,32,0.555,Metals & Mining
SAIL,LONG,534,45.693,-0.174,-0.11,0.0,-1.026,GOLD-baseline,62,0.328,Metals & Mining
SAMMAANCAP,SHORT,535,57.196,0.211,0.148,69.98,1.035,ENTERPRISE-Dryup,229,0.385,Financial Services
SAMMAANCAP,LONG,535,41.682,-0.3,-0.237,0.0,-1.661,STANDARD,83,-0.086,Financial Services
SBICARD,SHORT,535,50.28,-0.037,-0.1,0.0,-1.184,GOLD-baseline,80,0.358,Financial Services
SBICARD,LONG,535,46.729,-0.052,0.011,0.0,0.13,GOLD,138,0.166,Financial Services
SBILIFE,SHORT,535,46.916,-0.098,-0.161,0.0,-2.128,GOLD,147,0.091,Financial Services
SBILIFE,LONG,535,49.159,0.009,0.072,828.069,0.95,ENTERPRISE-Dryup,244,0.203,Financial Services
SBIN,SHORT,535,49.907,0.015,-0.049,-329.977,-0.733,STANDARD,36,0.202,Financial Services
SBIN,LONG,535,47.29,-0.104,-0.041,0.0,-0.614,GOLD,152,0.05,Financial Services
SHREECEM,SHORT,535,54.393,0.039,-0.024,-62.208,-0.324,GOLD-baseline,98,0.061,Construction Materials
SHREECEM,LONG,535,43.364,-0.128,-0.065,0.0,-0.867,STANDARD,43,0.016,Construction Materials
SHRIRAMFIN,SHORT,535,49.159,-0.091,-0.155,0.0,-1.607,ENTERPRISE-Dryup,229,-0.074,Financial Services
SHRIRAMFIN,LONG,535,48.224,0.002,0.065,3552.924,0.678,GOLD-baseline,102,0.361,Financial Services
SIEMENS,SHORT,534,51.873,0.119,0.049,41.263,0.482,extended_move,51,0.388,Capital Goods
SIEMENS,LONG,534,45.693,-0.208,-0.138,0.0,-1.36,GOLD,132,-0.083,Capital Goods
SOLARINDS,SHORT,535,54.019,0.062,-0.001,-2.337,-0.012,GOLD-baseline,79,0.18,Chemicals
SOLARINDS,LONG,535,44.112,-0.151,-0.088,0.0,-0.721,extended_move,96,0.009,Chemicals
SONACOMS,SHORT,535,55.14,0.039,-0.025,-63.93,-0.238,STANDARD,55,0.272,Automobile and Auto Components
SONACOMS,LONG,535,43.551,-0.128,-0.065,0.0,-0.623,GOLD,132,0.135,Automobile and Auto Components
SRF,SHORT,535,51.402,-0.03,-0.093,0.0,-1.06,STANDARD,57,0.013,Chemicals
SRF,LONG,535,46.168,-0.06,0.004,0.0,0.043,GOLD,142,0.102,Chemicals
SUNPHARMA,SHORT,535,49.72,-0.045,-0.108,0.0,-1.519,STANDARD,24,0.46,Healthcare
SUNPHARMA,LONG,535,46.916,-0.044,0.019,0.0,0.265,ENTERPRISE-Dryup,236,0.079,Healthcare
SUPREMEIND,SHORT,535,53.645,0.099,0.036,35.938,0.33,ENTERPRISE-Dryup,242,0.148,Capital Goods
SUPREMEIND,LONG,535,44.299,-0.188,-0.125,0.0,-1.158,STANDARD,68,0.271,Capital Goods
SUZLON,SHORT,535,58.879,0.221,0.157,71.251,1.332,GOLD,132,0.314,Capital Goods
SUZLON,LONG,535,38.692,-0.31,-0.246,0.0,-2.089,ENTERPRISE-Dryup,218,-0.092,Capital Goods
SWIGGY,SHORT,407,54.3,0.145,0.098,67.552,0.634,GOLD-baseline,53,0.371,Consumer Services
SWIGGY,LONG,407,42.998,-0.234,-0.187,0.0,-1.215,STANDARD,67,0.071,Consumer Services
TATACONSUM,SHORT,535,50.654,-0.042,-0.105,0.0,-1.22,STANDARD,30,0.365,Fast Moving Consumer Goods
TATACONSUM,LONG,535,46.916,-0.048,0.016,0.0,0.184,GOLD,148,0.156,Fast Moving Consumer Goods
TATAELXSI,SHORT,535,56.449,0.153,0.089,58.533,0.846,STANDARD,40,0.228,Information Technology
TATAELXSI,LONG,535,41.121,-0.242,-0.179,0.0,-1.691,GOLD-baseline,87,-0.132,Information Technology
TATAPOWER,SHORT,535,51.589,0.064,0.0,0.652,0.006,GOLD-baseline,49,0.178,Power
TATAPOWER,LONG,535,45.234,-0.153,-0.09,0.0,-1.374,STANDARD,43,0.02,Power
TATASTEEL,SHORT,535,51.215,0.015,-0.048,-320.51,-0.654,STANDARD,53,0.179,Metals & Mining
TATASTEEL,LONG,535,46.729,-0.104,-0.041,0.0,-0.555,GOLD,145,0.163,Metals & Mining
TCS,SHORT,535,53.832,0.063,-0.001,-0.902,-0.007,ENTERPRISE-Dryup,227,0.059,Information Technology
TCS,LONG,535,42.43,-0.152,-0.089,0.0,-1.074,GOLD,162,0.061,Information Technology
TECHM,SHORT,535,49.159,-0.052,-0.116,0.0,-1.242,STANDARD,52,0.089,Information Technology
TECHM,LONG,535,48.037,-0.037,0.026,0.0,0.282,GOLD-baseline,96,0.163,Information Technology
TIINDIA,SHORT,534,53.371,0.07,0.006,8.77,0.05,extended_move,27,0.196,Automobile and Auto Components
TIINDIA,LONG,534,44.007,-0.16,-0.096,0.0,-0.781,GOLD-baseline,81,0.124,Automobile and Auto Components
TITAN,SHORT,535,46.729,-0.125,-0.189,0.0,-2.399,GOLD,121,-0.174,Consumer Durables
TITAN,LONG,535,49.72,0.036,0.099,275.72,1.264,ENTERPRISE-Dryup,276,0.123,Consumer Durables
TMPV,SHORT,534,56.367,0.107,0.046,42.584,0.554,GOLD-baseline,67,0.192,Automobile and Auto Components
TMPV,LONG,534,40.824,-0.197,-0.135,0.0,-1.637,STANDARD,54,-0.068,Automobile and Auto Components
TORNTPHARM,SHORT,535,49.346,-0.065,-0.128,0.0,-1.517,STANDARD,45,0.092,Healthcare
TORNTPHARM,LONG,535,46.355,-0.024,0.039,0.0,0.462,ENTERPRISE-Dryup,256,0.144,Healthcare
TRENT,SHORT,535,54.206,0.063,-0.0,-0.717,-0.004,GOLD-baseline,91,0.246,Consumer Services
TRENT,LONG,535,43.925,-0.152,-0.089,0.0,-0.798,STANDARD,73,0.001,Consumer Services
TVSMOTOR,SHORT,535,50.654,-0.045,-0.108,0.0,-1.361,STANDARD,70,0.018,Automobile and Auto Components
TVSMOTOR,LONG,535,46.542,-0.044,0.019,0.0,0.239,GOLD,117,0.105,Automobile and Auto Components
ULTRACEMCO,SHORT,535,47.664,-0.049,-0.112,0.0,-1.676,GOLD-baseline,90,0.102,Construction Materials
ULTRACEMCO,LONG,535,48.224,-0.041,0.023,0.0,0.341,STANDARD,36,0.285,Construction Materials
UNIONBANK,SHORT,535,53.832,0.051,-0.012,-23.488,-0.126,extended_move,20,0.273,Financial Services
UNIONBANK,LONG,535,44.299,-0.141,-0.077,0.0,-0.811,GOLD,122,0.075,Financial Services
UNITDSPR,SHORT,535,52.71,0.014,-0.049,-349.125,-0.578,STANDARD,41,0.045,Fast Moving Consumer Goods
UNITDSPR,LONG,535,45.981,-0.103,-0.04,0.0,-0.47,GOLD-baseline,101,0.065,Fast Moving Consumer Goods
UNOMINDA,SHORT,535,51.589,-0.044,-0.108,0.0,-0.86,GOLD-baseline,109,0.301,Automobile and Auto Components
UNOMINDA,LONG,535,46.355,-0.045,0.018,0.0,0.146,GOLD,117,0.304,Automobile and Auto Components
UPL,SHORT,535,52.523,0.037,-0.026,-70.992,-0.299,STANDARD,56,0.017,Chemicals
UPL,LONG,535,43.925,-0.126,-0.063,0.0,-0.716,GOLD,113,-0.01,Chemicals
VBL,SHORT,535,55.888,0.06,-0.004,-6.114,-0.035,GOLD-baseline,95,0.073,Fast Moving Consumer Goods
VBL,LONG,535,41.308,-0.149,-0.086,0.0,-0.826,STANDARD,69,0.056,Fast Moving Consumer Goods
VEDL,SHORT,534,50.562,0.006,-0.057,-934.867,-0.6,extended_move,45,0.236,Metals & Mining
VEDL,LONG,534,46.442,-0.095,-0.032,0.0,-0.34,GOLD-baseline,118,0.153,Metals & Mining
VMM,SHORT,384,53.385,0.004,-0.049,-1170.116,-0.416,GOLD-baseline,44,0.089,Consumer Services
VMM,LONG,384,45.052,-0.094,-0.041,0.0,-0.347,GOLD,87,0.107,Consumer Services
VOLTAS,SHORT,535,48.972,-0.016,-0.079,0.0,-0.778,extended_move,28,0.105,Consumer Durables
VOLTAS,LONG,535,48.598,-0.074,-0.01,0.0,-0.103,GOLD,128,0.092,Consumer Durables
WAAREEENER,SHORT,418,55.263,0.106,0.052,49.045,0.336,GOLD-baseline,55,0.663,Capital Goods
WAAREEENER,LONG,418,42.344,-0.196,-0.142,0.0,-0.91,STANDARD,55,0.727,Capital Goods
WIPRO,SHORT,535,54.019,0.067,0.003,4.927,0.041,STANDARD,43,0.19,Information Technology
WIPRO,LONG,535,43.551,-0.156,-0.093,0.0,-1.153,GOLD,152,0.016,Information Technology
YESBANK,SHORT,535,55.327,0.085,0.022,25.426,0.236,extended_move,26,0.427,Financial Services
YESBANK,LONG,535,42.991,-0.174,-0.111,0.0,-1.211,GOLD,149,0.107,Financial Services
ZYDUSLIFE,SHORT,535,53.645,0.071,0.007,10.122,0.092,STANDARD,42,0.375,Healthcare
ZYDUSLIFE,LONG,535,42.43,-0.16,-0.096,0.0,-1.245,ENTERPRISE-Dryup,250,0.011,Healthcare
