pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,rule
2324,61,0.6229508196721312,0.5992744920182793,0.6382832618025792,2.6717055360783646,-1.5536912529851556,0.49747627570942377,0.09423595167702054,0.7956749734450481,0.5901639344262295,1.4384492480401696,0.5260487430435435,4.281596667017505,-2.261304075439721,0.46499566253828867,0.004149577929827841,1.4795826676251604,0.5737704918032787,1.1071944818523602,0.8124770642201674,5.000288878843395,-3.0478871868876753,0.44895006843512514,-0.011896016173335688,0.9977986005922214,1.0,0.5152147641557441,atr_20_pct <= 3.1788 AND atr_20_pct > 2.4633 AND slope_sma_20 <= 2.9172 AND weekly_close_loc > 0.6876
6907,27,0.6666666666666666,1.1271929230183793,1.5580327868852486,3.0508910839780072,-1.1493007918178844,0.47824419872105484,0.0750038746886516,1.323593404445148,0.7407407407407407,2.087248975742168,1.1848952879581145,4.704940400395504,-1.550219244339238,0.5532106959738432,0.09236461136538238,2.128382395327159,0.7777777777777778,3.0241755642314954,2.069508196721319,6.120299284533027,-1.755812417819294,0.5924270453692919,0.1315809607608311,2.9147796829713566,1.0,0.5537799738987139,atr_20_pct > 3.3478 AND dist_high_120 > -28.8011 AND n_sub_75v_20d > 6.5000 AND weekly_close_vs_sma20 <= 9.8642
2582,42,0.6190476190476191,0.34617209178620667,0.799872686859653,2.7348862825655864,-2.3280902986420435,0.46813768219996377,0.06489735816756054,0.5425725732129754,0.6428571428571429,1.169668820648111,2.2091669588575713,4.249514102661049,-3.0655437491006268,0.49166089287079373,0.030814808262332904,1.2108022402331018,0.6428571428571429,2.0016909507661276,3.0629569781803245,5.817043718637879,-3.436008337465082,0.49166089287079373,0.030814808262332904,1.8922950695059888,1.0,0.8823142972308271,dist_high_252 > -13.9979 AND n_sub_75v_7d > 3.5000 AND roc_60 <= 10.9677 AND weekly_range_pct > 3.9197
6320,56,0.5892857142857143,0.7145812952537502,0.8988166695209233,3.0903435287948087,-2.1250859553419295,0.45877362113703657,0.05553329710463334,0.910981776680519,0.5714285714285714,0.978713854310618,0.968465663884981,4.290544997166191,-2.785037374327684,0.4413738892040555,-0.019472195404405312,1.0198472738956088,0.6071428571428571,1.2935641122756558,0.7815375491140798,5.1023552390759885,-3.2263356176252604,0.476331653784818,0.015485569176357183,1.184168231015517,1.0,1.0268715950020912,dist_high_10 <= -9.4520 AND dist_sma_20 <= 4.6493 AND dist_sma_200 > -7.5282
7973,30,0.6333333333333333,1.1307742284920363,1.4711369460271786,3.241938673030738,-1.36983629264631,0.4551324643360493,0.051892140303646084,1.3271747099188052,0.6666666666666666,1.9153888428704982,1.481780063888121,4.967907357934124,-1.7688819017602044,0.4877972581383026,0.026951173529841776,1.956522262455489,0.7333333333333333,3.282617443811771,2.006367259728996,6.935307218386727,-1.9686149988779036,0.5555169795568831,0.09467089494842224,3.1732215625516322,1.0,1.3847580118279483,dist_sma_200 <= 13.2002 AND n_sub_75v_20d > 10.5000 AND weekly_close_loc <= 0.7255 AND weekly_close_loc > 0.0825
3326,32,0.625,0.45883092529076897,0.8988166695209233,2.9986703750688064,-2.316730958351675,0.4525410058952512,0.04930068186284797,0.6552314067175378,0.625,0.9177866500224046,0.968465663884981,4.150680114752027,-2.951995878555702,0.4525410058952512,-0.008305078713209624,0.9589200696073953,0.6875,1.9168720842238107,2.101268547262063,5.326881993650431,-3.4789075723935365,0.5143300030196761,0.0534839184112153,1.807476202963672,0.0,-0.012737634714414081,atr_20_pct > 4.0819 AND dist_high_10 <= -9.8683 AND dist_sma_200 > 4.8575
2741,110,0.5454545454545454,0.37563044387034855,0.36742975475631445,3.0198413687500163,-2.078675632132727,0.4524389026806324,0.049198578648229185,0.5720309252971173,0.6363636363636364,1.2039403282336227,1.0600965980407764,4.731264642775136,-2.814874536117402,0.5432749318492441,0.08242884724078331,1.2450737478186136,0.6454545454545455,1.9720971566666934,1.56205193611783,6.089487329118922,-3.196180457125229,0.5525323623689828,0.09168627776052202,1.8627012754065546,1.0,0.6046605351736333,atr_20_pct > 3.9049 AND weekly_close_loc > 0.3718 AND weekly_range_pct <= 10.9756
6247,57,0.5789473684210527,0.5407127912447771,0.5636077012533925,2.516719774939195,-1.5529072260706613,0.44979910140681373,0.0465587773744105,0.7371132726715459,0.5263157894736842,0.762789615428134,0.2528440366972574,3.768584921513718,-2.1521500509880545,0.39917794452223143,-0.061668140086229395,0.8039230350131247,0.49122807017543857,,,4.410908022298618,-2.6795380252033727,0.3661606806374018,-0.09468540397105901,,0.0,1.5741998010050915,dist_high_120 <= -2.0015 AND n_sub_3_range_7d > 2.5000 AND rs_market_60d > -4.0304 AND weekly_close_loc > 0.7117
5102,165,0.5212121212121212,0.32874918563088673,0.19773908895777584,2.5272995891543926,-1.7766661614630022,0.4453758760422212,0.042135552009817945,0.5251496670576554,0.6060606060606061,1.0389738400686959,1.0064712778429066,4.026477999120686,-2.3390100250575836,0.5299042840946389,0.06905819948617803,1.0801072596536867,0.6484848484848484,1.8722749254537392,1.0350703348686754,5.351695507312256,-2.670160266617087,0.573009679612094,0.11216359500363321,1.7628790441936004,1.0,0.9456238703260031,dist_high_252 > -63.1106 AND dist_sma_200 > 4.1321 AND n_sub_75v_20d > 7.5000 AND roc_60 <= 31.3083
5066,29,0.6206896551724138,1.1430978140483812,1.1723035335006895,3.489285586715059,-1.9826866569512112,0.4400222620928496,0.036781938060446384,1.33949829547515,0.6896551724137931,,,4.541881097888046,-2.51587640250319,0.5076952952728147,0.046849210664353824,,0.6206896551724138,,,5.716145544757285,-2.9640244477232875,0.4400222620928496,-0.020823822515611212,,1.0,0.4149609934765134,dist_high_252 > -68.5924 AND dist_sma_200 <= 2.7964 AND dist_sma_200 > -1.5734 AND n_sub_3_range_7d > 0.5000
