rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0484,pair,ret5_pct__pct,hi,0.95,close_vs_vwap_pct__pct,lo,0.1,20,191,0.10471204188481675,6.156361146088762,0.7590227467736667,54.45026178010471,22.953526471542755
R0751,pair,ret3_pct__pct,hi,0.9,day_volume_1m__pct,lo,0.1,11,182,0.06043956043956044,3.5534381230583763,2.14350975994704,54.94505494505495,22.876460294216944
R0790,pair,ret3_pct__pct,hi,0.9,last60_vol_pct__pct,lo,0.3,74,1233,0.06001622060016221,3.528548598492237,1.1678793926845181,51.013787510137874,22.85383492924893
R0660,pair,ret3_pct__pct,hi,0.95,first15_volume__pct,lo,0.1,7,89,0.07865168539325842,4.624188119281278,1.5297011146986055,58.42696629213483,22.84878468434542
R3179,pair,turn_pct_252__pct,hi,0.8,last30_volume__pct,lo,0.05,8,135,0.05925925925925926,3.4840443819346776,2.9498044038886393,51.11111111111111,22.845783420769674
R0532,pair,trend3_20__pct,hi,0.95,ret3_pct__pct,hi,0.9,56,711,0.07876230661040788,4.6306919000397615,0.8642250110678034,48.52320675105485,22.740649011317807
R0525,pair,ret5_pct__pct,hi,0.95,last60_ret_pct__pct,lo,0.2,33,352,0.09375,5.511867088607595,0.8644360634942639,47.72727272727273,22.63222430092419
R0461,pair,ret5_pct__pct,hi,0.95,ret3_pct__pct,hi,0.9,80,1007,0.07944389275074479,4.670764563666151,0.8084102922101618,49.652432969215496,22.615011302765584
R3247,pair,turn_pct_252__pct,hi,0.9,up_day_streak__pct,hi,0.9,34,515,0.06601941747572816,3.881496046864119,1.2544738437760448,50.48543689320388,22.568019119431973
R0682,pair,ret10_pct__pct,hi,0.95,first15_ret_pct__pct,lo,0.1,11,169,0.0650887573964497,3.82677951713979,1.9204478367373072,53.84615384615385,22.456513283893365
R1851,pair,day_volume_1m__pct,lo,0.1,turn_pct_252__pct,hi,0.7,18,382,0.04712041884816754,2.770362515739943,2.481333940412486,53.403141361256544,22.392559082233014
R2382,pair,last60_volume__pct,lo,0.1,turn_pct_252__pct,hi,0.8,13,277,0.04693140794223827,2.7592499504942953,2.826803755297592,53.068592057761734,22.372754482061303
R1846,pair,day_volume_1m__pct,lo,0.1,turn_pct_252__pct,hi,0.8,11,211,0.052132701421800945,3.0650508928749973,2.85960477102499,54.502369668246445,22.248201028147868
R0784,pair,ret3_pct__pct,hi,0.9,last30_volume__pct,lo,0.05,6,98,0.061224489795918366,3.599586670111082,2.69488671464339,58.16326530612245,22.145260108405253
