config_id,entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired,avg_symbol_prior,high_tier_only,top_n,min_rules,rule_weight,profile_weight,symbol_prior_weight
C000,2025-03-03,2025-02-28,10,"CHOLAHLDNG,CHALET,ABBOTINDIA,ANANDRATHI,SHRIRAMFIN,VOLTAS,TATAINVEST,HDFCBANK,COALINDIA,AUBANK",3535.904657784979,57.9,0.026981796829125076,1,10,0,1.0,2.0,4.0
C000,2025-03-04,2025-03-03,10,"CRAFTSMAN,HOMEFIRST,CREDITACC,NEULANDLAB,CARTRADE,FIVESTAR,CHALET,CHOLAHLDNG,SHRIRAMFIN,BANDHANBNK",756.0446440208236,30.7,0.13918714872913346,1,10,0,1.0,2.0,4.0
C000,2025-03-05,2025-03-04,10,"ABBOTINDIA,CRAFTSMAN,NH,ABREL,MRF,HOMEFIRST,CHALET,SHREECEM,AIIL,ATUL",875.2776149390511,34.4,0.0650239073903196,1,10,0,1.0,2.0,4.0
C000,2025-03-06,2025-03-05,10,"DCMSHRIRAM,BLUESTARCO,INDIACEM,CONCORDBIO,SCHAEFFLER,ABBOTINDIA,ECLERX,BSE,ABREL,VOLTAS",696.7503994867754,27.9,0.20096398512429045,1,10,0,1.0,2.0,4.0
C000,2025-03-07,2025-03-06,10,"DCMSHRIRAM,CRAFTSMAN,FORCEMOT,CONCORDBIO,INDIACEM,ANURAS,NEULANDLAB,BLUESTARCO,CEATLTD,SCHAEFFLER",1041.6125820347959,37.4,0.25827601152028634,1,10,0,1.0,2.0,4.0
C000,2025-03-10,2025-03-07,10,"CHENNPETRO,GPIL,CRAFTSMAN,POWERINDIA,CEATLTD,FIRSTCRY,ADANIENSOL,IIFL,ENDURANCE,ONESOURCE",722.0799446370204,29.1,0.29032729357156833,1,10,0,1.0,2.0,4.0
C000,2025-03-11,2025-03-10,10,"JYOTICNC,ADANIENSOL,DATAPATTNS,AMBER,GPIL,BDL,LLOYDSME,AADHARHFC,ANURAS,TTML",4021.647973230134,70.9,0.33175376786063804,1,10,0,1.0,2.0,4.0
C000,2025-03-12,2025-03-11,10,"PTCIL,SOLARINDS,JYOTICNC,DATAPATTNS,SHYAMMETL,AADHARHFC,ZEEL,FORCEMOT,AMBER,ADANIENSOL",821.8443342038532,34.3,0.2666168945558258,1,10,0,1.0,2.0,4.0
C000,2025-03-13,2025-03-12,10,"SOLARINDS,HEG,CHENNPETRO,GRAPHITE,TATACOMM,TIINDIA,ACE,DATAPATTNS,INDGN,WELCORP",818.9490759305335,33.4,0.2222372284204345,1,10,0,1.0,2.0,4.0
C000,2025-03-17,2025-03-13,10,"SARDAEN,GRAPHITE,TIINDIA,TATACOMM,ADANIENSOL,ONESOURCE,MCX,SIGNATURE,BLUEJET,NEULANDLAB",833.0453057621105,32.8,0.19240849481307495,1,10,0,1.0,2.0,4.0
C000,2025-03-18,2025-03-17,10,"ZFCVINDIA,DMART,MRPL,JYOTICNC,SOLARINDS,SARDAEN,FORCEMOT,IKS,ADANIENSOL,GALLANTT",761.7953726937474,31.4,0.21526228224701502,1,10,0,1.0,2.0,4.0
C000,2025-03-19,2025-03-18,10,"ELGIEQUIP,POWERINDIA,ADANIGREEN,CRISIL,TATACOMM,SUNDARMFIN,MCX,KIMS,VIJAYA,BLUEDART",516.0800574239056,21.2,0.17892738304952044,1,10,0,1.0,2.0,4.0
C000,2025-03-20,2025-03-19,10,"ELGIEQUIP,GABRIEL,BLUEJET,TRITURBINE,IKS,SARDAEN,RAINBOW,ATUL,GODFRYPHLP,CARTRADE",496.28248496207095,21.0,0.13636719514582107,1,10,0,1.0,2.0,4.0
C000,2025-03-21,2025-03-20,10,"MAZDOCK,FORCEMOT,COCHINSHIP,HONAUT,GABRIEL,TARIL,LLOYDSME,OLAELEC,ELGIEQUIP,BALRAMCHIN",855.6373358391766,35.2,0.12987864552750047,1,10,0,1.0,2.0,4.0
C000,2025-03-24,2025-03-21,10,"KEC,GRSE,RHIM,GALLANTT,CRISIL,SCI,BOSCHLTD,HONAUT,ERIS,BLUEJET",629.8168849094487,26.1,0.2593716970052848,1,10,0,1.0,2.0,4.0
