config_id,train_months,proxy_ret5x_pct,worst_month_ret5x,avg_month_win_pct,proxy_score
C000,3,74.5024505833287,20.76977419431136,54.30242272347536,129.61760465282026
C001,3,74.5024505833287,20.76977419431136,54.30242272347536,129.61760465282026
C003,3,74.5024505833287,20.76977419431136,54.30242272347536,129.61760465282026
C005,3,74.5024505833287,20.76977419431136,54.30242272347536,129.61760465282026
C006,3,74.5024505833287,20.76977419431136,54.30242272347536,129.61760465282026
C008,3,74.5024505833287,20.76977419431136,54.30242272347536,129.61760465282026
C002,3,74.03464609690356,20.76977419431136,54.30242272347536,129.14980016639512
C007,3,74.03464609690356,20.76977419431136,54.30242272347536,129.14980016639512
C004,3,73.75877488628115,20.76977419431136,54.30242272347536,128.8739289557727
C009,3,73.75877488628115,20.76977419431136,54.30242272347536,128.8739289557727
C022,3,72.66757276316949,20.261421813977204,57.64411027568922,127.60144396004621
C023,3,72.66757276316949,20.261421813977204,57.64411027568922,127.60144396004621
C024,3,72.66757276316949,20.261421813977204,57.64411027568922,127.60144396004621
C027,3,72.66757276316949,20.261421813977204,57.64411027568922,127.60144396004621
C028,3,72.66757276316949,20.261421813977204,57.64411027568922,127.60144396004621
C029,3,72.66757276316949,20.261421813977204,57.64411027568922,127.60144396004621
C020,3,72.13755487664217,19.73140392744989,57.64411027568922,126.01139030046426
C025,3,72.13755487664217,19.73140392744989,57.64411027568922,126.01139030046426
C021,3,71.17231128171036,19.35556911612425,55.889724310776934,123.8558805916531
C026,3,71.17231128171036,19.35556911612425,55.889724310776934,123.8558805916531
C040,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C041,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C042,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C043,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C044,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C045,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C046,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C047,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C048,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C049,3,68.41206476245651,16.070921947515103,55.72263993316625,114.48456864077828
C052,3,57.24639366782652,8.374060784180955,52.38095238095238,87.08975333142652
C053,3,57.24639366782652,8.374060784180955,52.38095238095238,87.08975333142652
C054,3,57.24639366782652,8.374060784180955,52.38095238095238,87.08975333142652
C057,3,57.24639366782652,8.374060784180955,52.38095238095238,87.08975333142652
C058,3,57.24639366782652,8.374060784180955,52.38095238095238,87.08975333142652
C059,3,57.24639366782652,8.374060784180955,52.38095238095238,87.08975333142652
C050,3,57.20752345459918,8.33519057095362,52.38095238095238,86.97314269174453
C051,3,57.20752345459918,8.33519057095362,52.38095238095238,86.97314269174453
C055,3,57.20752345459918,8.33519057095362,52.38095238095238,86.97314269174453
C056,3,57.20752345459918,8.33519057095362,52.38095238095238,86.97314269174453
C030,3,57.11502558148476,2.172890250654778,48.87218045112781,73.67885119557627
C031,3,57.11502558148476,2.172890250654778,48.87218045112781,73.67885119557627
C035,3,57.11502558148476,2.172890250654778,48.87218045112781,73.67885119557627
C036,3,57.11502558148476,2.172890250654778,48.87218045112781,73.67885119557627
C032,3,55.90222452324499,0.9600891924150123,48.87218045112781,70.04044802085697
C033,3,55.90222452324499,0.9600891924150123,48.87218045112781,70.04044802085697
C034,3,55.90222452324499,0.9600891924150123,48.87218045112781,70.04044802085697
C037,3,55.90222452324499,0.9600891924150123,48.87218045112781,70.04044802085697
C038,3,55.90222452324499,0.9600891924150123,48.87218045112781,70.04044802085697
C039,3,55.90222452324499,0.9600891924150123,48.87218045112781,70.04044802085697
C010,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C011,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C012,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C013,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C014,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C015,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C016,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C017,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C018,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
C019,3,29.533496938263657,-1.0825126621296315,57.47702589807853,41.73772808852402
