config_id,entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired,avg_symbol_prior,high_tier_only,top_n,min_rules,rule_weight,profile_weight,symbol_prior_weight,exit_time,exit_reason,ret5x_pct,ret1x_pct,gross_rs,charges_rs,position_rets
C000,2025-03-20,2025-03-19,10,"ELGIEQUIP,GABRIEL,BLUEJET,TRITURBINE,IKS,SARDAEN,RAINBOW,ATUL,GODFRYPHLP,CARTRADE",496.28248496207095,21.0,0.13636719514582107,1,10,0,1.0,2.0,4.0,09:41,HARD_STOP,-3.7913380801507226,-0.7582676160301445,-17610.799999999814,1345.8904007538001,"0.5448,-2.6878,-0.1894,-1.0481,-0.4682,-1.2189,0.4658,0.4809,-0.3935,-2.5527"
C000,2025-03-21,2025-03-20,10,"MAZDOCK,FORCEMOT,COCHINSHIP,HONAUT,GABRIEL,TARIL,LLOYDSME,OLAELEC,ELGIEQUIP,BALRAMCHIN",855.6373358391766,35.2,0.12987864552750047,1,10,0,1.0,2.0,4.0,15:29,EOD,12.136940981177561,2.4273881962355124,62049.41000000015,1364.70509411234,"-2.1575,5.1615,-1.0377,-0.2940,1.5054,10.6806,2.8951,8.2963,0.6110,-0.8388"
C000,2025-03-24,2025-03-21,10,"KEC,GRSE,RHIM,GALLANTT,CRISIL,SCI,BOSCHLTD,HONAUT,ERIS,BLUEJET",629.8168849094487,26.1,0.2593716970052848,1,10,0,1.0,2.0,4.0,09:39,HARD_STOP,-3.8195583980297307,-0.7639116796059462,-17757.799999999814,1339.99199014884,"-4.5689,1.3311,-0.2052,-1.9308,-1.0942,2.0793,0.1784,0.2943,-3.0391,-0.1647"
C000,2025-03-25,2025-03-24,10,"HONAUT,RHIM,BLUEDART,RKFORGE,DCMSHRIRAM,CRISIL,ERIS,SUNDARMFIN,KEC,AIAENG",557.6347714275049,23.9,0.20416911332941864,1,10,0,1.0,2.0,4.0,09:27,HARD_STOP,-3.9128498564238634,-0.7825699712847727,-18225.049999999814,1339.1992821195,"0.2401,-0.7188,-0.5509,-1.1685,-0.5920,-1.3964,-2.0082,-0.4155,-0.3471,-0.3529"
C000,2025-03-26,2025-03-25,10,"FORCEMOT,JBMA,IREDA,TARIL,MRPL,TEJASNET,ZENTEC,JWL,HONAUT,TEGA",1080.457174620149,42.6,0.30907711880994326,1,10,0,1.0,2.0,4.0,09:41,HARD_STOP,-3.616977740231998,-0.7233955480463996,-16745.700000000186,1339.1887011597998,"-0.0103,-1.0407,-1.2294,-0.1644,2.5056,-2.2274,-4.1813,1.4168,-0.0235,-1.7658"
C000,2025-03-27,2025-03-26,10,"GALLANTT,BLUEDART,FORCEMOT,GRAPHITE,JWL,JBMA,PARADEEP,MRPL,JSWDULUX,IGIL",1278.8076492404355,49.8,0.2592434918770797,1,10,0,1.0,2.0,4.0,09:20,HARD_STOP,-3.9134466113194146,-0.7826893222638829,-18223.62000000011,1343.61305659696,"0.7400,-0.9587,0.9879,-0.0909,-2.4808,-0.8225,0.3037,-1.9801,-0.1128,-2.8709"
C000,2025-03-28,2025-03-27,10,"ZFCVINDIA,PTCIL,BLUEDART,HEG,GALLANTT,FORCEMOT,SHREECEM,SPLPETRO,GRAPHITE,JWL",1000.8183911850567,38.7,0.2935380141487012,1,10,0,1.0,2.0,4.0,12:20,TRAIL,2.88357238490148,0.576714476980296,15765.5,1347.6380754926,"5.6250,0.4245,-0.7563,-1.5948,6.8543,-2.1679,0.3235,0.7252,-1.6700,-1.2063"
C000,2025-04-01,2025-03-28,10,"JSWDULUX,RPOWER,RAINBOW,RHIM,FSL,PTCIL,ERIS,NEULANDLAB,DCMSHRIRAM,SPLPETRO",1110.761353229585,41.8,0.3485996700500517,1,10,0,1.0,2.0,4.0,11:10,HARD_STOP,-3.1773966966568805,-0.6354793393313761,-14547.959999999963,1339.0234832844399,"-0.6954,0.3814,-1.4382,3.2255,-0.2273,-0.1752,0.2857,-3.5142,-1.8506,-1.9843"
C000,2025-04-02,2025-04-01,10,"JSWDULUX,ZFCVINDIA,NAVA,BEML,MAPMYINDIA,RPOWER,NEULANDLAB,RAMCOCEM,BSE,ASTERDM",1062.182794195938,41.8,0.2973615188882364,1,10,0,1.0,2.0,4.0,09:17,HARD_STOP,-3.949711428415824,-0.7899422856831648,-18407.5,1341.0571420791198,"-0.2280,-0.3475,-0.4332,-1.7618,-0.0177,0.1192,-2.0869,-0.7874,-0.4388,-1.4737"
C000,2025-04-03,2025-04-02,10,"ZFCVINDIA,IDEA,HBLENGINE,NAVA,BAYERCROP,GODFRYPHLP,PARADEEP,AIIL,WHIRLPOOL,HONAUT",852.0742285668694,34.9,0.26975141906439615,1,10,0,1.0,2.0,4.0,09:50,TRAIL,2.87200891418424,0.574401782836848,15710.53000000026,1350.48542907906,"0.2068,0.2472,0.8841,0.8077,0.2300,0.1695,3.3970,0.9972,-1.0094,0.3770"
C000,2025-04-04,2025-04-03,10,"GALLANTT,BBTC,EMCURE,GODFRYPHLP,MAPMYINDIA,NAVINFLUOR,FORCEMOT,GLAND,PERSISTENT,BSE",640.9957757659752,26.8,0.14209238598551574,1,10,0,1.0,2.0,4.0,09:20,HARD_STOP,-4.0069294235380255,-0.8013858847076051,-18692.849999999627,1341.7971176905,"0.3126,-1.6124,-0.1060,0.1736,0.1642,0.0024,-2.5747,-1.4444,-2.1937,-0.2667"
C000,2025-04-07,2025-04-04,10,"TATACONSUM,PNBHOUSING,PARADEEP,RAMCOCEM,MAXHEALTH,INDUSTOWER,ADANIPOWER,SBFC,LALPATHLAB,RBLBANK",2793.5479431743415,44.6,0.3165541201800744,1,10,0,1.0,2.0,4.0,15:29,EOD,25.881416132792435,5.176283226558487,130796.58000000007,1389.4993360379203,"2.8459,4.7581,9.2217,2.7000,-0.1106,5.0882,10.7684,9.7561,4.0299,3.3030"
C000,2025-04-08,2025-04-07,10,"GMRAIRPORT,RAINBOW,ASAHIINDIA,PNBHOUSING,MARICO,TORNTPHARM,GODREJCP,PARADEEP,BRITANNIA,RAMCOCEM",3593.5550168489654,59.7,0.17157956547269523,1,10,0,1.0,2.0,4.0,09:17,HARD_STOP,-3.567066354408184,-0.7134132708816369,-16488.790000000503,1346.54177204042,"-0.8103,-1.9788,-1.7063,-0.0522,-0.5389,-0.4782,0.0509,-2.0333,0.4652,0.4741"
C000,2025-04-09,2025-04-08,10,"ASAHIINDIA,VTL,SIEMENS,BAJAJHLDNG,FORCEMOT,JSWINFRA,IGL,DELHIVERY,SARDAEN,IGIL",423.8444383261566,19.1,0.20283812879232727,1,10,0,1.0,2.0,4.0,09:17,HARD_STOP,-3.6629511126314207,-0.7325902225262841,-16969.97999999998,1344.77556315712,"-0.5444,0.5392,-1.2442,-0.2009,0.9604,0.2483,-1.5635,-2.5198,-0.8503,-1.6077"
C000,2025-04-11,2025-04-09,10,"GMRAIRPORT,BERGEPAINT,AADHARHFC,RAINBOW,SUNDARMFIN,AIAENG,PARADEEP,FORCEMOT,SHREECEM,EMCURE",672.6831058967356,26.6,0.11697005284791544,1,10,0,1.0,2.0,4.0,09:16,HARD_STOP,-4.478946296718461,-0.8957892593436922,-21052.899999999907,1341.8314835924,"-0.6969,-0.4062,-1.1267,-0.0534,-0.7615,0.6425,-0.7519,-1.4831,-0.6053,-3.2302"
C000,2025-04-15,2025-04-11,10,"GMRAIRPORT,GODREJCP,PTCIL,HINDPETRO,ONESOURCE,MUTHOOTFIN,CRISIL,ECLERX,HEG,VIJAYA",355.5027386810385,16.2,0.22899505075077595,1,10,0,1.0,2.0,4.0,15:29,EOD,10.236435744554239,2.047287148910848,52545.43000000017,1363.25127722898,"-1.1379,-1.3526,8.3215,-1.7653,5.3691,0.3912,2.9273,3.9339,2.7745,1.9004"
C000,2025-04-16,2025-04-15,10,"PAGEIND,ASAHIINDIA,ATUL,PIIND,ABDL,DOMS,BHARTIHEXA,FORCEMOT,LALPATHLAB,SPLPETRO",399.6681248307725,16.7,0.1571980818164024,1,10,0,1.0,2.0,4.0,15:29,EOD,4.019151940504739,0.8038303881009478,21443.100000000093,1347.3402974763999,"-0.6857,-1.1158,1.2392,1.9641,0.3226,7.2530,0.1520,-2.4294,0.8433,1.0005"
C000,2025-04-17,2025-04-16,10,"NEULANDLAB,MRF,INTELLECT,SYRMA,SAILIFE,ATUL,DATAPATTNS,GRAVITA,3MINDIA,FORCEMOT",873.2235804723545,35.1,0.14956155803484045,1,10,0,1.0,2.0,4.0,15:29,EOD,2.6256947693332617,0.5251389538666523,14474.899999999907,1346.4261533335998,"1.2648,1.9903,1.3944,0.9062,-1.2644,-0.5686,0.3176,2.4175,-1.3184,0.7218"
C000,2025-04-21,2025-04-17,10,"MRF,GMDCLTD,DOMS,GALLANTT,INDUSINDBK,JBMA,NEULANDLAB,KAYNES,HONAUT,IREDA",751.2644086923281,30.9,0.22127617929144647,1,10,0,1.0,2.0,4.0,09:21,HARD_STOP,-3.528336388795381,-0.7056672777590762,-16343.399999999907,1298.281943977,"-0.2942,-1.2623,0.3079,-1.6956,0.0312,-0.8631,-0.6286,-0.2212,-0.8922,-1.2076"
C000,2025-04-22,2025-04-21,10,"DOMS,FACT,GALLANTT,JBMA,EMCURE,NBCC,POWERINDIA,BLUEJET,NTPCGREEN,MRF",549.6911727245408,21.6,0.32031708749266,1,10,0,1.0,2.0,4.0,15:29,EOD,3.197691205764277,0.6395382411528554,17299.169999999925,1310.7139711785403,"3.9310,-1.8022,0.8511,-0.7556,-0.1499,0.1299,3.0993,1.7663,-0.2503,0.4324"
C000,2025-04-23,2025-04-22,10,"FACT,DELHIVERY,EMCURE,GMDCLTD,TECHNOE,SUZLON,CHOLAHLDNG,FORCEMOT,POLYMED,KAYNES",497.50687176635455,20.5,0.162507339988256,1,10,0,1.0,2.0,4.0,09:40,HARD_STOP,-3.4272239271896128,-0.6854447854379225,-15792.139999999665,1343.9796359483998,"0.1567,-1.0403,1.7057,-1.6811,-1.7349,-1.5248,-0.9739,-1.7132,0.5220,-0.0840"
